Sample ID	Score	Activity
NCGC00261900-01	0.64	1
NCGC00260869-01	0.559	1
NCGC00261776-01	0.663	1
NCGC00261380-01	0.732	1
NCGC00261842-01	0.499	0
NCGC00261662-01	0.57	1
NCGC00261190-01	0.702	1
NCGC00260731-01	0.608	1
NCGC00261926-01	0.564	1
NCGC00261579-01	0.697	1
NCGC00260921-01	0.718	1
NCGC00261119-01	0.621	1
NCGC00260957-01	0.465	0
NCGC00261812-01	0.594	1
NCGC00260831-01	0.536	0
NCGC00261544-01	0.672	1
NCGC00261619-01	0.728	1
NCGC00261633-01	0.175	0
NCGC00261395-01	0.737	1
NCGC00261717-01	0.608	1
NCGC00261947-01	0.627	1
NCGC00261424-01	0.914	1
NCGC00261861-01	0.484	0
NCGC00261924-01	0.516	0
NCGC00261052-01	0.499	0
NCGC00261683-01	0.605	1
NCGC00261026-01	0.604	1
NCGC00261057-01	0.617	1
NCGC00261738-01	0.543	0
NCGC00261348-01	0.359	0
NCGC00261503-01	0.353	0
NCGC00260693-01	0.368	0
NCGC00260703-01	0.269	0
NCGC00260716-01	0.346	0
NCGC00260782-01	0.546	0
NCGC00260802-01	0.478	0
NCGC00260823-01	0.291	0
NCGC00261313-01	0.44	0
NCGC00260757-01	0.44	0
NCGC00260826-01	0.377	0
NCGC00261005-01	0.482	0
NCGC00260980-01	0.658	1
NCGC00261816-01	0.568	1
NCGC00260698-01	0.536	0
NCGC00260889-01	0.608	1
NCGC00260811-01	0.535	0
NCGC00261165-01	0.598	1
NCGC00261060-01	0.52	0
NCGC00261541-01	0.524	0
NCGC00261649-01	0.573	1
NCGC00261110-01	0.569	1
NCGC00261130-01	0.575	1
NCGC00260846-01	0.509	0
NCGC00261030-01	0.643	1
NCGC00261162-01	0.501	0
NCGC00261058-01	0.694	1
NCGC00261404-01	0.506	0
NCGC00261423-01	0.514	0
NCGC00261856-01	0.548	1
NCGC00261342-01	0.976	1
NCGC00261935-01	0.408	0
NCGC00261069-01	0.633	1
NCGC00261101-01	0.653	1
NCGC00261183-01	0.35	0
NCGC00261716-01	0.551	1
NCGC00260742-01	0.448	0
NCGC00261529-01	0.597	1
NCGC00261170-01	0.502	0
NCGC00261565-01	0.547	0
NCGC00260990-01	0.644	1
NCGC00261340-01	0.531	0
NCGC00261079-01	0.651	1
NCGC00261389-01	0.572	1
NCGC00261744-01	0.59	1
NCGC00261420-01	0.688	1
NCGC00261215-01	0.513	0
NCGC00261826-01	0.479	0
NCGC00260706-01	0.682	1
NCGC00261123-01	0.562	1
NCGC00261367-01	0.431	0
NCGC00261507-01	0.457	0
NCGC00261169-01	0.795	1
NCGC00261730-01	0.576	1
NCGC00261624-01	0.55	1
NCGC00261641-01	0.632	1
NCGC00261853-01	0.668	1
NCGC00260911-01	0.544	0
NCGC00260798-01	0.513	0
NCGC00261384-01	0.629	1
NCGC00260785-01	0.573	1
NCGC00261597-01	0.637	1
NCGC00261025-01	0.562	1
NCGC00260789-01	0.677	1
NCGC00260866-01	0.582	1
NCGC00261189-01	0.653	1
NCGC00261270-01	0.598	1
NCGC00261611-01	0.393	0
NCGC00261160-01	0.518	0
NCGC00261085-01	0.454	0
NCGC00261817-01	0.531	0
NCGC00261866-01	0.46	0
NCGC00260852-01	0.492	0
NCGC00261290-01	0.573	1
NCGC00261304-01	0.66	1
NCGC00261704-01	0.564	1
NCGC00260850-01	0.46	0
NCGC00260972-01	0.647	1
NCGC00261364-01	0.405	0
NCGC00261392-01	0.657	1
NCGC00261638-01	0.637	1
NCGC00261820-01	0.702	1
NCGC00261808-01	0.644	1
NCGC00260790-01	0.387	0
NCGC00260940-01	0.668	1
NCGC00261081-01	0.652	1
NCGC00261506-01	0.743	1
NCGC00261133-01	0.465	0
NCGC00261399-01	0.646	1
NCGC00260696-01	0.548	0
NCGC00261903-01	0.673	1
NCGC00261178-01	0.651	1
NCGC00261568-01	0.628	1
NCGC00260830-01	0.538	0
NCGC00261113-01	0.628	1
NCGC00261327-01	0.714	1
NCGC00261602-01	0.721	1
NCGC00260858-01	0.529	0
NCGC00261071-01	0.712	1
NCGC00261076-01	0.679	1
NCGC00261192-01	0.569	1
NCGC00261495-01	0.415	0
NCGC00261577-01	0.733	1
NCGC00261510-01	0.559	1
NCGC00261679-01	0.618	1
NCGC00261941-01	0.631	1
NCGC00261343-01	0.643	1
NCGC00261607-01	0.654	1
NCGC00261782-01	0.693	1
NCGC00261914-01	0.528	0
NCGC00261475-01	0.606	1
NCGC00261764-01	0.622	1
NCGC00261802-01	0.652	1
NCGC00261813-01	0.553	1
NCGC00260795-01	0.55	1
NCGC00261352-01	0.699	1
NCGC00261009-01	0.682	1
NCGC00261944-01	0.634	1
NCGC00261166-01	0.661	1
NCGC00261332-01	0.654	1
NCGC00261333-01	0.614	1
NCGC00261260-01	1	1
NCGC00261915-01	0.789	1
NCGC00261238-01	0.775	1
NCGC00261682-01	0.698	1
NCGC00261049-01	0.61	1
NCGC00260910-01	0.408	0
NCGC00261272-01	0.676	1
NCGC00260708-01	0.239	0
NCGC00261390-01	0.3	0
NCGC00260948-01	0.496	0
NCGC00261840-01	0.353	0
NCGC00260881-01	0.263	0
NCGC00261153-01	0.659	1
NCGC00261406-01	0.527	0
NCGC00261053-01	0.483	0
NCGC00261129-01	0.485	0
NCGC00261381-01	0.699	1
NCGC00261426-01	0.693	1
NCGC00260979-01	0.675	1
NCGC00260993-01	0.557	1
NCGC00261108-01	0.639	1
NCGC00261441-01	0.61	1
NCGC00261877-01	0.622	1
NCGC00260815-01	0.57	1
NCGC00261542-01	0.69	1
NCGC00261958-01	0.614	1
NCGC00261787-01	0.627	1
NCGC00261065-01	0.668	1
NCGC00261804-01	0.722	1
NCGC00260875-01	0.668	1
NCGC00261451-01	0.753	1
NCGC00261739-01	0.567	1
NCGC00261948-01	0.567	1
