Sample ID	Score	Activity
NCGC00261900-01	0.014189428	0
NCGC00260869-01	0.003086294	0
NCGC00261776-01	0.548818999	1
NCGC00261380-01	0.003730801	0
NCGC00261842-01	0.003218055	0
NCGC00261662-01	0.997923122	1
NCGC00261190-01	0.007667599	0
NCGC00260731-01	0.028593597	0
NCGC00261926-01	0.001691245	0
NCGC00261579-01	0.120094862	1
NCGC00260921-01	0.019971930	0
NCGC00261119-01	0.118705200	0
NCGC00260957-01	0.004621526	0
NCGC00261812-01	0.009183269	0
NCGC00260831-01	0.048061542	0
NCGC00261544-01	0.001789126	0
NCGC00261619-01	0.003526333	0
NCGC00261633-01	0.001448170	0
NCGC00261395-01	0.004445779	0
NCGC00261717-01	0.003669003	0
NCGC00261947-01	0.002214756	0
NCGC00261424-01	0.999902345	1
NCGC00261861-01	0.187182449	1
NCGC00261924-01	0.018817117	0
NCGC00261052-01	0.009051421	0
NCGC00261683-01	0.008124642	0
NCGC00261026-01	0.004903794	0
NCGC00261057-01	0.002282646	0
NCGC00261738-01	0.118707040	0
NCGC00261348-01	0.001354913	0
NCGC00261503-01	0.001575907	0
NCGC00260693-01	0.001905557	0
NCGC00260703-01	0.001328508	0
NCGC00260716-01	0.118706498	0
NCGC00260782-01	0.001619344	0
NCGC00260802-01	0.001428683	0
NCGC00260823-01	0.001323837	0
NCGC00261313-01	0.001589074	0
NCGC00260757-01	0.001480577	0
NCGC00260826-01	0.001266240	0
NCGC00261005-01	0.001992507	0
NCGC00260980-01	0.001661368	0
NCGC00261816-01	0.002433423	0
NCGC00260698-01	0.002680330	0
NCGC00260889-01	0.001891007	0
NCGC00260811-01	0.001369560	0
NCGC00261165-01	0.001787804	0
NCGC00261060-01	0.001594546	0
NCGC00261541-01	0.001971338	0
NCGC00261649-01	0.001582471	0
NCGC00261110-01	0.004191408	0
NCGC00261130-01	0.010344509	0
NCGC00260846-01	0.001719660	0
NCGC00261030-01	0.118716095	0
NCGC00261162-01	0.118706077	0
NCGC00261058-01	0.118779152	0
NCGC00261404-01	0.118746731	0
NCGC00261423-01	0.563027800	1
NCGC00261856-01	0.644929645	1
NCGC00261342-01	0.724701735	1
NCGC00261935-01	0.001330324	0
NCGC00261069-01	0.032948178	0
NCGC00261101-01	0.003170606	0
NCGC00261183-01	0.001803909	0
NCGC00261716-01	0.001460766	0
NCGC00260742-01	0.002371974	0
NCGC00261529-01	0.118718581	0
NCGC00261170-01	0.004116066	0
NCGC00261565-01	0.118722912	0
NCGC00260990-01	0.638515358	1
NCGC00261340-01	0.001767425	0
NCGC00261079-01	0.118901959	1
NCGC00261389-01	0.118704606	0
NCGC00261744-01	0.118714260	0
NCGC00261420-01	0.002478871	0
NCGC00261215-01	0.001668868	0
NCGC00261826-01	0.001562047	0
NCGC00260706-01	0.014381685	0
NCGC00261123-01	0.001947435	0
NCGC00261367-01	0.001621255	0
NCGC00261507-01	0.001859951	0
NCGC00261169-01	0.001734330	0
NCGC00261730-01	0.002328315	0
NCGC00261624-01	0.003900039	0
NCGC00261641-01	0.002327252	0
NCGC00261853-01	0.119153937	1
NCGC00260911-01	0.001934945	0
NCGC00260798-01	0.003795087	0
NCGC00261384-01	0.118715841	0
NCGC00260785-01	0.002965088	0
NCGC00261597-01	0.003117052	0
NCGC00261025-01	0.118800415	0
NCGC00260789-01	0.547730271	1
NCGC00260866-01	0.013422539	0
NCGC00261189-01	0.002115016	0
NCGC00261270-01	0.090258991	0
NCGC00261611-01	0.001832713	0
NCGC00261160-01	0.012003105	0
NCGC00261085-01	0.118716914	0
NCGC00261817-01	0.001965695	0
NCGC00261866-01	0.005062577	0
NCGC00260852-01	0.011611511	0
NCGC00261290-01	0.118817763	1
NCGC00261304-01	0.002912589	0
NCGC00261704-01	0.011075473	0
NCGC00260850-01	0.001709338	0
NCGC00260972-01	0.118726537	0
NCGC00261364-01	0.001721710	0
NCGC00261392-01	0.002911799	0
NCGC00261638-01	0.001838633	0
NCGC00261820-01	0.001052412	0
NCGC00261808-01	0.002299920	0
NCGC00260790-01	0.007128782	0
NCGC00260940-01	0.189317839	1
NCGC00261081-01	0.002079503	0
NCGC00261506-01	0.010376866	0
NCGC00261133-01	0.002347510	0
NCGC00261399-01	0.003049164	0
NCGC00260696-01	0.170354330	1
NCGC00261903-01	0.004464248	0
NCGC00261178-01	0.003522869	0
NCGC00261568-01	0.003105401	0
NCGC00260830-01	0.118705643	0
NCGC00261113-01	0.001005196	0
NCGC00261327-01	0.118702119	0
NCGC00261602-01	0.118893310	1
NCGC00260858-01	0.113323879	0
NCGC00261071-01	0.003132810	0
NCGC00261076-01	0.002122082	0
NCGC00261192-01	0.001945354	0
NCGC00261495-01	0.002763717	0
NCGC00261577-01	0.119726735	1
NCGC00261510-01	0.002106751	0
NCGC00261679-01	0.020043736	0
NCGC00261941-01	0.070621256	0
NCGC00261343-01	0.001698241	0
NCGC00261607-01	0.002515509	0
NCGC00261782-01	0.003510756	0
NCGC00261914-01	0.001558655	0
NCGC00261475-01	0.006867602	0
NCGC00261764-01	0.118848355	1
NCGC00261802-01	0.007076694	0
NCGC00261813-01	0.001997986	0
NCGC00260795-01	0.002323244	0
