Sample ID	Score	Activity
NCGC00261260-01	0.889522624	1
NCGC00357021-01	0.866755475	1
NCGC00356940-01	0.829347323	1
NCGC00357149-01	0.78899657	1
NCGC00357219-01	0.783447931	1
NCGC00357280-01	0.738136132	1
NCGC00356965-01	0.689267398	1
NCGC00261424-01	0.654450942	1
NCGC00357218-01	0.652028932	1
NCGC00356967-01	0.598620598	1
NCGC00261737-01	0.56737097	1
NCGC00356961-01	0.54169609	1
NCGC00261342-01	0.525526951	1
NCGC00356953-01	0.514403982	1
NCGC00357109-01	0.511452829	1
NCGC00357018-01	0.507959246	1
NCGC00261924-01	0.49325211	1
NCGC00261475-01	0.477698683	1
NCGC00261812-01	0.477011637	1
NCGC00357072-01	0.477011637	1
NCGC00261653-01	0.473261741	1
NCGC00357235-01	0.46833418	1
NCGC00357057-01	0.447012666	1
NCGC00357148-01	0.446328302	1
NCGC00260921-01	0.446161277	1
NCGC00356959-01	0.445925378	1
NCGC00357224-01	0.439192565	1
NCGC00357110-01	0.424233791	1
NCGC00357017-01	0.422855985	1
NCGC00260858-01	0.415839811	1
NCGC00357175-01	0.415190619	1
NCGC00261713-01	0.394451975	1
NCGC00357263-01	0.392133785	1
NCGC00261856-01	0.386492159	1
NCGC00357012-01	0.385105385	1
NCGC00357130-01	0.382096404	1
NCGC00261065-01	0.373014303	0
NCGC00357055-01	0.37266492	0
NCGC00357085-01	0.364238527	0
NCGC00357011-01	0.357638684	0
NCGC00261910-01	0.357133006	0
NCGC00357271-01	0.355326709	0
NCGC00357178-01	0.350786184	0
NCGC00357118-01	0.34273243	0
NCGC00261582-01	0.339862233	0
NCGC00357111-01	0.328402883	0
NCGC00357135-01	0.327391576	0
NCGC00356994-01	0.325460671	0
NCGC00357019-01	0.324880438	0
NCGC00261767-01	0.324384406	0
NCGC00261563-01	0.31980285	0
NCGC00357230-01	0.319475584	0
NCGC00356978-01	0.318113517	0
NCGC00261192-01	0.314330082	0
NCGC00261163-01	0.312551106	0
NCGC00357249-01	0.31046882	0
NCGC00261126-01	0.308680812	0
NCGC00261825-01	0.302197741	0
NCGC00357181-01	0.30008541	0
NCGC00260962-01	0.298749682	0
NCGC00261882-01	0.296609746	0
NCGC00261662-01	0.295620832	0
NCGC00260840-01	0.294006882	0
NCGC00357029-01	0.290961368	0
NCGC00261804-01	0.286737764	0
NCGC00356955-01	0.286065316	0
NCGC00357262-01	0.2854833	0
NCGC00261081-01	0.285436279	0
NCGC00261853-01	0.283085225	0
NCGC00357155-01	0.283081181	0
NCGC00261395-01	0.278605529	0
NCGC00261529-01	0.272891624	0
NCGC00357191-01	0.271091433	0
NCGC00261404-01	0.268850524	0
NCGC00260947-01	0.268238026	0
NCGC00261739-01	0.265858921	0
NCGC00261873-01	0.265469285	0
NCGC00357288-01	0.263138932	0
NCGC00357284-01	0.261954849	0
NCGC00357228-01	0.261073176	0
NCGC00260831-01	0.257489443	0
NCGC00260785-01	0.253707117	0
NCGC00357246-01	0.253393528	0
NCGC00261080-01	0.250873111	0
NCGC00261381-01	0.250813727	0
NCGC00357052-01	0.250572038	0
NCGC00356949-01	0.249421626	0
NCGC00357188-01	0.248590902	0
NCGC00261583-01	0.248264941	0
NCGC00261009-01	0.24781199	0
NCGC00357177-01	0.246088317	0
NCGC00261441-01	0.245484233	0
NCGC00261352-01	0.245053607	0
NCGC00357077-01	0.239946656	0
NCGC00357250-01	0.238756147	0
NCGC00261944-01	0.238738294	0
NCGC00261495-01	0.23517478	0
NCGC00261254-01	0.235031048	0
NCGC00357253-01	0.231752191	0
NCGC00261165-01	0.227724977	0
NCGC00261554-01	0.225740116	0
NCGC00261270-01	0.224027116	0
NCGC00261470-01	0.222808484	0
NCGC00260990-01	0.221140511	0
NCGC00260696-01	0.219465776	0
NCGC00261545-01	0.219322643	0
NCGC00260795-01	0.21928611	0
NCGC00260822-01	0.218524995	0
NCGC00261704-01	0.216460767	0
NCGC00261802-01	0.215542908	0
NCGC00261133-01	0.213243006	0
NCGC00261764-01	0.211341052	0
NCGC00260798-01	0.207109934	0
NCGC00261933-01	0.206603739	0
NCGC00357183-01	0.205711827	0
NCGC00357132-01	0.20404261	0
NCGC00357242-01	0.20288842	0
NCGC00261565-01	0.202646455	0
NCGC00261915-01	0.202364261	0
NCGC00261052-01	0.19957039	0
NCGC00357167-01	0.198766016	0
NCGC00356976-01	0.197371512	0
NCGC00261577-01	0.197153077	0
NCGC00261170-01	0.196884932	0
NCGC00261013-01	0.195213425	0
NCGC00261332-01	0.194770961	0
NCGC00261028-01	0.194739331	0
NCGC00357121-01	0.191370213	0
NCGC00261130-01	0.189735477	0
NCGC00261824-01	0.189656866	0
NCGC00261926-01	0.185434888	0
NCGC00357151-01	0.184909817	0
NCGC00261451-01	0.184564515	0
NCGC00357207-01	0.184351703	0
NCGC00261663-01	0.183658125	0
NCGC00357201-01	0.183101634	0
NCGC00357289-01	0.182774572	0
NCGC00261506-01	0.182761207	0
NCGC00357065-01	0.182118508	0
NCGC00357117-01	0.180999684	0
NCGC00357189-01	0.179745401	0
NCGC00260940-01	0.177440716	0
NCGC00357208-01	0.177388017	0
NCGC00357099-01	0.177388017	0
NCGC00356938-01	0.177035583	0
NCGC00261008-01	0.175359266	0
NCGC00357014-01	0.174996759	0
NCGC00357098-01	0.174644469	0
NCGC00261817-01	0.174046687	0
NCGC00357059-01	0.173396171	0
NCGC00261602-01	0.172908191	0
NCGC00261607-01	0.171697552	0
NCGC00356984-01	0.17101169	0
NCGC00261813-01	0.170155827	0
NCGC00261272-01	0.169895798	0
NCGC00261903-01	0.16975268	0
NCGC00260833-01	0.169390476	0
NCGC00261776-01	0.168793267	0
NCGC00261049-01	0.167543626	0
NCGC00260707-01	0.167025468	0
NCGC00357030-01	0.165873667	0
NCGC00261079-01	0.165867251	0
NCGC00357231-01	0.165067943	0
NCGC00261568-01	0.164123495	0
NCGC00356988-01	0.163735868	0
NCGC00357134-01	0.163430708	0
NCGC00357013-01	0.162389308	0
NCGC00261835-01	0.162311624	0
NCGC00261313-01	0.161738237	0
NCGC00260834-01	0.160633134	0
NCGC00261693-01	0.16037491	0
NCGC00261833-01	0.160196137	0
NCGC00357236-01	0.160170083	0
NCGC00357281-01	0.160120388	0
NCGC00261611-01	0.157697509	0
NCGC00357075-01	0.157518082	0
NCGC00261147-01	0.156994094	0
NCGC00261578-01	0.153944383	0
NCGC00357226-01	0.152746351	0
NCGC00261691-01	0.150021385	0
NCGC00357172-01	0.148103448	0
NCGC00357056-01	0.147156783	0
NCGC00260866-01	0.146406867	0
NCGC00261025-01	0.145054352	0
NCGC00261627-01	0.143905891	0
NCGC00357026-01	0.143721067	0
NCGC00260911-01	0.143387243	0
NCGC00261166-01	0.141527176	0
NCGC00261861-01	0.141439055	0
NCGC00357251-01	0.141439055	0
NCGC00261146-01	0.140897382	0
NCGC00357140-01	0.140020334	0
NCGC00261877-01	0.138652771	0
NCGC00357116-01	0.138189045	0
NCGC00357089-01	0.136887915	0
NCGC00260972-01	0.136098478	0
NCGC00357221-01	0.135233268	0
NCGC00357095-01	0.135033101	0
NCGC00261683-01	0.134961012	0
NCGC00356948-01	0.133081398	0
NCGC00261828-01	0.132957762	0
NCGC00357038-01	0.132128313	0
NCGC00261426-01	0.130791337	0
NCGC00261123-01	0.130632535	0
NCGC00261941-01	0.130579848	0
NCGC00261058-01	0.130288963	0
NCGC00357139-01	0.130221068	0
NCGC00357051-01	0.130210342	0
NCGC00261474-01	0.128522425	0
NCGC00357094-01	0.128199654	0
NCGC00357266-01	0.127934911	0
NCGC00261446-01	0.126530093	0
NCGC00261672-01	0.125902682	0
NCGC00261169-01	0.123052103	0
NCGC00261101-01	0.122847837	0
NCGC00357223-01	0.122657945	0
NCGC00261155-01	0.121713367	0
NCGC00357153-01	0.120894218	0
NCGC00357180-01	0.12007454	0
NCGC00357261-01	0.119281756	0
NCGC00356969-01	0.118871442	0
NCGC00260869-01	0.118762439	0
NCGC00357078-01	0.117964921	0
NCGC00260850-01	0.117706412	0
NCGC00357225-01	0.117430362	0
NCGC00261935-01	0.116615158	0
NCGC00261860-01	0.115957416	0
NCGC00357045-01	0.114597071	0
NCGC00357031-01	0.114277164	0
NCGC00260803-01	0.113939901	0
NCGC00261638-01	0.113737828	0
NCGC00260790-01	0.11347574	0
NCGC00261939-01	0.113384476	0
NCGC00261866-01	0.112558618	0
NCGC00357058-01	0.112527539	0
NCGC00357147-01	0.111688536	0
NCGC00261304-01	0.109941779	0
NCGC00261005-01	0.109420531	0
NCGC00356942-01	0.108935549	0
NCGC00357255-01	0.108870746	0
NCGC00357203-01	0.108211854	0
NCGC00357206-01	0.107789118	0
NCGC00261399-01	0.107751145	0
NCGC00261141-01	0.107349365	0
NCGC00261423-01	0.107068543	0
NCGC00261286-01	0.106897301	0
NCGC00261190-01	0.1065095	0
NCGC00260731-01	0.106405324	0
NCGC00261643-01	0.105212314	0
NCGC00261177-01	0.105080256	0
NCGC00260979-01	0.103857483	0
NCGC00261579-01	0.103837119	0
NCGC00261686-01	0.103474441	0
NCGC00357176-01	0.103448818	0
NCGC00357105-01	0.103296831	0
NCGC00357126-01	0.103036396	0
NCGC00261019-01	0.102066216	0
NCGC00261384-01	0.100932417	0
NCGC00261752-01	0.100280795	0
NCGC00261906-01	0.099429631	0
NCGC00356982-01	0.099384918	0
NCGC00261238-01	0.099149669	0
NCGC00356979-01	0.098914107	0
NCGC00261744-01	0.097959496	0
NCGC00261782-01	0.097734831	0
NCGC00357156-01	0.097472595	0
NCGC00357081-01	0.097329046	0
NCGC00357234-01	0.096663694	0
NCGC00357010-01	0.096450893	0
NCGC00260817-01	0.09592669	0
NCGC00261071-01	0.095732656	0
NCGC00261958-01	0.093726803	0
NCGC00260823-01	0.093661805	0
NCGC00357162-01	0.093630617	0
NCGC00260852-01	0.093615333	0
NCGC00260742-01	0.093171642	0
NCGC00356950-01	0.092773238	0
NCGC00261948-01	0.092765551	0
NCGC00261340-01	0.092705682	0
NCGC00357113-01	0.092401343	0
NCGC00356939-01	0.092360557	0
NCGC00356944-01	0.092247081	0
NCGC00260698-01	0.092197655	0
NCGC00260706-01	0.091515766	0
NCGC00260691-01	0.091162754	0
NCGC00261619-01	0.090372601	0
NCGC00261542-01	0.090303013	0
NCGC00357037-01	0.089465869	0
NCGC00261026-01	0.089439049	0
NCGC00357066-01	0.089407297	0
NCGC00261679-01	0.087882822	0
NCGC00261787-01	0.085978726	0
NCGC00357032-01	0.085934178	0
NCGC00261321-01	0.084972061	0
NCGC00261842-01	0.0848579	0
NCGC00357001-01	0.084609713	0
NCGC00357104-01	0.084474543	0
NCGC00357128-01	0.08410096	0
NCGC00356966-01	0.084054621	0
NCGC00356991-01	0.084001284	0
NCGC00357096-01	0.083997342	0
NCGC00261060-01	0.08387235	0
NCGC00356947-01	0.083264744	0
NCGC00357079-01	0.082772327	0
NCGC00261349-01	0.082719429	0
NCGC00261641-01	0.082654683	0
NCGC00357083-01	0.082505078	0
NCGC00357009-01	0.081353173	0
NCGC00357073-01	0.081110207	0
NCGC00261297-01	0.080433747	0
NCGC00357194-01	0.080426946	0
NCGC00261336-01	0.079884344	0
NCGC00357212-01	0.079738948	0
NCGC00260890-01	0.07972687	0
NCGC00356968-01	0.079065169	0
NCGC00357287-01	0.078887563	0
NCGC00357115-01	0.078766812	0
NCGC00357053-01	0.07856977	0
NCGC00357144-01 	0.078335068	0
NCGC00261473-01	0.07732285	0
NCGC00357093-01	0.076156737	0
NCGC00357084-01	0.075502471	0
NCGC00261382-01	0.075437497	0
NCGC00261440-01	0.074971265	0
NCGC00357213-01	0.073822529	0
NCGC00260728-01	0.073691647	0
NCGC00357165-01	0.073642362	0
NCGC00261949-01	0.073628289	0
NCGC00261189-01	0.073378227	0
NCGC00357041-01	0.073189818	0
NCGC00261921-01	0.073121243	0
NCGC00261816-01	0.072759772	0
NCGC00356989-01	0.072525076	0
NCGC00356951-01	0.072488583	0
NCGC00261290-01	0.072219609	0
NCGC00357258-01	0.071605432	0
NCGC00261420-01	0.071445447	0
NCGC00357257-01	0.071336035	0
NCGC00357062-01	0.07076031	0
NCGC00260957-01	0.070709256	0
NCGC00357022-01	0.070647694	0
NCGC00261682-01	0.070420871	0
NCGC00261246-01	0.069781416	0
NCGC00260830-01	0.069350738	0
