Sample ID	Score	Activity
NCGC00261348-01	0.2976	0
NCGC00260693-01	0.2868	0
NCGC00261503-01	0.3009	0
NCGC00261119-01	0.4486	0
NCGC00260716-01	0.0706	0
NCGC00260703-01	0.1817	0
NCGC00260823-01	0.1118	0
NCGC00260731-01	0.579	1
NCGC00261579-01	0.4839	0
NCGC00260782-01	0.2492	0
NCGC00261057-01	0.3695	0
NCGC00261683-01	0.4276	0
NCGC00261738-01	0.4401	0
NCGC00261313-01	0.2848	0
NCGC00260826-01	0.1704	0
NCGC00261633-01	0.2313	0
NCGC00260757-01	0.1159	0
NCGC00261052-01	0.5134	1
NCGC00261005-01	0.3674	0
NCGC00261190-01	0.4665	0
NCGC00260802-01	0.2101	0
NCGC00261842-01	0.3334	0
NCGC00261544-01	0.382	0
NCGC00261541-01	0.2766	0
NCGC00261812-01	0.3027	0
NCGC00261662-01	0.6325	1
NCGC00261649-01	0.3252	0
NCGC00260831-01	0.5237	1
NCGC00261380-01	0.435	0
NCGC00260869-01	0.218	0
NCGC00261060-01	0.2682	0
NCGC00260846-01	0.4419	0
NCGC00261162-01	0.239	0
NCGC00261395-01	0.546	1
NCGC00261030-01	0.5349	1
NCGC00261856-01	0.5633	1
NCGC00261935-01	0.4667	0
NCGC00261926-01	0.3976	0
NCGC00261423-01	0.539	1
NCGC00261183-01	0.3864	0
NCGC00261924-01	0.4826	0
NCGC00261069-01	0.5409	1
NCGC00260921-01	0.4805	0
NCGC00261110-01	0.3946	0
NCGC00261101-01	0.4747	0
NCGC00260889-01	0.3564	0
NCGC00261619-01	0.219	0
NCGC00261165-01	0.2541	0
NCGC00260698-01	0.4447	0
NCGC00261776-01	0.3508	0
NCGC00261861-01	0.3176	0
NCGC00261026-01	0.3053	0
NCGC00261079-01	0.3887	0
NCGC00260990-01	0.5607	1
NCGC00261340-01	0.2989	0
NCGC00260811-01	0.2605	0
NCGC00261130-01	0.5305	1
NCGC00260980-01	0.3503	0
NCGC00261730-01	0.1576	0
NCGC00261716-01	0.3086	0
NCGC00260706-01	0.5537	1
NCGC00261816-01	0.4232	0
NCGC00261404-01	0.2774	0
NCGC00261565-01	0.5216	1
NCGC00261424-01	0.8374	1
NCGC00261507-01	0.27	0
NCGC00261744-01	0.3035	0
NCGC00261367-01	0.2556	0
NCGC00261058-01	0.5584	1
NCGC00260789-01	0.4578	0
NCGC00261717-01	0.217	0
NCGC00261420-01	0.4483	0
NCGC00261123-01	0.446	0
NCGC00260742-01	0.2313	0
NCGC00261529-01	0.3646	0
NCGC00261597-01	0.339	0
NCGC00261389-01	0.1952	0
NCGC00261169-01	0.3951	0
NCGC00261270-01	0.5439	1
NCGC00261826-01	0.2978	0
NCGC00261641-01	0.4992	0
NCGC00260866-01	0.5031	1
NCGC00261624-01	0.4086	0
NCGC00261947-01	0.1195	0
NCGC00261025-01	0.4217	0
NCGC00261853-01	0.5023	1
NCGC00261364-01	0.2346	0
NCGC00261820-01	0.315	0
NCGC00260852-01	0.4731	0
NCGC00260911-01	0.4051	0
NCGC00261817-01	0.4312	0
NCGC00261085-01	0.4491	0
NCGC00261189-01	0.2751	0
NCGC00261704-01	0.3669	0
NCGC00261808-01	0.4731	0
NCGC00261290-01	0.2723	0
NCGC00261342-01	0.424	0
NCGC00261215-01	0.2894	0
NCGC00261866-01	0.3723	0
NCGC00260972-01	0.425	0
NCGC00261304-01	0.2106	0
NCGC00261392-01	0.3301	0
NCGC00261638-01	0.49	0
NCGC00261170-01	0.2377	0
NCGC00261384-01	0.2495	0
NCGC00260696-01	0.5305	1
NCGC00261113-01	0.2014	0
NCGC00261133-01	0.3142	0
NCGC00260940-01	0.5199	1
NCGC00261327-01	0.1244	0
NCGC00261568-01	0.2528	0
NCGC00261178-01	0.2702	0
NCGC00261076-01	0.2047	0
NCGC00261399-01	0.27	0
NCGC00261611-01	0.1945	0
NCGC00261602-01	0.3222	0
NCGC00260798-01	0.2346	0
NCGC00261506-01	0.3114	0
NCGC00261071-01	0.3332	0
NCGC00261160-01	0.3411	0
NCGC00261679-01	0.537	1
NCGC00261941-01	0.5399	1
NCGC00260790-01	0.3582	0
NCGC00260830-01	0.1405	0
NCGC00261903-01	0.2789	0
NCGC00261081-01	0.1937	0
NCGC00261577-01	0.5527	1
NCGC00260850-01	0.2485	0
NCGC00261607-01	0.5636	1
NCGC00260708-01	0.2538	0
NCGC00260785-01	0.1607	0
NCGC00261192-01	0.2039	0
NCGC00261390-01	0.1958	0
NCGC00261782-01	0.3298	0
NCGC00260948-01	0.1065	0
NCGC00260881-01	0.3672	0
NCGC00261009-01	0.3856	0
NCGC00261166-01	0.392	0
NCGC00261352-01	0.3943	0
NCGC00261272-01	0.5521	1
NCGC00261053-01	0.2531	0
NCGC00261915-01	0.4859	0
NCGC00260795-01	0.2295	0
NCGC00261129-01	0.2349	0
NCGC00260858-01	0.4849	0
NCGC00261108-01	0.1382	0
NCGC00260910-01	0.4094	0
NCGC00261510-01	0.1599	0
NCGC00261840-01	0.2513	0
NCGC00260979-01	0.1251	0
NCGC00261238-01	0.4711	0
NCGC00261877-01	0.3096	0
NCGC00261802-01	0.2009	0
NCGC00260957-01	0.2034	0
NCGC00260815-01	0.1993	0
NCGC00261343-01	0.1917	0
NCGC00261153-01	0.5092	1
NCGC00261813-01	0.1297	0
NCGC00260875-01	0.5073	1
NCGC00261441-01	0.2776	0
NCGC00260993-01	0.1599	0
NCGC00261406-01	0.2674	0
NCGC00261914-01	0.151	0
NCGC00261944-01	0.3071	0
NCGC00261764-01	0.3239	0
NCGC00261332-01	0.4227	0
NCGC00261474-01	0.2794	0
NCGC00261260-01	0.5416	1
NCGC00261381-01	0.1781	0
NCGC00261321-01	0.2277	0
NCGC00261787-01	0.4818	0
NCGC00260892-01	0.4015	0
NCGC00261451-01	0.638	1
NCGC00261297-01	0.2398	0
NCGC00261049-01	0.1648	0
NCGC00261958-01	0.2408	0
NCGC00261682-01	0.1894	0
NCGC00261663-01	0.3674	0
NCGC00261333-01	0.1917	0
NCGC00261426-01	0.4915	0
NCGC00260840-01	0.412	0
NCGC00261804-01	0.5113	1
NCGC00261065-01	0.5776	1
NCGC00261542-01	0.5012	1
NCGC00261446-01	0.2702	0
NCGC00260692-01	0.0763	0
NCGC00261155-01	0.1589	0
NCGC00260947-01	0.1981	0
NCGC00260775-01	0.1842	0
NCGC00261598-01	0.1827	0
NCGC00260876-01	0.056	0
NCGC00261475-01	0.1745	0
NCGC00261177-01	0.1635	0
NCGC00261037-01	0.3552	0
NCGC00260834-01	0.3303	0
NCGC00260833-01	0.1441	0
NCGC00261639-01	0.2902	0
NCGC00260871-01	0.4982	0
NCGC00261554-01	0.5015	1
NCGC00261126-01	0.6381	1
NCGC00261713-01	0.5983	1
NCGC00260743-01	0.2636	0
NCGC00261732-01	0.1021	0
NCGC00261019-01	0.1924	0
NCGC00261201-01	0.5425	1
NCGC00261838-01	0.2723	0
NCGC00260982-01	0.1507	0
NCGC00261948-01	0.2876	0
NCGC00260867-01	0.1223	0
NCGC00260751-01	0.0857	0
