Sample ID	Score	Activity
NCGC00261776-01	-0.1745	0
NCGC00261380-01	-0.8029	0
NCGC00261842-01	-0.3655	0
NCGC00261662-01	0.5369	1
NCGC00261190-01	-0.5383	0
NCGC00260731-01	0.4871	1
NCGC00261926-01	-0.3617	0
NCGC00261579-01	-0.2853	0
NCGC00260921-01	-0.0766	0
NCGC00261119-01	-0.8677	0
NCGC00261812-01	-0.0071	0
NCGC00260831-01	-0.0148	0
NCGC00261544-01	0.1012	1
NCGC00261619-01	-0.7068	0
NCGC00261395-01	0.5293	1
NCGC00261717-01	0.1423	1
NCGC00261947-01	0.0674	1
NCGC00261424-01	0.8973	1
NCGC00261861-01	0.2567	1
NCGC00261924-01	0.3021	1
NCGC00261026-01	-0.1746	0
NCGC00261057-01	-0.3752	0
NCGC00261738-01	-0.5663	0
NCGC00261348-01	-0.8844	0
NCGC00261503-01	-0.9464	0
NCGC00260693-01	-0.9338	0
NCGC00260703-01	-0.941	0
NCGC00260716-01	-0.4608	0
NCGC00260782-01	0.003	1
NCGC00260802-01	0.2548	1
NCGC00260823-01	-0.0684	0
NCGC00260757-01	0.2872	1
NCGC00260826-01	-0.5141	0
NCGC00260889-01	-0.5017	0
NCGC00260811-01	-0.4824	0
NCGC00261165-01	-0.8649	0
NCGC00261060-01	-0.7514	0
NCGC00261541-01	-0.4862	0
NCGC00261649-01	-0.4495	0
NCGC00261110-01	-0.0069	0
NCGC00261130-01	0.273	1
NCGC00260846-01	-0.5827	0
NCGC00261030-01	-0.2136	0
NCGC00261162-01	0.2589	1
NCGC00261058-01	0.4234	1
NCGC00261404-01	0.0216	1
NCGC00261423-01	-0.8669	0
NCGC00261856-01	-0.1352	0
NCGC00261342-01	0.441	1
NCGC00261069-01	-0.2089	0
NCGC00261101-01	0.0635	1
NCGC00261716-01	-0.3707	0
NCGC00260742-01	-0.7555	0
NCGC00261529-01	0.51	1
NCGC00261170-01	-0.6197	0
NCGC00261565-01	-0.7568	0
NCGC00260990-01	0.1886	1
NCGC00261340-01	0.1332	1
NCGC00261079-01	-0.4957	0
NCGC00261389-01	-0.3917	0
NCGC00261744-01	-0.5424	0
NCGC00261420-01	-0.604	0
NCGC00261215-01	-0.2656	0
NCGC00261826-01	-0.3605	0
NCGC00261123-01	0.1255	1
NCGC00261367-01	-0.4654	0
NCGC00261507-01	-0.5068	0
NCGC00261169-01	-0.2797	0
NCGC00261730-01	-0.6525	0
NCGC00261624-01	-0.6693	0
NCGC00261641-01	-0.3777	0
NCGC00261853-01	0.3379	1
NCGC00260911-01	-0.6976	0
NCGC00261384-01	-0.5095	0
NCGC00260785-01	0.0033	1
NCGC00261025-01	-0.3394	0
NCGC00260789-01	-0.7605	0
NCGC00260866-01	-0.2012	0
NCGC00261189-01	-0.4245	0
NCGC00261270-01	0.4374	1
NCGC00261611-01	-0.3926	0
NCGC00261817-01	-0.2477	0
NCGC00261866-01	-0.152	0
NCGC00260852-01	-0.2699	0
NCGC00261290-01	-0.3202	0
NCGC00261304-01	-0.6731	0
NCGC00261704-01	-0.647	0
NCGC00260850-01	-0.3528	0
NCGC00260972-01	0.0011	1
NCGC00261392-01	-0.5754	0
NCGC00261638-01	0.0233	1
NCGC00261820-01	-0.7858	0
NCGC00261808-01	-0.279	0
NCGC00260790-01	-0.8079	0
NCGC00260940-01	-0.2501	0
NCGC00261081-01	-0.6043	0
NCGC00261506-01	0.077	1
NCGC00261133-01	-0.3332	0
NCGC00261399-01	-0.6808	0
NCGC00260696-01	0.3206	1
NCGC00261903-01	0.0877	1
NCGC00261178-01	-0.8648	0
NCGC00261568-01	-0.3136	0
NCGC00260830-01	-0.5114	0
NCGC00261113-01	-0.817	0
NCGC00261327-01	-0.7414	0
NCGC00261602-01	-0.283	0
NCGC00260858-01	0.1817	1
NCGC00261071-01	0.3368	1
NCGC00261076-01	-0.4882	0
NCGC00261192-01	-0.4176	0
NCGC00261577-01	-0.37	0
NCGC00261510-01	-0.617	0
NCGC00261679-01	-0.2765	0
NCGC00261941-01	-0.5752	0
NCGC00261343-01	-0.5811	0
NCGC00261607-01	-0.1929	0
NCGC00261782-01	0.0831	1
NCGC00261475-01	0.0907	1
NCGC00261764-01	0.1807	1
NCGC00261802-01	-0.3691	0
NCGC00261813-01	-0.4706	0
NCGC00260795-01	0.046	1
NCGC00261352-01	0.034	1
NCGC00261009-01	-0.0609	0
NCGC00261944-01	-0.273	0
NCGC00261166-01	-0.1466	0
NCGC00261332-01	-0.4705	0
NCGC00261333-01	-0.7595	0
NCGC00261260-01	0.501	1
NCGC00261915-01	-0.0504	0
