Sample ID	Score	Activity
NCGC00261900	0.389	0
NCGC00260869	0.2786	0
NCGC00261776	0.4702	0
NCGC00261380	0.4452	0
NCGC00261842	0.429	0
NCGC00261662	0.8808	1
NCGC00261190	0.4538	0
NCGC00260731	0.5804	0
NCGC00261926	0.2992	0
NCGC00261579	0.3916	0
NCGC00260921	0.5188	0
NCGC00261119	0.2584	0
NCGC00260957	0.4456	0
NCGC00261812	0.5902	0
NCGC00260831	0.5736	0
NCGC00261544	0.3006	0
NCGC00261619	0.4432	0
NCGC00261633	0.3404	0
NCGC00261395	0.501	0
NCGC00261717	0.6422	1
NCGC00261947	0.6046	1
NCGC00261424	0.991	1
NCGC00261861	0.5876	0
NCGC00261924	0.5178	0
NCGC00261052	0.404	0
NCGC00261683	0.536	0
NCGC00261026	0.4914	0
NCGC00261057	0.3194	0
NCGC00261738	0.3032	0
NCGC00261348	0.2996	0
NCGC00261503	0.3118	0
NCGC00260693	0.3424	0
NCGC00260703	0.2928	0
NCGC00260716	0.1756	0
NCGC00260782	0.3232	0
NCGC00260802	0.2174	0
NCGC00260823	0.2482	0
NCGC00261313	0.1638	0
NCGC00260757	0.2848	0
NCGC00260826	0.2408	0
NCGC00261005	0.3052	0
NCGC00260980	0.4432	0
NCGC00261816	0.3332	0
NCGC00260698	0.3898	0
NCGC00260889	0.5434	0
NCGC00260811	0.3854	0
NCGC00261165	0.2354	0
NCGC00261060	0.1806	0
NCGC00261541	0.186	0
NCGC00261649	0.4044	0
NCGC00261110	0.643	1
NCGC00261130	0.6924	1
NCGC00260846	0.3102	0
NCGC00261030	0.3896	0
NCGC00261162	0.2282	0
NCGC00261058	0.2932	0
NCGC00261404	0.4372	0
NCGC00261423	0.8366	1
NCGC00261856	0.8122	1
NCGC00261342	0.5566	0
NCGC00261935	0.4048	0
NCGC00261069	0.3452	0
NCGC00261101	0.4022	0
NCGC00261183	0.297	0
NCGC00261716	0.2478	0
NCGC00260742	0.414	0
NCGC00261529	0.3688	0
NCGC00261170	0.4812	0
NCGC00261565	0.3596	0
NCGC00260990	0.801	1
NCGC00261340	0.3054	0
NCGC00261079	0.6686	1
NCGC00261389	0.4814	0
NCGC00261744	0.2666	0
NCGC00261420	0.5488	0
NCGC00261215	0.415	0
NCGC00261826	0.3306	0
NCGC00260706	0.5468	0
NCGC00261123	0.3624	0
NCGC00261367	0.4072	0
NCGC00261507	0.3892	0
NCGC00261169	0.315	0
NCGC00261730	0.1746	0
NCGC00261624	0.6898	1
NCGC00261641	0.3308	0
NCGC00261853	0.4516	0
NCGC00260911	0.6064	1
NCGC00260798	0.3468	0
NCGC00261384	0.378	0
NCGC00260785	0.5458	0
NCGC00261597	0.401	0
NCGC00261025	0.5246	0
NCGC00260789	0.367	0
NCGC00260866	0.7478	1
NCGC00261189	0.5274	0
NCGC00261270	0.5256	0
NCGC00261611	0.4336	0
NCGC00261160	0.4692	0
NCGC00261085	0.448	0
NCGC00261817	0.2882	0
NCGC00261866	0.6416	1
NCGC00260852	0.6798	1
NCGC00261290	0.6096	1
NCGC00261304	0.4934	0
NCGC00261704	0.5986	0
NCGC00260850	0.4776	0
NCGC00260972	0.2462	0
NCGC00261364	0.3814	0
NCGC00261392	0.544	0
NCGC00261638	0.3404	0
NCGC00261820	0.1584	0
NCGC00261808	0.2142	0
NCGC00260790	0.6978	1
NCGC00260940	0.6524	1
NCGC00261081	0.4194	0
NCGC00261506	0.372	0
NCGC00261133	0.3928	0
NCGC00261399	0.4428	0
NCGC00260696	0.8726	1
NCGC00261903	0.3818	0
NCGC00261178	0.2918	0
NCGC00261568	0.576	0
NCGC00260830	0.4046	0
NCGC00261113	0.1134	0
NCGC00261327	0.1086	0
NCGC00261602	0.3032	0
NCGC00260858	0.5276	0
NCGC00261071	0.3692	0
NCGC00261076	0.1916	0
NCGC00261192	0.4674	0
NCGC00261577	0.5392	0
NCGC00261510	0.486	0
NCGC00261679	0.8006	1
NCGC00261941	0.6982	1
NCGC00261343	0.4114	0
NCGC00261607	0.3702	0
NCGC00261782	0.4168	0
NCGC00261914	0.4718	0
NCGC00261475	0.3766	0
NCGC00261764	0.477	0
NCGC00261802	0.4408	0
NCGC00261813	0.3526	0
NCGC00260795	0.4334	0
NCGC00261352	0.5448	0
NCGC00261009	0.6196	1
NCGC00261944	0.4998	0
NCGC00261166	0.4734	0
NCGC00261332	0.5878	0
NCGC00261333	0.399	0
NCGC00261260	0.5876	0
NCGC00261915	0.6084	1
NCGC00261238	0.303	0
NCGC00261682	0.5138	0
NCGC00261049	0.4308	0
NCGC00260910	0.3898	0
NCGC00261272	0.5676	0
NCGC00260708	0.3422	0
NCGC00261390	0.2044	0
