Sample ID	Score	Activity
NCGC00260691	0.29534	0
NCGC00260692	0.07925	0
NCGC00260693	0.15644	0
NCGC00260696	0.60832	1
NCGC00260698	0.31341	0
NCGC00260703	0.12204	0
NCGC00260706	0.33824	0
NCGC00260707	0.27387	0
NCGC00260708	0.12196	0
NCGC00260713	0.25921	0
NCGC00260716	0.18640	0
NCGC00260728	0.17170	0
NCGC00260731	0.46236	0
NCGC00260742	0.32295	0
NCGC00260743	0.10247	0
NCGC00260751	0.13348	0
NCGC00260757	0.12702	0
NCGC00260770	0.14946	0
NCGC00260775	0.12245	0
NCGC00260782	0.20619	0
NCGC00260785	0.35543	0
NCGC00260789	0.42224	0
NCGC00260790	0.48267	0
NCGC00260795	0.37501	0
NCGC00260798	0.39644	0
NCGC00260802	0.21597	0
NCGC00260803	0.37220	0
NCGC00260811	0.27536	0
NCGC00260815	0.29767	0
NCGC00260817	0.16083	0
NCGC00260821	0.23118	0
NCGC00260822	0.68323	1
NCGC00260823	0.16400	0
NCGC00260826	0.10908	0
NCGC00260830	0.16473	0
NCGC00260831	0.50709	1
NCGC00260833	0.32882	0
NCGC00260834	0.32672	0
NCGC00260840	0.32569	0
NCGC00260846	0.17480	0
NCGC00260850	0.26729	0
NCGC00260852	0.35151	0
NCGC00260858	0.62628	1
NCGC00260866	0.36563	0
NCGC00260867	0.10883	0
NCGC00260869	0.24235	0
NCGC00260871	0.29957	0
NCGC00260875	0.33053	0
NCGC00260876	0.09277	0
NCGC00260881	0.12326	0
NCGC00260889	0.25990	0
NCGC00260890	0.19732	0
NCGC00260892	0.44076	0
NCGC00260910	0.34676	0
NCGC00260911	0.33971	0
NCGC00260921	0.46739	0
NCGC00260940	0.51766	1
NCGC00260947	0.41304	0
NCGC00260948	0.22234	0
NCGC00260957	0.44850	0
NCGC00260962	0.43699	0
NCGC00260972	0.39343	0
NCGC00260979	0.21015	0
NCGC00260980	0.36290	0
NCGC00260982	0.13102	0
NCGC00260990	0.62035	1
NCGC00260993	0.23091	0
NCGC00261003	0.35350	0
NCGC00261005	0.12717	0
NCGC00261007	0.17031	0
NCGC00261008	0.29822	0
NCGC00261009	0.53447	1
NCGC00261013	0.22498	0
NCGC00261018	0.29810	0
NCGC00261019	0.09751	0
NCGC00261025	0.31254	0
NCGC00261026	0.33339	0
NCGC00261028	0.26038	0
NCGC00261030	0.30895	0
NCGC00261037	0.31065	0
NCGC00261049	0.36169	0
NCGC00261052	0.43820	0
NCGC00261053	0.14104	0
NCGC00261057	0.28190	0
NCGC00261058	0.47022	0
NCGC00261060	0.19057	0
NCGC00261065	0.50065	1
NCGC00261071	0.31303	0
NCGC00261075	0.20578	0
NCGC00261076	0.21508	0
NCGC00261079	0.37803	0
NCGC00261080	0.39988	0
NCGC00261081	0.35669	0
NCGC00261085	0.26710	0
NCGC00261101	0.41438	0
NCGC00261108	0.13625	0
NCGC00261110	0.34782	0
NCGC00261113	0.28981	0
NCGC00261119	0.21577	0
NCGC00261123	0.28418	0
NCGC00261129	0.20663	0
NCGC00261130	0.48989	0
NCGC00261133	0.40331	0
NCGC00261141	0.44622	0
NCGC00261142	0.34695	0
NCGC00261146	0.22006	0
NCGC00261147	0.31424	0
NCGC00261150	0.30808	0
NCGC00261153	0.33912	0
NCGC00261155	0.23028	0
NCGC00261160	0.42802	0
NCGC00261161	0.10563	0
NCGC00261162	0.27521	0
NCGC00261163	0.51533	1
NCGC00261165	0.29826	0
NCGC00261166	0.44818	0
NCGC00261169	0.37183	0
NCGC00261170	0.44820	0
NCGC00261176	0.07776	0
NCGC00261177	0.17690	0
NCGC00261178	0.44605	0
NCGC00261183	0.36086	0
NCGC00261189	0.31850	0
NCGC00261190	0.36061	0
NCGC00261192	0.23086	0
NCGC00261201	0.27337	0
NCGC00261215	0.29374	0
NCGC00261238	0.39535	0
NCGC00261246	0.22171	0
NCGC00261248	0.19066	0
NCGC00261254	0.34013	0
NCGC00261260	0.58583	1
NCGC00261261	0.30260	0
NCGC00261270	0.35218	0
NCGC00261272	0.45717	0
NCGC00261286	0.22890	0
NCGC00261290	0.28615	0
NCGC00261293	0.28893	0
NCGC00261294	0.06253	0
NCGC00261297	0.31692	0
NCGC00261304	0.37431	0
NCGC00261313	0.10011	0
NCGC00261321	0.30813	0
NCGC00261327	0.23177	0
NCGC00261330	0.12723	0
NCGC00261332	0.55353	1
NCGC00261333	0.28633	0
NCGC00261336	0.16579	0
NCGC00261340	0.27455	0
NCGC00261342	0.55176	1
NCGC00261343	0.25555	0
NCGC00261348	0.17065	0
NCGC00261349	0.20160	0
NCGC00261352	0.64489	1
NCGC00261364	0.33322	0
NCGC00261367	0.20526	0
NCGC00261380	0.42475	0
NCGC00261381	0.31492	0
NCGC00261382	0.27909	0
NCGC00261384	0.32497	0
NCGC00261389	0.34660	0
NCGC00261390	0.11959	0
NCGC00261392	0.34480	0
NCGC00261395	0.60426	1
NCGC00261398	0.50462	1
NCGC00261399	0.44720	0
NCGC00261404	0.23663	0
NCGC00261406	0.24799	0
NCGC00261420	0.35189	0
NCGC00261423	0.30454	0
NCGC00261424	0.65704	1
NCGC00261426	0.61150	1
NCGC00261440	0.06928	0
NCGC00261441	0.27299	0
NCGC00261446	0.53073	1
NCGC00261470	0.37852	0
NCGC00261473	0.37585	0
NCGC00261474	0.40226	0
NCGC00261475	0.31744	0
NCGC00261480	0.39151	0
NCGC00261487	0.33395	0
NCGC00261503	0.19950	0
NCGC00261506	0.44723	0
NCGC00261507	0.25669	0
NCGC00261510	0.28352	0
NCGC00261519	0.12112	0
NCGC00261529	0.36676	0
NCGC00261541	0.22763	0
NCGC00261542	0.56577	1
NCGC00261544	0.34455	0
NCGC00261545	0.32495	0
NCGC00261554	0.47571	0
NCGC00261563	0.41931	0
NCGC00261565	0.42710	0
NCGC00261568	0.44103	0
NCGC00261577	0.44456	0
NCGC00261578	0.18039	0
NCGC00261579	0.42670	0
NCGC00261582	0.73918	1
NCGC00261583	0.43542	0
NCGC00261593	0.36502	0
NCGC00261597	0.38895	0
NCGC00261598	0.14053	0
NCGC00261601	0.38399	0
NCGC00261602	0.32779	0
NCGC00261607	0.32165	0
NCGC00261611	0.24572	0
NCGC00261619	0.34065	0
NCGC00261620	0.23801	0
NCGC00261624	0.35089	0
NCGC00261627	0.27538	0
NCGC00261633	0.22357	0
NCGC00261638	0.31365	0
NCGC00261639	0.14772	0
NCGC00261641	0.21181	0
NCGC00261643	0.35084	0
NCGC00261649	0.15683	0
NCGC00261653	0.67051	1
NCGC00261657	0.06782	0
NCGC00261662	0.65941	1
NCGC00261663	0.38538	0
NCGC00261672	0.25719	0
NCGC00261679	0.57653	1
NCGC00261682	0.29382	0
NCGC00261683	0.49171	0
NCGC00261686	0.18117	0
NCGC00261691	0.27665	0
NCGC00261693	0.37203	0
NCGC00261704	0.37047	0
NCGC00261713	0.80798	1
NCGC00261716	0.25131	0
NCGC00261717	0.47218	0
NCGC00261718	0.09510	0
NCGC00261730	0.38687	0
NCGC00261732	0.09244	0
NCGC00261737	0.50815	1
NCGC00261738	0.22064	0
NCGC00261739	0.45526	0
NCGC00261744	0.29719	0
NCGC00261752	0.55056	1
NCGC00261764	0.52764	1
NCGC00261767	0.29869	0
NCGC00261776	0.50619	1
NCGC00261782	0.44823	0
NCGC00261787	0.41442	0
NCGC00261802	0.46511	0
NCGC00261804	0.49809	0
NCGC00261808	0.28668	0
NCGC00261812	0.53171	1
NCGC00261813	0.29381	0
NCGC00261816	0.25790	0
NCGC00261817	0.31845	0
NCGC00261820	0.20533	0
NCGC00261824	0.25033	0
NCGC00261825	0.46479	0
NCGC00261826	0.28848	0
NCGC00261828	0.51426	1
NCGC00261833	0.41281	0
NCGC00261835	0.33362	0
NCGC00261838	0.39290	0
NCGC00261840	0.22767	0
NCGC00261842	0.30845	0
NCGC00261853	0.58218	1
NCGC00261856	0.50288	1
NCGC00261860	0.47494	0
NCGC00261861	0.52958	1
NCGC00261866	0.33210	0
NCGC00261869	0.26075	0
NCGC00261873	0.38280	0
NCGC00261877	0.19014	0
NCGC00261882	0.64531	1
NCGC00261900	0.46863	0
NCGC00261903	0.58286	1
NCGC00261906	0.33078	0
NCGC00261910	0.59238	1
NCGC00261913	0.19819	0
NCGC00261914	0.27850	0
NCGC00261915	0.56763	1
NCGC00261916	0.44154	0
NCGC00261921	0.38691	0
NCGC00261924	0.47859	0
NCGC00261926	0.32903	0
NCGC00261933	0.44087	0
NCGC00261935	0.17256	0
NCGC00261939	0.49132	0
NCGC00261941	0.46554	0
NCGC00261944	0.43100	0
NCGC00261947	0.42336	0
NCGC00261948	0.36705	0
NCGC00261949	0.18930	0
NCGC00261958	0.29016	0
NCGC00356938	0.20373	0
NCGC00356939	0.30697	0
NCGC00356940	0.47625	0
NCGC00356941	0.15001	0
NCGC00356942	0.14005	0
NCGC00356943	0.25865	0
NCGC00356944	0.35421	0
NCGC00356945	0.18556	0
NCGC00356946	0.39981	0
NCGC00356947	0.27683	0
NCGC00356948	0.40487	0
NCGC00356949	0.42096	0
NCGC00356950	0.42434	0
NCGC00356951	0.07523	0
NCGC00356952	0.09999	0
NCGC00356953	0.40746	0
NCGC00356954	0.10922	0
NCGC00356955	0.35413	0
NCGC00356956	0.52247	1
NCGC00356957	0.32301	0
NCGC00356958	0.19677	0
NCGC00356959	0.25622	0
NCGC00356960	0.06092	0
NCGC00356961	0.57515	1
NCGC00356962	0.25802	0
NCGC00356963	0.04808	0
NCGC00356964	0.04935	0
NCGC00356965	0.72689	1
NCGC00356966	0.04111	0
NCGC00356967	0.40003	0
NCGC00356968	0.16217	0
NCGC00356969	0.03376	0
NCGC00356970	0.19213	0
NCGC00356971	0.13367	0
NCGC00356972	0.24443	0
NCGC00356973	0.08731	0
NCGC00356974	0.18235	0
NCGC00356975	0.09942	0
NCGC00356976	0.37994	0
NCGC00356977	0.19072	0
NCGC00356978	0.45078	0
NCGC00356979	0.03875	0
NCGC00356980	0.13695	0
NCGC00356981	0.24545	0
NCGC00356982	0.27746	0
NCGC00356983	0.22586	0
NCGC00356985	0.26782	0
NCGC00356986	0.35223	0
NCGC00356987	0.06100	0
NCGC00356988	0.38781	0
NCGC00356989	0.34198	0
NCGC00356990	0.32515	0
NCGC00356991	0.63889	1
NCGC00356992	0.33614	0
NCGC00356993	0.30555	0
NCGC00356994	0.81473	1
NCGC00356995	0.12033	0
NCGC00356996	0.19467	0
NCGC00356997	0.22558	0
NCGC00356998	0.23643	0
NCGC00356999	0.31045	0
NCGC00357000	0.18563	0
NCGC00357001	0.36858	0
NCGC00357002	0.26470	0
NCGC00357003	0.17714	0
NCGC00357004	0.23648	0
NCGC00357005	0.30933	0
NCGC00357006	0.22218	0
NCGC00357008	0.09905	0
NCGC00357009	0.06682	0
NCGC00357010	0.42395	0
NCGC00357011	0.74053	1
NCGC00357012	0.49639	0
NCGC00357013	0.36581	0
NCGC00357014	0.39761	0
NCGC00357015	0.13534	0
NCGC00357016	0.29068	0
NCGC00357017	0.79066	1
NCGC00357018	0.93198	1
NCGC00357019	0.70260	1
NCGC00357020	0.07501	0
NCGC00357021	0.84655	1
NCGC00357022	0.16576	0
NCGC00357023	0.14643	0
NCGC00357025	0.17954	0
NCGC00357026	0.42327	0
NCGC00357027	0.06148	0
NCGC00357028	0.17834	0
NCGC00357029	0.35565	0
NCGC00357030	0.15625	0
NCGC00357031	0.11525	0
NCGC00357032	0.10159	0
NCGC00357033	0.06053	0
NCGC00357034	0.21013	0
NCGC00357035	0.15237	0
NCGC00357036	0.14058	0
NCGC00357037	0.21921	0
NCGC00357038	0.23073	0
NCGC00357039	0.08484	0
NCGC00357040	0.12777	0
NCGC00357041	0.04895	0
NCGC00357042	0.06804	0
NCGC00357043	0.15574	0
NCGC00357044	0.02566	0
NCGC00357045	0.10674	0
NCGC00357046	0.25965	0
NCGC00357048	0.05177	0
NCGC00357049	0.32488	0
NCGC00357050	0.03307	0
NCGC00357051	0.50883	1
NCGC00357052	0.24820	0
NCGC00357053	0.15884	0
NCGC00357054	0.15323	0
NCGC00357055	0.72403	1
NCGC00357056	0.51335	1
NCGC00357057	0.60084	1
NCGC00357058	0.11806	0
NCGC00357059	0.12867	0
NCGC00357060	0.04464	0
NCGC00357061	0.07070	0
NCGC00357063	0.25235	0
NCGC00357064	0.01767	0
NCGC00357065	0.18785	0
NCGC00357066	0.20341	0
NCGC00357067	0.06518	0
NCGC00357068	0.02179	0
NCGC00357069	0.04694	0
NCGC00357070	0.05482	0
NCGC00357071	0.06753	0
NCGC00357072	0.53171	1
NCGC00357073	0.27651	0
NCGC00357074	0.07671	0
NCGC00357075	0.20811	0
NCGC00357076	0.04681	0
NCGC00357077	0.35460	0
NCGC00357078	0.13094	0
NCGC00357079	0.07095	0
NCGC00357080	0.30066	0
NCGC00357081	0.38896	0
NCGC00357082	0.13818	0
NCGC00357083	0.33792	0
NCGC00357084	0.15756	0
NCGC00357085	0.63122	1
NCGC00357086	0.09079	0
NCGC00357087	0.26658	0
NCGC00357088	0.06570	0
