Sample ID	Score	Activity
NCGC00261900-01	0.34819	0
NCGC00260869-01	0.16925	0
NCGC00261776-01	0.16339	0
NCGC00261380-01	0.11932	0
NCGC00261842-01	0.18039	0
NCGC00261662-01	0.17932	0
NCGC00261190-01	0.1988	0
NCGC00260731-01	0.11294	0
NCGC00261926-01	0.27947	0
NCGC00261579-01	0.12573	0
NCGC00260921-01	0.16755	0
NCGC00261119-01	0.06563	0
NCGC00260957-01	0.19019	0
NCGC00261812-01	0.15752	0
NCGC00260831-01	0.16573	0
NCGC00261544-01	0.12232	0
NCGC00261619-01	0.25358	0
NCGC00261633-01	0.09162	0
NCGC00261395-01	0.20951	0
NCGC00261717-01	0.16194	0
NCGC00261947-01	0.21662	0
NCGC00261424-01	0.7495	1
NCGC00261861-01	0.13572	0
NCGC00261924-01	0.08695	0
NCGC00261052-01	0.18577	0
NCGC00261683-01	0.32599	0
NCGC00261026-01	0.21106	0
NCGC00261057-01	0.15126	0
NCGC00261738-01	0.11049	0
NCGC00261348-01	0.07183	0
NCGC00261503-01	0.08612	0
NCGC00260693-01	0.08961	0
NCGC00260703-01	0.06918	0
NCGC00260716-01	0.02863	0
NCGC00260782-01	0.0577	0
NCGC00260802-01	0.02943	0
NCGC00260823-01	0.05402	0
NCGC00261313-01	0.04435	0
NCGC00260757-01	0.01728	0
NCGC00260826-01	0.01833	0
NCGC00261005-01	0.07524	0
NCGC00260980-01	0.11293	0
NCGC00261816-01	0.12043	0
NCGC00260698-01	0.16423	0
NCGC00260889-01	0.09628	0
NCGC00260811-01	0.09915	0
NCGC00261165-01	0.16621	0
NCGC00261060-01	0.07681	0
NCGC00261541-01	0.05621	0
NCGC00261649-01	0.05376	0
NCGC00261110-01	0.13521	0
NCGC00261130-01	0.27669	0
NCGC00260846-01	0.07773	0
NCGC00261030-01	0.07036	0
NCGC00261162-01	0.0612	0
NCGC00261058-01	0.22486	0
NCGC00261404-01	0.1483	0
NCGC00261423-01	0.18609	0
NCGC00261856-01	0.30143	0
NCGC00261342-01	0.85944	1
NCGC00261935-01	0.03784	0
NCGC00261069-01	0.05645	0
NCGC00261101-01	0.12827	0
NCGC00261183-01	0.09846	0
NCGC00261716-01	0.15737	0
NCGC00260742-01	0.16115	0
NCGC00261529-01	0.20428	0
NCGC00261170-01	0.2077	0
NCGC00261565-01	0.21574	0
NCGC00260990-01	0.2219	0
NCGC00261340-01	0.10995	0
NCGC00261079-01	0.12639	0
NCGC00261389-01	0.1516	0
NCGC00261744-01	0.18101	0
NCGC00261420-01	0.11529	0
NCGC00261215-01	0.2007	0
NCGC00261826-01	0.10749	0
NCGC00260706-01	0.30037	0
NCGC00261123-01	0.1145	0
NCGC00261367-01	0.1544	0
NCGC00261507-01	0.16429	0
NCGC00261169-01	0.186	0
NCGC00261730-01	0.14337	0
NCGC00261624-01	0.04906	0
NCGC00261641-01	0.08945	0
NCGC00261853-01	0.38236	0
NCGC00260911-01	0.13925	0
NCGC00260798-01	0.08249	0
NCGC00261384-01	0.1352	0
NCGC00260785-01	0.2302	0
NCGC00261597-01	0.12377	0
NCGC00261025-01	0.11955	0
NCGC00260789-01	0.15665	0
NCGC00260866-01	0.24031	0
NCGC00261189-01	0.15214	0
NCGC00261270-01	0.27544	0
NCGC00261611-01	0.13727	0
NCGC00261160-01	0.24483	0
NCGC00261085-01	0.12549	0
NCGC00261817-01	0.14965	0
NCGC00261866-01	0.10651	0
NCGC00260852-01	0.08074	0
NCGC00261290-01	0.14298	0
NCGC00261304-01	0.17152	0
NCGC00261704-01	0.11632	0
NCGC00260850-01	0.10153	0
NCGC00260972-01	0.18003	0
NCGC00261364-01	0.03666	0
NCGC00261392-01	0.1044	0
NCGC00261638-01	0.1681	0
NCGC00261820-01	0.05795	0
NCGC00261808-01	0.10152	0
NCGC00260790-01	0.19059	0
NCGC00260940-01	0.19086	0
NCGC00261081-01	0.16294	0
NCGC00261506-01	0.27926	0
NCGC00261133-01	0.12608	0
NCGC00261399-01	0.20997	0
NCGC00260696-01	0.07013	0
NCGC00261903-01	0.22663	0
NCGC00261178-01	0.17538	0
NCGC00261568-01	0.2186	0
NCGC00260830-01	0.13256	0
NCGC00261113-01	0.0751	0
NCGC00261327-01	0.13845	0
NCGC00261602-01	0.13943	0
NCGC00260858-01	0.5421	1
NCGC00261071-01	0.1156	0
NCGC00261076-01	0.0846	0
NCGC00261192-01	0.26838	0
NCGC00261495-01	0.12814	0
NCGC00261577-01	0.17135	0
NCGC00261510-01	0.1237	0
NCGC00261679-01	0.09225	0
NCGC00261941-01	0.1315	0
NCGC00261343-01	0.10518	0
NCGC00261607-01	0.12797	0
NCGC00261782-01	0.18601	0
NCGC00261914-01	0.14901	0
NCGC00261475-01	0.22179	0
NCGC00261764-01	0.26755	0
NCGC00261802-01	0.25463	0
NCGC00261813-01	0.19887	0
NCGC00260795-01	0.22406	0
NCGC00261352-01	0.22038	0
NCGC00261009-01	0.20151	0
NCGC00261944-01	0.32127	0
NCGC00261166-01	0.19583	0
NCGC00261332-01	0.14412	0
NCGC00261333-01	0.21862	0
NCGC00261260-01	0.36157	0
NCGC00261915-01	0.17547	0
NCGC00261238-01	0.20423	0
NCGC00261682-01	0.21265	0
NCGC00261049-01	0.1849	0
NCGC00260910-01	0.18503	0
NCGC00261272-01	0.19188	0
NCGC00260708-01	0.02311	0
NCGC00261390-01	0.05403	0
NCGC00260948-01	0.25567	0
NCGC00261840-01	0.08451	0
NCGC00260881-01	0.0388	0
NCGC00261153-01	0.13055	0
NCGC00261406-01	0.03706	0
NCGC00261053-01	0.04479	0
NCGC00261129-01	0.11331	0
NCGC00261381-01	0.22181	0
NCGC00261426-01	0.2135	0
NCGC00260979-01	0.07104	0
NCGC00260993-01	0.11086	0
NCGC00261108-01	0.07613	0
NCGC00261441-01	0.16412	0
NCGC00261877-01	0.09106	0
NCGC00260815-01	0.15678	0
NCGC00261542-01	0.21845	0
NCGC00261958-01	0.14833	0
NCGC00261787-01	0.08218	0
NCGC00261065-01	0.29167	0
NCGC00261804-01	0.15895	0
NCGC00260875-01	0.12541	0
NCGC00261451-01	0.24516	0
NCGC00261739-01	0.24724	0
NCGC00261948-01	0.27608	0
NCGC00261382-01	0.2009	0
NCGC00261663-01	0.22804	0
NCGC00260892-01	0.23034	0
NCGC00261297-01	0.15625	0
NCGC00261321-01	0.16499	0
NCGC00261446-01	0.16333	0
NCGC00261474-01	0.14199	0
NCGC00260834-01	0.16284	0
NCGC00260840-01	0.1323	0
NCGC00260947-01	0.23675	0
NCGC00261080-01	0.05034	0
NCGC00261563-01	0.19937	0
NCGC00261873-01	0.18938	0
NCGC00260803-01	0.15887	0
NCGC00260833-01	0.16372	0
NCGC00261008-01	0.19561	0
NCGC00261155-01	0.10739	0
NCGC00261643-01	0.19427	0
NCGC00261037-01	0.11448	0
NCGC00261126-01	0.44791	0
NCGC00260871-01	0.12316	0
NCGC00260713-01	0.15773	0
NCGC00261487-01	0.14191	0
NCGC00261545-01	0.23332	0
NCGC00261480-01	0.09488	0
NCGC00261838-01	0.05202	0
NCGC00261627-01	0.09586	0
NCGC00261639-01	0.08121	0
NCGC00261177-01	0.03823	0
NCGC00260692-01	0.01163	0
NCGC00260775-01	0.02188	0
NCGC00260876-01	0.01716	0
NCGC00261598-01	0.00539	0
NCGC00260707-01	0.10038	0
NCGC00261554-01	0.12444	0
NCGC00261713-01	0.23583	0
NCGC00261737-01	0.30896	0
NCGC00261882-01	0.29486	0
NCGC00261933-01	0.16597	0
NCGC00261201-01	0.0846	0
NCGC00261398-01	0.18264	0
NCGC00261601-01	0.04555	0
NCGC00261003-01	0.12049	0
NCGC00261019-01	0.14197	0
NCGC00261519-01	0.01189	0
NCGC00261732-01	0.0157	0
NCGC00261718-01	0.01551	0
NCGC00260743-01	0.05057	0
NCGC00260751-01	0.0153	0
NCGC00260867-01	0.05895	0
NCGC00260982-01	0.01702	0
NCGC00261176-01	0.00833	0
NCGC00261289-01	0.06774	0
NCGC00261440-01	0.03547	0
NCGC00261657-01	0.00098	0
NCGC00260822-01	0.21455	0
NCGC00261142-01	0.16068	0
NCGC00261582-01	0.52126	1
NCGC00261825-01	0.30452	0
NCGC00261833-01	0.16633	0
NCGC00261835-01	0.08346	0
NCGC00261860-01	0.0923	0
NCGC00261906-01	0.11713	0
NCGC00261916-01	0.08958	0
NCGC00261939-01	0.05259	0
NCGC00261869-01	0.04231	0
NCGC00261163-01	0.27475	0
NCGC00261653-01	0.76517	1
NCGC00261248-01	0.0501	0
NCGC00260770-01	0.04955	0
NCGC00261013-01	0.09059	0
NCGC00261910-01	0.3842	0
NCGC00261686-01	0.0306	0
NCGC00261147-01	0.11804	0
NCGC00261578-01	0.01631	0
NCGC00261336-01	0.05444	0
NCGC00261593-01	0.08318	0
NCGC00260821-01	0.07591	0
NCGC00261007-01	0.1086	0
NCGC00261246-01	0.03383	0
