Sample ID	Score	Activity
NCGC00261900-01	0.12436	0
NCGC00260869-01	0.1214	0
NCGC00261776-01	0.12407	0
NCGC00261380-01	0.1198	0
NCGC00261842-01	0.11904	0
NCGC00261662-01	0.13859	0
NCGC00261190-01	0.12496	0
NCGC00260731-01	0.1082	0
NCGC00261926-01	0.12425	0
NCGC00261579-01	0.12483	0
NCGC00260921-01	0.14569	0
NCGC00261119-01	0.10166	0
NCGC00260957-01	0.12312	0
NCGC00261812-01	0.11994	0
NCGC00260831-01	0.12247	0
NCGC00261544-01	0.11725	0
NCGC00261619-01	0.1233	0
NCGC00261633-01	0.09888	0
NCGC00261395-01	0.1267	0
NCGC00261717-01	0.12397	0
NCGC00261947-01	0.12405	0
NCGC00261424-01	0.17622	0
NCGC00261861-01	0.12135	0
NCGC00261924-01	0.14263	0
NCGC00261052-01	0.12251	0
NCGC00261683-01	0.12655	0
NCGC00261026-01	0.12486	0
NCGC00261057-01	0.11629	0
NCGC00261738-01	0.11295	0
NCGC00261348-01	0.10216	0
NCGC00261503-01	0.11174	0
NCGC00260693-01	0.1029	0
NCGC00260703-01	0.09709	0
NCGC00260716-01	0.07783	0
NCGC00260782-01	0.1044	0
NCGC00260802-01	0.08726	0
NCGC00260823-01	0.09252	0
NCGC00261313-01	0.07687	0
NCGC00260757-01	0.07529	0
NCGC00260826-01	0.06639	0
NCGC00261005-01	0.10345	0
NCGC00260980-01	0.12079	0
NCGC00261816-01	0.12116	0
NCGC00260698-01	0.12172	0
NCGC00260889-01	0.11678	0
NCGC00260811-01	0.11308	0
NCGC00261165-01	0.12244	0
NCGC00261060-01	0.10299	0
NCGC00261541-01	0.09917	0
NCGC00261649-01	0.09152	0
NCGC00261110-01	0.12229	0
NCGC00261130-01	0.12751	0
NCGC00260846-01	0.10261	0
NCGC00261030-01	0.0809	0
NCGC00261162-01	0.08981	0
NCGC00261058-01	0.12173	0
NCGC00261404-01	0.12178	0
NCGC00261423-01	0.11918	0
NCGC00261856-01	0.14608	0
NCGC00261342-01	0.21719	0
NCGC00261935-01	0.06854	0
NCGC00261069-01	0.1021	0
NCGC00261101-01	0.12106	0
NCGC00261183-01	0.11949	0
NCGC00261716-01	0.11928	0
NCGC00260742-01	0.12187	0
NCGC00261529-01	0.12809	0
NCGC00261170-01	0.1185	0
NCGC00261565-01	0.12355	0
NCGC00260990-01	0.13351	0
NCGC00261340-01	0.10588	0
NCGC00261079-01	0.11447	0
NCGC00261389-01	0.12274	0
NCGC00261744-01	0.12188	0
NCGC00261420-01	0.11663	0
NCGC00261215-01	0.12301	0
NCGC00261826-01	0.1183	0
NCGC00260706-01	0.17467	0
NCGC00261123-01	0.11153	0
NCGC00261367-01	0.12065	0
NCGC00261507-01	0.1177	0
NCGC00261169-01	0.1183	0
NCGC00261730-01	0.1095	0
NCGC00261624-01	0.10303	0
NCGC00261641-01	0.11332	0
NCGC00261853-01	0.15073	0
NCGC00260911-01	0.12211	0
NCGC00260798-01	0.10146	0
NCGC00261384-01	0.12107	0
NCGC00260785-01	0.12474	0
NCGC00261597-01	0.11794	0
NCGC00261025-01	0.11661	0
NCGC00260789-01	0.1204	0
NCGC00260866-01	0.12124	0
NCGC00261189-01	0.11914	0
NCGC00261270-01	0.15748	0
NCGC00261611-01	0.12328	0
NCGC00261160-01	0.12365	0
NCGC00261085-01	0.11002	0
NCGC00261817-01	0.11992	0
NCGC00261866-01	0.115	0
NCGC00260852-01	0.11794	0
NCGC00261290-01	0.11749	0
NCGC00261304-01	0.12167	0
NCGC00261704-01	0.11843	0
NCGC00260850-01	0.11875	0
NCGC00260972-01	0.12103	0
NCGC00261364-01	0.07851	0
NCGC00261392-01	0.11465	0
NCGC00261638-01	0.12318	0
NCGC00261820-01	0.10698	0
NCGC00261808-01	0.11503	0
NCGC00260790-01	0.11567	0
NCGC00260940-01	0.12325	0
NCGC00261081-01	0.12102	0
NCGC00261506-01	0.12364	0
NCGC00261133-01	0.12244	0
NCGC00261399-01	0.12313	0
NCGC00260696-01	0.10311	0
NCGC00261903-01	0.12313	0
NCGC00261178-01	0.12045	0
NCGC00261568-01	0.12289	0
NCGC00260830-01	0.11915	0
NCGC00261113-01	0.10404	0
NCGC00261327-01	0.10643	0
NCGC00261602-01	0.11843	0
NCGC00260858-01	0.13645	0
NCGC00261071-01	0.1151	0
NCGC00261076-01	0.10918	0
NCGC00261192-01	0.12442	0
NCGC00261495-01	0.10908	0
NCGC00261577-01	0.1239	0
NCGC00261510-01	0.12096	0
NCGC00261679-01	0.10569	0
NCGC00261941-01	0.11939	0
NCGC00261343-01	0.12019	0
NCGC00261607-01	0.12007	0
NCGC00261782-01	0.121	0
NCGC00261914-01	0.12196	0
NCGC00261475-01	0.12415	0
NCGC00261764-01	0.12522	0
NCGC00261802-01	0.12397	0
NCGC00261813-01	0.12393	0
NCGC00260795-01	0.11371	0
NCGC00261352-01	0.12752	0
NCGC00261009-01	0.12304	0
NCGC00261944-01	0.12474	0
NCGC00261166-01	0.12444	0
NCGC00261332-01	0.12427	0
NCGC00261333-01	0.12401	0
NCGC00261260-01	0.13336	0
NCGC00261915-01	0.12119	0
NCGC00261238-01	0.12896	0
NCGC00261682-01	0.12351	0
NCGC00261049-01	0.12372	0
NCGC00260910-01	0.1226	0
NCGC00261272-01	0.12196	0
NCGC00260708-01	0.0697	0
NCGC00261390-01	0.08709	0
NCGC00260948-01	0.12415	0
NCGC00261840-01	0.08137	0
NCGC00260881-01	0.06583	0
NCGC00261153-01	0.12266	0
NCGC00261406-01	0.08939	0
NCGC00261053-01	0.07412	0
NCGC00261129-01	0.0909	0
NCGC00261381-01	0.12411	0
NCGC00261426-01	0.12661	0
NCGC00260979-01	0.09153	0
NCGC00260993-01	0.1153	0
NCGC00261108-01	0.10872	0
NCGC00261441-01	0.1225	0
NCGC00261877-01	0.11362	0
NCGC00260815-01	0.12281	0
NCGC00261542-01	0.12704	0
NCGC00261958-01	0.11045	0
NCGC00261787-01	0.11506	0
NCGC00261065-01	0.1268	0
NCGC00261804-01	0.12309	0
NCGC00260875-01	0.11358	0
NCGC00261451-01	0.06865	0
NCGC00261739-01	0.12419	0
NCGC00261948-01	0.12419	0
NCGC00261382-01	0.12405	0
NCGC00261663-01	0.12345	0
NCGC00260892-01	0.12347	0
NCGC00261297-01	0.11215	0
NCGC00261321-01	0.12715	0
NCGC00261446-01	0.12165	0
NCGC00261474-01	0.10189	0
NCGC00260834-01	0.12255	0
NCGC00260840-01	0.1192	0
NCGC00260947-01	0.12345	0
NCGC00261080-01	0.08598	0
NCGC00261563-01	0.1234	0
NCGC00261873-01	0.1222	0
NCGC00260803-01	0.11955	0
NCGC00260833-01	0.12296	0
NCGC00261008-01	0.12397	0
NCGC00261155-01	0.1177	0
NCGC00261643-01	0.12041	0
NCGC00261037-01	0.11337	0
NCGC00261126-01	0.11152	0
NCGC00260871-01	0.11683	0
NCGC00260713-01	0.12128	0
NCGC00261487-01	0.11934	0
NCGC00261545-01	0.12603	0
NCGC00261480-01	0.11465	0
NCGC00261838-01	0.10345	0
NCGC00261627-01	0.08716	0
NCGC00261639-01	0.10417	0
NCGC00261177-01	0.05961	0
NCGC00260692-01	0.06027	0
NCGC00260775-01	0.08346	0
NCGC00260876-01	0.05022	0
NCGC00261598-01	0.06455	0
NCGC00260707-01	0.11825	0
NCGC00261554-01	0.12058	0
NCGC00261713-01	0.13544	0
NCGC00261737-01	0.12496	0
NCGC00261882-01	0.12558	0
NCGC00261933-01	0.1237	0
NCGC00261201-01	0.11316	0
NCGC00261398-01	0.12393	0
NCGC00261601-01	0.06861	0
NCGC00261003-01	0.10099	0
NCGC00261019-01	0.08518	0
NCGC00261519-01	0.07904	0
NCGC00261732-01	0.08156	0
NCGC00261718-01	0.06624	0
NCGC00260743-01	0.07785	0
NCGC00260751-01	0.0736	0
NCGC00260867-01	0.06542	0
NCGC00260982-01	0.07295	0
NCGC00261176-01	0.06506	0
NCGC00261289-01	0.06728	0
NCGC00261440-01	0.06033	0
NCGC00261657-01	0.05514	0
NCGC00260822-01	0.12294	0
NCGC00261142-01	0.12182	0
NCGC00261582-01	0.22897	0
NCGC00261825-01	0.15309	0
