Sample ID	Score	Activity
NCGC00261900-01	0.046395	1
NCGC00261866-01	0.028516	1
NCGC00261643-01	0.031453	1
NCGC00357189-01	0.029853	1
NCGC00357184-01	0.015573	0
NCGC00357007-01	0.021629	0
NCGC00357119-01	0.014959	0
NCGC00260869-01	0.022494	0
NCGC00260852-01	0.026513	1
NCGC00261037-01	0.032808	1
NCGC00357163-01	0.024361	1
NCGC00357238-01	0.018632	0
NCGC00356989-01	0.034214	1
NCGC00357003-01	0.018836	0
NCGC00261776-01	0.041376	1
NCGC00261290-01	0.031084	1
NCGC00261126-01	0.029817	1
NCGC00357001-01	0.020661	0
NCGC00357220-01	0.017805	0
NCGC00357246-01	0.028872	1
NCGC00357058-01	0.020534	0
NCGC00261380-01	0.038030	1
NCGC00261304-01	0.039039	1
NCGC00260871-01	0.023187	1
NCGC00357030-01	0.013397	0
NCGC00357252-01	0.018770	0
NCGC00357081-01	0.030449	1
NCGC00357275-01	0.020448	0
NCGC00261842-01	0.029050	1
NCGC00261704-01	0.026654	1
NCGC00260713-01	0.036975	1
NCGC00357123-01	0.030409	1
NCGC00357159-01	0.015424	0
NCGC00357281-01	0.032564	1
NCGC00357014-01	0.030833	1
NCGC00261662-01	0.034083	1
NCGC00260850-01	0.041719	1
NCGC00261487-01	0.021552	0
NCGC00357091-01	0.020180	0
NCGC00356947-01	0.015209	0
NCGC00357244-01	0.014901	0
NCGC00357011-01	0.035040	1
NCGC00261190-01	0.020213	0
NCGC00260972-01	0.032166	1
NCGC00261545-01	0.040051	1
NCGC00357004-01	0.021451	0
NCGC00357063-01	0.016181	0
NCGC00357194-01	0.022713	1
NCGC00356976-01	0.020603	0
NCGC00260731-01	0.021000	0
NCGC00261364-01	0.029206	1
NCGC00261480-01	0.023233	1
NCGC00357103-01	0.013785	0
NCGC00356982-01	0.016671	0
NCGC00357193-01	0.015795	0
NCGC00357175-01	0.028308	1
NCGC00261926-01	0.031168	1
NCGC00261392-01	0.028135	1
NCGC00261838-01	0.022747	1
NCGC00357289-01	0.031831	1
