Name	Score	Activity
NCGC00261900	0.6628	0
NCGC00260869	0.3806	0
NCGC00261776	0.5112	0
NCGC00261380	0.5745	0
NCGC00261842	0.2032	0
NCGC00261662	0.6870	1
NCGC00261190	0.7295	1
NCGC00260731	0.5826	0
NCGC00261926	0.3973	0
NCGC00261579	0.5028	0
NCGC00260921	0.7193	1
NCGC00261119	0.4788	0
NCGC00260957	0.4220	0
NCGC00261812	0.6681	0
NCGC00260831	0.6531	0
NCGC00261544	0.7046	1
NCGC00261619	0.6625	0
NCGC00261633	0.4353	0
NCGC00261395	0.5390	0
NCGC00261717	0.8523	1
NCGC00261947	0.9585	1
NCGC00261424	0.9636	1
NCGC00261861	0.9496	1
NCGC00261924	0.8238	1
NCGC00261052	0.7680	1
NCGC00261683	0.1440	0
NCGC00261026	0.5866	0
NCGC00261057	0.4726	0
NCGC00261738	0.5302	0
NCGC00261348	0.4258	0
NCGC00261503	0.2696	0
NCGC00260693	0.4760	0
NCGC00260703	0.4744	0
NCGC00260716	0.5331	0
NCGC00260782	0.6590	0
NCGC00260802	0.6265	0
NCGC00260823	0.6984	1
NCGC00261313	0.6954	1
NCGC00260757	0.6076	0
NCGC00260826	0.5804	0
NCGC00261005	0.2221	0
NCGC00260980	0.6280	0
NCGC00261816	0.6923	1
NCGC00260698	0.5710	0
NCGC00260889	0.4236	0
NCGC00260811	0.6156	0
NCGC00261165	0.3388	0
NCGC00261060	0.5433	0
NCGC00261541	0.3245	0
NCGC00261649	0.5152	0
NCGC00261110	0.6499	0
NCGC00261130	0.6204	0
NCGC00260846	0.4483	0
NCGC00261030	0.5240	0
NCGC00261162	0.5980	0
NCGC00261058	0.4784	0
NCGC00261404	0.5587	0
NCGC00261423	0.7351	1
NCGC00261856	0.7118	1
NCGC00261342	0.5895	0
NCGC00261935	0.1850	0
NCGC00261069	0.5092	0
NCGC00261101	0.5322	0
NCGC00261183	0.6148	0
NCGC00261716	0.3311	0
NCGC00260742	0.3965	0
NCGC00261529	0.5944	0
NCGC00261170	0.5895	0
NCGC00261565	0.4440	0
NCGC00260990	0.7609	1
NCGC00261340	0.8131	1
NCGC00261079	0.5165	0
NCGC00261389	0.4529	0
NCGC00261744	0.0927	0
NCGC00261420	0.2170	0
NCGC00261215	0.3876	0
NCGC00261826	0.3459	0
NCGC00260706	0.3891	0
NCGC00261123	0.8010	1
NCGC00261367	0.0481	0
NCGC00261507	0.0167	0
NCGC00261169	0.3625	0
NCGC00261730	0.0377	0
NCGC00261624	0.4037	0
NCGC00261641	0.5921	0
NCGC00261853	0.6616	0
NCGC00260911	0.5577	0
NCGC00260798	0.4305	0
NCGC00261384	0.5121	0
NCGC00260785	0.6353	0
NCGC00261597	0.1107	0
NCGC00261025	0.3750	0
NCGC00260789	0.1454	0
NCGC00260866	0.5503	0
NCGC00261189	0.4657	0
NCGC00261270	0.4825	0
NCGC00261611	0.3412	0
NCGC00261160	0.4810	0
NCGC00261085	0.3580	0
NCGC00261817	0.4282	0
NCGC00261866	0.4623	0
NCGC00260852	0.5047	0
NCGC00261290	0.6912	1
NCGC00261304	0.3315	0
NCGC00261704	0.5140	0
NCGC00260850	0.5032	0
NCGC00260972	0.4286	0
NCGC00261364	0.2962	0
NCGC00261392	0.4580	0
NCGC00261638	0.5876	0
NCGC00261820	0.4245	0
NCGC00261808	0.4848	0
NCGC00260790	0.4011	0
NCGC00260940	0.2615	0
NCGC00261081	0.3985	0
NCGC00261506	0.4390	0
NCGC00261133	0.3734	0
NCGC00261399	0.6513	0
NCGC00260696	0.7688	1
NCGC00261903	0.7127	1
NCGC00261178	0.3887	0
NCGC00261568	0.3497	0
NCGC00260830	0.1070	0
NCGC00261113	0.4574	0
NCGC00261327	0.3499	0
NCGC00261602	0.4615	0
NCGC00260858	0.7183	1
NCGC00261071	0.6028	0
NCGC00261076	0.4334	0
NCGC00261192	0.0966	0
NCGC00261495	0.3267	0
NCGC00261577	0.6385	0
NCGC00261510	0.3777	0
NCGC00261679	0.7576	1
NCGC00261941	0.5540	0
NCGC00261343	0.5112	0
NCGC00261607	0.5004	0
NCGC00261782	0.4253	0
NCGC00261914	0.4281	0
NCGC00261475	0.3245	0
NCGC00261764	0.7478	1
NCGC00261802	0.6851	0
NCGC00261813	0.4059	0
NCGC00260795	0.7013	1
NCGC00261352	0.7793	1
NCGC00261009	0.5212	0
NCGC00261944	0.4330	0
NCGC00261166	0.5522	0
NCGC00261332	0.5988	0
NCGC00261333	0.3418	0
NCGC00261260	0.7032	1
NCGC00261915	0.5063	0
NCGC00261238	0.6040	0
NCGC00261682	0.4837	0
NCGC00261049	0.0731	0
NCGC00260910	0.5738	0
NCGC00261272	0.4126	0
NCGC00260708	0.3979	0
NCGC00261390	0.5252	0
NCGC00260948	0.3107	0
NCGC00261840	0.6458	0
NCGC00260881	0.3291	0
NCGC00261153	0.7084	1
NCGC00261406	0.6246	0
NCGC00261053	0.4105	0
NCGC00261129	0.4814	0
NCGC00261381	0.5409	0
NCGC00261426	0.7628	1
NCGC00260979	0.3984	0
NCGC00260993	0.4210	0
NCGC00261108	0.4631	0
NCGC00261441	0.3628	0
NCGC00261877	0.3998	0
NCGC00260815	0.3810	0
NCGC00261542	0.5345	0
NCGC00261958	0.5148	0
NCGC00261787	0.5930	0
NCGC00261065	0.6057	0
NCGC00261804	0.7844	1
NCGC00260875	0.3940	0
NCGC00261451	0.1529	0
NCGC00261739	0.3296	0
NCGC00261948	0.5636	0
NCGC00261382	0.0000	0
NCGC00261663	0.3092	0
NCGC00260892	0.6294	0
NCGC00261297	0.6313	0
NCGC00261321	0.8320	1
NCGC00261446	0.6596	0
NCGC00261474	0.6170	0
NCGC00260834	0.2473	0
NCGC00260840	0.2573	0
NCGC00260947	0.3124	0
NCGC00261080	0.3750	0
NCGC00261563	0.3910	0
NCGC00261873	0.3131	0
NCGC00260803	0.3951	0
NCGC00260833	0.4339	0
NCGC00261008	0.3359	0
NCGC00261155	0.4151	0
NCGC00261643	0.4613	0
NCGC00261037	0.5588	0
NCGC00261126	0.6942	1
NCGC00260871	0.4855	0
NCGC00260713	0.5979	0
NCGC00261487	0.7924	1
NCGC00261545	0.5744	0
NCGC00261480	0.4391	0
NCGC00261838	0.4542	0
NCGC00261627	0.4837	0
NCGC00261639	0.3791	0
NCGC00261177	0.5024	0
NCGC00260692	0.4221	0
NCGC00260775	0.6051	0
NCGC00260876	0.4824	0
NCGC00261598	0.5092	0
NCGC00260707	0.5294	0
NCGC00261554	0.8365	1
NCGC00261713	0.8233	1
NCGC00261737	0.9416	1
NCGC00261882	0.9241	1
NCGC00261933	0.9415	1
NCGC00261201	0.8209	1
NCGC00261398	0.8481	1
NCGC00261601	0.8659	1
NCGC00261003	0.8242	1
NCGC00261019	0.6694	0
NCGC00261519	0.4111	0
NCGC00261732	0.4224	0
NCGC00261718	0.3248	0
NCGC00260743	0.3593	0
NCGC00260751	0.2292	0
NCGC00260867	0.3951	0
NCGC00260982	0.4478	0
