Sample ID	Score	Activity
NCGC00261900-01	0.159626586	0
NCGC00260869-01	0.054168212	0
NCGC00261776-01	0.344970585	0
NCGC00261380-01	0.160252730	0
NCGC00261842-01	0.054984443	0
NCGC00261662-01	0.629806251	1
NCGC00260731-01	0.251296698	0
NCGC00261926-01	0.095685890	0
NCGC00261579-01	0.152410504	0
NCGC00261119-01	0.042490606	0
NCGC00260957-01	0.153742310	0
NCGC00261812-01	0.151292561	0
NCGC00260831-01	0.333679288	0
NCGC00261544-01	0.040919759	0
NCGC00261619-01	0.093492350	0
NCGC00261633-01	0.075343413	0
NCGC00261395-01	0.291040429	0
NCGC00261717-01	0.080290672	0
NCGC00261947-01	0.055374066	0
NCGC00261424-01	0.724523145	1
NCGC00261861-01	0.180593885	0
NCGC00261924-01	0.244023157	0
NCGC00261683-01	0.112378972	0
NCGC00261026-01	0.097672758	0
NCGC00261057-01	0.069588445	0
NCGC00261738-01	0.037309832	0
NCGC00261348-01	0.053393313	0
NCGC00261503-01	0.051428718	0
NCGC00260693-01	0.070813889	0
NCGC00260703-01	0.063587306	0
NCGC00260716-01	0.083905151	0
NCGC00260782-01	0.050683983	0
NCGC00260802-01	0.047062320	0
NCGC00260823-01	0.050233816	0
NCGC00261313-01	0.071812895	0
NCGC00260757-01	0.049529146	0
NCGC00260826-01	0.040094842	0
NCGC00261005-01	0.044236704	0
NCGC00260980-01	0.054155856	0
NCGC00261816-01	0.145184475	0
NCGC00260698-01	0.098069305	0
NCGC00260889-01	0.052633882	0
NCGC00260811-01	0.115300475	0
NCGC00261165-01	0.076670254	0
NCGC00261060-01	0.068312096	0
NCGC00261541-01	0.063277972	0
NCGC00261649-01	0.038256714	0
NCGC00261110-01	0.169659273	0
NCGC00261130-01	0.163165153	0
NCGC00261162-01	0.061365461	0
NCGC00261058-01	0.120187644	0
NCGC00261404-01	0.065171485	0
NCGC00261423-01	0.429259586	0
NCGC00261856-01	0.270316310	0
NCGC00261342-01	0.337952481	0
NCGC00261935-01	0.071989796	0
NCGC00261101-01	0.077393767	0
NCGC00261183-01	0.068326407	0
NCGC00261716-01	0.065904763	0
NCGC00260742-01	0.051513760	0
NCGC00261529-01	0.091557296	0
NCGC00261170-01	0.122775307	0
NCGC00261565-01	0.199338339	0
NCGC00260990-01	0.321935488	0
NCGC00261340-01	0.097078805	0
NCGC00261079-01	0.200620961	0
NCGC00261389-01	0.041261282	0
NCGC00261744-01	0.121492754	0
NCGC00261420-01	0.115680921	0
NCGC00261215-01	0.033244612	0
NCGC00261826-01	0.064168556	0
NCGC00260706-01	0.157021164	0
NCGC00261123-01	0.135632040	0
NCGC00261367-01	0.059075234	0
NCGC00261507-01	0.063179117	0
NCGC00261169-01	0.103519600	0
NCGC00261730-01	0.071860466	0
NCGC00261624-01	0.082552875	0
NCGC00261641-01	0.056837654	0
NCGC00261853-01	0.164893958	0
NCGC00260911-01	0.114651082	0
NCGC00260798-01	0.047268858	0
NCGC00261384-01	0.069637371	0
NCGC00260785-01	0.060909829	0
NCGC00261597-01	0.054990928	0
NCGC00261025-01	0.109022163	0
NCGC00260789-01	0.104677730	0
NCGC00260866-01	0.151826781	0
NCGC00261189-01	0.080884975	0
NCGC00261270-01	0.128370475	0
NCGC00261611-01	0.026193750	0
NCGC00261160-01	0.083983510	0
NCGC00261085-01	0.046823424	0
NCGC00261817-01	0.106088758	0
NCGC00261866-01	0.085132611	0
NCGC00260852-01	0.072692828	0
NCGC00261290-01	0.225377620	0
NCGC00261304-01	0.118474431	0
NCGC00261704-01	0.219803202	0
NCGC00260850-01	0.052616863	0
NCGC00260972-01	0.092590259	0
NCGC00261364-01	0.035009761	0
NCGC00261392-01	0.057967530	0
NCGC00261820-01	0.036707352	0
NCGC00261808-01	0.069228172	0
NCGC00260790-01	0.131766709	0
NCGC00260940-01	0.308051139	0
NCGC00261081-01	0.071846705	0
NCGC00261506-01	0.282521918	0
NCGC00261133-01	0.131546971	0
NCGC00261399-01	0.111517772	0
NCGC00260696-01	0.285476816	0
NCGC00261903-01	0.192964963	0
NCGC00261178-01	0.095211604	0
NCGC00261568-01	0.113614405	0
NCGC00260830-01	0.063601024	0
NCGC00261113-01	0.063765429	0
NCGC00261327-01	0.056931047	0
NCGC00261602-01	0.183396584	0
NCGC00260858-01	0.409509600	0
NCGC00261071-01	0.077361018	0
NCGC00261076-01	0.070650843	0
NCGC00261192-01	0.057558195	0
NCGC00261577-01	0.236356062	0
NCGC00261510-01	0.048977933	0
NCGC00261941-01	0.369244656	0
NCGC00261343-01	0.081492083	0
NCGC00261607-01	0.050908047	0
NCGC00261782-01	0.135831979	0
NCGC00261914-01	0.036161068	0
NCGC00261475-01	0.059525209	0
NCGC00261764-01	0.305846438	0
NCGC00261813-01	0.050642082	0
NCGC00260795-01	0.151594808	0
NCGC00261352-01	0.389032789	0
NCGC00261009-01	0.265767305	0
NCGC00261944-01	0.151862338	0
NCGC00261166-01	0.201823261	0
NCGC00261332-01	0.454066008	0
NCGC00261333-01	0.137922247	0
NCGC00261260-01	0.233746156	0
NCGC00261915-01	0.206328858	0
NCGC00261238-01	0.063802634	0
NCGC00261682-01	0.034723309	0
NCGC00261049-01	0.087672169	0
NCGC00260910-01	0.028426525	0
NCGC00261272-01	0.211222771	0
NCGC00260708-01	0.065978232	0
NCGC00261390-01	0.046254397	0
NCGC00260948-01	0.109143954	0
NCGC00261840-01	0.082392554	0
NCGC00260881-01	0.046992186	0
NCGC00261153-01	0.082110381	0
NCGC00261406-01	0.054836333	0
NCGC00261053-01	0.062364366	0
NCGC00261129-01	0.037225202	0
NCGC00261381-01	0.105864318	0
NCGC00261426-01	0.272760143	0
NCGC00260979-01	0.074443344	0
NCGC00260993-01	0.069573520	0
NCGC00261108-01	0.059909620	0
NCGC00261441-01	0.077505680	0
NCGC00261877-01	0.094773736	0
NCGC00260815-01	0.048050776	0
NCGC00261542-01	0.198399536	0
NCGC00261958-01	0.118163653	0
NCGC00261787-01	0.165104338	0
NCGC00261065-01	0.220991985	0
NCGC00261804-01	0.285611986	0
NCGC00260875-01	0.086799135	0
NCGC00261739-01	0.110811532	0
NCGC00261948-01	0.114423390	0
NCGC00261382-01	0.071187226	0
NCGC00261663-01	0.084186927	0
NCGC00260892-01	0.114949677	0
NCGC00261297-01	0.082228399	0
NCGC00261321-01	0.086456967	0
NCGC00261446-01	0.208607050	0
NCGC00261474-01	0.079643961	0
NCGC00260834-01	0.136123647	0
NCGC00260840-01	0.210933300	0
NCGC00260947-01	0.143262227	0
NCGC00261080-01	0.391426120	0
NCGC00261563-01	0.304392361	0
NCGC00261873-01	0.312456229	0
NCGC00260803-01	0.053535038	0
NCGC00260833-01	0.063365842	0
NCGC00261008-01	0.066860832	0
NCGC00261155-01	0.070368699	0
NCGC00261643-01	0.064351509	0
NCGC00261037-01	0.080469610	0
NCGC00260871-01	0.180045119	0
NCGC00260713-01	0.087679046	0
NCGC00261487-01	0.093351961	0
NCGC00261545-01	0.065480213	0
NCGC00261480-01	0.121369245	0
NCGC00261838-01	0.095765886	0
NCGC00261627-01	0.065512717	0
NCGC00261639-01	0.050342015	0
NCGC00261177-01	0.039024288	0
NCGC00260692-01	0.086760482	0
NCGC00260775-01	0.078429190	0
NCGC00260876-01	0.033060625	0
NCGC00261598-01	0.046471819	0
NCGC00260707-01	0.031095531	0
NCGC00261713-01	0.463444926	0
NCGC00261737-01	0.396785218	0
NCGC00261882-01	0.425686903	0
NCGC00261933-01	0.119246811	0
NCGC00261201-01	0.030417208	0
NCGC00261398-01	0.431905348	0
NCGC00261601-01	0.225387950	0
NCGC00261003-01	0.042522121	0
NCGC00261019-01	0.051378979	0
NCGC00261519-01	0.033143613	0
NCGC00261732-01	0.045217717	0
NCGC00261718-01	0.044491805	0
NCGC00260743-01	0.047190483	0
NCGC00260751-01	0.055680606	0
NCGC00260867-01	0.047474606	0
NCGC00260982-01	0.049219681	0
NCGC00261176-01	0.050966893	0
NCGC00261440-01	0.092346948	0
NCGC00261657-01	0.057417876	0
NCGC00260822-01	0.369924192	0
NCGC00261142-01	0.095418056	0
NCGC00261582-01	0.303019550	0
NCGC00261825-01	0.329573286	0
NCGC00261833-01	0.104027492	0
NCGC00261835-01	0.161075482	0
NCGC00261860-01	0.170490756	0
NCGC00261906-01	0.106676497	0
NCGC00261916-01	0.117141454	0
NCGC00261939-01	0.161946128	0
NCGC00261869-01	0.057400329	0
NCGC00261163-01	0.139227486	0
NCGC00261653-01	0.728438285	1
NCGC00261248-01	0.032412548	0
NCGC00260770-01	0.061974093	0
NCGC00261013-01	0.080800091	0
NCGC00261910-01	0.668688289	1
NCGC00261686-01	0.055975800	0
NCGC00261147-01	0.047598262	0
NCGC00261578-01	0.099396222	0
NCGC00261336-01	0.050900804	0
NCGC00261593-01	0.095204610	0
NCGC00260821-01	0.069795307	0
NCGC00261007-01	0.071355141	0
NCGC00261246-01	0.053364392	0
NCGC00261949-01	0.054651329	0
NCGC00260890-01	0.048304444	0
NCGC00261294-01	0.038467346	0
NCGC00261330-01	0.065194489	0
NCGC00261470-01	0.104885500	0
NCGC00260691-01	0.040361537	0
