Sample ID	Score	Activity
NCGC00261900-01	0.39670898	0
NCGC00260869-01	0.34231461	0
NCGC00261776-01	0.42838369	0
NCGC00261380-01	0.52813824	1
NCGC00261842-01	0.45236532	0
NCGC00261662-01	0.57100546	1
NCGC00261190-01	0.45107491	0
NCGC00260731-01	0.49773730	0
NCGC00261926-01	0.29628402	0
NCGC00261579-01	0.42699330	0
NCGC00260921-01	0.55052379	1
NCGC00261119-01	0.38664968	0
NCGC00260957-01	0.57947106	1
NCGC00261812-01	0.59742059	1
NCGC00260831-01	0.44074863	0
NCGC00261544-01	0.52364386	1
NCGC00261619-01	0.38996374	0
NCGC00261633-01	0.47842707	0
NCGC00261395-01	0.50285748	1
NCGC00261717-01	0.79095279	1
NCGC00261947-01	0.64227796	1
NCGC00261424-01	0.64344526	1
NCGC00261861-01	0.61601753	1
NCGC00261924-01	0.63060217	1
NCGC00261052-01	0.62381430	1
NCGC00261683-01	0.34842127	0
NCGC00261026-01	0.38983183	0
NCGC00261057-01	0.36801325	0
NCGC00261738-01	0.36113817	0
NCGC00261348-01	0.25205536	0
NCGC00261503-01	0.27335349	0
NCGC00260693-01	0.34995922	0
NCGC00260703-01	0.33633520	0
NCGC00260716-01	0.29538358	0
NCGC00260782-01	0.33084939	0
NCGC00260802-01	0.32102929	0
NCGC00260823-01	0.52337921	1
NCGC00261313-01	0.40297676	0
NCGC00260757-01	0.28518583	0
NCGC00260826-01	0.28805370	0
NCGC00261005-01	0.21688676	0
NCGC00260980-01	0.48965823	0
NCGC00261816-01	0.54895235	1
NCGC00260698-01	0.41883549	0
NCGC00260889-01	0.40272597	0
NCGC00260811-01	0.49978900	0
NCGC00261165-01	0.27105437	0
NCGC00261060-01	0.27852892	0
NCGC00261541-01	0.32244799	0
NCGC00261649-01	0.25783542	0
NCGC00261110-01	0.49911288	0
NCGC00261130-01	0.53985015	1
NCGC00260846-01	0.53738171	1
NCGC00261030-01	0.43356280	0
NCGC00261162-01	0.61739176	1
NCGC00261058-01	0.49645391	0
NCGC00261404-01	0.50765143	1
NCGC00261423-01	0.54262056	1
NCGC00261856-01	0.53452958	1
NCGC00261342-01	0.51334336	1
NCGC00261935-01	0.40606943	0
NCGC00261069-01	0.44302419	0
NCGC00261101-01	0.49642713	0
NCGC00261183-01	0.52568072	1
NCGC00261716-01	0.35809775	0
NCGC00260742-01	0.61185240	1
NCGC00261529-01	0.54073504	1
NCGC00261170-01	0.54465401	1
NCGC00261565-01	0.41585584	0
NCGC00260990-01	0.64895059	1
NCGC00261340-01	0.48260802	0
NCGC00261079-01	0.38953395	0
NCGC00261389-01	0.35944984	0
NCGC00261744-01	0.35600624	0
NCGC00261420-01	0.46132605	0
NCGC00261215-01	0.53514443	1
NCGC00261826-01	0.34443252	0
NCGC00260706-01	0.37955165	0
NCGC00261123-01	0.44283579	0
NCGC00261367-01	0.26586846	0
NCGC00261507-01	0.28762965	0
NCGC00261169-01	0.32107012	0
NCGC00261730-01	0.45686799	0
NCGC00261624-01	0.33285128	0
NCGC00261641-01	0.41293078	0
NCGC00261853-01	0.50042874	1
NCGC00260911-01	0.46455909	0
NCGC00260798-01	0.56339577	1
NCGC00261384-01	0.40933834	0
NCGC00260785-01	0.53262148	1
NCGC00261597-01	0.46904303	0
NCGC00261025-01	0.35259874	0
NCGC00260789-01	0.22405212	0
NCGC00260866-01	0.50861748	1
NCGC00261189-01	0.41512040	0
NCGC00261270-01	0.41493293	0
NCGC00261611-01	0.37288206	0
NCGC00261160-01	0.55562110	1
NCGC00261085-01	0.34988282	0
NCGC00261817-01	0.42595574	0
NCGC00261866-01	0.38562885	0
NCGC00260852-01	0.36126013	0
NCGC00261290-01	0.45730051	0
NCGC00261304-01	0.42315185	0
NCGC00261704-01	0.49714700	0
NCGC00260850-01	0.38580536	0
NCGC00260972-01	0.31058694	0
NCGC00261364-01	0.32803574	0
NCGC00261392-01	0.38758648	0
NCGC00261638-01	0.42666376	0
NCGC00261820-01	0.32088478	0
NCGC00261808-01	0.20179524	0
NCGC00260790-01	0.46846927	0
NCGC00260940-01	0.38007987	0
NCGC00261081-01	0.31511480	0
NCGC00261506-01	0.42038492	0
NCGC00261133-01	0.35777062	0
NCGC00261399-01	0.53601241	1
NCGC00260696-01	0.52189872	1
NCGC00261903-01	0.50733280	1
NCGC00261178-01	0.51045362	1
NCGC00261568-01	0.37991219	0
NCGC00260830-01	0.36603985	0
NCGC00261113-01	0.45806023	0
NCGC00261327-01	0.31705615	0
NCGC00261602-01	0.43366528	0
NCGC00260858-01	0.63247151	1
NCGC00261071-01	0.52202688	1
NCGC00261076-01	0.36642742	0
NCGC00261192-01	0.41318100	0
NCGC00261495-01	0.74556346	1
NCGC00261577-01	0.53625434	1
NCGC00261510-01	0.33179041	0
NCGC00261679-01	0.50526324	1
NCGC00261941-01	0.51245456	1
NCGC00261343-01	0.41732923	0
NCGC00261607-01	0.37961580	0
NCGC00261782-01	0.41581237	0
NCGC00261914-01	0.27584041	0
NCGC00261475-01	0.43797624	0
NCGC00261764-01	0.51391950	1
NCGC00261802-01	0.48571013	0
NCGC00261813-01	0.32482685	0
NCGC00260795-01	0.43018581	0
NCGC00261352-01	0.53213424	1
NCGC00261009-01	0.61736742	1
NCGC00261944-01	0.50900449	1
NCGC00261166-01	0.47421317	0
NCGC00261332-01	0.43212025	0
NCGC00261333-01	0.26782645	0
NCGC00261260-01	0.65881929	1
NCGC00261915-01	0.50233414	1
NCGC00261238-01	0.36438069	0
NCGC00261682-01	0.35479888	0
NCGC00261049-01	0.40063508	0
NCGC00260910-01	0.46404956	0
NCGC00261272-01	0.38406037	0
NCGC00260708-01	0.21666944	0
NCGC00261390-01	0.22020605	0
NCGC00260948-01	0.27997755	0
NCGC00261840-01	0.46641721	0
NCGC00260881-01	0.33055689	0
NCGC00261153-01	0.28740508	0
NCGC00261406-01	0.37375635	0
NCGC00261053-01	0.33749005	0
NCGC00261129-01	0.35736543	0
NCGC00261381-01	0.34523386	0
NCGC00261426-01	0.54530921	1
NCGC00260979-01	0.41732707	0
NCGC00260993-01	0.39766070	0
NCGC00261108-01	0.38561177	0
NCGC00261441-01	0.35329748	0
NCGC00261877-01	0.34729593	0
NCGC00260815-01	0.28342149	0
NCGC00261542-01	0.53185527	1
NCGC00261958-01	0.44757275	0
NCGC00261787-01	0.46194145	0
NCGC00261065-01	0.54746924	1
NCGC00261804-01	0.52222272	1
NCGC00260875-01	0.39226455	0
NCGC00261451-01	0.33851715	0
NCGC00261739-01	0.92420466	1
NCGC00261948-01	0.56106019	1
NCGC00261382-01	0.37576695	0
NCGC00261663-01	0.51606765	1
NCGC00260892-01	0.36398190	0
NCGC00261297-01	0.36110014	0
NCGC00261321-01	0.39431710	0
NCGC00261446-01	0.46675666	0
NCGC00261474-01	0.42291734	0
NCGC00260834-01	0.41698839	0
NCGC00260840-01	0.47467430	0
NCGC00260947-01	0.42316275	0
NCGC00261080-01	0.51878477	1
NCGC00261563-01	0.35561380	0
NCGC00261873-01	0.42372797	0
NCGC00260803-01	0.44292908	0
NCGC00260833-01	0.31232098	0
NCGC00261008-01	0.39480688	0
NCGC00261155-01	0.25901597	0
NCGC00261643-01	0.45679327	0
NCGC00261037-01	0.35119329	0
NCGC00261126-01	0.49781685	0
NCGC00260871-01	0.48979039	0
NCGC00260713-01	0.41586324	0
NCGC00261487-01	0.50505364	1
NCGC00261545-01	0.54304771	1
NCGC00261480-01	0.41018276	0
NCGC00261838-01	0.39637211	0
NCGC00261627-01	0.47443986	0
NCGC00261639-01	0.27354576	0
NCGC00261177-01	0.36336584	0
NCGC00260692-01	0.25729385	0
NCGC00260775-01	0.38632351	0
NCGC00260876-01	0.28794088	0
NCGC00261598-01	0.33866065	0
NCGC00260707-01	0.43221068	0
