Sample ID	Score	Activity
NCGC00357021-01	0.989830078	1
NCGC00261424-01	0.989267603	1
NCGC00357018-01	0.988584099	1
NCGC00357218-01	0.984182024	1
NCGC00357109-01	0.978794716	1
NCGC00261713-01	0.95352053	1
NCGC00357281-01	0.95210961	1
NCGC00357055-01	0.914448462	1
NCGC00261426-01	0.825642557	1
NCGC00357249-01	0.812861864	1
NCGC00357026-01	0.782793272	1
NCGC00261582-01	0.779881343	1
NCGC00357085-01	0.779694758	1
NCGC00261882-01	0.772631296	1
NCGC00357148-01	0.736833967	1
NCGC00357135-01	0.716193797	1
NCGC00356965-01	0.688373154	1
NCGC00261910-01	0.672076297	1
NCGC00356967-01	0.660218034	1
NCGC00357178-01	0.652177352	1
NCGC00357011-01	0.649066015	1
NCGC00261915-01	0.637121476	1
NCGC00357183-01	0.605656307	1
NCGC00356991-01	0.603124962	1
NCGC00357242-01	0.580877062	1
NCGC00357175-01	0.566446675	1
NCGC00261009-01	0.552695443	1
NCGC00261270-01	0.550994076	1
NCGC00260990-01	0.539332415	1
NCGC00357013-01	0.512812247	1
NCGC00260822-01	0.5	1
NCGC00356994-01	0.5	1
NCGC00357207-01	0.467070472	1
NCGC00261342-01	0.452167612	1
NCGC00261679-01	0.414947409	1
NCGC00260831-01	0.402762968	1
NCGC00357230-01	0.3900639	1
NCGC00261260-01	0.38972081	1
NCGC00357017-01	0.360876412	1
NCGC00261856-01	0.330607906	1
NCGC00261352-01	0.314337761	1
NCGC00260731-01	0.2948652	1
NCGC00357019-01	0.291884328	1
NCGC00356988-01	0.29127382	1
NCGC00357149-01	0.266804035	1
NCGC00261163-01	0.265411625	1
NCGC00357117-01	0.264227175	1
NCGC00357132-01	0.263480842	1
NCGC00261776-01	0.260739869	1
NCGC00357181-01	0.244874233	1
NCGC00357000-01	0.243536231	1
NCGC00261737-01	0.239874152	1
NCGC00357110-01	0.216944723	1
NCGC00261583-01	0.209952783	1
NCGC00261579-01	0.209802649	1
NCGC00261916-01	0.204342161	1
NCGC00357151-01	0.202952166	1
NCGC00261480-01	0.19371185	1
NCGC00357180-01	0.190300101	1
NCGC00357231-01	0.188673971	1
NCGC00356978-01	0.18693327	1
NCGC00260858-01	0.186753071	1
NCGC00261853-01	0.185516809	1
NCGC00261903-01	0.183081821	1
NCGC00356948-01	0.182563639	1
NCGC00261941-01	0.182514275	1
NCGC00260940-01	0.182323977	1
NCGC00260866-01	0.181483729	1
NCGC00356989-01	0.181047295	1
NCGC00357130-01	0.169789596	1
NCGC00261825-01	0.168837465	1
NCGC00261166-01	0.165863771	1
NCGC00356961-01	0.162188498	1
NCGC00260811-01	0.157343828	1
NCGC00261542-01	0.156630396	1
NCGC00356959-01	0.154422708	1
NCGC00356956-01	0.152404116	1
NCGC00261142-01	0.148878206	1
NCGC00357208-01	0.148785303	1
NCGC00357099-01	0.148785303	1
NCGC00261804-01	0.148304866	1
NCGC00357224-01	0.146744442	1
NCGC00261602-01	0.146411241	1
NCGC00260871-01	0.144453534	1
NCGC00261693-01	0.143730537	1
NCGC00261079-01	0.142744901	1
NCGC00261190-01	0.140643974	1
NCGC00261506-01	0.137302326	1
NCGC00357057-01	0.134257017	1
NCGC00261944-01	0.133741711	1
NCGC00261833-01	0.132618244	1
NCGC00261812-01	0.130407036	1
NCGC00357072-01	0.130407036	1
NCGC00260921-01	0.127493323	1
NCGC00260696-01	0.125220946	1
NCGC00357075-01	0.124099832	1
NCGC00260713-01	0.12391721	1
NCGC00261297-01	0.121674638	1
NCGC00357259-01	0.121180149	1
NCGC00261577-01	0.121178992	1
NCGC00261126-01	0.121073695	1
NCGC00261058-01	0.11987375	1
NCGC00357263-01	0.116758141	1
NCGC00357250-01	0.11466485	1
NCGC00357034-01	0.114614889	1
NCGC00261178-01	0.114279716	1
NCGC00261384-01	0.114232778	1
NCGC00357078-01	0.112921959	1
NCGC00357012-01	0.112266728	1
NCGC00261026-01	0.112006783	1
NCGC00357273-01	0.11170487	1
NCGC00261620-01	0.110697011	1
NCGC00356938-01	0.110573995	1
NCGC00357246-01	0.110421652	1
NCGC00261065-01	0.110406537	1
NCGC00357280-01	0.10994073	1
NCGC00357261-01	0.109444282	1
NCGC00261272-01	0.107655721	1
NCGC00261877-01	0.107526553	1
NCGC00357006-01	0.105377452	1
NCGC00261948-01	0.104488282	1
NCGC00357007-01	0.104413897	1
NCGC00261069-01	0.104303495	1
NCGC00357253-01	0.104219809	1
NCGC00261398-01	0.104212599	1
NCGC00261947-01	0.104183159	1
NCGC00261119-01	0.103519007	1
NCGC00261071-01	0.102149297	1
NCGC00357196-01	0.101885037	1
NCGC00261860-01	0.098489419	1
NCGC00357200-01	0.097096183	1
NCGC00261924-01	0.096942288	1
NCGC00356970-01	0.095503813	1
NCGC00357205-01	0.09379112	1
NCGC00261289-01	0.093537569	1
NCGC00357094-01	0.093335251	1
NCGC00261802-01	0.093015978	1
NCGC00357062-01	0.09261653	1
NCGC00261332-01	0.092362713	1
NCGC00356982-01	0.092350694	1
NCGC00261717-01	0.0921597	1
NCGC00357122-01	0.091992088	1
NCGC00261333-01	0.091700938	1
NCGC00261842-01	0.090679408	1
NCGC00357141-01	0.090289166	1
NCGC00260830-01	0.089614405	1
NCGC00357077-01	0.089305629	1
NCGC00357248-01	0.08924909	1
NCGC00357052-01	0.088040785	1
NCGC00357063-01	0.087779595	1
NCGC00357134-01	0.087578213	1
NCGC00357286-01	0.087473212	1
NCGC00357245-01	0.087336425	1
NCGC00357125-01	0.087187698	1
NCGC00357174-01	0.086405165	1
NCGC00357047-01	0.086346671	1
NCGC00260833-01	0.086126218	1
NCGC00357121-01	0.086111955	1
NCGC00261869-01	0.085848573	1
NCGC00357118-01	0.085769462	1
NCGC00357214-01	0.085507667	1
NCGC00357090-01	0.085048053	1
NCGC00261451-01	0.084998032	1
NCGC00357084-01	0.084857047	1
NCGC00356958-01	0.084590143	1
NCGC00357111-01	0.0835985	1
NCGC00357016-01	0.083320117	1
NCGC00357267-01	0.083236999	1
NCGC00357101-01	0.081093835	1
NCGC00357262-01	0.080751644	1
NCGC00357028-01	0.080219169	1
NCGC00357269-01	0.080198084	1
NCGC00356957-01	0.080076357	1
NCGC00357166-01	0.080073911	1
NCGC00357042-01	0.080029116	1
NCGC00357144-01	0.080019483	1
NCGC00356992-01	0.079920269	1
NCGC00356977-01	0.079820697	1
NCGC00261382-01	0.079619566	1
NCGC00357167-01	0.079477403	1
NCGC00357102-01	0.079429488	1
NCGC00357120-01	0.078872234	1
NCGC00357271-01	0.078716553	1
NCGC00260728-01	0.078683254	1
NCGC00357237-01	0.0785949	1
NCGC00357172-01	0.078506075	1
NCGC00357276-01	0.078500253	1
NCGC00356996-01	0.078157269	1
NCGC00357029-01	0.078109659	1
NCGC00356950-01	0.076855647	1
NCGC00260782-01	0.076830234	1
NCGC00356954-01	0.076639429	1
NCGC00261619-01	0.076549504	1
NCGC00357033-01	0.076271449	1
NCGC00261933-01	0.076265971	1
NCGC00357076-01	0.076230198	1
NCGC00260948-01	0.07602472	1
NCGC00260826-01	0.075925645	1
NCGC00261906-01	0.075607016	1
NCGC00357264-01	0.075383459	0
NCGC00357265-01	0.075372484	0
NCGC00357185-01	0.075371066	0
NCGC00357255-01	0.075118859	0
NCGC00357240-01	0.075005235	0
NCGC00357088-01	0.074833736	0
NCGC00356985-01	0.07473213	0
NCGC00357041-01	0.074423941	0
NCGC00261578-01	0.074347271	0
NCGC00260775-01	0.074263863	0
NCGC00357153-01	0.074132064	0
NCGC00357159-01	0.074130115	0
NCGC00357197-01	0.073930404	0
NCGC00357191-01	0.0732927	0
NCGC00357236-01	0.073141497	0
NCGC00357143-01	0.072883838	0
NCGC00260708-01	0.072804113	0
NCGC00356949-01	0.072640698	0
NCGC00357138-01	0.072407428	0
NCGC00357158-01	0.072398609	0
NCGC00357168-01	0.072090945	0
NCGC00357244-01	0.071653675	0
NCGC00357210-01	0.071557879	0
NCGC00357036-01	0.071469955	0
NCGC00357161-01	0.071089943	0
NCGC00357157-01	0.070884527	0
NCGC00357054-01	0.070774533	0
NCGC00357282-01	0.070732167	0
NCGC00357002-01	0.070692425	0
NCGC00261076-01	0.070367538	0
NCGC00357092-01	0.070224385	0
NCGC00260789-01	0.070204863	0
NCGC00357136-01	0.070181797	0
NCGC00356941-01	0.070053192	0
NCGC00356964-01	0.070042269	0
NCGC00356939-01	0.069960569	0
NCGC00357100-01	0.069404785	0
NCGC00357069-01	0.069383858	0
NCGC00261649-01	0.069246053	0
NCGC00357239-01	0.06914515	0
NCGC00357093-01	0.069050488	0
NCGC00357119-01	0.068970602	0
NCGC00357227-01	0.068877207	0
NCGC00357193-01	0.068550132	0
NCGC00260876-01	0.068209368	0
NCGC00357081-01	0.068102933	0
NCGC00357277-01	0.068079773	0
NCGC00357032-01	0.067813466	0
NCGC00357162-01	0.067435288	0
NCGC00356944-01	0.0673317	0
NCGC00357256-01	0.067312163	0
NCGC00356972-01	0.067272017	0
NCGC00357257-01	0.06715332	0
NCGC00357079-01	0.066906395	0
NCGC00357048-01	0.066671595	0
NCGC00357027-01	0.066436373	0
NCGC00357104-01	0.066222203	0
NCGC00357156-01	0.066221684	0
NCGC00357260-01	0.065984317	0
NCGC00357268-01	0.065881767	0
NCGC00261162-01	0.065769383	0
NCGC00356952-01	0.06568763	0
NCGC00261013-01	0.065674867	0
NCGC00357169-01	0.065524661	0
NCGC00357155-01	0.06546433	0
NCGC00357278-01	0.065371222	0
NCGC00357106-01	0.065142837	0
NCGC00356942-01	0.065101101	0
NCGC00357050-01	0.064864613	0
NCGC00261030-01	0.064829939	0
NCGC00356986-01	0.064482351	0
NCGC00357182-01	0.064241745	0
NCGC00357133-01	0.064234771	0
NCGC00356951-01	0.064106643	0
NCGC00356990-01	0.064070253	0
NCGC00357064-01	0.063836947	0
NCGC00356955-01	0.063683654	0
NCGC00261672-01	0.063593883	0
NCGC00357270-01	0.063566404	0
NCGC00357173-01	0.063461325	0
NCGC00261682-01	0.063354401	0
NCGC00357038-01	0.06324417	0
NCGC00260823-01	0.06322125	0
NCGC00357222-01	0.063198658	0
NCGC00357124-01	0.06314143	0
NCGC00356946-01	0.062996857	0
NCGC00261290-01	0.062900329	0
NCGC00357061-01	0.062866393	0
NCGC00357195-01	0.062799998	0
NCGC00356975-01	0.062627034	0
NCGC00261192-01	0.062613922	0
NCGC00357287-01	0.062323224	0
NCGC00261101-01	0.062220559	0
NCGC00357065-01	0.062213928	0
NCGC00357037-01	0.062212131	0
NCGC00357215-01	0.062183217	0
NCGC00357068-01	0.06208924	0
NCGC00357279-01	0.062053738	0
NCGC00357051-01	0.062005024	0
NCGC00357129-01	0.061858369	0
NCGC00357096-01	0.06178221	0
NCGC00357095-01	0.061670119	0
NCGC00261541-01	0.061366456	0
NCGC00357243-01	0.061332199	0
NCGC00357067-01	0.061310373	0
NCGC00356963-01	0.061033723	0
NCGC00357114-01	0.06094015	0
NCGC00357127-01	0.060877932	0
NCGC00357098-01	0.060804696	0
NCGC00261201-01	0.060588365	0
NCGC00357226-01	0.060554092	0
NCGC00357126-01	0.060541458	0
NCGC00357105-01	0.060383728	0
NCGC00356945-01	0.060355995	0
NCGC00357073-01	0.060299517	0
NCGC00261861-01	0.060211652	0
NCGC00357251-01	0.060211652	0
NCGC00357154-01	0.060151239	0
NCGC00261019-01	0.060017478	0
NCGC00357147-01	0.059927315	0
NCGC00357272-01	0.059777858	0
NCGC00356981-01	0.059616364	0
NCGC00357177-01	0.05961144	0
NCGC00357204-01	0.059498404	0
NCGC00357274-01	0.058587173	0
NCGC00357254-01	0.0585603	0
NCGC00261503-01	0.058447448	0
NCGC00357213-01	0.058368492	0
NCGC00261704-01	0.058336878	0
NCGC00357238-01	0.058288676	0
NCGC00356968-01	0.058247098	0
NCGC00357194-01	0.058022026	0
NCGC00357209-01	0.058004665	0
NCGC00261123-01	0.057992641	0
NCGC00357275-01	0.057791978	0
NCGC00357160-01	0.057658724	0
NCGC00261177-01	0.057650871	0
NCGC00357225-01	0.057643543	0
NCGC00261215-01	0.057586311	0
NCGC00356976-01	0.057270932	0
NCGC00260693-01	0.057267644	0
NCGC00357146-01	0.056871767	0
NCGC00357285-01	0.056651305	0
NCGC00261824-01	0.056300067	0
NCGC00357045-01	0.056214152	0
NCGC00357056-01	0.056007443	0
NCGC00357202-01	0.055963248	0
NCGC00357053-01	0.055888897	0
NCGC00357014-01	0.055685237	0
NCGC00357212-01	0.055576335	0
NCGC00357089-01	0.055123384	0
NCGC00261060-01	0.055090209	0
NCGC00357044-01	0.055082448	0
NCGC00356947-01	0.054977962	0
NCGC00261817-01	0.054971624	0
NCGC00261554-01	0.054689698	0
NCGC00357199-01	0.054567772	0
NCGC00356974-01	0.054325893	0
NCGC00357176-01	0.054168972	0
NCGC00357107-01	0.054049445	0
NCGC00356993-01	0.054006833	0
NCGC00261782-01	0.053154645	0
NCGC00356979-01	0.052878478	0
NCGC00261025-01	0.052837508	0
NCGC00357234-01	0.052453585	0
NCGC00261840-01	0.052364052	0
NCGC00357184-01	0.052208457	0
NCGC00357131-01	0.05215925	0
NCGC00260803-01	0.05211627	0
NCGC00357023-01	0.051214086	0
NCGC00261593-01	0.051188448	0
NCGC00357128-01	0.050966378	0
NCGC00357097-01	0.050941281	0
NCGC00357179-01	0.050862034	0
NCGC00261336-01	0.050730681	0
NCGC00261835-01	0.050646248	0
NCGC00261820-01	0.050379996	0
NCGC00357020-01	0.050322566	0
NCGC00356960-01	0.050313402	0
NCGC00357228-01	0.05029033	0
NCGC00356983-01	0.050070688	0
NCGC00357043-01	0.049985651	0
NCGC00261165-01	0.049418724	0
NCGC00260875-01	0.049291558	0
NCGC00357165-01	0.049250989	0
NCGC00261949-01	0.049064035	0
NCGC00357186-01	0.049013855	0
NCGC00356943-01	0.049009381	0
NCGC00260993-01	0.048803528	0
NCGC00357003-01	0.04878851	0
NCGC00261764-01	0.04862975	0
NCGC00356966-01	0.048297141	0
NCGC00357115-01	0.048253939	0
NCGC00357087-01	0.04793778	0
NCGC00357071-01	0.047416472	0
NCGC00261321-01	0.046724133	0
NCGC00357005-01	0.046679823	0
NCGC00357235-01	0.046610982	0
NCGC00260979-01	0.046330277	0
NCGC00261787-01	0.046184124	0
NCGC00357258-01	0.045823534	0
NCGC00357039-01	0.045682733	0
NCGC00261568-01	0.045470179	0
NCGC00261340-01	0.045316802	0
NCGC00357284-01	0.04490043	0
NCGC00261390-01	0.044679733	0
NCGC00357113-01	0.044465852	0
NCGC00261053-01	0.044364484	0
NCGC00357187-01	0.044067876	0
NCGC00261304-01	0.043928007	0
NCGC00356995-01	0.043497834	0
NCGC00357035-01	0.04347059	0
NCGC00357022-01	0.043464387	0
NCGC00357198-01	0.04328027	0
NCGC00356971-01	0.043193924	0
NCGC00357070-01	0.043057714	0
NCGC00261155-01	0.042908781	0
NCGC00356980-01	0.042236508	0
NCGC00356973-01	0.041961662	0
NCGC00260846-01	0.041442459	0
NCGC00357031-01	0.041414467	0
NCGC00357137-01	0.041108961	0
NCGC00357247-01	0.040642442	0
NCGC00357139-01	0.039306965	0
NCGC00357223-01	0.039301473	0
NCGC00261392-01	0.039240338	0
NCGC00357190-01	0.039047107	0
NCGC00357221-01	0.03900851	0
NCGC00261641-01	0.038892129	0
NCGC00260850-01	0.038774425	0
NCGC00356969-01	0.038280935	0
NCGC00357206-01	0.038069927	0
NCGC00260703-01	0.037716609	0
NCGC00261113-01	0.037192653	0
NCGC00260889-01	0.036515409	0
NCGC00261147-01	0.036426093	0
NCGC00261643-01	0.036327648	0
NCGC00261926-01	0.03557239	0
NCGC00261327-01	0.035481863	0
NCGC00357066-01	0.035123778	0
NCGC00357211-01	0.034810626	0
NCGC00357059-01	0.034786547	0
NCGC00356962-01	0.034782652	0
NCGC00261381-01	0.03460273	0
NCGC00357217-01	0.034548231	0
NCGC00357220-01	0.034304098	0
NCGC00357058-01	0.03374639	0
NCGC00357266-01	0.033691611	0
NCGC00357046-01	0.033538609	0
NCGC00261108-01	0.033534808	0
NCGC00357216-01	0.033341309	0
NCGC00357145-01	0.033331117	0
NCGC00261686-01	0.032841823	0
NCGC00357060-01	0.031829722	0
NCGC00261133-01	0.031731236	0
NCGC00260785-01	0.031396043	0
NCGC00357074-01	0.031118905	0
NCGC00356997-01	0.030457916	0
NCGC00261170-01	0.030140756	0
NCGC00261808-01	0.030111826	0
NCGC00261939-01	0.028458243	0
NCGC00356998-01	0.028072922	0
NCGC00261638-01	0.027825902	0
NCGC00261003-01	0.02759386	0
NCGC00260972-01	0.026788475	0
NCGC00357025-01	0.026400034	0
NCGC00357203-01	0.026144541	0
NCGC00357283-01	0.025394345	0
NCGC00261607-01	0.024911446	0
NCGC00261007-01	0.023290242	0
NCGC00357083-01	0.022497182	0
NCGC00260795-01	0.022206413	0
NCGC00357229-01	0.022028524	0
NCGC00357008-01	0.02188504	0
NCGC00261420-01	0.021530741	0
NCGC00357170-01	0.021233003	0
NCGC00357080-01	0.020916734	0
NCGC00357108-01	0.020817135	0
NCGC00357288-01	0.019989574	0
NCGC00261399-01	0.019725564	0
NCGC00357142-01	0.01968879	0
NCGC00261081-01	0.019066506	0
NCGC00356940-01	0.017333741	0
NCGC00261627-01	0.016780263	0
NCGC00357252-01	0.012483946	0
NCGC00357049-01	0.010601184	0
NCGC00357112-01	0.009695508	0
NCGC00357015-01	0.00962664	0
NCGC00261544-01	0.009127442	0
NCGC00260742-01	0.007767646	0
