Sample ID	Score	Activity
NCGC00261900-01	0.000186791	0
NCGC00260869-01	0.000102325	0
NCGC00261776-01	0.000168010	0
NCGC00261380-01	0.005558392	0
NCGC00261842-01	0.001013540	0
NCGC00261662-01	0.000327693	0
NCGC00261190-01	0.001030792	0
NCGC00260731-01	0.018575968	1
NCGC00261926-01	0.000155825	0
NCGC00261579-01	0.000575126	0
NCGC00260921-01	0.000499276	0
NCGC00261119-01	0.000185476	0
NCGC00260957-01	0.172314589	1
NCGC00261812-01	0.000654516	0
NCGC00260831-01	0.000548952	0
NCGC00261544-01	0.000185080	0
NCGC00261619-01	0.003646382	0
NCGC00261633-01	0.000136544	0
NCGC00261395-01	0.000134356	0
NCGC00261717-01	0.000523428	0
NCGC00261947-01	0.000218957	0
NCGC00261424-01	0.000250971	0
NCGC00261861-01	0.044134538	1
NCGC00261924-01	0.001424955	0
NCGC00261052-01	0.000203812	0
NCGC00261683-01	0.000251058	0
NCGC00261026-01	0.004107561	0
NCGC00261057-01	0.000130480	0
NCGC00261738-01	0.001667121	0
NCGC00261348-01	0.000087589	0
NCGC00261503-01	0.000133511	0
NCGC00260693-01	0.000094740	0
NCGC00260703-01	0.000078349	0
NCGC00260716-01	0.000073162	0
NCGC00260782-01	0.000076906	0
NCGC00260802-01	0.000072907	0
NCGC00260823-01	0.000079024	0
NCGC00261313-01	0.000089893	0
NCGC00260757-01	0.000077733	0
NCGC00260826-01	0.000072417	0
NCGC00261005-01	0.000080525	0
NCGC00260980-01	0.000140348	0
NCGC00261816-01	0.000175022	0
NCGC00260698-01	0.000118357	0
NCGC00260889-01	0.000092135	0
NCGC00260811-01	0.000139841	0
NCGC00261165-01	0.000270162	0
NCGC00261060-01	0.000092074	0
NCGC00261541-01	0.000165053	0
NCGC00261649-01	0.000084047	0
NCGC00261110-01	0.000184284	0
NCGC00261130-01	0.000198172	0
NCGC00260846-01	0.000304881	0
NCGC00261030-01	0.000216944	0
NCGC00261162-01	0.001397565	0
NCGC00261058-01	0.001892226	0
NCGC00261404-01	0.000125549	0
NCGC00261423-01	0.000266456	0
NCGC00261856-01	0.000232968	0
NCGC00261342-01	0.000174767	0
NCGC00261935-01	0.000214279	0
NCGC00261069-01	0.001675650	0
NCGC00261101-01	0.000226142	0
NCGC00261183-01	0.000217199	0
NCGC00261716-01	0.000144338	0
NCGC00260742-01	0.000350128	0
NCGC00261529-01	0.000284858	0
NCGC00261170-01	0.000311986	0
NCGC00261565-01	0.000163614	0
NCGC00260990-01	0.000519101	0
NCGC00261340-01	0.000770365	0
NCGC00261079-01	0.000106884	0
NCGC00261389-01	0.000141378	0
NCGC00261744-01	0.000113684	0
NCGC00261420-01	0.000183600	0
NCGC00261215-01	0.000256239	0
NCGC00261826-01	0.000151936	0
NCGC00260706-01	0.000158287	0
NCGC00261123-01	0.000456341	0
NCGC00261367-01	0.000118404	0
NCGC00261507-01	0.000122321	0
NCGC00261169-01	0.000141042	0
NCGC00261730-01	0.000120826	0
NCGC00261624-01	0.000126815	0
NCGC00261641-01	0.000141502	0
NCGC00261853-01	0.000182180	0
NCGC00260911-01	0.000276537	0
NCGC00260798-01	0.000206541	0
NCGC00261384-01	0.000198906	0
NCGC00260785-01	0.000523077	0
NCGC00261597-01	0.000277415	0
NCGC00261025-01	0.000127420	0
NCGC00260789-01	0.000153167	0
NCGC00260866-01	0.000105467	0
NCGC00261189-01	0.000098906	0
NCGC00261270-01	0.001750532	0
NCGC00261611-01	0.000200684	0
NCGC00261160-01	0.007027848	1
NCGC00261085-01	0.000119692	0
