Sample ID	Score	Activity
NCGC00261776-01	-1.542	0
NCGC00261380-01	-3.399	0
NCGC00261842-01	-1.397	0
NCGC00261662-01	-0.127	0
NCGC00261190-01	-0.798	0
NCGC00260731-01	0.518	1
NCGC00261926-01	-1.581	0
NCGC00261579-01	-0.715	0
NCGC00260921-01	0.235	1
NCGC00261119-01	-1.433	0
NCGC00261812-01	1.93	1
NCGC00260831-01	-1.925	0
NCGC00261544-01	0.011	1
NCGC00261619-01	-0.951	0
NCGC00261395-01	-1.179	0
NCGC00261717-01	-2.017	0
NCGC00261947-01	-1.62	0
NCGC00261424-01	-1.098	0
NCGC00261861-01	0.535	1
NCGC00261924-01	-0.385	0
NCGC00261026-01	1.635	1
NCGC00261057-01	-3.462	0
NCGC00261738-01	0.07	1
NCGC00261348-01	-2.92	0
NCGC00261503-01	-0.078	0
NCGC00260693-01	-5.022	0
NCGC00260703-01	-5.08	0
NCGC00260716-01	-0.943	0
NCGC00260782-01	-1.722	0
NCGC00260802-01	-1.117	0
NCGC00260823-01	-2.033	0
NCGC00260757-01	-1.151	0
NCGC00260826-01	-1.237	0
NCGC00260889-01	-2.431	0
NCGC00260811-01	-3.305	0
NCGC00261165-01	-2.797	0
NCGC00261060-01	-3.255	0
NCGC00261541-01	-1.543	0
NCGC00261649-01	-2.547	0
NCGC00261110-01	-1.969	0
NCGC00261130-01	-1.453	0
NCGC00260846-01	-1.063	0
NCGC00261030-01	-1.058	0
NCGC00261162-01	1.107	1
NCGC00261058-01	-0.771	0
NCGC00261404-01	0.6	1
NCGC00261423-01	-1.396	0
NCGC00261856-01	-0.387	0
NCGC00261342-01	-2.318	0
NCGC00261069-01	-1.07	0
NCGC00261101-01	-1.492	0
NCGC00261716-01	-1.699	0
NCGC00260742-01	-3.434	0
NCGC00261529-01	-0.119	0
NCGC00261170-01	0.06	1
NCGC00261565-01	-2.441	0
NCGC00260990-01	-1.474	0
NCGC00261340-01	-0.877	0
NCGC00261079-01	-1.81	0
NCGC00261389-01	-2.131	0
NCGC00261744-01	-1.846	0
NCGC00261420-01	-1.829	0
NCGC00261215-01	-2.981	0
NCGC00261826-01	-1.276	0
NCGC00261123-01	-0.273	0
NCGC00261367-01	-3.337	0
NCGC00261507-01	-3.119	0
NCGC00261169-01	-2.053	0
NCGC00261730-01	-2.953	0
NCGC00261624-01	-2.11	0
NCGC00261641-01	-1.393	0
NCGC00261853-01	0.481	1
NCGC00260911-01	-0.761	0
NCGC00261384-01	-1.213	0
NCGC00260785-01	-2.165	0
NCGC00261025-01	-1.31	0
NCGC00260789-01	-0.936	0
NCGC00260866-01	-1.824	0
NCGC00261189-01	-1.124	0
NCGC00261270-01	1.398	1
NCGC00261611-01	-2.888	0
NCGC00261817-01	-1.526	0
NCGC00261866-01	-1.101	0
NCGC00260852-01	0.139	1
NCGC00261290-01	-0.488	0
NCGC00261304-01	-2.152	0
NCGC00261704-01	0.756	1
NCGC00260850-01	-1.933	0
NCGC00260972-01	-1.862	0
NCGC00261392-01	-0.406	0
NCGC00261638-01	0.387	1
NCGC00261820-01	-2.102	0
NCGC00261808-01	-2.237	0
NCGC00260790-01	0.059	1
NCGC00260940-01	-2.114	0
NCGC00261081-01	-1.854	0
NCGC00261506-01	-1.434	0
NCGC00261133-01	-2.159	0
NCGC00261399-01	0.128	1
NCGC00260696-01	0.069	1
NCGC00261903-01	1.199	1
NCGC00261178-01	-1.205	0
NCGC00261568-01	-2.195	0
NCGC00260830-01	-4.842	0
NCGC00261113-01	-3.104	0
NCGC00261327-01	-3.482	0
NCGC00261602-01	-3.049	0
NCGC00260858-01	-1.091	0
NCGC00261071-01	-1.172	0
NCGC00261076-01	-3.568	0
NCGC00261192-01	-3.899	0
NCGC00261577-01	-1.057	0
NCGC00261510-01	-2.875	0
NCGC00261679-01	-0.751	0
NCGC00261941-01	-0.898	0
NCGC00261343-01	-0.022	0
NCGC00261607-01	0.107	1
NCGC00261782-01	-1.361	0
NCGC00261475-01	1.963	1
NCGC00261764-01	-0.015	0
NCGC00261802-01	2.156	1
NCGC00261813-01	-2.646	0
NCGC00260795-01	-2.358	0
NCGC00261352-01	-1.166	0
NCGC00261009-01	-2.332	0
NCGC00261944-01	-3.903	0
NCGC00261166-01	0.155	1
NCGC00261332-01	-0.743	0
NCGC00261333-01	-2.654	0
NCGC00261260-01	-1.341	0
NCGC00261915-01	-2.068	0
NCGC00261682-01	-2.119	0
NCGC00260910-01	-1.49	0
NCGC00261272-01	3.031	1
NCGC00260708-01	-2.447	0
NCGC00261390-01	-1.645	0
NCGC00260948-01	-2.054	0
NCGC00261840-01	-1.762	0
NCGC00261153-01	-1.74	0
NCGC00261406-01	-2.049	0
NCGC00261053-01	-3.388	0
NCGC00261129-01	-2.621	0
NCGC00261381-01	-2.832	0
NCGC00261426-01	-1.881	0
NCGC00260979-01	-5.031	0
NCGC00260993-01	-2.869	0
NCGC00261108-01	-3.079	0
NCGC00261877-01	-2.858	0
NCGC00261542-01	-0.845	0
NCGC00261787-01	-2.816	0
NCGC00261065-01	-0.265	0
NCGC00261804-01	-2.69	0
NCGC00260875-01	-1.06	0
NCGC00261451-01	-2.108	0
NCGC00261948-01	-1.527	0
NCGC00261382-01	-2.995	0
NCGC00261297-01	-2.627	0
NCGC00261321-01	-1.158	0
NCGC00261446-01	-1.522	0
NCGC00261474-01	-2.208	0
NCGC00260803-01	-4.654	0
NCGC00260833-01	-4.952	0
NCGC00261008-01	-6.237	0
NCGC00261155-01	-4.242	0
NCGC00261643-01	-3.954	0
NCGC00261126-01	-0.098	0
NCGC00260871-01	1.36	1
NCGC00260713-01	-2.377	0
NCGC00261487-01	-2.926	0
NCGC00261545-01	-0.34	0
NCGC00261480-01	-1.309	0
NCGC00261838-01	-0.982	0
NCGC00261627-01	-0.983	0
NCGC00261177-01	-0.556	0
NCGC00260775-01	-1.299	0
NCGC00260707-01	-0.898	0
NCGC00261554-01	1.067	1
NCGC00261713-01	-0.844	0
NCGC00261737-01	1.214	1
NCGC00261882-01	2.557	1
NCGC00261933-01	-2.814	0
NCGC00261201-01	-1.735	0
NCGC00261398-01	-4.508	0
NCGC00261003-01	-0.608	0
NCGC00261019-01	-1.504	0
NCGC00261519-01	-2.267	0
NCGC00261732-01	-1.107	0
NCGC00260982-01	-0.859	0
NCGC00261176-01	-1.12	0
NCGC00261657-01	-0.582	0
NCGC00260822-01	-2.624	0
NCGC00261142-01	0.756	1
NCGC00261582-01	-1.791	0
NCGC00261825-01	0.336	1
NCGC00261833-01	0.644	1
NCGC00261835-01	0.171	1
NCGC00261860-01	0.819	1
NCGC00261906-01	0.947	1
NCGC00261916-01	0.732	1
NCGC00261939-01	0.557	1
NCGC00261869-01	-2.04	0
NCGC00261163-01	-1.324	0
NCGC00260770-01	-1.66	0
NCGC00261013-01	-1.564	0
NCGC00261910-01	0.924	1
NCGC00261686-01	-1.811	0
NCGC00261147-01	0.174	1
NCGC00261578-01	0.21	1
NCGC00261336-01	-2.143	0
NCGC00261593-01	1.098	1
NCGC00260821-01	-2.142	0
NCGC00261007-01	-5.285	0
NCGC00261246-01	-1.791	0
NCGC00261949-01	-0.964	0
NCGC00260890-01	-1.363	0
NCGC00261294-01	-1.847	0
NCGC00261330-01	-1.758	0
NCGC00261470-01	-1.69	0
NCGC00260691-01	-1.586	0
NCGC00261693-01	-3.595	0
NCGC00261293-01	-3.149	0
NCGC00261018-01	-1.896	0
NCGC00261075-01	-1.009	0
NCGC00261150-01	-0.756	0
NCGC00261767-01	-0.049	0
NCGC00261824-01	-3.122	0
NCGC00261146-01	-1.273	0
NCGC00260817-01	-1.045	0
NCGC00261161-01	-0.615	0
NCGC00260728-01	-0.662	0
NCGC00261254-01	-1.539	0
NCGC00261261-01	-1.864	0
NCGC00261691-01	-2.368	0
NCGC00261921-01	-2.374	0
NCGC00261028-01	-0.973	0
NCGC00261349-01	-0.328	0
NCGC00261583-01	2.688	1
NCGC00261672-01	-1.371	0
NCGC00261620-01	0.645	1
NCGC00261141-01	-0.638	0
NCGC00261752-01	-1.801	0
NCGC00261828-01	-0.829	0
NCGC00261913-01	-1.926	0
NCGC00357057-01	-0.602	0
NCGC00357171-01	-0.855	0
NCGC00356995-01	-1.069	0
NCGC00357205-01	-0.382	0
NCGC00357185-01	0.922	1
NCGC00357028-01	-0.327	0
NCGC00357064-01	-0.303	0
NCGC00357196-01	-0.211	0
NCGC00357271-01	2.275	1
NCGC00357213-01	-1.504	0
NCGC00357198-01	-0.604	0
NCGC00357079-01	-1.531	0
NCGC00357080-01	2.052	1
NCGC00357173-01	-0.442	0
NCGC00357277-01	-0.257	0
NCGC00357240-01	-0.088	0
NCGC00357145-01	-2.153	0
NCGC00357157-01	-0.816	0
NCGC00357160-01	-1.745	0
NCGC00357107-01	-1.522	0
NCGC00357106-01	-1.626	0
NCGC00357047-01	-1.825	0
NCGC00357174-01	-0.388	0
NCGC00357090-01	-0.388	0
NCGC00357204-01	-0.427	0
NCGC00357214-01	0.37	1
NCGC00357124-01	-0.642	0
NCGC00356983-01	1.617	1
NCGC00357092-01	0.207	1
NCGC00357042-01	-0.321	0
NCGC00357036-01	-0.444	0
NCGC00357089-01	-1.488	0
NCGC00357170-01	-1.402	0
NCGC00357132-01	-0.378	0
NCGC00357265-01	-0.075	0
NCGC00357260-01	-0.394	0
NCGC00357023-01	1.143	1
NCGC00357114-01	-0.114	0
NCGC00357033-01	-0.925	0
NCGC00357120-01	-1.098	0
NCGC00356963-01	0.109	1
NCGC00357055-01	0.203	1
NCGC00357139-01	0.01	1
NCGC00357242-01	0.028	1
NCGC00357161-01	-0.593	0
NCGC00357279-01	-1.028	0
NCGC00356973-01	-1.655	0
NCGC00357143-01	-0.548	0
NCGC00357182-01	-1.583	0
NCGC00356971-01	-0.458	0
NCGC00357084-01	-0.252	0
NCGC00357112-01	-2.097	0
NCGC00356962-01	0.8	1
NCGC00356993-01	-2.732	0
NCGC00357284-01	-1.85	0
NCGC00357046-01	-0.213	0
NCGC00357000-01	-2.57	0
NCGC00357012-01	-0.689	0
NCGC00356939-01	0.032	1
NCGC00356955-01	-1.085	0
NCGC00357262-01	-1.475	0
NCGC00356991-01	-1.143	0
NCGC00357203-01	-0.601	0
NCGC00357049-01	-1.078	0
NCGC00357073-01	-0.948	0
NCGC00357043-01	-0.865	0
NCGC00357269-01	-0.489	0
NCGC00357266-01	-0.598	0
NCGC00357076-01	-0.981	0
NCGC00357153-01	-0.628	0
NCGC00357138-01	-0.246	0
NCGC00357071-01	-0.586	0
NCGC00357274-01	-0.165	0
NCGC00356981-01	-3.352	0
NCGC00357278-01	-1.272	0
NCGC00357113-01	-0.417	0
NCGC00357218-01	-0.55	0
NCGC00357018-01	-0.25	0
NCGC00357048-01	-1.425	0
NCGC00357162-01	-1.369	0
NCGC00356941-01	-1.003	0
NCGC00357184-01	-1.455	0
NCGC00357238-01	-4.72	0
NCGC00357220-01	1.348	1
NCGC00357252-01	1.206	1
NCGC00357159-01	0.025	1
NCGC00356947-01	-2.045	0
