Sample ID	Score	Activity
NCGC00260691	0.45810	0
NCGC00260692	0.38434	0
NCGC00260693	0.30566	0
NCGC00260696	0.46658	0
NCGC00260698	0.41323	0
NCGC00260703	0.27631	0
NCGC00260706	0.58316	1
NCGC00260707	0.50002	1
NCGC00260708	0.22921	0
NCGC00260713	0.41843	0
NCGC00260716	0.31495	0
NCGC00260728	0.36775	0
NCGC00260731	0.77057	1
NCGC00260742	0.42048	0
NCGC00260743	0.46584	0
NCGC00260751	0.41626	0
NCGC00260757	0.29544	0
NCGC00260770	0.51285	1
NCGC00260775	0.37887	0
NCGC00260782	0.24617	0
NCGC00260785	0.45955	0
NCGC00260789	0.41259	0
NCGC00260790	0.46880	0
NCGC00260795	0.49042	0
NCGC00260798	0.65484	1
NCGC00260802	0.31525	0
NCGC00260803	0.44487	0
NCGC00260811	0.42524	0
NCGC00260815	0.43255	0
NCGC00260817	0.49369	0
NCGC00260821	0.30507	0
NCGC00260822	0.63582	1
NCGC00260823	0.28694	0
NCGC00260826	0.33882	0
NCGC00260830	0.48303	0
NCGC00260831	0.43702	0
NCGC00260833	0.41044	0
NCGC00260834	0.49405	0
NCGC00260840	0.50210	1
NCGC00260846	0.45285	0
NCGC00260850	0.44493	0
NCGC00260852	0.46486	0
NCGC00260858	0.55686	1
NCGC00260866	0.40493	0
NCGC00260867	0.28088	0
NCGC00260869	0.34596	0
NCGC00260871	0.55734	1
NCGC00260875	0.52820	1
NCGC00260876	0.37520	0
NCGC00260881	0.28670	0
NCGC00260889	0.34787	0
NCGC00260890	0.46148	0
NCGC00260892	0.39999	0
NCGC00260910	0.68250	1
NCGC00260911	0.61755	1
NCGC00260921	0.56325	1
NCGC00260940	0.57046	1
NCGC00260947	0.50737	1
NCGC00260948	0.31806	0
NCGC00260957	0.49082	0
NCGC00260962	0.30966	0
NCGC00260972	0.38194	0
NCGC00260979	0.37263	0
NCGC00260980	0.49416	0
NCGC00260982	0.63029	1
NCGC00260990	0.50521	1
NCGC00260993	0.36711	0
NCGC00261003	0.31269	0
NCGC00261005	0.36423	0
NCGC00261007	0.29597	0
NCGC00261008	0.46085	0
NCGC00261009	0.47524	0
NCGC00261013	0.41065	0
NCGC00261018	0.29139	0
NCGC00261019	0.28832	0
NCGC00261025	0.33585	0
NCGC00261026	0.59543	1
NCGC00261028	0.40727	0
NCGC00261030	0.46124	0
NCGC00261037	0.35470	0
NCGC00261049	0.49294	0
NCGC00261052	0.53869	1
NCGC00261053	0.28938	0
NCGC00261057	0.41901	0
NCGC00261058	0.60287	1
NCGC00261060	0.24674	0
NCGC00261065	0.62389	1
NCGC00261071	0.45055	0
NCGC00261075	0.42607	0
NCGC00261076	0.38304	0
NCGC00261079	0.35766	0
NCGC00261080	0.50088	1
NCGC00261081	0.52808	1
NCGC00261085	0.34641	0
NCGC00261101	0.50912	1
NCGC00261108	0.34452	0
NCGC00261110	0.45389	0
NCGC00261113	0.35348	0
NCGC00261119	0.33035	0
NCGC00261123	0.37108	0
NCGC00261129	0.26694	0
NCGC00261130	0.52858	1
NCGC00261133	0.49987	0
NCGC00261141	0.37103	0
NCGC00261142	0.50682	1
NCGC00261146	0.32967	0
NCGC00261147	0.82942	1
NCGC00261150	0.42151	0
NCGC00261153	0.52577	1
NCGC00261155	0.33719	0
NCGC00261160	0.72531	1
NCGC00261161	0.35862	0
NCGC00261162	0.49466	0
NCGC00261163	0.71670	1
NCGC00261165	0.51599	1
NCGC00261166	0.53525	1
NCGC00261169	0.35077	0
NCGC00261170	0.53519	1
NCGC00261176	0.49207	0
NCGC00261177	0.50529	1
NCGC00261178	0.48816	0
NCGC00261183	0.48972	0
NCGC00261189	0.36823	0
NCGC00261190	0.63339	1
NCGC00261192	0.56280	1
NCGC00261201	0.54228	1
NCGC00261215	0.55660	1
NCGC00261238	0.41763	0
NCGC00261246	0.25798	0
NCGC00261248	0.46374	0
NCGC00261254	0.30117	0
NCGC00261260	0.64080	1
NCGC00261261	0.30327	0
NCGC00261270	0.62746	1
NCGC00261272	0.66969	1
NCGC00261286	0.45188	0
NCGC00261290	0.49949	0
NCGC00261293	0.41623	0
NCGC00261294	0.25339	0
NCGC00261297	0.36051	0
NCGC00261304	0.45980	0
NCGC00261313	0.25384	0
NCGC00261321	0.31268	0
NCGC00261327	0.34028	0
NCGC00261330	0.50429	1
NCGC00261332	0.39459	0
NCGC00261333	0.55755	1
NCGC00261336	0.39304	0
NCGC00261340	0.31968	0
NCGC00261342	0.41275	0
NCGC00261343	0.46709	0
NCGC00261348	0.32893	0
NCGC00261349	0.39692	0
NCGC00261352	0.49789	0
NCGC00261364	0.26473	0
NCGC00261367	0.48936	0
NCGC00261380	0.49065	0
NCGC00261381	0.40338	0
NCGC00261382	0.59869	1
NCGC00261384	0.52087	1
NCGC00261389	0.46336	0
NCGC00261390	0.20720	0
NCGC00261392	0.45241	0
NCGC00261395	0.51213	1
NCGC00261398	0.59041	1
NCGC00261399	0.54706	1
NCGC00261404	0.41551	0
NCGC00261406	0.32162	0
NCGC00261420	0.58098	1
NCGC00261423	0.53431	1
NCGC00261424	0.49503	0
NCGC00261426	0.58150	1
NCGC00261440	0.52231	1
NCGC00261441	0.37674	0
NCGC00261446	0.62191	1
NCGC00261470	0.31995	0
NCGC00261473	0.42502	0
NCGC00261474	0.43437	0
NCGC00261475	0.48430	0
NCGC00261480	0.40586	0
NCGC00261487	0.59583	1
NCGC00261503	0.44636	0
NCGC00261506	0.39621	0
NCGC00261507	0.50054	1
NCGC00261510	0.48059	0
NCGC00261519	0.38294	0
NCGC00261529	0.51660	1
NCGC00261541	0.37154	0
NCGC00261542	0.45944	0
NCGC00261544	0.50470	1
NCGC00261545	0.49861	0
NCGC00261554	0.47195	0
NCGC00261563	0.59372	1
NCGC00261565	0.56588	1
NCGC00261568	0.41049	0
NCGC00261577	0.43564	0
NCGC00261578	0.32704	0
NCGC00261579	0.67116	1
NCGC00261582	0.53108	1
NCGC00261583	0.80879	1
NCGC00261593	0.70292	1
NCGC00261597	0.51232	1
NCGC00261598	0.39178	0
NCGC00261601	0.43827	0
NCGC00261602	0.36863	0
NCGC00261607	0.42404	0
NCGC00261611	0.53718	1
NCGC00261619	0.52343	1
NCGC00261620	0.58577	1
NCGC00261624	0.25665	0
NCGC00261627	0.61249	1
NCGC00261633	0.43533	0
NCGC00261638	0.46210	0
NCGC00261639	0.26458	0
NCGC00261641	0.54134	1
NCGC00261643	0.40181	0
NCGC00261649	0.20072	0
NCGC00261653	0.69050	1
NCGC00261657	0.40217	0
NCGC00261662	0.62661	1
NCGC00261663	0.56027	1
NCGC00261672	0.42854	0
NCGC00261679	0.33111	0
NCGC00261682	0.60193	1
NCGC00261683	0.42388	0
NCGC00261686	0.49186	0
NCGC00261691	0.39649	0
NCGC00261693	0.39353	0
NCGC00261704	0.46818	0
NCGC00261713	0.57038	1
NCGC00261716	0.36174	0
NCGC00261717	0.67499	1
NCGC00261718	0.66514	1
NCGC00261730	0.53085	1
NCGC00261732	0.39098	0
NCGC00261737	0.73225	1
NCGC00261738	0.42170	0
NCGC00261739	0.62838	1
NCGC00261744	0.49602	0
NCGC00261752	0.44149	0
NCGC00261764	0.54294	1
NCGC00261767	0.43259	0
NCGC00261776	0.49163	0
NCGC00261782	0.45286	0
NCGC00261787	0.38641	0
NCGC00261802	0.48902	0
NCGC00261804	0.55278	1
NCGC00261808	0.51077	1
NCGC00261812	0.54603	1
NCGC00261813	0.51551	1
NCGC00261816	0.45020	0
NCGC00261817	0.52314	1
NCGC00261820	0.25111	0
NCGC00261824	0.45313	0
NCGC00261825	0.50313	1
NCGC00261826	0.33213	0
NCGC00261828	0.51874	1
NCGC00261833	0.62452	1
NCGC00261835	0.48804	0
NCGC00261838	0.39930	0
NCGC00261840	0.53592	1
NCGC00261842	0.45353	0
NCGC00261853	0.45372	0
NCGC00261856	0.56840	1
NCGC00261860	0.63256	1
NCGC00261861	0.52687	1
NCGC00261866	0.44391	0
NCGC00261869	0.36421	0
NCGC00261873	0.54796	1
NCGC00261877	0.31892	0
NCGC00261882	0.59301	1
NCGC00261900	0.62489	1
NCGC00261903	0.50485	1
NCGC00261906	0.65430	1
NCGC00261910	0.81953	1
NCGC00261913	0.29828	0
NCGC00261914	0.44196	0
NCGC00261915	0.57610	1
NCGC00261916	0.60090	1
NCGC00261921	0.38274	0
NCGC00261924	0.48602	0
NCGC00261926	0.51950	1
NCGC00261933	0.69506	1
NCGC00261935	0.48311	0
NCGC00261939	0.48894	0
NCGC00261941	0.56177	1
NCGC00261944	0.53720	1
NCGC00261947	0.64706	1
NCGC00261948	0.57022	1
NCGC00261949	0.32889	0
NCGC00261958	0.37292	0
NCGC00356938	0.50399	1
NCGC00356939	0.23217	0
NCGC00356940	0.58111	1
NCGC00356941	0.33399	0
NCGC00356942	0.38605	0
NCGC00356943	0.49948	0
NCGC00356944	0.25640	0
NCGC00356945	0.17238	0
NCGC00356946	0.58932	1
NCGC00356947	0.35524	0
NCGC00356948	0.48803	0
NCGC00356949	0.58985	1
NCGC00356950	0.53988	1
NCGC00356951	0.39546	0
NCGC00356952	0.53316	1
NCGC00356953	0.60213	1
NCGC00356954	0.22625	0
NCGC00356955	0.48789	0
NCGC00356956	0.68943	1
NCGC00356957	0.53273	1
NCGC00356958	0.42410	0
NCGC00356959	0.38423	0
NCGC00356960	0.32958	0
NCGC00356961	0.32626	0
NCGC00356962	0.35513	0
NCGC00356963	0.36793	0
NCGC00356964	0.33465	0
NCGC00356965	0.52943	1
NCGC00356966	0.27293	0
NCGC00356967	0.25236	0
NCGC00356968	0.53124	1
NCGC00356969	0.29826	0
NCGC00356970	0.35186	0
NCGC00356971	0.57359	1
NCGC00356972	0.38216	0
NCGC00356973	0.34450	0
NCGC00356974	0.41768	0
NCGC00356975	0.37063	0
NCGC00356976	0.62424	1
NCGC00356977	0.50096	1
NCGC00356978	0.46180	0
NCGC00356979	0.27614	0
NCGC00356980	0.26807	0
NCGC00356981	0.40605	0
NCGC00356982	0.38048	0
NCGC00356983	0.68114	1
NCGC00356985	0.37737	0
NCGC00356986	0.45429	0
NCGC00356987	0.28492	0
NCGC00356988	0.61978	1
NCGC00356989	0.47140	0
NCGC00356990	0.52569	1
NCGC00356991	0.37922	0
NCGC00356992	0.47863	0
NCGC00356993	0.56101	1
NCGC00356994	0.42375	0
NCGC00356995	0.40544	0
NCGC00356996	0.19609	0
NCGC00356997	0.44794	0
NCGC00356998	0.46779	0
NCGC00356999	0.28649	0
NCGC00357000	0.52548	1
NCGC00357001	0.52982	1
NCGC00357002	0.46916	0
NCGC00357003	0.44169	0
NCGC00357004	0.46718	0
NCGC00357005	0.35674	0
NCGC00357006	0.54553	1
NCGC00357008	0.28363	0
NCGC00357009	0.29849	0
NCGC00357010	0.58232	1
NCGC00357011	0.67023	1
NCGC00357012	0.51009	1
NCGC00357013	0.69469	1
NCGC00357014	0.55148	1
NCGC00357015	0.33446	0
NCGC00357016	0.40239	0
NCGC00357017	0.71666	1
NCGC00357018	0.27746	0
NCGC00357019	0.63153	1
NCGC00357020	0.22729	0
NCGC00357021	0.50438	1
NCGC00357022	0.36064	0
NCGC00357023	0.69663	1
NCGC00357025	0.30069	0
NCGC00357026	0.52944	1
NCGC00357027	0.48109	0
NCGC00357028	0.39987	0
NCGC00357029	0.42994	0
NCGC00357030	0.35048	0
NCGC00357031	0.28641	0
NCGC00357032	0.34627	0
NCGC00357033	0.25390	0
NCGC00357034	0.52916	1
NCGC00357035	0.43810	0
NCGC00357036	0.34723	0
NCGC00357037	0.34989	0
NCGC00357038	0.56057	1
NCGC00357039	0.23677	0
NCGC00357040	0.25577	0
NCGC00357041	0.32245	0
NCGC00357042	0.27076	0
NCGC00357043	0.37767	0
NCGC00357044	0.30053	0
NCGC00357045	0.41218	0
NCGC00357046	0.36042	0
NCGC00357048	0.23823	0
NCGC00357049	0.30706	0
NCGC00357050	0.29625	0
NCGC00357051	0.55062	1
NCGC00357052	0.60536	1
NCGC00357053	0.21218	0
NCGC00357054	0.43611	0
NCGC00357055	0.65994	1
NCGC00357056	0.62245	1
NCGC00357057	0.52725	1
NCGC00357058	0.29959	0
NCGC00357059	0.29133	0
NCGC00357060	0.25138	0
NCGC00357061	0.29940	0
NCGC00357063	0.22318	0
NCGC00357064	0.30647	0
NCGC00357065	0.33456	0
NCGC00357066	0.32229	0
NCGC00357067	0.30193	0
NCGC00357068	0.28966	0
NCGC00357069	0.26027	0
NCGC00357070	0.24563	0
NCGC00357071	0.21672	0
NCGC00357072	0.54603	1
NCGC00357073	0.45336	0
NCGC00357074	0.25104	0
NCGC00357075	0.39223	0
NCGC00357076	0.31244	0
NCGC00357077	0.38930	0
NCGC00357078	0.44270	0
NCGC00357079	0.22971	0
NCGC00357080	0.82263	1
NCGC00357081	0.33621	0
NCGC00357082	0.26500	0
NCGC00357083	0.36138	0
NCGC00357084	0.56203	1
NCGC00357085	0.54089	1
NCGC00357086	0.23297	0
NCGC00357087	0.27794	0
NCGC00357088	0.20516	0
NCGC00357089	0.44607	0
NCGC00357091	0.47897	0
NCGC00357092	0.41501	0
NCGC00357093	0.51934	1
NCGC00357094	0.35916	0
NCGC00357095	0.29142	0
NCGC00357096	0.44169	0
NCGC00357097	0.61993	1
NCGC00357098	0.36593	0
NCGC00357100	0.23592	0
NCGC00357101	0.21261	0
NCGC00357102	0.23379	0
NCGC00357104	0.43651	0
NCGC00357105	0.31736	0
NCGC00357106	0.20912	0
NCGC00357107	0.23062	0
NCGC00357108	0.29266	0
NCGC00357109	0.58833	1
NCGC00357110	0.68711	1
NCGC00357111	0.40758	0
NCGC00357112	0.29344	0
NCGC00357113	0.32133	0
NCGC00357114	0.35350	0
NCGC00357115	0.58670	1
NCGC00357116	0.65896	1
NCGC00357117	0.73126	1
NCGC00357118	0.58700	1
NCGC00357119	0.37779	0
NCGC00357120	0.25600	0
NCGC00357121	0.31124	0
NCGC00357122	0.51110	1
NCGC00357123	0.65859	1
NCGC00357124	0.42640	0
NCGC00357125	0.49211	0
NCGC00357126	0.32939	0
NCGC00357127	0.32670	0
NCGC00357128	0.41755	0
NCGC00357129	0.26996	0
NCGC00357130	0.36297	0
NCGC00357131	0.28097	0
NCGC00357132	0.64209	1
NCGC00357133	0.33307	0
NCGC00357134	0.59385	1
NCGC00357135	0.45281	0
NCGC00357136	0.33814	0
NCGC00357137	0.30309	0
NCGC00357138	0.27912	0
NCGC00357139	0.30951	0
NCGC00357140	0.29967	0
NCGC00357141	0.47014	0
NCGC00357142	0.30902	0
NCGC00357143	0.37892	0
NCGC00357144	0.59562	1
NCGC00357145	0.35406	0
NCGC00357146	0.35508	0
NCGC00357147	0.35050	0
NCGC00357148	0.62874	1
NCGC00357149	0.63827	1
NCGC00357150	0.20985	0
NCGC00357151	0.33711	0
NCGC00357152	0.22633	0
NCGC00357153	0.32519	0
NCGC00357154	0.59143	1
NCGC00357155	0.23977	0
NCGC00357156	0.30637	0
NCGC00357157	0.24257	0
NCGC00357158	0.38695	0
NCGC00357159	0.26198	0
NCGC00357160	0.40025	0
NCGC00357161	0.31402	0
NCGC00357162	0.56053	1
NCGC00357163	0.28956	0
NCGC00357164	0.49025	0
NCGC00357165	0.29493	0
NCGC00357166	0.32793	0
NCGC00357167	0.32790	0
NCGC00357168	0.36182	0
NCGC00357169	0.42502	0
NCGC00357170	0.37520	0
NCGC00357171	0.18261	0
NCGC00357172	0.26045	0
NCGC00357173	0.29360	0
NCGC00357175	0.51781	1
NCGC00357176	0.40124	0
NCGC00357177	0.58256	1
NCGC00357178	0.70379	1
NCGC00357179	0.29018	0
NCGC00357180	0.49704	0
NCGC00357181	0.36728	0
NCGC00357182	0.37536	0
NCGC00357183	0.62802	1
NCGC00357184	0.21461	0
NCGC00357185	0.36879	0
NCGC00357186	0.27020	0
NCGC00357187	0.51909	1
NCGC00357188	0.73695	1
NCGC00357189	0.38404	0
NCGC00357190	0.33616	0
NCGC00357191	0.31820	0
NCGC00357193	0.21595	0
NCGC00357194	0.27097	0
NCGC00357195	0.31518	0
NCGC00357196	0.50081	1
NCGC00357197	0.33194	0
NCGC00357198	0.36397	0
NCGC00357199	0.48686	0
NCGC00357200	0.28387	0
NCGC00357201	0.57958	1
NCGC00357202	0.27502	0
NCGC00357203	0.58508	1
NCGC00357204	0.46413	0
NCGC00357205	0.38007	0
NCGC00357206	0.46185	0
NCGC00357208	0.62979	1
NCGC00357209	0.34385	0
NCGC00357210	0.62856	1
NCGC00357211	0.55033	1
NCGC00357212	0.29620	0
NCGC00357213	0.38694	0
NCGC00357214	0.53949	1
NCGC00357215	0.28986	0
NCGC00357216	0.27687	0
NCGC00357217	0.26917	0
NCGC00357218	0.72268	1
NCGC00357219	0.48779	0
NCGC00357220	0.67972	1
NCGC00357221	0.70137	1
NCGC00357222	0.29567	0
NCGC00357223	0.37541	0
NCGC00357224	0.52226	1
NCGC00357225	0.32683	0
NCGC00357226	0.29908	0
NCGC00357227	0.53476	1
NCGC00357228	0.26046	0
NCGC00357229	0.51714	1
NCGC00357230	0.49367	0
NCGC00357231	0.56375	1
NCGC00357232	0.31955	0
NCGC00357234	0.48307	0
NCGC00357235	0.33935	0
NCGC00357236	0.39882	0
NCGC00357237	0.52809	1
NCGC00357238	0.66769	1
NCGC00357239	0.26036	0
NCGC00357240	0.33151	0
NCGC00357243	0.39105	0
NCGC00357244	0.40324	0
NCGC00357245	0.33906	0
NCGC00357246	0.47818	0
NCGC00357247	0.30624	0
NCGC00357248	0.32093	0
NCGC00357249	0.38574	0
NCGC00357250	0.57215	1
NCGC00357251	0.52208	1
NCGC00357252	0.69304	1
NCGC00357253	0.59318	1
NCGC00357254	0.23573	0
NCGC00357255	0.46927	0
NCGC00357256	0.42715	0
NCGC00357257	0.39961	0
NCGC00357258	0.28714	0
NCGC00357259	0.61843	1
NCGC00357260	0.28845	0
NCGC00357261	0.44814	0
NCGC00357262	0.64707	1
NCGC00357263	0.57417	1
NCGC00357264	0.85849	1
NCGC00357265	0.30890	0
NCGC00357266	0.24213	0
NCGC00357267	0.29543	0
NCGC00357268	0.44859	0
NCGC00357269	0.41306	0
NCGC00357270	0.25179	0
NCGC00357271	0.58248	1
NCGC00357272	0.19368	0
NCGC00357273	0.44855	0
NCGC00357274	0.38959	0
NCGC00357275	0.55590	1
NCGC00357276	0.32401	0
NCGC00357277	0.68846	1
NCGC00357278	0.23807	0
NCGC00357279	0.37032	0
NCGC00357280	0.51677	1
NCGC00357281	0.58611	1
NCGC00357282	0.40988	0
NCGC00357283	0.38705	0
NCGC00357284	0.50656	1
NCGC00357285	0.46561	0
NCGC00357286	0.55599	1
NCGC00357287	0.26364	0
NCGC00357288	0.81201	1
NCGC00357289	0.29350	0
