SampleID	Score	Activity
NCGC00261949	0.0265	0
NCGC00357083	0.0163	0
NCGC00260731	0.2432	0
NCGC00357288	0.2945	0
NCGC00357081	0.0479	0
NCGC00260982	0.0179	0
NCGC00260980	0.2597	0
NCGC00357068	0.0267	0
NCGC00357069	0.0098	0
NCGC00357060	0.2685	0
NCGC00357061	0.0193	0
NCGC00357063	0.2206	0
NCGC00357064	0.0247	0
NCGC00357065	0.0170	0
NCGC00357066	0.0176	0
NCGC00357067	0.0265	0
NCGC00260698	0.0266	0
NCGC00261866	0.2348	0
NCGC00357201	0.9624	1
NCGC00357202	0.0175	0
NCGC00357203	0.0394	0
NCGC00357204	0.0166	0
NCGC00357205	0.0303	0
NCGC00261860	0.2706	0
NCGC00261861	0.2566	0
NCGC00357208	0.7711	1
NCGC00357209	0.0188	0
NCGC00261906	0.2780	0
NCGC00261900	0.0699	0
NCGC00261903	0.0489	0
NCGC00261869	0.0272	0
NCGC00261510	0.0467	0
NCGC00357284	0.0562	0
NCGC00261519	0.0290	0
NCGC00260742	0.0570	0
NCGC00260743	0.0419	0
NCGC00357287	0.2191	0
NCGC00260890	0.0375	0
NCGC00260892	0.0559	0
NCGC00357020	0.0315	0
NCGC00357021	0.0278	0
NCGC00261349	0.0329	0
NCGC00261348	0.0213	0
NCGC00261343	0.0488	0
NCGC00261342	0.0515	0
NCGC00261340	0.2482	0
NCGC00261583	0.4484	0
NCGC00261582	0.0262	0
NCGC00261163	0.0587	0
NCGC00261162	0.2538	0
NCGC00261248	0.0319	0
NCGC00261160	0.0654	0
NCGC00261166	0.2693	0
NCGC00261165	0.0446	0
NCGC00261169	0.0491	0
NCGC00261313	0.0207	0
NCGC00261246	0.0185	0
NCGC00261649	0.0305	0
NCGC00260803	0.0355	0
NCGC00261643	0.0367	0
NCGC00261641	0.0272	0
NCGC00261764	0.0571	0
NCGC00261767	0.0765	0
NCGC00261882	0.0761	0
NCGC00357037	0.0159	0
NCGC00357036	0.0232	0
NCGC00357035	0.2197	0
NCGC00357034	0.0323	0
NCGC00357033	0.2256	0
NCGC00357032	0.0153	0
NCGC00261019	0.0432	0
NCGC00357030	0.0330	0
NCGC00261013	0.0299	0
NCGC00357156	0.2692	0
NCGC00357039	0.0121	0
NCGC00357038	0.2911	0
NCGC00357119	0.0166	0
NCGC00357151	0.0908	0
NCGC00260940	0.0376	0
NCGC00260947	0.0681	0
NCGC00260948	0.0128	0
NCGC00261085	0.0294	0
NCGC00357109	0.0349	0
NCGC00357108	0.2231	0
NCGC00261080	0.0401	0
NCGC00261081	0.0436	0
NCGC00357103	0.0116	0
NCGC00357102	0.0191	0
NCGC00357101	0.0238	0
NCGC00357100	0.0169	0
NCGC00357107	0.0117	0
NCGC00357106	0.0375	0
NCGC00357105	0.0319	0
NCGC00357104	0.0222	0
NCGC00260790	0.2390	0
NCGC00260795	0.0356	0
NCGC00357158	0.0072	0
NCGC00260798	0.0386	0
NCGC00261941	0.0503	0
NCGC00357088	0.1691	0
NCGC00357089	0.0543	0
NCGC00261944	0.0742	0
NCGC00261947	0.0874	0
NCGC00357082	0.0172	0
NCGC00261948	0.0731	0
NCGC00357080	0.2791	0
NCGC00261133	0.0459	0
NCGC00357086	0.0105	0
NCGC00357087	0.0379	0
NCGC00357084	0.0215	0
NCGC00357085	0.0140	0
NCGC00260708	0.0146	0
NCGC00260703	0.0336	0
NCGC00260706	0.2323	0
NCGC00260707	0.0478	0
NCGC00356959	0.0148	0
NCGC00356958	0.0292	0
NCGC00356953	0.0613	0
NCGC00356952	0.0705	0
NCGC00356951	0.0345	0
NCGC00356950	0.2329	0
NCGC00356957	0.2465	0
NCGC00356956	0.0603	0
NCGC00356955	0.2359	0
NCGC00356954	0.0204	0
NCGC00357257	0.0274	0
NCGC00261838	0.0283	0
NCGC00357259	0.3128	0
