Sample ID	Score	Activity
NCGC00261900-01	0.073542903	0
NCGC00260869-01	0.012049242	0
NCGC00261776-01	0.010366476	0
NCGC00261380-01	0.079644048	0
NCGC00261842-01	0.048399659	0
NCGC00261662-01	0.124084424	0
NCGC00261190-01	0.041089557	0
NCGC00260731-01	0.596738095	1
NCGC00261926-01	0.031111111	0
NCGC00261579-01	0.071439278	0
NCGC00260921-01	0.020653571	0
NCGC00261119-01	0.011974383	0
NCGC00260957-01	0.441611883	0
NCGC00261812-01	0.109642857	0
NCGC00260831-01	0.407333333	0
NCGC00261544-01	0.069002040	0
NCGC00261619-01	0.031666667	0
NCGC00261633-01	0.106888312	0
NCGC00261395-01	0.013666667	0
NCGC00261717-01	0.157166667	0
NCGC00261947-01	0.077833333	0
NCGC00261424-01	0.008400000	0
NCGC00261861-01	0.476833333	0
NCGC00261924-01	0.036009524	0
NCGC00261052-01	0.000593136	0
NCGC00261683-01	0.074859732	0
NCGC00261026-01	0.081000000	0
NCGC00261057-01	0.021400000	0
NCGC00261738-01	0.689090214	1
NCGC00261348-01	0.029167492	0
NCGC00261503-01	0.009181033	0
NCGC00260693-01	0.001492781	0
NCGC00260703-01	0.000847863	0
NCGC00260716-01	0.004410922	0
NCGC00260782-01	0.001023243	0
NCGC00260802-01	0.007421313	0
NCGC00260823-01	0.054140070	0
NCGC00261313-01	0.011525197	0
NCGC00260757-01	0.004020851	0
NCGC00260826-01	0.002113898	0
NCGC00261005-01	0.083609973	0
NCGC00260980-01	0.046000000	0
NCGC00261816-01	0.012634343	0
NCGC00260698-01	0.018066667	0
NCGC00260889-01	0.034666667	0
NCGC00260811-01	0.028352135	0
NCGC00261165-01	0.041511111	0
NCGC00261060-01	0.001009804	0
NCGC00261541-01	0.043167555	0
NCGC00261649-01	0.000049342	0
NCGC00261110-01	0.056666667	0
NCGC00261130-01	0.028333333	0
NCGC00260846-01	0.004817822	0
NCGC00261030-01	0.014631555	0
NCGC00261162-01	0.026905712	0
NCGC00261058-01	0.355466667	0
NCGC00261404-01	0.050110061	0
NCGC00261423-01	0.046618951	0
NCGC00261856-01	0.046618951	0
NCGC00261342-01	0.164000000	0
NCGC00261935-01	0.000661021	0
NCGC00261069-01	0.028662870	0
NCGC00261101-01	0.117794285	0
NCGC00261183-01	0.029444444	0
NCGC00261716-01	0.137666667	0
NCGC00260742-01	0.043323598	0
NCGC00261529-01	0.020037561	0
NCGC00261170-01	0.138933810	0
NCGC00261565-01	0.081255639	0
NCGC00260990-01	0.058717949	0
NCGC00261340-01	0.016608324	0
NCGC00261079-01	0.012166667	0
NCGC00261389-01	0.155666667	0
NCGC00261744-01	0.022500000	0
NCGC00261420-01	0.067150462	0
NCGC00261215-01	0.091833333	0
