Sample ID	Score	Activity
NCGC00261900-01	0.000024956	0
NCGC00260869-01	0.000011471	0
NCGC00261776-01	0.000020941	0
NCGC00261380-01	0.000773672	0
NCGC00261842-01	0.547722570	1
NCGC00261662-01	0.000040505	0
NCGC00261190-01	0.000147721	0
NCGC00260731-01	0.003778890	0
NCGC00261926-01	0.000019430	0
NCGC00261579-01	0.000076452	0
NCGC00260921-01	0.000083845	0
NCGC00261119-01	0.000021091	0
NCGC00260957-01	0.621276104	1
NCGC00261812-01	0.000102495	0
NCGC00260831-01	0.000083967	0
NCGC00261544-01	0.000028594	0
NCGC00261619-01	0.547722913	1
NCGC00261633-01	0.000017229	0
NCGC00261395-01	0.000014591	0
NCGC00261717-01	0.000074826	0
NCGC00261947-01	0.000034246	0
NCGC00261424-01	0.000033508	0
NCGC00261861-01	0.496231554	1
NCGC00261924-01	0.000244834	0
NCGC00261052-01	0.000036894	0
NCGC00261683-01	0.000030495	0
NCGC00261026-01	0.000736804	0
NCGC00261057-01	0.000011515	0
NCGC00261738-01	0.000196866	0
NCGC00261348-01	0.000006019	0
NCGC00261503-01	0.000012030	0
NCGC00260693-01	0.000006668	0
NCGC00260703-01	0.000005054	0
NCGC00260716-01	0.000004860	0
NCGC00260782-01	0.000006226	0
NCGC00260802-01	0.000005495	0
NCGC00260823-01	0.000005339	0
NCGC00261313-01	0.000007311	0
NCGC00260757-01	0.000005101	0
NCGC00260826-01	0.000004745	0
NCGC00261005-01	0.000005536	0
NCGC00260980-01	0.000015023	0
NCGC00261816-01	0.000022321	0
NCGC00260698-01	0.000011395	0
NCGC00260889-01	0.000008720	0
NCGC00260811-01	0.000018596	0
NCGC00261165-01	0.000032533	0
NCGC00261060-01	0.000007428	0
NCGC00261541-01	0.000022622	0
NCGC00261649-01	0.000006638	0
NCGC00261110-01	0.000021495	0
NCGC00261130-01	0.000025362	0
NCGC00260846-01	0.000043680	0
NCGC00261030-01	0.000027121	0
NCGC00261162-01	0.000205403	0
NCGC00261058-01	0.000436823	0
NCGC00261404-01	0.000016361	0
NCGC00261423-01	0.000030352	0
NCGC00261856-01	0.000024889	0
NCGC00261342-01	0.000017206	0
NCGC00261935-01	0.000026297	0
NCGC00261069-01	0.000299973	0
NCGC00261101-01	0.000028288	0
NCGC00261183-01	0.000028530	0
NCGC00261716-01	0.000017092	0
NCGC00260742-01	0.000048610	0
NCGC00261529-01	0.000036790	0
NCGC00261170-01	0.000060659	0
NCGC00261565-01	0.000018808	0
NCGC00260990-01	0.000098705	0
NCGC00261340-01	0.000105101	0
NCGC00261079-01	0.000012408	0
NCGC00261389-01	0.000018076	0
NCGC00261744-01	0.000013674	0
NCGC00261420-01	0.000020060	0
NCGC00261215-01	0.707106781	1
NCGC00261826-01	0.000022581	0
NCGC00260706-01	0.000022393	0
NCGC00261123-01	0.000065004	0
NCGC00261367-01	0.000011800	0
NCGC00261507-01	0.000012378	0
NCGC00261169-01	0.000017727	0
NCGC00261730-01	0.000011788	0
NCGC00261624-01	0.000014368	0
NCGC00261641-01	0.000013359	0
NCGC00261853-01	0.000019222	0
NCGC00260911-01	0.000049555	0
NCGC00260798-01	0.000031259	0
NCGC00261384-01	0.000025050	0
NCGC00260785-01	0.000075100	0
NCGC00261597-01	0.000034148	0
NCGC00261025-01	0.000013652	0
NCGC00260789-01	0.000019436	0
NCGC00260866-01	0.000010326	0
NCGC00261189-01	0.000012244	0
NCGC00261270-01	0.000331430	0
NCGC00261611-01	0.000025922	0
NCGC00261160-01	0.001167015	0
NCGC00261085-01	0.000011407	0
NCGC00261817-01	0.000013220	0
NCGC00261866-01	0.000012826	0
NCGC00260852-01	0.000022713	0
NCGC00261290-01	0.000025956	0
NCGC00261304-01	0.000254535	0
NCGC00261704-01	0.000031144	0
NCGC00260850-01	0.000016316	0
NCGC00260972-01	0.000011199	0
NCGC00261364-01	0.000011669	0
NCGC00261392-01	0.000035901	0
NCGC00261638-01	0.000014134	0
NCGC00261820-01	0.000010319	0
NCGC00261808-01	0.000007305	0
NCGC00260790-01	0.000054920	0
NCGC00260940-01	0.000085163	0
NCGC00261081-01	0.000021999	0
NCGC00261506-01	0.000041963	0
NCGC00261133-01	0.000018281	0
NCGC00261399-01	0.000034535	0
NCGC00260696-01	0.000134349	0
NCGC00261903-01	0.000053412	0
NCGC00261178-01	0.000159620	0
NCGC00261568-01	0.000010005	0
NCGC00260830-01	0.000006261	0
NCGC00261113-01	0.000011332	0
NCGC00261327-01	0.000008982	0
NCGC00261602-01	0.000008869	0
NCGC00260858-01	0.000142189	0
NCGC00261071-01	0.000042805	0
NCGC00261076-01	0.000011106	0
NCGC00261192-01	0.000015293	0
NCGC00261495-01	0.000014705	0
NCGC00261577-01	0.000031491	0
NCGC00261510-01	0.000012365	0
NCGC00261679-01	0.000029121	0
NCGC00261941-01	0.000013103	0
NCGC00261343-01	0.000019485	0
NCGC00261607-01	0.000027024	0
NCGC00261782-01	0.000028220	0
NCGC00261914-01	0.000014983	0
NCGC00261475-01	0.535890546	1
NCGC00261764-01	0.000101749	0
NCGC00261802-01	0.002373375	0
NCGC00261813-01	0.000028303	0
NCGC00260795-01	0.000014844	0
NCGC00261352-01	0.000227442	0
NCGC00261009-01	0.000040207	0
NCGC00261944-01	0.000024388	0
NCGC00261166-01	0.000581787	0
NCGC00261332-01	0.000085755	0
NCGC00261333-01	0.000021250	0
NCGC00261260-01	0.000141778	0
NCGC00261915-01	0.000043285	0
NCGC00261238-01	0.000021672	0
NCGC00261682-01	0.000018140	0
NCGC00261049-01	0.000023169	0
NCGC00260910-01	0.000022189	0
NCGC00261272-01	0.002504922	0
NCGC00260708-01	0.000009133	0
NCGC00261390-01	0.000005227	0
NCGC00260948-01	0.000006438	0
NCGC00261840-01	0.000024750	0
NCGC00260881-01	0.000012137	0
NCGC00261153-01	0.000019565	0
NCGC00261406-01	0.000014937	0
NCGC00261053-01	0.000006777	0
NCGC00261129-01	0.000006741	0
NCGC00261381-01	0.000029781	0
NCGC00261426-01	0.000027381	0
NCGC00260979-01	0.000021048	0
NCGC00260993-01	0.000012066	0
NCGC00261108-01	0.547722558	1
NCGC00261441-01	0.000014604	0
NCGC00261877-01	0.000011824	0
NCGC00260815-01	0.000010718	0
NCGC00261542-01	0.000024958	0
NCGC00261958-01	0.000015759	0
NCGC00261787-01	0.000009670	0
NCGC00261065-01	0.000091643	0
NCGC00261804-01	0.000029236	0
NCGC00260875-01	0.000245051	0
NCGC00261451-01	0.000024830	0
NCGC00261739-01	0.000014601	0
NCGC00261948-01	0.000111481	0
NCGC00261382-01	0.535890543	1
NCGC00261663-01	0.000009756	0
NCGC00260892-01	0.000024379	0
NCGC00261297-01	0.000016069	0
NCGC00261321-01	0.000012365	0
NCGC00261446-01	0.000098991	0
NCGC00261474-01	0.000017180	0
NCGC00260834-01	0.000018918	0
NCGC00260840-01	0.000011737	0
NCGC00260947-01	0.000028841	0
NCGC00261080-01	0.000013647	0
NCGC00261563-01	0.000012458	0
NCGC00261873-01	0.000015491	0
NCGC00260803-01	0.000012974	0
NCGC00260833-01	0.000009911	0
NCGC00261008-01	0.000009098	0
NCGC00261155-01	0.000006086	0
NCGC00261643-01	0.000011143	0
NCGC00261037-01	0.000009215	0
NCGC00261126-01	0.000000000	0
NCGC00260871-01	0.000136505	0
NCGC00260713-01	0.000018750	0
NCGC00261487-01	0.000019524	0
NCGC00261545-01	0.000035970	0
NCGC00261480-01	0.000017100	0
NCGC00261838-01	0.000018994	0
NCGC00261627-01	0.000096855	0
NCGC00261639-01	0.000012659	0
NCGC00261177-01	0.031966869	0
NCGC00260692-01	0.000010504	0
NCGC00260775-01	0.000013429	0
NCGC00260876-01	0.000009551	0
NCGC00261598-01	0.000005958	0
NCGC00260707-01	0.000016571	0
NCGC00261554-01	0.000097058	0
NCGC00261713-01	0.547722558	1
NCGC00261737-01	0.000468199	0
NCGC00261882-01	0.000028699	0
NCGC00261933-01	0.000035418	0
NCGC00261201-01	0.000013119	0
NCGC00261398-01	0.000013929	0
NCGC00261601-01	0.000025685	0
NCGC00261003-01	0.000009060	0
NCGC00261019-01	0.000010834	0
NCGC00261519-01	0.000011166	0
NCGC00261732-01	0.000010816	0
NCGC00261718-01	0.028869232	0
NCGC00260743-01	0.000011988	0
NCGC00260751-01	0.000004777	0
NCGC00260867-01	0.000013113	0
NCGC00260982-01	0.000060308	0
NCGC00261176-01	0.000014742	0
NCGC00261289-01	0.000025005	0
NCGC00261440-01	0.000016627	0
NCGC00261657-01	0.000009239	0
NCGC00260822-01	0.000035628	0
NCGC00261142-01	0.000045617	0
NCGC00261582-01	0.000011100	0
NCGC00261825-01	0.000251218	0
NCGC00261833-01	0.000038128	0
NCGC00261835-01	0.000048282	0
NCGC00261860-01	0.001553886	0
NCGC00261906-01	0.000315311	0
NCGC00261916-01	0.000469326	0
NCGC00261939-01	0.547722646	1
NCGC00261869-01	0.000014003	0
NCGC00261163-01	0.000028221	0
NCGC00261653-01	0.000015016	0
NCGC00261248-01	0.000017674	0
NCGC00260770-01	0.000011918	0
NCGC00261013-01	0.000009590	0
NCGC00261910-01	0.001740116	0
NCGC00261686-01	0.000015738	0
NCGC00261147-01	0.000195769	0
NCGC00261578-01	0.000040830	0
NCGC00261336-01	0.000006355	0
NCGC00261593-01	0.000426949	0
NCGC00260821-01	0.000009172	0
NCGC00261007-01	0.000007178	0
NCGC00261246-01	0.000006947	0
NCGC00261949-01	0.000012659	0
NCGC00260890-01	0.000014581	0
NCGC00261294-01	0.000004860	0
NCGC00261330-01	0.000018887	0
NCGC00261470-01	0.000008144	0
NCGC00260691-01	0.000011631	0
NCGC00261693-01	0.000008295	0
NCGC00261293-01	0.000029900	0
NCGC00261018-01	0.000008232	0
NCGC00261075-01	0.000022020	0
NCGC00261150-01	0.000028505	0
NCGC00261767-01	0.000049448	0
NCGC00261824-01	0.000019252	0
NCGC00261146-01	0.000012566	0
NCGC00260817-01	0.000013571	0
NCGC00261161-01	0.000008977	0
NCGC00260728-01	0.000008314	0
NCGC00261286-01	0.000000000	0
NCGC00261254-01	0.000014109	0
NCGC00261261-01	0.000012399	0
NCGC00261691-01	0.000014098	0
NCGC00261921-01	0.000015243	0
NCGC00260962-01	0.000078604	0
NCGC00261028-01	0.000019914	0
NCGC00261349-01	0.000025219	0
NCGC00261583-01	0.001202708	0
NCGC00261672-01	0.000014983	0
