Sample ID	Score	Activity
NCGC00261737-01	0.917653236	1
NCGC00261545-01	0.708008819	1
NCGC00357275-01	0.692696424	1
NCGC00261812-01	0.607741029	1
NCGC00357072-01	0.607741029	1
NCGC00357007-01	0.579877339	1
NCGC00357097-01	0.536250427	1
NCGC00357201-01	0.493465557	1
NCGC00260957-01	0.483266751	1
NCGC00357288-01	0.478121586	1
NCGC00261718-01	0.470831206	1
NCGC00357132-01	0.460441661	1
NCGC00261065-01	0.44995772	1
NCGC00356984-01	0.436694922	1
NCGC00357259-01	0.424583619	1
NCGC00261861-01	0.392404135	1
NCGC00357251-01	0.392404135	1
NCGC00261619-01	0.39164116	1
NCGC00357038-01	0.379412461	1
NCGC00357264-01	0.379177105	1
NCGC00260962-01	0.372207596	1
NCGC00357146-01	0.37029096	1
NCGC00261583-01	0.362050109	1
NCGC00357185-01	0.342449896	1
NCGC00357207-01	0.339634759	1
NCGC00261215-01	0.338681293	1
NCGC00261910-01	0.335936839	1
NCGC00261882-01	0.32097815	1
NCGC00357208-01	0.318969202	1
NCGC00357099-01	0.318969202	1
NCGC00261304-01	0.318678068	1
NCGC00260731-01	0.315832207	1
NCGC00261833-01	0.314031373	1
NCGC00357023-01	0.312690102	1
NCGC00261058-01	0.302078849	1
NCGC00356983-01	0.297085367	1
NCGC00261272-01	0.289165412	1
NCGC00356976-01	0.285704391	1
NCGC00261906-01	0.284488806	0
NCGC00261704-01	0.279631696	0
NCGC00357255-01	0.27294616	0
NCGC00261028-01	0.266378508	0
NCGC00356989-01	0.262937416	0
NCGC00261190-01	0.262441779	0
NCGC00261026-01	0.246773765	0
NCGC00261860-01	0.245723687	0
NCGC00357234-01	0.239904623	0
NCGC00357117-01	0.239430901	0
NCGC00261947-01	0.237473388	0
NCGC00261802-01	0.23161018	0
NCGC00261903-01	0.22849422	0
NCGC00357277-01	0.223481573	0
NCGC00260910-01	0.218976343	0
NCGC00260921-01	0.207759628	0
NCGC00261392-01	0.206906712	0
NCGC00261679-01	0.204586759	0
NCGC00261248-01	0.198575835	0
NCGC00261343-01	0.194316026	0
NCGC00357128-01	0.194235853	0
NCGC00357134-01	0.19030282	0
NCGC00261825-01	0.186970466	0
NCGC00356998-01	0.184060964	0
NCGC00357081-01	0.18358776	0
NCGC00357221-01	0.18222639	0
NCGC00260911-01	0.180803188	0
NCGC00357004-01	0.180285976	0
NCGC00261260-01	0.180187249	0
NCGC00356995-01	0.177323339	0
NCGC00357268-01	0.176901127	0
NCGC00261554-01	0.17605793	0
NCGC00261119-01	0.175508594	0
NCGC00356939-01	0.175143983	0
NCGC00261163-01	0.173794417	0
NCGC00357222-01	0.173597893	0
NCGC00261941-01	0.172845601	0
NCGC00261049-01	0.17177019	0
NCGC00356988-01	0.170048871	0
NCGC00357218-01	0.167910362	0
NCGC00261776-01	0.166997706	0
NCGC00357052-01	0.165642231	0
NCGC00357111-01	0.165253356	0
NCGC00261381-01	0.164035109	0
NCGC00261133-01	0.162871058	0
NCGC00357041-01	0.161037694	0
NCGC00260990-01	0.160499215	0
NCGC00357108-01	0.160296652	0
NCGC00357043-01	0.158755997	0
NCGC00357018-01	0.157539372	0
NCGC00261939-01	0.154532927	0
NCGC00261177-01	0.154057797	0
NCGC00261178-01	0.151550955	0
NCGC00261297-01	0.149387819	0
NCGC00357154-01	0.147870206	0
NCGC00357196-01	0.147443452	0
NCGC00261601-01	0.14701947	0
NCGC00357118-01	0.145534322	0
NCGC00261620-01	0.14211216	0
NCGC00261270-01	0.140430698	0
NCGC00356965-01	0.139819489	0
NCGC00261166-01	0.138589441	0
NCGC00261813-01	0.138490575	0
NCGC00260785-01	0.137944323	0
NCGC00261948-01	0.134672948	0
NCGC00260866-01	0.132622671	0
NCGC00356949-01	0.131014682	0
NCGC00260822-01	0.130586359	0
NCGC00261313-01	0.130333187	0
NCGC00260947-01	0.129827844	0
NCGC00261853-01	0.127965132	0
