Sample ID	Score	Activity
NCGC00261348-01	0.2016	0
NCGC00260693-01	0.1439	0
NCGC00261503-01	0.22	0
NCGC00261119-01	0.5246	1
NCGC00260716-01	0.0375	0
NCGC00260703-01	0.1299	0
NCGC00260823-01	0.1523	0
NCGC00260731-01	0.6126	1
NCGC00261579-01	0.5834	1
NCGC00260782-01	0.1271	0
NCGC00261057-01	0.4496	0
NCGC00261683-01	0.1361	0
NCGC00261738-01	0.5664	1
NCGC00261313-01	0.1321	0
NCGC00260826-01	0.0638	0
NCGC00261633-01	0.1635	0
NCGC00260757-01	0.0392	0
NCGC00261052-01	0.557	1
NCGC00261005-01	0.2363	0
NCGC00261190-01	0.4255	0
NCGC00260802-01	0.075	0
NCGC00261842-01	0.4502	0
NCGC00261544-01	0.3779	0
NCGC00261541-01	0.3673	0
NCGC00261812-01	0.2335	0
NCGC00261662-01	0.3589	0
NCGC00261649-01	0.2066	0
NCGC00260831-01	0.3415	0
NCGC00261380-01	0.5903	1
NCGC00260869-01	0.0829	0
NCGC00261060-01	0.1545	0
NCGC00260846-01	0.576	1
NCGC00261162-01	0.1629	0
NCGC00261395-01	0.2581	0
NCGC00261030-01	0.5633	1
NCGC00261856-01	0.168	0
NCGC00261935-01	0.5486	1
NCGC00261926-01	0.3964	0
NCGC00261423-01	0.2144	0
NCGC00261183-01	0.3315	0
NCGC00261924-01	0.2385	0
NCGC00261069-01	0.6644	1
NCGC00260921-01	0.5284	1
NCGC00261110-01	0.5015	1
NCGC00261101-01	0.3858	0
NCGC00260889-01	0.5	0
NCGC00261619-01	0.5329	1
NCGC00261165-01	0.2262	0
NCGC00260698-01	0.4339	0
NCGC00261776-01	0.1904	0
NCGC00261861-01	0.6434	1
NCGC00261026-01	0.5103	1
NCGC00261079-01	0.3567	0
NCGC00260990-01	0.5587	1
NCGC00261340-01	0.5711	1
NCGC00260811-01	0.2284	0
NCGC00261130-01	0.5014	1
NCGC00260980-01	0.5196	1
NCGC00261730-01	0.0543	0
NCGC00261716-01	0.1456	0
NCGC00260706-01	0.5389	1
NCGC00261816-01	0.4367	0
NCGC00261404-01	0.182	0
NCGC00261565-01	0.4714	0
NCGC00261424-01	0.2497	0
NCGC00261507-01	0.1573	0
NCGC00261744-01	0.1573	0
NCGC00261367-01	0.1993	0
