Sample ID	Score	Activity
NCGC00261900	0.534	0
NCGC00260869	0.374	0
NCGC00261776	0.5678	0
NCGC00261380	0.6118	1
NCGC00261842	0.3918	0
NCGC00261662	0.6062	1
NCGC00261190	0.3958	0
NCGC00260731	0.77	1
NCGC00261926	0.611	1
NCGC00261579	0.5632	0
NCGC00260921	0.6344	1
NCGC00261119	0.6556	1
NCGC00260957	0.7204	1
NCGC00261812	0.6018	1
NCGC00260831	0.487	0
NCGC00261544	0.5492	0
NCGC00261619	0.6798	1
NCGC00261633	0.4138	0
NCGC00261395	0.5484	0
NCGC00261717	0.6064	1
NCGC00261947	0.5746	0
NCGC00261424	0.625	1
NCGC00261861	0.9184	1
NCGC00261924	0.824	1
NCGC00261052	0.7342	1
NCGC00261683	0.4196	0
NCGC00261026	0.4228	0
NCGC00261057	0.3512	0
NCGC00261738	0.3866	0
NCGC00261348	0.2256	0
NCGC00261503	0.4456	0
NCGC00260693	0.257	0
NCGC00260703	0.2626	0
NCGC00260716	0.0886	0
NCGC00260782	0.3002	0
NCGC00260802	0.1944	0
NCGC00260823	0.2028	0
NCGC00261313	0.0834	0
NCGC00260757	0.3378	0
NCGC00260826	0.133	0
NCGC00261005	0.2504	0
NCGC00260980	0.398	0
NCGC00261816	0.7504	1
NCGC00260698	0.2246	0
NCGC00260889	0.4818	0
NCGC00260811	0.5924	0
NCGC00261165	0.3962	0
NCGC00261060	0.1596	0
NCGC00261541	0.2944	0
NCGC00261649	0.1386	0
NCGC00261110	0.4424	0
NCGC00261130	0.3288	0
NCGC00260846	0.7442	1
NCGC00261030	0.4844	0
NCGC00261162	0.4738	0
NCGC00261058	0.6864	1
NCGC00261404	0.6806	1
NCGC00261423	0.691	1
NCGC00261856	0.677	1
NCGC00261342	0.6962	1
NCGC00261935	0.41	0
NCGC00261069	0.503	0
NCGC00261101	0.5802	0
NCGC00261183	0.5898	0
NCGC00261716	0.6128	1
NCGC00260742	0.5758	0
NCGC00261529	0.7424	1
NCGC00261170	0.7766	1
NCGC00261565	0.6118	1
NCGC00260990	0.737	1
NCGC00261340	0.4882	0
NCGC00261079	0.5548	0
NCGC00261389	0.6558	1
NCGC00261744	0.271	0
NCGC00261420	0.381	0
NCGC00261215	0.5478	0
NCGC00261826	0.6382	1
NCGC00260706	0.8464	1
NCGC00261123	0.6652	1
NCGC00261367	0.1926	0
NCGC00261507	0.1966	0
NCGC00261169	0.5352	0
NCGC00261730	0.155	0
NCGC00261624	0.5388	0
NCGC00261641	0.2208	0
NCGC00261853	0.6206	1
NCGC00260911	0.773	1
NCGC00260798	0.5732	0
NCGC00261384	0.6264	1
NCGC00260785	0.685	1
NCGC00261597	0.3062	0
NCGC00261025	0.3576	0
NCGC00260789	0.395	0
NCGC00260866	0.5888	0
NCGC00261189	0.4664	0
NCGC00261270	0.5916	0
NCGC00261611	0.5698	0
NCGC00261160	0.7834	1
NCGC00261085	0.4336	0
NCGC00261817	0.359	0
NCGC00261866	0.645	1
NCGC00260852	0.7008	1
NCGC00261290	0.6512	1
NCGC00261304	0.5806	0
NCGC00261704	0.6408	1
NCGC00260850	0.612	1
NCGC00260972	0.676	1
NCGC00261364	0.402	0
NCGC00261392	0.622	1
NCGC00261638	0.4944	0
NCGC00261820	0.2674	0
NCGC00261808	0.295	0
NCGC00260790	0.7372	1
NCGC00260940	0.5094	0
NCGC00261081	0.6138	1
NCGC00261506	0.5032	0
NCGC00261133	0.3664	0
NCGC00261399	0.574	0
NCGC00260696	0.5742	0
NCGC00261903	0.6798	1
NCGC00261178	0.7322	1
NCGC00261568	0.4858	0
NCGC00260830	0.2128	0
NCGC00261113	0.2248	0
NCGC00261327	0.2834	0
NCGC00261602	0.2936	0
NCGC00260858	0.5402	0
NCGC00261071	0.4438	0
NCGC00261076	0.3552	0
NCGC00261192	0.3982	0
NCGC00261577	0.3184	0
NCGC00261510	0.5356	0
NCGC00261679	0.5774	0
NCGC00261941	0.55	0
NCGC00261343	0.475	0
NCGC00261607	0.5368	0
NCGC00261782	0.4242	0
NCGC00261914	0.58	0
NCGC00261475	0.6252	1
NCGC00261764	0.7978	1
NCGC00261802	0.6922	1
NCGC00261813	0.4602	0
NCGC00260795	0.4924	0
NCGC00261352	0.7238	1
NCGC00261009	0.5762	0
NCGC00261944	0.5904	0
NCGC00261166	0.4472	0
NCGC00261332	0.643	1
NCGC00261333	0.541	0
NCGC00261260	0.781	1
NCGC00261915	0.671	1
NCGC00261238	0.462	0
NCGC00261682	0.5052	0
NCGC00261049	0.4098	0
NCGC00260910	0.6492	1
NCGC00261272	0.6846	1
NCGC00260708	0.1506	0
NCGC00261390	0.0766	0
NCGC00260948	0.294	0
NCGC00261840	0.641	1
NCGC00260881	0.2602	0
NCGC00261153	0.4088	0
NCGC00261406	0.4842	0
NCGC00261053	0.2254	0
NCGC00261129	0.2702	0
NCGC00261381	0.6486	1
NCGC00261426	0.4738	0
NCGC00260979	0.3204	0
NCGC00260993	0.4222	0
NCGC00261108	0.3262	0
NCGC00261441	0.3938	0
NCGC00261877	0.5188	0
NCGC00260815	0.3666	0
NCGC00261542	0.6392	1
NCGC00261958	0.4334	0
NCGC00261787	0.335	0
NCGC00261065	0.628	1
NCGC00261804	0.4156	0
NCGC00260875	0.4508	0
NCGC00261451	0.2864	0
NCGC00261739	0.4796	0
NCGC00261948	0.5706	0
NCGC00261382	0.586	0
NCGC00261663	0.3888	0
NCGC00260892	0.5838	0
NCGC00261297	0.4082	0
NCGC00261321	0.4238	0
NCGC00261446	0.7132	1
NCGC00261474	0.4578	0
NCGC00260834	0.4776	0
NCGC00260840	0.4562	0
NCGC00260947	0.4566	0
NCGC00261080	0.5072	0
NCGC00261563	0.4814	0
NCGC00261873	0.4676	0
NCGC00260803	0.4686	0
NCGC00260833	0.4124	0
NCGC00261008	0.4594	0
NCGC00261155	0.2896	0
NCGC00261643	0.4854	0
NCGC00261037	0.4326	0
NCGC00261126	0.7826	1
NCGC00260871	0.2664	0
NCGC00260713	0.4564	0
NCGC00261487	0.4004	0
NCGC00261545	0.6118	1
NCGC00261480	0.4632	0
NCGC00261838	0.4286	0
NCGC00261627	0.818	1
NCGC00261639	0.3256	0
NCGC00261177	0.1868	0
NCGC00260692	0.2562	0
NCGC00260775	0.2736	0
NCGC00260876	0.1978	0
NCGC00261598	0.2332	0
NCGC00260707	0.5712	0
NCGC00261554	0.605	1
NCGC00261713	0.476	0
NCGC00261737	0.645	1
NCGC00261882	0.3858	0
NCGC00261933	0.2962	0
NCGC00261201	0.1938	0
NCGC00261398	0.5974	0
NCGC00261601	0.2858	0
NCGC00261003	0.1902	0
NCGC00261019	0.3424	0
NCGC00261519	0.3508	0
NCGC00261732	0.356	0
NCGC00261718	0.4404	0
