Sample ID	Score	Activity
NCGC00260691	0.36674	0
NCGC00260692	0.14989	0
NCGC00260693	0.19047	0
NCGC00260696	0.30363	0
NCGC00260698	0.24094	0
NCGC00260703	0.16290	0
NCGC00260706	0.44313	0
NCGC00260707	0.36984	0
NCGC00260708	0.09204	0
NCGC00260713	0.34200	0
NCGC00260716	0.15177	0
NCGC00260728	0.16006	0
NCGC00260731	0.70682	1
NCGC00260742	0.28571	0
NCGC00260743	0.26152	0
NCGC00260751	0.19602	0
NCGC00260757	0.13900	0
NCGC00260770	0.31340	0
NCGC00260775	0.20001	0
NCGC00260782	0.12271	0
NCGC00260785	0.36917	0
NCGC00260789	0.35208	0
NCGC00260790	0.30632	0
NCGC00260795	0.30128	0
NCGC00260798	0.58269	1
NCGC00260802	0.19115	0
NCGC00260803	0.39599	0
NCGC00260811	0.25253	0
NCGC00260815	0.40437	0
NCGC00260817	0.25762	0
NCGC00260821	0.19493	0
NCGC00260822	0.47493	0
NCGC00260823	0.13768	0
NCGC00260826	0.17536	0
NCGC00260830	0.33853	0
NCGC00260831	0.32314	0
NCGC00260833	0.36007	0
NCGC00260834	0.48223	0
NCGC00260840	0.47899	0
NCGC00260846	0.26683	0
NCGC00260850	0.32972	0
NCGC00260852	0.29481	0
NCGC00260858	0.43420	0
NCGC00260866	0.20880	0
NCGC00260867	0.10350	0
NCGC00260869	0.31487	0
NCGC00260871	0.43849	0
NCGC00260875	0.44894	0
NCGC00260876	0.14306	0
NCGC00260881	0.13736	0
NCGC00260889	0.25259	0
NCGC00260890	0.32332	0
NCGC00260892	0.20505	0
NCGC00260910	0.58080	1
NCGC00260911	0.51096	1
NCGC00260921	0.47865	0
NCGC00260940	0.49112	0
NCGC00260947	0.52280	1
NCGC00260948	0.14417	0
NCGC00260957	0.47643	0
NCGC00260962	0.20716	0
NCGC00260972	0.26949	0
NCGC00260979	0.32239	0
NCGC00260980	0.40635	0
NCGC00260982	0.43189	0
NCGC00260990	0.34021	0
NCGC00260993	0.36046	0
NCGC00261003	0.15512	0
NCGC00261005	0.24730	0
NCGC00261007	0.18351	0
NCGC00261008	0.43928	0
NCGC00261009	0.34172	0
NCGC00261013	0.29607	0
NCGC00261018	0.17485	0
NCGC00261019	0.19537	0
NCGC00261025	0.16443	0
NCGC00261026	0.52123	1
NCGC00261028	0.26175	0
NCGC00261030	0.38755	0
NCGC00261037	0.20519	0
NCGC00261049	0.46483	0
NCGC00261052	0.28946	0
NCGC00261053	0.19960	0
NCGC00261057	0.31281	0
NCGC00261058	0.56705	1
NCGC00261060	0.11908	0
NCGC00261065	0.56527	1
NCGC00261071	0.41524	0
NCGC00261075	0.24876	0
NCGC00261076	0.21473	0
NCGC00261079	0.21834	0
NCGC00261080	0.52142	1
NCGC00261081	0.42423	0
NCGC00261085	0.18583	0
NCGC00261101	0.36487	0
NCGC00261108	0.30259	0
NCGC00261110	0.26290	0
NCGC00261113	0.24718	0
NCGC00261119	0.24174	0
NCGC00261123	0.27126	0
NCGC00261129	0.18112	0
NCGC00261130	0.37311	0
NCGC00261133	0.44334	0
NCGC00261141	0.20338	0
NCGC00261142	0.38559	0
NCGC00261146	0.15975	0
NCGC00261147	0.79589	1
NCGC00261150	0.24684	0
NCGC00261153	0.47547	0
NCGC00261155	0.28840	0
NCGC00261160	0.66970	1
NCGC00261161	0.16622	0
NCGC00261162	0.40260	0
NCGC00261163	0.66487	1
NCGC00261165	0.46378	0
NCGC00261166	0.49738	0
NCGC00261169	0.23745	0
NCGC00261170	0.43390	0
NCGC00261176	0.25438	0
