Sample ID	Score	Activity
NCGC00261900-01	0.12327	0
NCGC00260869-01	0.09718	0
NCGC00261776-01	0.08438	0
NCGC00261380-01	0.07465	0
NCGC00261842-01	0.04126	0
NCGC00261662-01	0.06173	0
NCGC00261190-01	0.11021	0
NCGC00260731-01	0.05997	0
NCGC00261926-01	0.11367	0
NCGC00261579-01	0.06362	0
NCGC00260921-01	0.06803	0
NCGC00261119-01	0.04856	0
NCGC00260957-01	0.38906	0
NCGC00261812-01	0.10957	0
NCGC00260831-01	0.07369	0
NCGC00261544-01	0.04936	0
NCGC00261619-01	0.06561	0
NCGC00261633-01	0.0587	0
NCGC00261395-01	0.17449	0
NCGC00261717-01	0.14764	0
NCGC00261947-01	0.16706	0
NCGC00261424-01	0.12639	0
NCGC00261861-01	0.08887	0
NCGC00261924-01	0.04	0
NCGC00261052-01	0.12832	0
NCGC00261683-01	0.05252	0
NCGC00261026-01	0.20132	0
NCGC00261057-01	0.05357	0
NCGC00261738-01	0.07591	0
NCGC00261348-01	0.01349	0
NCGC00261503-01	0.06565	0
NCGC00260693-01	0.04522	0
NCGC00260703-01	0.04067	0
NCGC00260716-01	0.004	0
NCGC00260782-01	0.06874	0
NCGC00260802-01	0.01841	0
NCGC00260823-01	0.03276	0
NCGC00261313-01	0.01323	0
NCGC00260757-01	0.00843	0
NCGC00260826-01	0.00676	0
NCGC00261005-01	0.02372	0
NCGC00260980-01	0.0985	0
NCGC00261816-01	0.0595	0
NCGC00260698-01	0.01867	0
NCGC00260889-01	0.067	0
NCGC00260811-01	0.05167	0
NCGC00261165-01	0.06145	0
NCGC00261060-01	0.02017	0
NCGC00261541-01	0.03616	0
NCGC00261649-01	0.03453	0
NCGC00261110-01	0.11722	0
NCGC00261130-01	0.15508	0
NCGC00260846-01	0.11602	0
NCGC00261030-01	0.03942	0
NCGC00261162-01	0.08461	0
NCGC00261058-01	0.14633	0
NCGC00261404-01	0.09079	0
NCGC00261423-01	0.09179	0
NCGC00261856-01	0.037	0
NCGC00261342-01	0.07734	0
NCGC00261935-01	0.018	0
NCGC00261069-01	0.08447	0
NCGC00261101-01	0.07578	0
NCGC00261183-01	0.08502	0
NCGC00261716-01	0.04994	0
NCGC00260742-01	0.09178	0
NCGC00261529-01	0.04483	0
NCGC00261170-01	0.06456	0
NCGC00261565-01	0.07583	0
NCGC00260990-01	0.11616	0
NCGC00261340-01	0.06349	0
NCGC00261079-01	0.04527	0
NCGC00261389-01	0.09955	0
NCGC00261744-01	0.06551	0
NCGC00261420-01	0.05067	0
NCGC00261215-01	0.14211	0
NCGC00261826-01	0.07268	0
NCGC00260706-01	0.03389	0
NCGC00261123-01	0.07401	0
NCGC00261367-01	0.03879	0
NCGC00261507-01	0.03851	0
NCGC00261169-01	0.07233	0
NCGC00261730-01	0.04007	0
NCGC00261624-01	0.03367	0
NCGC00261641-01	0.01933	0
NCGC00261853-01	0.11134	0
NCGC00260911-01	0.06933	0
NCGC00260798-01	0.04879	0
NCGC00261384-01	0.08076	0
NCGC00260785-01	0.0904	0
NCGC00261597-01	0.1106	0
NCGC00261025-01	0.02767	0
NCGC00260789-01	0.04833	0
NCGC00260866-01	0.06568	0
NCGC00261189-01	0.04989	0
NCGC00261270-01	0.13419	0
NCGC00261611-01	0.09528	0
NCGC00261160-01	0.11187	0
NCGC00261085-01	0.02796	0
NCGC00261817-01	0.02949	0
NCGC00261866-01	0.03826	0
NCGC00260852-01	0.05367	0
NCGC00261290-01	0.06175	0
NCGC00261304-01	0.21977	0
NCGC00261704-01	0.09533	0
NCGC00260850-01	0.04115	0
NCGC00260972-01	0.07662	0
NCGC00261364-01	0.01076	0
NCGC00261392-01	0.10354	0
NCGC00261638-01	0.10981	0
NCGC00261820-01	0.07289	0
NCGC00261808-01	0.02167	0
NCGC00260790-01	0.04883	0
NCGC00260940-01	0.04361	0
NCGC00261081-01	0.05828	0
NCGC00261506-01	0.12646	0
NCGC00261133-01	0.06622	0
NCGC00261399-01	0.14417	0
NCGC00260696-01	0.10833	0
NCGC00261903-01	0.0714	0
NCGC00261178-01	0.12503	0
NCGC00261568-01	0.07584	0
NCGC00260830-01	0.08378	0
NCGC00261113-01	0.0287	0
NCGC00261327-01	0.02261	0
NCGC00261602-01	0.03406	0
NCGC00260858-01	0.12596	0
NCGC00261071-01	0.1054	0
NCGC00261076-01	0.04564	0
NCGC00261192-01	0.11038	0
NCGC00261495-01	0.06228	0
NCGC00261577-01	0.11937	0
NCGC00261510-01	0.06582	0
NCGC00261679-01	0.03267	0
NCGC00261941-01	0.07511	0
NCGC00261343-01	0.07036	0
NCGC00261607-01	0.10656	0
NCGC00261782-01	0.06734	0
NCGC00261914-01	0.11078	0
NCGC00261475-01	0.07689	0
NCGC00261764-01	0.0916	0
NCGC00261802-01	0.15279	0
NCGC00261813-01	0.10598	0
NCGC00260795-01	0.042	0
NCGC00261352-01	0.11832	0
NCGC00261009-01	0.08243	0
NCGC00261944-01	0.13389	0
NCGC00261166-01	0.12188	0
NCGC00261332-01	0.14063	0
NCGC00261333-01	0.1162	0
NCGC00261260-01	0.1491	0
NCGC00261915-01	0.08738	0
NCGC00261238-01	0.05144	0
NCGC00261682-01	0.07507	0
NCGC00261049-01	0.09754	0
NCGC00260910-01	0.11244	0
NCGC00261272-01	0.20256	0
NCGC00260708-01	0.00659	0
NCGC00261390-01	0.07545	0
NCGC00260948-01	0.00541	0
NCGC00261840-01	0.03428	0
NCGC00260881-01	0.00533	0
NCGC00261153-01	0.10529	0
NCGC00261406-01	0.01759	0
NCGC00261053-01	0.02363	0
NCGC00261129-01	0.02611	0
NCGC00261381-01	0.09758	0
NCGC00261426-01	0.1106	0
NCGC00260979-01	0.02653	0
NCGC00260993-01	0.04386	0
NCGC00261108-01	0.0517	0
NCGC00261441-01	0.13751	0
NCGC00261877-01	0.05443	0
NCGC00260815-01	0.10217	0
NCGC00261542-01	0.04843	0
NCGC00261958-01	0.05706	0
NCGC00261787-01	0.03794	0
NCGC00261065-01	0.10156	0
NCGC00261804-01	0.09246	0
NCGC00260875-01	0.11825	0
NCGC00261451-01	0.00267	0
NCGC00261739-01	0.1412	0
NCGC00261948-01	0.13109	0
NCGC00261382-01	0.13431	0
NCGC00261663-01	0.10196	0
NCGC00260892-01	0.08529	0
NCGC00261297-01	0.06911	0
NCGC00261321-01	0.04764	0
NCGC00261446-01	0.07611	0
NCGC00261474-01	0.04833	0
NCGC00260834-01	0.11901	0
NCGC00260840-01	0.08522	0
NCGC00260947-01	0.11866	0
NCGC00261080-01	0.05333	0
NCGC00261563-01	0.13158	0
NCGC00261873-01	0.20593	0
NCGC00260803-01	0.03886	0
NCGC00260833-01	0.07908	0
NCGC00261008-01	0.09305	0
NCGC00261155-01	0.05313	0
NCGC00261643-01	0.04156	0
NCGC00261037-01	0.035	0
NCGC00261126-01	0.00533	0
NCGC00260871-01	0.12433	0
NCGC00260713-01	0.0889	0
NCGC00261487-01	0.09164	0
NCGC00261545-01	0.1515	0
NCGC00261480-01	0.05946	0
NCGC00261838-01	0.02147	0
NCGC00261627-01	0.0735	0
NCGC00261639-01	0.0566	0
NCGC00261177-01	0.01867	0
NCGC00260692-01	0.00203	0
NCGC00260775-01	0.00895	0
NCGC00260876-01	0.01565	0
NCGC00261598-01	0.00313	0
NCGC00260707-01	0.06992	0
NCGC00261554-01	0.05756	0
NCGC00261713-01	0.07771	0
NCGC00261737-01	0.18819	0
NCGC00261882-01	0.13759	0
NCGC00261933-01	0.09591	0
NCGC00261201-01	0.05122	0
NCGC00261398-01	0.09963	0
NCGC00261601-01	0.081	0
NCGC00261003-01	0.0081	0
NCGC00261019-01	0.06322	0
NCGC00261519-01	0.04	0
NCGC00261732-01	0.01289	0
NCGC00261718-01	0.33213	0
NCGC00260743-01	0.05996	0
NCGC00260751-01	0.01067	0
NCGC00260867-01	0.07517	0
NCGC00260982-01	0.01467	0
NCGC00261176-01	0.03	0
NCGC00261289-01	0.00133	0
NCGC00261440-01	0.01667	0
NCGC00261657-01	0.00667	0
NCGC00260822-01	0.05922	0
