Sample ID	Score	Activity
NCGC00261900-01	0.0516	0
NCGC00260869-01	0.05103	0
NCGC00261776-01	0.05093	0
NCGC00261380-01	0.04975	0
NCGC00261842-01	0.0476	0
NCGC00261662-01	0.04941	0
NCGC00261190-01	0.0514	0
NCGC00260731-01	0.04792	0
NCGC00261926-01	0.05071	0
NCGC00261579-01	0.05045	0
NCGC00260921-01	0.05361	0
NCGC00261119-01	0.05552	0
NCGC00260957-01	0.05545	0
NCGC00261812-01	0.05105	0
NCGC00260831-01	0.05189	0
NCGC00261544-01	0.05004	0
NCGC00261619-01	0.05232	0
NCGC00261633-01	0.05158	0
NCGC00261395-01	0.05303	0
NCGC00261717-01	0.05158	0
NCGC00261947-01	0.05156	0
NCGC00261424-01	0.05068	0
NCGC00261861-01	0.05274	0
NCGC00261924-01	0.04525	0
NCGC00261052-01	0.05617	0
NCGC00261683-01	0.05024	0
NCGC00261026-01	0.05226	0
NCGC00261057-01	0.04819	0
NCGC00261738-01	0.0483	0
NCGC00261348-01	0.03988	0
NCGC00261503-01	0.04706	0
NCGC00260693-01	0.04526	0
NCGC00260703-01	0.04339	0
NCGC00260716-01	0.02497	0
NCGC00260782-01	0.04352	0
NCGC00260802-01	0.03341	0
NCGC00260823-01	0.03618	0
NCGC00261313-01	0.03841	0
NCGC00260757-01	0.02374	0
NCGC00260826-01	0.02467	0
NCGC00261005-01	0.03741	0
NCGC00260980-01	0.05065	0
NCGC00261816-01	0.05044	0
NCGC00260698-01	0.04774	0
NCGC00260889-01	0.04893	0
NCGC00260811-01	0.05013	0
NCGC00261165-01	0.05016	0
NCGC00261060-01	0.03988	0
NCGC00261541-01	0.04656	0
NCGC00261649-01	0.0418	0
NCGC00261110-01	0.05084	0
NCGC00261130-01	0.05275	0
NCGC00260846-01	0.05009	0
NCGC00261030-01	0.05036	0
NCGC00261162-01	0.04992	0
NCGC00261058-01	0.05254	0
NCGC00261404-01	0.05037	0
NCGC00261423-01	0.05638	0
NCGC00261856-01	0.04472	0
NCGC00261342-01	0.0514	0
NCGC00261935-01	0.03576	0
NCGC00261069-01	0.05327	0
NCGC00261101-01	0.05047	0
NCGC00261183-01	0.05022	0
NCGC00261716-01	0.04996	0
NCGC00260742-01	0.05071	0
NCGC00261529-01	0.0477	0
NCGC00261170-01	0.05084	0
NCGC00261565-01	0.0501	0
NCGC00260990-01	0.05578	0
NCGC00261340-01	0.05699	0
NCGC00261079-01	0.04889	0
NCGC00261389-01	0.05121	0
NCGC00261744-01	0.05027	0
NCGC00261420-01	0.04773	0
NCGC00261215-01	0.05162	0
NCGC00261826-01	0.05082	0
NCGC00260706-01	0.04698	0
NCGC00261123-01	0.05328	0
NCGC00261367-01	0.04972	0
NCGC00261507-01	0.04793	0
NCGC00261169-01	0.05053	0
NCGC00261730-01	0.04575	0
NCGC00261624-01	0.04912	0
NCGC00261641-01	0.04854	0
NCGC00261853-01	0.05123	0
NCGC00260911-01	0.05256	0
NCGC00260798-01	0.04782	0
NCGC00261384-01	0.05093	0
NCGC00260785-01	0.05103	0
NCGC00261597-01	0.05175	0
NCGC00261025-01	0.04448	0
NCGC00260789-01	0.04875	0
NCGC00260866-01	0.04857	0
NCGC00261189-01	0.04991	0
NCGC00261270-01	0.05104	0
NCGC00261611-01	0.05141	0
NCGC00261160-01	0.05164	0
NCGC00261085-01	0.04543	0
NCGC00261817-01	0.04909	0
NCGC00261866-01	0.0491	0
NCGC00260852-01	0.04944	0
NCGC00261290-01	0.04994	0
NCGC00261304-01	0.05346	0
NCGC00261704-01	0.05197	0
NCGC00260850-01	0.05002	0
NCGC00260972-01	0.05025	0
NCGC00261364-01	0.03829	0
NCGC00261392-01	0.05298	0
NCGC00261638-01	0.05466	0
NCGC00261820-01	0.05168	0
NCGC00261808-01	0.04805	0
NCGC00260790-01	0.04866	0
NCGC00260940-01	0.05043	0
