Sample ID	Score	Activity
NCGC00261900-01	-1.10987	0
NCGC00260869-01	-0.63893	0
NCGC00261776-01	0.21991	1
NCGC00261380-01	-0.69591	0
NCGC00261842-01	-0.18148	0
NCGC00261662-01	-0.09179	0
NCGC00261190-01	0.07659	1
NCGC00260731-01	-0.16591	0
NCGC00261926-01	-0.608	0
NCGC00261579-01	-0.03177	0
NCGC00260921-01	0.08341	1
NCGC00261119-01	0.12893	1
NCGC00260957-01	1.0244	1
NCGC00261812-01	-0.1042	0
NCGC00260831-01	0.42284	1
NCGC00261544-01	0.06628	1
NCGC00261619-01	0.91936	1
NCGC00261633-01	-0.57985	0
NCGC00261395-01	0.01869	1
NCGC00261717-01	-0.27052	0
NCGC00261947-01	-0.14175	0
NCGC00261424-01	0.44441	1
NCGC00261861-01	-0.27396	0
NCGC00261924-01	-0.99818	0
NCGC00261052-01	0.10248	1
NCGC00261683-01	-0.56291	0
NCGC00261026-01	-0.0833	0
NCGC00261057-01	-0.12053	0
NCGC00261738-01	0.13698	1
NCGC00261348-01	-1.54523	0
NCGC00261503-01	-0.45746	0
NCGC00260693-01	-1.33513	0
NCGC00260703-01	-1.39285	0
NCGC00260716-01	-0.7501	0
NCGC00260782-01	-0.71132	0
NCGC00260802-01	-1.2762	0
NCGC00260823-01	-1.37712	0
NCGC00261313-01	-0.62598	0
NCGC00260757-01	-1.22265	0
NCGC00260826-01	-0.88334	0
NCGC00261005-01	-1.2248	0
NCGC00260980-01	-0.01112	0
NCGC00261816-01	-0.35083	0
NCGC00260698-01	-0.5026	0
NCGC00260889-01	-0.10192	0
NCGC00260811-01	-0.8663	0
NCGC00261165-01	-0.63515	0
NCGC00261060-01	-0.35894	0
NCGC00261541-01	0.17905	1
NCGC00261649-01	-0.48267	0
NCGC00261110-01	-0.32747	0
NCGC00261130-01	0.11846	1
NCGC00260846-01	0.75095	1
NCGC00261030-01	0.87001	1
NCGC00261162-01	1.08903	1
NCGC00261058-01	-0.0013	0
NCGC00261404-01	-0.78996	0
NCGC00261423-01	-0.11154	0
NCGC00261856-01	-0.16853	0
NCGC00261342-01	0.07547	1
NCGC00261935-01	0.02182	1
NCGC00261069-01	0.83119	1
NCGC00261101-01	-0.78054	0
NCGC00261183-01	-0.55209	0
NCGC00261716-01	-0.58252	0
NCGC00260742-01	-0.08118	0
NCGC00261529-01	-0.16182	0
NCGC00261170-01	0.2266	1
NCGC00261565-01	-0.85548	0
NCGC00260990-01	0.71397	1
NCGC00261340-01	0.68539	1
NCGC00261079-01	0.16901	1
NCGC00261389-01	0.01429	1
NCGC00261744-01	-0.35993	0
NCGC00261420-01	-0.02615	0
NCGC00261215-01	0.0983	1
NCGC00261826-01	-0.24508	0
NCGC00260706-01	-0.41808	0
NCGC00261123-01	0.5017	1
NCGC00261367-01	-0.77519	0
NCGC00261507-01	-0.87774	0
NCGC00261169-01	-0.06048	0
NCGC00261730-01	-1.35671	0
NCGC00261624-01	-0.11794	0
NCGC00261641-01	-0.50395	0
