Sample ID	Score	Activity
NCGC00261900-01	0.048157552	0
NCGC00260869-01	0.022256641	0
NCGC00261776-01	0.037149936	0
NCGC00261380-01	0.031237391	0
NCGC00261842-01	0.013498010	0
NCGC00261662-01	0.165544077	0
NCGC00260731-01	0.269968277	0
NCGC00261926-01	0.047732471	0
NCGC00261579-01	0.036369281	0
NCGC00261119-01	0.039726278	0
NCGC00260957-01	0.705786055	1
NCGC00261812-01	0.045457074	0
NCGC00260831-01	0.059972884	0
NCGC00261544-01	0.046787958	0
NCGC00261619-01	0.114471118	0
NCGC00261633-01	0.009828538	0
NCGC00261395-01	0.040003010	0
NCGC00261717-01	0.064784861	0
NCGC00261947-01	0.041681149	0
NCGC00261424-01	0.050416714	0
NCGC00261861-01	0.460606072	0
NCGC00261924-01	0.054967582	0
NCGC00261683-01	0.021314122	0
NCGC00261026-01	0.101438201	0
NCGC00261057-01	0.005059659	0
NCGC00261738-01	0.043195667	0
NCGC00261348-01	0.009093711	0
NCGC00261503-01	0.032338164	0
NCGC00260693-01	0.004444663	0
NCGC00260703-01	0.003609935	0
NCGC00260716-01	0.012044530	0
NCGC00260782-01	0.009219610	0
NCGC00260802-01	0.016629710	0
NCGC00260823-01	0.009363785	0
NCGC00261313-01	0.008789783	0
NCGC00260757-01	0.009525743	0
NCGC00260826-01	0.006408760	0
NCGC00261005-01	0.009112760	0
NCGC00260980-01	0.016900329	0
NCGC00261816-01	0.034505837	0
NCGC00260698-01	0.005944536	0
NCGC00260889-01	0.011161709	0
NCGC00260811-01	0.014094336	0
NCGC00261165-01	0.012429098	0
NCGC00261060-01	0.011603100	0
NCGC00261541-01	0.056583374	0
NCGC00261649-01	0.006744501	0
NCGC00261110-01	0.016585826	0
NCGC00261130-01	0.039079910	0
NCGC00261162-01	0.073989655	0
NCGC00261058-01	0.178033639	0
NCGC00261404-01	0.014137191	0
NCGC00261423-01	0.023629602	0
NCGC00261856-01	0.052327819	0
NCGC00261342-01	0.021845248	0
NCGC00261935-01	0.022939207	0
NCGC00261101-01	0.019547552	0
NCGC00261183-01	0.029676920	0
NCGC00261716-01	0.032532427	0
NCGC00260742-01	0.028540309	0
NCGC00261529-01	0.036576658	0
NCGC00261170-01	0.076474337	0
NCGC00261565-01	0.079078474	0
NCGC00260990-01	0.140865702	0
NCGC00261340-01	0.185556333	0
NCGC00261079-01	0.053372418	0
NCGC00261389-01	0.049468356	0
NCGC00261744-01	0.018206101	0
NCGC00261420-01	0.010885481	0
NCGC00261215-01	0.282763846	0
NCGC00261826-01	0.045148154	0
NCGC00260706-01	0.022925741	0
NCGC00261123-01	0.089744192	0
NCGC00261367-01	0.013672649	0
NCGC00261507-01	0.028723362	0
NCGC00261169-01	0.022681368	0
NCGC00261730-01	0.007874786	0
NCGC00261624-01	0.022348432	0
NCGC00261641-01	0.019010917	0
NCGC00261853-01	0.041433675	0
NCGC00260911-01	0.037227429	0
NCGC00260798-01	0.058532344	0
NCGC00261384-01	0.020497150	0
NCGC00260785-01	0.117853833	0
NCGC00261597-01	0.022916318	0
NCGC00261025-01	0.010825107	0
NCGC00260789-01	0.027697726	0
NCGC00260866-01	0.018033023	0
NCGC00261189-01	0.020842591	0
NCGC00261270-01	0.323200404	0
NCGC00261611-01	0.039563275	0
NCGC00261160-01	0.207246502	0
NCGC00261085-01	0.004624657	0
NCGC00261817-01	0.017540707	0
NCGC00261866-01	0.012750890	0
NCGC00260852-01	0.024044262	0
NCGC00261290-01	0.056224547	0
NCGC00261304-01	0.030268674	0
NCGC00261704-01	0.058045674	0
NCGC00260850-01	0.023636105	0
NCGC00260972-01	0.009279442	0
NCGC00261364-01	0.021898880	0
NCGC00261392-01	0.030159207	0
NCGC00261820-01	0.004400120	0
NCGC00261808-01	0.010989902	0
NCGC00260790-01	0.042489872	0
NCGC00260940-01	0.103264381	0
NCGC00261081-01	0.014913695	0
NCGC00261506-01	0.017830963	0
NCGC00261133-01	0.026341159	0
NCGC00261399-01	0.027501144	0
NCGC00260696-01	0.022389862	0
NCGC00261903-01	0.114600283	0
NCGC00261178-01	0.319675424	0
NCGC00261568-01	0.007768996	0
NCGC00260830-01	0.004948078	0
NCGC00261113-01	0.008830675	0
NCGC00261327-01	0.008118815	0
NCGC00261602-01	0.006869109	0
NCGC00260858-01	0.155822623	0
NCGC00261071-01	0.044061730	0
NCGC00261076-01	0.008166508	0
NCGC00261192-01	0.021162971	0
NCGC00261577-01	0.040641578	0
NCGC00261510-01	0.033395013	0
NCGC00261941-01	0.048622973	0
NCGC00261343-01	0.017918778	0
NCGC00261607-01	0.079204792	0
NCGC00261782-01	0.022977404	0
NCGC00261914-01	0.033164366	0
NCGC00261475-01	0.203035046	0
NCGC00261764-01	0.179119746	0
NCGC00261813-01	0.019074519	0
NCGC00260795-01	0.059346668	0
NCGC00261352-01	0.337329189	0
NCGC00261009-01	0.011558812	0
NCGC00261944-01	0.009238674	0
NCGC00261166-01	0.237063139	0
NCGC00261332-01	0.108682035	0
NCGC00261333-01	0.071602617	0
NCGC00261260-01	0.368891721	0
NCGC00261915-01	0.034019611	0
NCGC00261238-01	0.019147559	0
NCGC00261682-01	0.164303511	0
NCGC00261049-01	0.012478640	0
NCGC00260910-01	0.019953054	0
NCGC00261272-01	0.250905757	0
NCGC00260708-01	0.011824800	0
NCGC00261390-01	0.005328970	0
NCGC00260948-01	0.012375335	0
NCGC00261840-01	0.033093909	0
NCGC00260881-01	0.013220909	0
NCGC00261153-01	0.004753431	0
NCGC00261406-01	0.017873697	0
NCGC00261053-01	0.008331808	0
NCGC00261129-01	0.008957783	0
NCGC00261381-01	0.245525889	0
NCGC00261426-01	0.024621942	0
NCGC00260979-01	0.012634463	0
NCGC00260993-01	0.021964975	0
NCGC00261108-01	0.014488794	0
NCGC00261441-01	0.007172934	0
NCGC00261877-01	0.028460215	0
NCGC00260815-01	0.016760983	0
NCGC00261542-01	0.015661722	0
NCGC00261958-01	0.010496584	0
NCGC00261787-01	0.014926735	0
NCGC00261065-01	0.240304961	0
NCGC00261804-01	0.018411380	0
NCGC00260875-01	0.059490563	0
NCGC00261739-01	0.025725971	0
NCGC00261948-01	0.043268935	0
NCGC00261382-01	0.167964541	0
NCGC00261663-01	0.007499979	0
NCGC00260892-01	0.015744028	0
NCGC00261297-01	0.008632964	0
NCGC00261321-01	0.013935545	0
NCGC00261446-01	0.087448851	0
NCGC00261474-01	0.026918665	0
NCGC00260834-01	0.022239003	0
NCGC00260840-01	0.021296388	0
NCGC00260947-01	0.031969780	0
NCGC00261080-01	0.044162889	0
NCGC00261563-01	0.033741088	0
NCGC00261873-01	0.029496229	0
NCGC00260803-01	0.014660384	0
NCGC00260833-01	0.014759715	0
NCGC00261008-01	0.011410322	0
NCGC00261155-01	0.014418318	0
NCGC00261643-01	0.014657630	0
NCGC00261037-01	0.008617686	0
NCGC00260871-01	0.039682533	0
NCGC00260713-01	0.029746011	0
NCGC00261487-01	0.041859471	0
NCGC00261545-01	0.044328587	0
NCGC00261480-01	0.011868484	0
NCGC00261838-01	0.015571523	0
NCGC00261627-01	0.164532749	0
NCGC00261639-01	0.005213254	0
NCGC00261177-01	0.052306576	0
NCGC00260692-01	0.048274974	0
NCGC00260775-01	0.027061373	0
NCGC00260876-01	0.026089810	0
NCGC00261598-01	0.006672955	0
NCGC00260707-01	0.021483278	0
NCGC00261713-01	0.029009240	0
NCGC00261737-01	0.352701010	0
NCGC00261882-01	0.022841061	0
NCGC00261933-01	0.009868540	0
NCGC00261201-01	0.006603461	0
NCGC00261398-01	0.014361828	0
NCGC00261601-01	0.104696411	0
NCGC00261003-01	0.008885939	0
NCGC00261019-01	0.008760699	0
NCGC00261519-01	0.016912890	0
NCGC00261732-01	0.018516168	0
NCGC00261718-01	0.741717914	1
NCGC00260743-01	0.014497779	0
NCGC00260751-01	0.009316954	0
NCGC00260867-01	0.007171689	0
NCGC00260982-01	0.024009096	0
NCGC00261176-01	0.031254286	0
NCGC00261440-01	0.047661474	0
NCGC00261657-01	0.010870475	0
NCGC00260822-01	0.249997672	0
NCGC00261142-01	0.055558110	0
NCGC00261582-01	0.031996623	0
NCGC00261825-01	0.093369935	0
NCGC00261833-01	0.047215517	0
NCGC00261835-01	0.047357564	0
NCGC00261860-01	0.478578591	0
NCGC00261906-01	0.195498007	0
NCGC00261916-01	0.081799618	0
NCGC00261939-01	0.146066688	0
NCGC00261869-01	0.070847124	0
NCGC00261163-01	0.041279173	0
NCGC00261653-01	0.053129118	0
NCGC00261248-01	0.023070212	0
NCGC00260770-01	0.015068107	0
NCGC00261013-01	0.014343399	0
NCGC00261910-01	0.330814464	0
NCGC00261686-01	0.016432061	0
NCGC00261147-01	0.249341611	0
NCGC00261578-01	0.057230646	0
NCGC00261336-01	0.009960000	0
NCGC00261593-01	0.032019161	0
NCGC00260821-01	0.012360898	0
NCGC00261007-01	0.004438275	0
NCGC00261246-01	0.007304190	0
NCGC00261949-01	0.003443656	0
NCGC00260890-01	0.018070715	0
NCGC00261294-01	0.003738195	0
NCGC00261330-01	0.012737090	0
NCGC00261470-01	0.009711766	0
NCGC00260691-01	0.009523965	0
NCGC00261693-01	0.004402151	0
NCGC00261293-01	0.025258932	0
NCGC00261018-01	0.019523005	0
NCGC00261075-01	0.042270377	0
NCGC00261150-01	0.053808008	0
NCGC00261767-01	0.018322876	0
NCGC00261824-01	0.018556831	0
NCGC00261146-01	0.016657666	0
NCGC00260817-01	0.033923035	0
NCGC00261161-01	0.011182994	0
NCGC00260728-01	0.009039873	0
NCGC00261286-01	0.059684556	0
NCGC00261254-01	0.016706803	0
NCGC00261261-01	0.014269152	0
NCGC00261691-01	0.015915497	0
NCGC00261921-01	0.016615870	0
NCGC00260962-01	0.017319432	0
NCGC00261028-01	0.032081581	0
NCGC00261349-01	0.057408951	0
NCGC00261672-01	0.027502556	0
NCGC00261141-01	0.012641005	0
NCGC00261752-01	0.030538761	0
NCGC00261828-01	0.073974719	0
NCGC00261913-01	0.014374620	0
NCGC00261473-01	0.028438535	0
NCGC00356953-01	0.072044304	0
NCGC00357009-01	0.003013506	0
NCGC00357188-01	0.040225353	0
NCGC00357201-01	0.659655418	1
NCGC00357189-01	0.025296939	0
NCGC00357163-01	0.008252581	0
NCGC00357001-01	0.006850052	0
NCGC00357030-01	0.010725224	0
NCGC00357091-01	0.026042978	0
NCGC00357004-01	0.023695119	0
NCGC00357103-01	0.038313012	0
NCGC00357289-01	0.037349345	0
NCGC00356999-01	0.014628428	0
NCGC00357116-01	0.035984234	0
NCGC00357010-01	0.005679598	0
NCGC00357057-01	0.092453949	0
NCGC00356995-01	0.027823569	0
NCGC00357205-01	0.184802555	0
NCGC00357028-01	0.045969666	0
NCGC00357271-01	0.252279071	0
NCGC00357213-01	0.039523252	0
NCGC00357198-01	0.033798453	0
NCGC00357079-01	0.010398173	0
NCGC00356984-01	0.659655418	1
NCGC00357080-01	0.358955758	0
NCGC00357173-01	0.012997349	0
NCGC00357277-01	0.137868217	0
NCGC00357145-01	0.029147780	0
NCGC00357157-01	0.010166932	0
NCGC00357160-01	0.017603229	0
NCGC00357107-01	0.006703428	0
NCGC00357106-01	0.109165860	0
NCGC00357204-01	0.018452755	0
NCGC00357214-01	0.043333932	0
NCGC00357124-01	0.021964593	0
NCGC00356983-01	0.293669510	0
NCGC00357092-01	0.014069171	0
NCGC00357042-01	0.022359845	0
NCGC00357036-01	0.007557151	0
NCGC00357089-01	0.038586957	0
NCGC00357170-01	0.023453616	0
NCGC00357132-01	0.054958065	0
NCGC00357265-01	0.007206905	0
NCGC00357260-01	0.013078965	0
NCGC00357023-01	0.196230052	0
NCGC00357033-01	0.028077913	0
NCGC00357120-01	0.029603348	0
NCGC00356963-01	0.003330950	0
NCGC00357139-01	0.007296998	0
NCGC00357279-01	0.006108756	0
NCGC00356973-01	0.018981174	0
NCGC00357143-01	0.010403916	0
NCGC00357182-01	0.017958650	0
NCGC00356971-01	0.017620615	0
NCGC00357084-01	0.023673004	0
NCGC00357112-01	0.013563635	0
NCGC00356962-01	0.147916099	0
NCGC00356993-01	0.154998257	0
NCGC00357284-01	0.054932159	0
NCGC00357046-01	0.016704898	0
NCGC00357000-01	0.014157353	0
NCGC00357012-01	0.063008109	0
NCGC00356939-01	0.013120274	0
NCGC00356955-01	0.051103826	0
NCGC00357262-01	0.040253755	0
NCGC00356991-01	0.034480547	0
NCGC00357203-01	0.066355202	0
NCGC00357049-01	0.022371028	0
NCGC00357164-01	0.040232257	0
NCGC00357073-01	0.012374625	0
NCGC00357043-01	0.038920957	0
NCGC00357269-01	0.013060417	0
NCGC00357266-01	0.017470549	0
NCGC00357076-01	0.007327871	0
NCGC00357153-01	0.016793084	0
NCGC00357138-01	0.013258173	0
NCGC00357071-01	0.013153699	0
NCGC00357274-01	0.015922838	0
NCGC00356981-01	0.012232832	0
NCGC00357278-01	0.008024004	0
NCGC00357113-01	0.006592176	0
NCGC00357218-01	0.285589146	0
NCGC00357018-01	0.064010057	0
NCGC00357048-01	0.007431929	0
NCGC00357162-01	0.015875912	0
NCGC00356941-01	0.012250313	0
NCGC00357184-01	0.011867272	0
NCGC00357238-01	0.117784806	0
NCGC00357220-01	0.028445155	0
NCGC00357252-01	0.208516779	0
NCGC00357159-01	0.012482173	0
NCGC00356947-01	0.009464275	0
NCGC00357063-01	0.007252358	0
NCGC00356982-01	0.039175145	0
NCGC00357219-01	0.114380765	0
NCGC00357037-01	0.008005562	0
NCGC00356975-01	0.007611597	0
NCGC00357169-01	0.006163284	0
NCGC00357022-01	0.009592158	0
NCGC00357165-01	0.010445678	0
NCGC00357122-01	0.076890767	0
NCGC00357212-01	0.020163696	0
NCGC00357263-01	0.026617639	0
NCGC00357052-01	0.128427051	0
NCGC00356952-01	0.014001645	0
NCGC00357225-01	0.009164929	0
NCGC00357105-01	0.020175721	0
NCGC00356944-01	0.010633851	0
NCGC00356977-01	0.082940058	0
NCGC00357053-01	0.009965532	0
NCGC00357202-01	0.020330457	0
NCGC00357013-01	0.109385398	0
NCGC00357131-01	0.004634748	0
NCGC00357127-01	0.010620676	0
NCGC00357147-01	0.008017543	0
NCGC00357267-01	0.006623760	0
NCGC00356979-01	0.005727865	0
NCGC00357179-01	0.011037548	0
NCGC00356945-01	0.007670908	0
NCGC00357068-01	0.011947148	0
NCGC00357002-01	0.026325947	0
NCGC00356974-01	0.015502256	0
NCGC00357109-01	0.085454669	0
NCGC00356988-01	0.039194183	0
NCGC00357117-01	0.376851455	0
NCGC00357239-01	0.008455924	0
NCGC00356961-01	0.036424440	0
NCGC00356966-01	0.009170432	0
NCGC00356996-01	0.017700399	0
NCGC00356950-01	0.056684291	0
NCGC00356969-01	0.009990467	0
NCGC00357050-01	0.006632392	0
NCGC00357258-01	0.022891499	0
NCGC00357186-01	0.013458356	0
NCGC00357115-01	0.029230910	0
NCGC00356940-01	0.163667965	0
NCGC00357130-01	0.016244732	0
NCGC00356959-01	0.022245282	0
NCGC00356985-01	0.016963961	0
NCGC00357125-01	0.056559367	0
NCGC00357270-01	0.012657309	0
NCGC00357031-01	0.007385772	0
NCGC00357137-01	0.007383043	0
NCGC00357102-01	0.025978635	0
NCGC00357228-01	0.030025533	0
NCGC00356965-01	0.060447172	0
NCGC00357151-01	0.042106696	0
NCGC00357280-01	0.191293208	0
NCGC00357097-01	0.277589140	0
NCGC00357229-01	0.043176360	0
NCGC00357200-01	0.019484583	0
NCGC00357273-01	0.065485477	0
NCGC00357088-01	0.023899222	0
NCGC00357101-01	0.008426688	0
NCGC00357287-01	0.013656457	0
NCGC00357253-01	0.040412662	0
NCGC00357177-01	0.032014317	0
NCGC00357152-01	0.011021679	0
NCGC00357140-01	0.031509180	0
NCGC00357086-01	0.018196235	0
NCGC00357150-01	0.024050966	0
NCGC00357040-01	0.022973201	0
NCGC00357232-01	0.021701295	0
NCGC00357172-01	0.033793675	0
NCGC00357135-01	0.052073716	0
NCGC00356990-01	0.028258504	0
NCGC00357276-01	0.056681005	0
NCGC00357016-01	0.024348545	0
NCGC00357247-01	0.023192997	0
NCGC00357025-01	0.015041816	0
NCGC00357008-01	0.015798024	0
NCGC00356987-01	0.071131699	0
NCGC00357129-01	0.016151289	0
NCGC00357072-01	0.043657269	0
NCGC00357208-01	0.710257481	1
NCGC00357099-01	0.710257481	1
NCGC00357081-01	0.132724803	0
NCGC00357244-01	0.021270211	0
NCGC00357194-01	0.047775115	0
NCGC00357193-01	0.016127070	0
NCGC00357006-01	0.037205514	0
NCGC00357041-01	0.013998569	0
NCGC00357074-01	0.014066247	0
NCGC00357166-01	0.018166993	0
NCGC00357070-01	0.006212291	0
NCGC00357222-01	0.017951271	0
NCGC00357245-01	0.006559298	0
NCGC00357217-01	0.005172023	0
NCGC00357015-01	0.006229260	0
NCGC00357261-01	0.005966918	0
NCGC00357060-01	0.005660161	0
NCGC00357104-01	0.023083829	0
NCGC00357248-01	0.017273895	0
NCGC00357176-01	0.010227106	0
NCGC00357187-01	0.020738077	0
NCGC00357066-01	0.011617388	0
NCGC00357154-01	0.023905662	0
NCGC00357216-01	0.029531741	0
NCGC00357148-01	0.020031955	0
NCGC00357078-01	0.014974134	0
NCGC00357027-01	0.034270469	0
NCGC00357134-01	0.030698117	0
NCGC00357180-01	0.040202915	0
NCGC00356986-01	0.022079153	0
NCGC00356946-01	0.023712121	0
NCGC00356970-01	0.034496713	0
NCGC00357191-01	0.027030199	0
NCGC00357069-01	0.018521897	0
NCGC00356958-01	0.053198345	0
NCGC00357121-01	0.064449651	0
NCGC00357243-01	0.028809601	0
NCGC00357100-01	0.015353527	0
NCGC00356960-01	0.022181072	0
