Sample ID	Score	Activity
NCGC00261900	0.5594	0
NCGC00260869	0.2402	0
NCGC00261776	0.532	0
NCGC00261380	0.7108	1
NCGC00261842	0.6848	1
NCGC00261662	0.6496	1
NCGC00261190	0.6366	1
NCGC00260731	0.795	1
NCGC00261926	0.6736	1
NCGC00261579	0.6914	1
NCGC00260921	0.7516	1
NCGC00261119	0.5772	0
NCGC00260957	0.7756	1
NCGC00261812	0.5454	0
NCGC00260831	0.4372	0
NCGC00261544	0.7658	1
NCGC00261619	0.665	1
NCGC00261633	0.6172	1
NCGC00261395	0.5806	0
NCGC00261717	0.4848	0
NCGC00261947	0.5294	0
NCGC00261424	0.3496	0
NCGC00261861	0.9392	1
NCGC00261924	0.828	1
NCGC00261052	0.5008	0
NCGC00261683	0.3804	0
NCGC00261026	0.4906	0
NCGC00261057	0.3774	0
NCGC00261738	0.5568	0
NCGC00261348	0.1312	0
NCGC00261503	0.2588	0
NCGC00260693	0.1496	0
NCGC00260703	0.1896	0
NCGC00260716	0.0634	0
NCGC00260782	0.2224	0
NCGC00260802	0.1794	0
NCGC00260823	0.1824	0
NCGC00261313	0.1132	0
NCGC00260757	0.4356	0
NCGC00260826	0.143	0
NCGC00261005	0.1884	0
NCGC00260980	0.749	1
NCGC00261816	0.5504	0
NCGC00260698	0.6442	1
NCGC00260889	0.4692	0
NCGC00260811	0.526	0
NCGC00261165	0.4932	0
NCGC00261060	0.0748	0
NCGC00261541	0.3678	0
NCGC00261649	0.1236	0
NCGC00261110	0.2318	0
NCGC00261130	0.1966	0
NCGC00260846	0.6328	1
NCGC00261030	0.566	0
NCGC00261162	0.2664	0
NCGC00261058	0.6522	1
NCGC00261404	0.6586	1
NCGC00261423	0.6418	1
NCGC00261856	0.6594	1
NCGC00261342	0.8104	1
NCGC00261935	0.0748	0
NCGC00261069	0.5556	0
NCGC00261101	0.6306	1
NCGC00261183	0.4836	0
NCGC00261716	0.733	1
NCGC00260742	0.7524	1
NCGC00261529	0.6574	1
NCGC00261170	0.8462	1
NCGC00261565	0.6654	1
NCGC00260990	0.6602	1
NCGC00261340	0.5766	0
NCGC00261079	0.635	1
NCGC00261389	0.8404	1
NCGC00261744	0.4678	0
NCGC00261420	0.5646	0
NCGC00261215	0.8282	1
NCGC00261826	0.6716	1
NCGC00260706	0.7548	1
NCGC00261123	0.6242	1
NCGC00261367	0.2794	0
NCGC00261507	0.327	0
NCGC00261169	0.3676	0
NCGC00261730	0.1776	0
NCGC00261624	0.5306	0
NCGC00261641	0.5028	0
NCGC00261853	0.5436	0
NCGC00260911	0.758	1
NCGC00260798	0.6998	1
NCGC00261384	0.5952	0
NCGC00260785	0.7276	1
NCGC00261597	0.3194	0
NCGC00261025	0.4656	0
NCGC00260789	0.3628	0
NCGC00260866	0.5238	0
NCGC00261189	0.3612	0
NCGC00261270	0.6826	1
NCGC00261611	0.603	1
NCGC00261160	0.7574	1
NCGC00261085	0.4244	0
NCGC00261817	0.6608	1
NCGC00261866	0.5764	0
NCGC00260852	0.7432	1
NCGC00261290	0.6014	1
NCGC00261304	0.7406	1
NCGC00261704	0.5414	0
NCGC00260850	0.5812	0
NCGC00260972	0.6544	1
NCGC00261364	0.3102	0
NCGC00261392	0.5904	0
NCGC00261638	0.5896	0
NCGC00261820	0.3082	0
NCGC00261808	0.3928	0
NCGC00260790	0.7124	1
NCGC00260940	0.3574	0
NCGC00261081	0.5956	0
NCGC00261506	0.4858	0
NCGC00261133	0.3366	0
NCGC00261399	0.5508	0
NCGC00260696	0.4484	0
NCGC00261903	0.7446	1
NCGC00261178	0.72	1
NCGC00261568	0.3382	0
NCGC00260830	0.5192	0
NCGC00261113	0.3376	0
NCGC00261327	0.3556	0
NCGC00261602	0.36	0
NCGC00260858	0.651	1
NCGC00261071	0.335	0
NCGC00261076	0.3718	0
NCGC00261192	0.7838	1
NCGC00261577	0.6606	1
NCGC00261510	0.6886	1
NCGC00261679	0.4316	0
NCGC00261941	0.523	0
NCGC00261343	0.737	1
NCGC00261607	0.664	1
NCGC00261782	0.4258	0
NCGC00261914	0.647	1
NCGC00261475	0.7144	1
NCGC00261764	0.7394	1
NCGC00261802	0.8104	1
NCGC00261813	0.614	1
NCGC00260795	0.3228	0
NCGC00261352	0.6824	1
NCGC00261009	0.4428	0
NCGC00261944	0.4968	0
NCGC00261166	0.5736	0
NCGC00261332	0.5672	0
NCGC00261333	0.6074	1
NCGC00261260	0.745	1
NCGC00261915	0.5706	0
NCGC00261238	0.4082	0
NCGC00261682	0.8314	1
NCGC00261049	0.7122	1
NCGC00260910	0.6992	1
NCGC00261272	0.679	1
NCGC00260708	0.194	0
NCGC00261390	0.1004	0
NCGC00260948	0.4012	0
NCGC00261840	0.4706	0
NCGC00260881	0.3008	0
NCGC00261153	0.3002	0
NCGC00261406	0.396	0
NCGC00261053	0.0852	0
NCGC00261129	0.159	0
NCGC00261381	0.698	1
NCGC00261426	0.5218	0
NCGC00260979	0.131	0
NCGC00260993	0.2752	0
NCGC00261108	0.2254	0
NCGC00261441	0.3826	0
NCGC00261877	0.5092	0
NCGC00260815	0.279	0
NCGC00261542	0.564	0
NCGC00261958	0.274	0
NCGC00261787	0.3664	0
NCGC00261065	0.742	1
NCGC00261804	0.3678	0
NCGC00260875	0.5056	0
NCGC00261451	0.0922	0
NCGC00261739	0.4614	0
NCGC00261948	0.7866	1
NCGC00261382	0.7272	1
NCGC00261663	0.49	0
NCGC00260892	0.4566	0
NCGC00261297	0.3246	0
NCGC00261321	0.3954	0
NCGC00261446	0.5222	0
NCGC00261474	0.4772	0
NCGC00260834	0.4984	0
NCGC00260840	0.4762	0
NCGC00260947	0.5626	0
NCGC00261080	0.3728	0
NCGC00261563	0.4296	0
NCGC00261873	0.421	0
NCGC00260803	0.477	0
NCGC00260833	0.4788	0
NCGC00261008	0.6902	1
NCGC00261155	0.1298	0
NCGC00261643	0.5708	0
NCGC00261037	0.3654	0
NCGC00261126	0.5798	0
NCGC00260871	0.4184	0
NCGC00260713	0.751	1
NCGC00261487	0.4854	0
NCGC00261545	0.542	0
NCGC00261480	0.3604	0
NCGC00261838	0.3774	0
NCGC00261627	0.7886	1
NCGC00261639	0.2694	0
NCGC00261177	0.2388	0
NCGC00260692	0.4956	0
NCGC00260775	0.2816	0
NCGC00260876	0.2004	0
NCGC00261598	0.5556	0
NCGC00260707	0.7102	1
NCGC00261554	0.6932	1
NCGC00261713	0.434	0
NCGC00261737	0.7188	1
NCGC00261882	0.332	0
NCGC00261933	0.5312	0
NCGC00261201	0.3698	0
NCGC00261398	0.1242	0
NCGC00261601	0.3062	0
NCGC00261003	0.3878	0
NCGC00261019	0.2418	0
NCGC00261519	0.2114	0
NCGC00261732	0.14	0
NCGC00261718	0.614	1
NCGC00260743	0.3994	0
NCGC00260751	0.263	0
NCGC00260867	0.1114	0
NCGC00260982	0.5216	0
NCGC00261176	0.593	0
NCGC00261440	0.6942	1
NCGC00261657	0.2552	0
NCGC00260822	0.7122	1
NCGC00261142	0.78	1
NCGC00261582	0.5642	0
NCGC00261825	0.6096	1
NCGC00261833	0.7168	1
NCGC00261835	0.6174	1
NCGC00261860	0.7776	1
NCGC00261906	0.5524	0
NCGC00261916	0.5964	0
NCGC00261939	0.7084	1
NCGC00261869	0.3974	0
NCGC00261163	0.8552	1
NCGC00261653	0.664	1
NCGC00261248	0.189	0
