Sample ID	Score	Activity
NCGC00261900-01	0.001680120	0
NCGC00260869-01	0.000260230	0
NCGC00261776-01	0.063938037	0
NCGC00261380-01	0.006885494	0
NCGC00261842-01	0.178099825	0
NCGC00261662-01	0.702189640	1
NCGC00261190-01	0.279582263	0
NCGC00260731-01	0.300972556	0
NCGC00261926-01	0.001306010	0
NCGC00261579-01	0.001327385	0
NCGC00260921-01	0.874963763	1
NCGC00261119-01	0.001082745	0
NCGC00260957-01	0.750545014	1
NCGC00261812-01	0.123780829	0
NCGC00260831-01	0.741494018	1
NCGC00261544-01	0.085063921	0
NCGC00261619-01	0.225744920	0
NCGC00261633-01	0.000406053	0
NCGC00261395-01	0.000660996	0
NCGC00261717-01	0.378611573	1
NCGC00261947-01	0.034798611	0
NCGC00261424-01	0.053918122	0
NCGC00261861-01	0.904812241	1
NCGC00261924-01	0.006212619	0
NCGC00261052-01	0.009772443	0
NCGC00261683-01	0.020226244	0
NCGC00261026-01	0.292146420	0
NCGC00261057-01	0.000099363	0
NCGC00261738-01	0.000271911	0
NCGC00261348-01	0.000025093	0
NCGC00261503-01	0.000151696	0
NCGC00260693-01	0.000038718	0
NCGC00260703-01	0.000030857	0
NCGC00260716-01	0.000022731	0
NCGC00260782-01	0.000045853	0
NCGC00260802-01	0.000028519	0
NCGC00260823-01	0.000052735	0
NCGC00261313-01	0.000178572	0
NCGC00260757-01	0.000063794	0
NCGC00260826-01	0.000016752	0
NCGC00261005-01	0.000057694	0
NCGC00260980-01	0.000155723	0
NCGC00261816-01	0.001136956	0
NCGC00260698-01	0.000280836	0
NCGC00260889-01	0.000116174	0
NCGC00260811-01	0.000719165	0
NCGC00261165-01	0.000025429	0
NCGC00261060-01	0.000013066	0
NCGC00261541-01	0.000369637	0
NCGC00261649-01	0.000014905	0
NCGC00261110-01	0.001513066	0
NCGC00261130-01	0.014356967	0
NCGC00260846-01	0.018926349	0
NCGC00261030-01	0.693053795	1
NCGC00261162-01	0.943605060	1
NCGC00261058-01	0.011302897	0
NCGC00261404-01	0.002030652	0
NCGC00261423-01	0.092877969	0
NCGC00261856-01	0.406098677	1
NCGC00261342-01	0.000652044	0
NCGC00261935-01	0.000425658	0
NCGC00261069-01	0.434437883	1
NCGC00261101-01	0.001230358	0
NCGC00261183-01	0.000970314	0
NCGC00261716-01	0.000214476	0
NCGC00260742-01	0.227426894	0
NCGC00261529-01	0.001750599	0
NCGC00261170-01	0.680032972	1
NCGC00261565-01	0.000377116	0
NCGC00260990-01	0.720785606	1
NCGC00261340-01	0.024002477	0
NCGC00261079-01	0.000135800	0
NCGC00261389-01	0.000079543	0
NCGC00261744-01	0.000307280	0
NCGC00261420-01	0.000695082	0
NCGC00261215-01	0.002450504	0
NCGC00261826-01	0.000125362	0
NCGC00260706-01	0.000557003	0
NCGC00261123-01	0.001238731	0
NCGC00261367-01	0.000229451	0
NCGC00261507-01	0.000252986	0
NCGC00261169-01	0.000354176	0
NCGC00261730-01	0.000331676	0
NCGC00261624-01	0.000106722	0
NCGC00261641-01	0.000083410	0
NCGC00261853-01	0.328648133	1
NCGC00260911-01	0.001265930	0
NCGC00260798-01	0.002041767	0
NCGC00261384-01	0.002174508	0
NCGC00260785-01	0.825221746	1
NCGC00261597-01	0.754996751	1
NCGC00261025-01	0.000131257	0
NCGC00260789-01	0.000085373	0
NCGC00260866-01	0.001058383	0
NCGC00261189-01	0.000279218	0
NCGC00261270-01	0.011514030	0
NCGC00261611-01	0.001146040	0
NCGC00261160-01	0.886153521	1
NCGC00261085-01	0.000053838	0
NCGC00261817-01	0.000729137	0
NCGC00261866-01	0.000128907	0
NCGC00260852-01	0.000392155	0
NCGC00261290-01	0.001049808	0
NCGC00261304-01	0.360943519	1
NCGC00261704-01	0.000858765	0
NCGC00260850-01	0.000603248	0
NCGC00260972-01	0.000207477	0
NCGC00261364-01	0.000276012	0
NCGC00261392-01	0.010666100	0
NCGC00261638-01	0.000348544	0
NCGC00261820-01	0.000074509	0
NCGC00261808-01	0.000094961	0
NCGC00260790-01	0.000309510	0
NCGC00260940-01	0.778769887	1
NCGC00261081-01	0.001797458	0
NCGC00261506-01	0.867471757	1
NCGC00261133-01	0.000791189	0
NCGC00261399-01	0.017792408	0
NCGC00260696-01	0.369413325	1
NCGC00261903-01	0.217141888	0
NCGC00261178-01	0.105643858	0
NCGC00261568-01	0.000178618	0
NCGC00260830-01	0.000115929	0
NCGC00261113-01	0.000094602	0
NCGC00261327-01	0.000105733	0
NCGC00261602-01	0.000607381	0
NCGC00260858-01	0.807877164	1
NCGC00261071-01	0.002546599	0
NCGC00261076-01	0.000302956	0
NCGC00261192-01	0.000803334	0
NCGC00261495-01	0.000534960	0
NCGC00261577-01	0.475171966	1
NCGC00261510-01	0.000661671	0
NCGC00261679-01	0.036781484	0
NCGC00261941-01	0.099237921	0
NCGC00261343-01	0.000780345	0
NCGC00261607-01	0.000617400	0
NCGC00261782-01	0.022870385	0
NCGC00261914-01	0.000231826	0
NCGC00261475-01	0.266667070	0
NCGC00261764-01	0.759317721	1
NCGC00261802-01	0.994185648	1
NCGC00261813-01	0.000468485	0
NCGC00260795-01	0.000431908	0
NCGC00261352-01	0.897759073	1
NCGC00261009-01	0.001638966	0
NCGC00261944-01	0.001714248	0
NCGC00261166-01	0.859666919	1
NCGC00261332-01	0.806663860	1
NCGC00261333-01	0.007367222	0
NCGC00261260-01	0.967330976	1
NCGC00261915-01	0.011926182	0
NCGC00261238-01	0.000441244	0
NCGC00261682-01	0.002055377	0
NCGC00261049-01	0.001205229	0
NCGC00260910-01	0.000649600	0
NCGC00261272-01	0.020363152	0
NCGC00260708-01	0.000128766	0
NCGC00261390-01	0.000013047	0
NCGC00260948-01	0.000108075	0
NCGC00261840-01	0.000335424	0
NCGC00260881-01	0.000216579	0
NCGC00261153-01	0.000066456	0
NCGC00261406-01	0.000228179	0
NCGC00261053-01	0.000013244	0
NCGC00261129-01	0.000030712	0
NCGC00261381-01	0.031486455	0
NCGC00261426-01	0.024898600	0
NCGC00260979-01	0.000306862	0
NCGC00260993-01	0.000450173	0
NCGC00261108-01	0.000184271	0
NCGC00261441-01	0.000201572	0
