Sample ID	Score	Activity
NCGC00261776-01	-2.362	0
NCGC00261380-01	-6.829	0
NCGC00261842-01	-3.428	0
NCGC00261662-01	1.661	1
NCGC00261190-01	-1.113	0
NCGC00260731-01	-0.211	0
NCGC00261926-01	-2.154	0
NCGC00261579-01	-1.352	0
NCGC00260921-01	1.015	1
NCGC00261119-01	-1.082	0
NCGC00261812-01	0.224	1
NCGC00260831-01	0.892	1
NCGC00261544-01	-0.456	0
NCGC00261619-01	0.337	1
NCGC00261395-01	-0.685	0
NCGC00261717-01	1.156	1
NCGC00261947-01	-0.544	0
NCGC00261424-01	3.203	1
NCGC00261861-01	2.36	1
NCGC00261924-01	-0.151	0
NCGC00261026-01	5.556	1
NCGC00261057-01	-4.506	0
NCGC00261738-01	-0.795	0
NCGC00261348-01	-6.414	0
NCGC00261503-01	-8.006	0
NCGC00260693-01	-8.228	0
NCGC00260703-01	-8.175	0
NCGC00260716-01	-2.966	0
NCGC00260782-01	-2.825	0
NCGC00260802-01	-1.614	0
NCGC00260823-01	-3.149	0
NCGC00260757-01	-1.711	0
NCGC00260826-01	-3.417	0
NCGC00260889-01	-2.725	0
NCGC00260811-01	-4.207	0
NCGC00261165-01	-8.52	0
NCGC00261060-01	-4.958	0
NCGC00261541-01	-3.23	0
NCGC00261649-01	-4.021	0
NCGC00261110-01	0.515	1
NCGC00261130-01	1.5	1
NCGC00260846-01	3.816	1
NCGC00261030-01	1.425	1
NCGC00261162-01	4.898	1
NCGC00261058-01	-1.396	0
NCGC00261404-01	-1.024	0
NCGC00261423-01	-2.523	0
NCGC00261856-01	-1.048	0
NCGC00261342-01	-2.249	0
NCGC00261069-01	2.975	1
NCGC00261101-01	-1.079	0
NCGC00261716-01	-5.055	0
NCGC00260742-01	-1.776	0
NCGC00261529-01	-0.278	0
NCGC00261170-01	-0.489	0
NCGC00261565-01	-2.074	0
NCGC00260990-01	-0.94	0
NCGC00261340-01	1.999	1
NCGC00261079-01	-1.79	0
NCGC00261389-01	-3.161	0
NCGC00261744-01	-3.929	0
NCGC00261420-01	-0.016	0
NCGC00261215-01	-3.384	0
NCGC00261826-01	-1.769	0
NCGC00261123-01	1.679	1
NCGC00261367-01	-6.442	0
NCGC00261507-01	-6.263	0
NCGC00261169-01	-1.764	0
NCGC00261730-01	-1.237	0
NCGC00261624-01	-2.628	0
NCGC00261641-01	-2.98	0
NCGC00261853-01	-1.887	0
NCGC00260911-01	-2.871	0
NCGC00261384-01	-1.863	0
NCGC00260785-01	-1.659	0
NCGC00261025-01	-3.025	0
NCGC00260789-01	-4.414	0
NCGC00260866-01	-2.606	0
NCGC00261189-01	-4.419	0
NCGC00261270-01	-0.089	0
NCGC00261611-01	-2.37	0
NCGC00261817-01	-1.375	0
NCGC00261866-01	-1.679	0
NCGC00260852-01	-0.211	0
NCGC00261290-01	-0.137	0
NCGC00261304-01	-1.224	0
NCGC00261704-01	-3.652	0
NCGC00260850-01	-3.756	0
NCGC00260972-01	-2.899	0
NCGC00261392-01	-0.839	0
NCGC00261638-01	-1.332	0
NCGC00261820-01	-3.651	0
NCGC00261808-01	-3.194	0
NCGC00260790-01	-3.362	0
NCGC00260940-01	2.303	1
NCGC00261081-01	1.839	1
NCGC00261506-01	2.186	1
NCGC00261133-01	-1.655	0
NCGC00261399-01	-1.386	0
NCGC00260696-01	1.719	1
NCGC00261903-01	0.75	1
NCGC00261178-01	0.183	1
NCGC00261568-01	-4.715	0
NCGC00260830-01	-7.177	0
NCGC00261113-01	-6.099	0
NCGC00261327-01	-5.773	0
NCGC00261602-01	-5.748	0
NCGC00260858-01	-1.29	0
NCGC00261071-01	-0.943	0
NCGC00261076-01	-5.868	0
NCGC00261192-01	-6.906	0
NCGC00261577-01	0.717	1
NCGC00261510-01	-3.747	0
NCGC00261679-01	0.558	1
NCGC00261941-01	-0.515	0
NCGC00261343-01	-3.648	0
NCGC00261607-01	-2.448	0
NCGC00261782-01	-1.657	0
NCGC00261475-01	-3.614	0
NCGC00261764-01	1.75	1
NCGC00261802-01	2.289	1
NCGC00261813-01	-5.262	0
NCGC00260795-01	-1.806	0
NCGC00261352-01	2.624	1
NCGC00261009-01	-1.678	0
NCGC00261944-01	-5.172	0
NCGC00261166-01	5.306	1
NCGC00261332-01	-0.738	0
NCGC00261333-01	-2.802	0
NCGC00261260-01	2.518	1
NCGC00261915-01	-2.831	0
NCGC00261682-01	-3.519	0
NCGC00260910-01	-3.163	0
NCGC00261272-01	1.614	1
NCGC00260708-01	-3.844	0
NCGC00261390-01	-3.43	0
NCGC00260948-01	-3.544	0
NCGC00261840-01	-3.313	0
NCGC00261153-01	0.024	1
NCGC00261406-01	-2.657	0
NCGC00261053-01	-4.359	0
NCGC00261129-01	-3.185	0
NCGC00261381-01	-3.831	0
NCGC00261426-01	-0.671	0
NCGC00260979-01	-8.022	0
NCGC00260993-01	-4.761	0
NCGC00261108-01	-5.276	0
NCGC00261877-01	-7.038	0
NCGC00261542-01	1.44	1
NCGC00261787-01	0.114	1
NCGC00261065-01	0.227	1
NCGC00261804-01	1.295	1
NCGC00260875-01	1.007	1
NCGC00261451-01	7.905	1
NCGC00261948-01	0.604	1
NCGC00261382-01	-4.778	0
NCGC00261297-01	-3.065	0
NCGC00261321-01	0.269	1
NCGC00261446-01	-2.475	0
NCGC00261474-01	-2.497	0
NCGC00260803-01	-6.423	0
NCGC00260833-01	-6.636	0
NCGC00261008-01	-10.728	0
NCGC00261155-01	-8.035	0
NCGC00261643-01	-5.619	0
NCGC00261126-01	0.575	1
NCGC00260871-01	2.754	1
NCGC00260713-01	-3.737	0
NCGC00261487-01	-0.989	0
