Sample ID	Score	Activity
NCGC00260691	0.06325	0
NCGC00260692	0.03731	0
NCGC00260693	0.09622	0
NCGC00260696	0.65370	1
NCGC00260698	0.53271	1
NCGC00260703	0.07314	0
NCGC00260706	0.37653	0
NCGC00260707	0.35160	0
NCGC00260708	0.01400	0
NCGC00260713	0.65508	1
NCGC00260716	0.01402	0
NCGC00260728	0.29461	0
NCGC00260731	0.60186	1
NCGC00260742	0.61247	1
NCGC00260743	0.08892	0
NCGC00260751	0.07137	0
NCGC00260757	0.02901	0
NCGC00260770	0.08364	0
NCGC00260775	0.04309	0
NCGC00260782	0.09371	0
NCGC00260785	0.73962	1
NCGC00260789	0.52183	1
NCGC00260790	0.62734	1
NCGC00260795	0.60521	1
NCGC00260798	0.71923	1
NCGC00260802	0.05523	0
NCGC00260803	0.51038	1
NCGC00260811	0.55658	1
NCGC00260815	0.36745	0
NCGC00260817	0.32388	0
NCGC00260821	0.05388	0
NCGC00260822	0.68638	1
NCGC00260823	0.04188	0
NCGC00260826	0.03671	0
NCGC00260830	0.48324	0
NCGC00260831	0.79025	1
NCGC00260833	0.47578	0
NCGC00260834	0.45553	0
NCGC00260840	0.43623	0
NCGC00260846	0.62316	1
NCGC00260850	0.43209	0
NCGC00260852	0.48971	0
NCGC00260858	0.80064	1
NCGC00260866	0.55023	1
NCGC00260867	0.04630	0
NCGC00260869	0.34818	0
NCGC00260871	0.67495	1
NCGC00260875	0.72121	1
NCGC00260876	0.05256	0
NCGC00260881	0.06956	0
NCGC00260889	0.39852	0
NCGC00260890	0.49156	0
NCGC00260892	0.59957	1
NCGC00260910	0.50299	1
NCGC00260911	0.51520	1
NCGC00260921	0.73695	1
NCGC00260940	0.80502	1
NCGC00260947	0.57873	1
NCGC00260948	0.07489	0
NCGC00260957	0.78714	1
NCGC00260962	0.65187	1
NCGC00260972	0.49818	0
NCGC00260979	0.46924	0
NCGC00260980	0.50493	1
NCGC00260982	0.16971	0
NCGC00260990	0.80208	1
NCGC00260993	0.37433	0
NCGC00261003	0.16092	0
NCGC00261005	0.12254	0
NCGC00261007	0.08984	0
NCGC00261008	0.43715	0
NCGC00261009	0.73047	1
NCGC00261013	0.38511	0
NCGC00261018	0.44436	0
NCGC00261019	0.26657	0
NCGC00261025	0.37764	0
NCGC00261026	0.56247	1
NCGC00261028	0.55714	1
NCGC00261030	0.77069	1
NCGC00261037	0.38676	0
NCGC00261049	0.53768	1
NCGC00261052	0.48919	0
NCGC00261053	0.04546	0
NCGC00261057	0.48177	0
NCGC00261058	0.69171	1
NCGC00261060	0.07320	0
NCGC00261065	0.76490	1
