SampleID	Score	Activity
NCGC00261949	0.0600	0
NCGC00357083	0.0259	0
NCGC00260731	0.3116	0
NCGC00357288	0.5382	1
NCGC00357081	0.3722	0
NCGC00260982	0.0231	0
NCGC00260980	0.3778	0
NCGC00357068	0.0279	0
NCGC00357069	0.0039	0
NCGC00357060	0.0681	0
NCGC00357061	0.0149	0
NCGC00357063	0.0282	0
NCGC00357064	0.0316	0
NCGC00357065	0.0538	0
NCGC00357066	0.0873	0
NCGC00357067	0.0501	0
NCGC00260698	0.1369	0
NCGC00261866	0.1157	0
NCGC00357201	0.9626	1
NCGC00357202	0.0185	0
NCGC00357203	0.7450	1
NCGC00357204	0.0347	0
NCGC00357205	0.0385	0
NCGC00261860	0.6243	1
NCGC00261861	0.4522	0
NCGC00357208	0.9683	1
NCGC00357209	0.4468	0
NCGC00261906	0.7199	1
NCGC00261900	0.3936	0
NCGC00261903	0.3822	0
NCGC00261869	0.0657	0
NCGC00261510	0.1115	0
NCGC00357284	0.2668	0
NCGC00261519	0.0517	0
NCGC00260742	0.1558	0
NCGC00260743	0.0358	0
NCGC00357287	0.0201	0
NCGC00260890	0.1768	0
NCGC00260892	0.4269	0
NCGC00357020	0.0636	0
NCGC00357021	0.0874	0
NCGC00261349	0.1029	0
NCGC00261348	0.0346	0
NCGC00261343	0.3101	0
NCGC00261342	0.3823	0
NCGC00261340	0.2150	0
NCGC00261583	0.3857	0
NCGC00261582	0.0714	0
NCGC00261163	0.3322	0
NCGC00261162	0.8953	1
NCGC00261248	0.0813	0
NCGC00261160	0.4667	0
NCGC00261166	0.5230	1
NCGC00261165	0.1229	0
NCGC00261169	0.3902	0
NCGC00261313	0.0266	0
NCGC00261246	0.0207	0
NCGC00261649	0.0838	0
NCGC00260803	0.1359	0
NCGC00261643	0.1208	0
NCGC00261641	0.1158	0
NCGC00261764	0.4448	0
NCGC00261767	0.1807	0
NCGC00261882	0.4743	0
NCGC00357037	0.0174	0
NCGC00357036	0.0154	0
NCGC00357035	0.0313	0
NCGC00357034	0.0156	0
NCGC00357033	0.0194	0
NCGC00357032	0.0515	0
NCGC00261019	0.0809	0
NCGC00357030	0.0181	0
NCGC00261013	0.1090	0
NCGC00357156	0.1769	0
NCGC00357039	0.0052	0
NCGC00357038	0.3581	0
NCGC00357119	0.0155	0
NCGC00357151	0.1831	0
NCGC00260940	0.4137	0
NCGC00260947	0.4042	0
NCGC00260948	0.0202	0
NCGC00261085	0.0638	0
NCGC00357109	0.4919	0
NCGC00357108	0.0201	0
NCGC00261080	0.1192	0
NCGC00261081	0.3520	0
NCGC00357103	0.0130	0
NCGC00357102	0.0100	0
NCGC00357101	0.0257	0
NCGC00357100	0.0033	0
NCGC00357107	0.0243	0
NCGC00357106	0.0141	0
NCGC00357105	0.0114	0
NCGC00357104	0.0603	0
NCGC00260790	0.3035	0
NCGC00260795	0.3099	0
NCGC00357158	0.0028	0
NCGC00260798	0.2939	0
NCGC00261941	0.1725	0
NCGC00357088	0.0229	0
NCGC00357089	0.3341	0
NCGC00261944	0.3927	0
NCGC00261947	0.3726	0
NCGC00357082	0.7553	1
NCGC00261948	0.4342	0
NCGC00357080	0.0591	0
NCGC00261133	0.1883	0
NCGC00357086	0.0038	0
NCGC00357087	0.0725	0
NCGC00357084	0.0117	0
NCGC00357085	0.0231	0
NCGC00260708	0.0103	0
NCGC00260703	0.0341	0
NCGC00260706	0.3379	0
NCGC00260707	0.1172	0
NCGC00356959	0.0211	0
NCGC00356958	0.3610	0
NCGC00356953	0.1891	0
NCGC00356952	0.0750	0
NCGC00356951	0.0089	0
NCGC00356950	0.1187	0
NCGC00356957	0.3590	0
NCGC00356956	0.2566	0
NCGC00356955	0.5158	1
NCGC00356954	0.0050	0
NCGC00357257	0.0874	0
NCGC00261838	0.0868	0
NCGC00357259	0.5377	1
NCGC00357258	0.0614	0
NCGC00261835	0.1016	0
NCGC00357256	0.0550	0
NCGC00357255	0.2611	0
NCGC00357254	0.0081	0
NCGC00357253	0.0453	0
NCGC00357252	0.0936	0
NCGC00261833	0.5795	1
NCGC00357250	0.0371	0
NCGC00261426	0.4898	0
NCGC00261935	0.2399	0
NCGC00261424	0.4786	0
NCGC00261423	0.1137	0
NCGC00261420	0.3721	0
NCGC00261933	0.3633	0
NCGC00261545	0.4476	0
NCGC00261544	0.3584	0
NCGC00261541	0.0785	0
NCGC00261939	0.7169	1
NCGC00261542	0.2085	0
NCGC00357251	0.4522	0
NCGC00261261	0.4074	0
NCGC00357110	0.3147	0
NCGC00357111	0.5263	1
NCGC00261682	0.3741	0
NCGC00261683	0.3500	0
NCGC00260840	0.1405	0
NCGC00261686	0.0325	0
NCGC00260846	0.4121	0
NCGC00357114	0.0802	0
NCGC00261332	0.4435	0
NCGC00261333	0.4195	0
NCGC00261330	0.0711	0
NCGC00261336	0.0513	0
NCGC00357117	0.3641	0
NCGC00261053	0.0370	0
NCGC00261052	0.3591	0
NCGC00357170	0.0449	0
NCGC00261119	0.1809	0
NCGC00261057	0.1136	0
NCGC00357177	0.0373	0
NCGC00357174	0.0023	0
NCGC00357175	0.6446	1
NCGC00261113	0.0846	0
NCGC00261110	0.3374	0
NCGC00261058	0.4606	0
NCGC00261611	0.3445	0
NCGC00357230	0.2078	0
NCGC00261619	0.3981	0
NCGC00261752	0.4365	0
NCGC00261201	0.3104	0
NCGC00356986	0.2531	0
NCGC00357127	0.0329	0
NCGC00357126	0.4813	0
NCGC00357129	0.0561	0
NCGC00356997	0.0618	0
NCGC00260990	0.5058	1
NCGC00260993	0.1093	0
NCGC00357048	0.0020	0
NCGC00357079	0.0329	0
NCGC00357078	0.0401	0
NCGC00357073	0.0540	0
NCGC00357072	0.4099	0
NCGC00357071	0.0119	0
NCGC00357070	0.0115	0
NCGC00357077	0.0645	0
NCGC00357076	0.0048	0
NCGC00357075	0.0623	0
NCGC00357074	0.0179	0
NCGC00261451	0.8987	1
NCGC00357213	0.0749	0
NCGC00357212	0.1582	0
NCGC00261873	0.3964	0
NCGC00357210	0.0226	0
NCGC00357217	0.0505	0
NCGC00357216	0.0629	0
NCGC00261877	0.0914	0
NCGC00357214	0.0251	0
NCGC00357219	0.9023	1
NCGC00357218	0.6788	1
NCGC00261503	0.0814	0
NCGC00261507	0.3344	0
NCGC00261506	0.4075	0
NCGC00261662	0.4000	0
NCGC00260757	0.0131	0
NCGC00357289	0.1533	0
NCGC00260751	0.0766	0
NCGC00260696	0.4718	0
NCGC00357281	0.3964	0
NCGC00357282	0.3004	0
NCGC00357283	0.0178	0
NCGC00260692	0.0099	0
NCGC00260693	0.0522	0
NCGC00357286	0.0366	0
NCGC00260691	0.2322	0
NCGC00261480	0.3108	0
NCGC00261487	0.3557	0
NCGC00260881	0.0211	0
NCGC00260889	0.1240	0
NCGC00261804	0.3439	0
NCGC00261802	0.4562	0
NCGC00261475	0.4380	0
NCGC00261474	0.0745	0
NCGC00261808	0.3098	0
NCGC00261470	0.3828	0
NCGC00261473	0.0905	0
NCGC00261577	0.4885	0
NCGC00261578	0.0156	0
NCGC00261579	0.3451	0
NCGC00261254	0.4600	0
NCGC00261398	0.3736	0
NCGC00261399	0.4135	0
NCGC00261395	0.4080	0
NCGC00261390	0.0418	0
NCGC00357162	0.0190	0
NCGC00261392	0.1479	0
NCGC00260834	0.3627	0
NCGC00260833	0.1671	0
NCGC00260830	0.3329	0
NCGC00260831	0.4048	0
NCGC00261657	0.0032	0
NCGC00261713	0.4126	0
NCGC00261716	0.1120	0
NCGC00261717	0.3857	0
NCGC00261718	0.0290	0
NCGC00357002	0.0792	0
NCGC00357003	0.0637	0
NCGC00261028	0.1817	0
NCGC00357001	0.3283	0
NCGC00357006	0.0172	0
NCGC00357007	0.2303	0
NCGC00357004	0.0724	0
NCGC00357005	0.0657	0
NCGC00357008	0.0318	0
NCGC00357009	0.0324	0
NCGC00261026	0.4402	0
NCGC00261025	0.0750	0
NCGC00260957	0.4209	0
NCGC00356943	0.3332	0
NCGC00357200	0.0060	0
NCGC00357136	0.0058	0
NCGC00357137	0.0324	0
NCGC00357134	0.8994	1
NCGC00357135	0.1439	0
NCGC00357132	0.3082	0
NCGC00357133	0.0331	0
NCGC00357130	0.0211	0
NCGC00357131	0.0159	0
