Sample ID	Score	Activity
NCGC00261900-01	0.199334429	0
NCGC00260869-01	0.358106223	0
NCGC00261776-01	0.218163047	0
NCGC00261380-01	0.258199547	0
NCGC00261842-01	0.465672404	0
NCGC00261662-01	0.490288096	0
NCGC00261190-01	0.201620690	0
NCGC00260731-01	0.208079764	0
NCGC00261926-01	0.237328756	0
NCGC00261579-01	0.119313351	0
NCGC00260921-01	0.409553614	0
NCGC00261119-01	0.493318804	0
NCGC00260957-01	0.309952204	0
NCGC00261812-01	0.418294326	0
NCGC00260831-01	0.427574193	0
NCGC00261544-01	0.351023006	0
NCGC00261619-01	0.297892728	0
NCGC00261633-01	0.230663354	0
NCGC00261395-01	0.069275439	0
NCGC00261717-01	0.491339855	0
NCGC00261947-01	0.389952910	0
NCGC00261424-01	0.481342088	0
NCGC00261861-01	0.816920294	1
NCGC00261924-01	0.142259501	0
NCGC00261052-01	0.068699155	0
NCGC00261683-01	0.229010415	0
NCGC00261026-01	0.402808609	0
NCGC00261057-01	0.099753486	0
NCGC00261738-01	0.582672413	1
NCGC00261348-01	0.093050620	0
NCGC00261503-01	0.022917954	0
NCGC00260693-01	0.004835219	0
NCGC00260703-01	0.004518243	0
NCGC00260716-01	0.005740749	0
NCGC00260782-01	0.005049880	0
NCGC00260802-01	0.006521025	0
NCGC00260823-01	0.004607025	0
NCGC00261313-01	0.105701529	0
NCGC00260757-01	0.003944521	0
NCGC00260826-01	0.002738179	0
NCGC00261005-01	0.015991652	0
NCGC00260980-01	0.126901492	0
NCGC00261816-01	0.209992464	0
NCGC00260698-01	0.158013292	0
NCGC00260889-01	0.178933475	0
NCGC00260811-01	0.275149740	0
NCGC00261165-01	0.142211354	0
NCGC00261060-01	0.005526228	0
NCGC00261541-01	0.021071349	0
NCGC00261649-01	0.004163120	0
NCGC00261110-01	0.029748525	0
NCGC00261130-01	0.034830485	0
NCGC00260846-01	0.394859760	0
NCGC00261030-01	0.537986335	1
NCGC00261162-01	0.760756107	1
NCGC00261058-01	0.152279852	0
NCGC00261404-01	0.154084743	0
NCGC00261423-01	0.414974081	0
NCGC00261856-01	0.414974081	0
NCGC00261342-01	0.312248276	0
NCGC00261935-01	0.032366595	0
NCGC00261069-01	0.510660528	1
NCGC00261101-01	0.289098212	0
NCGC00261183-01	0.088862335	0
NCGC00261716-01	0.214977232	0
NCGC00260742-01	0.198968912	0
NCGC00261529-01	0.175584199	0
NCGC00261170-01	0.191145168	0
NCGC00261565-01	0.053966793	0
NCGC00260990-01	0.512584314	1
NCGC00261340-01	0.146415579	0
NCGC00261079-01	0.059304862	0
NCGC00261389-01	0.115040509	0
NCGC00261744-01	0.203858572	0
NCGC00261420-01	0.084797220	0
NCGC00261215-01	0.146534752	0
NCGC00261826-01	0.145878304	0
NCGC00260706-01	0.352436655	0
NCGC00261123-01	0.423474269	0
NCGC00261367-01	0.123496211	0
NCGC00261507-01	0.011272945	0
NCGC00261169-01	0.146728469	0
NCGC00261730-01	0.067643010	0
NCGC00261624-01	0.106386241	0
NCGC00261641-01	0.037419206	0
NCGC00261853-01	0.267353204	0
NCGC00260911-01	0.123980750	0
NCGC00260798-01	0.336651322	0
NCGC00261384-01	0.078983237	0
NCGC00260785-01	0.452967059	0
NCGC00261597-01	0.410937629	0
NCGC00261025-01	0.045118325	0
NCGC00260789-01	0.101677563	0
NCGC00260866-01	0.052488940	0
NCGC00261189-01	0.201580760	0
NCGC00261270-01	0.092669246	0
NCGC00261611-01	0.138429013	0
NCGC00261160-01	0.493142458	0
NCGC00261085-01	0.012971903	0
NCGC00261817-01	0.395021466	0
NCGC00261866-01	0.024288024	0
NCGC00260852-01	0.059911030	0
NCGC00261290-01	0.076192599	0
NCGC00261304-01	0.345831576	0
NCGC00261704-01	0.091398101	0
NCGC00260850-01	0.193225875	0
NCGC00260972-01	0.219183980	0
NCGC00261364-01	0.016217454	0
NCGC00261392-01	0.318265606	0
NCGC00261638-01	0.044580365	0
NCGC00261820-01	0.017549844	0
NCGC00261808-01	0.020327340	0
NCGC00260790-01	0.030942970	0
NCGC00260940-01	0.332524409	0
NCGC00261081-01	0.345046906	0
NCGC00261506-01	0.452557029	0
NCGC00261133-01	0.141716546	0
NCGC00261399-01	0.236854006	0
NCGC00260696-01	0.238378545	0
NCGC00261903-01	0.384633179	0
NCGC00261178-01	0.472273096	0
NCGC00261568-01	0.106428348	0
NCGC00260830-01	0.125263947	0
NCGC00261113-01	0.006953252	0
NCGC00261327-01	0.019915901	0
NCGC00261602-01	0.066887804	0
NCGC00260858-01	0.339036191	0
NCGC00261071-01	0.321622290	0
NCGC00261076-01	0.062775122	0
NCGC00261192-01	0.124781097	0
NCGC00261495-01	0.211056971	0
NCGC00261577-01	0.527874434	1
NCGC00261510-01	0.180447181	0
NCGC00261679-01	0.390967299	0
NCGC00261941-01	0.123888722	0
NCGC00261343-01	0.202132994	0
NCGC00261607-01	0.215215112	0
NCGC00261782-01	0.293301349	0
NCGC00261914-01	0.104148029	0
NCGC00261475-01	0.454452647	0
NCGC00261764-01	0.171105843	0
NCGC00261802-01	0.492865293	0
NCGC00261813-01	0.280002736	0
NCGC00260795-01	0.049290646	0
NCGC00261352-01	0.667572328	1
NCGC00261009-01	0.396636708	0
NCGC00261944-01	0.295133706	0
NCGC00261166-01	0.528263783	1
NCGC00261332-01	0.308705585	0
NCGC00261333-01	0.224209309	0
NCGC00261260-01	0.625927023	1
NCGC00261915-01	0.207919215	0
NCGC00261238-01	0.241086808	0
NCGC00261682-01	0.194266523	0
NCGC00261049-01	0.259094696	0
NCGC00260910-01	0.238935794	0
NCGC00261272-01	0.195146939	0
NCGC00260708-01	0.005859887	0
NCGC00261390-01	0.004841301	0
NCGC00260948-01	0.031747431	0
NCGC00261840-01	0.084180629	0
NCGC00260881-01	0.006028645	0
NCGC00261153-01	0.026598846	0
NCGC00261406-01	0.052470997	0
NCGC00261053-01	0.004190715	0
NCGC00261129-01	0.003302555	0
NCGC00261381-01	0.135999588	0
NCGC00261426-01	0.575713978	1
NCGC00260979-01	0.003302103	0
NCGC00260993-01	0.087169575	0
NCGC00261108-01	0.067930130	0
NCGC00261441-01	0.217903079	0
NCGC00261877-01	0.060975964	0
NCGC00260815-01	0.337236719	0
NCGC00261542-01	0.424620701	0
NCGC00261958-01	0.083635760	0
NCGC00261787-01	0.172067227	0
NCGC00261065-01	0.672794093	1
NCGC00261804-01	0.506737801	1
NCGC00260875-01	0.454685958	0
NCGC00261451-01	0.650648874	1
NCGC00261739-01	0.411013804	0
NCGC00261948-01	0.393109989	0
NCGC00261382-01	0.257415425	0
NCGC00261663-01	0.294779562	0
NCGC00260892-01	0.070211472	0
NCGC00261297-01	0.113692507	0
NCGC00261321-01	0.183487386	0
NCGC00261446-01	0.190179338	0
NCGC00261474-01	0.084782943	0
NCGC00260834-01	0.153733909	0
NCGC00260840-01	0.104505604	0
NCGC00260947-01	0.242347192	0
NCGC00261080-01	0.100527882	0
NCGC00261563-01	0.107754725	0
NCGC00261873-01	0.150619665	0
NCGC00260803-01	0.072111714	0
NCGC00260833-01	0.174826728	0
NCGC00261008-01	0.191399842	0
NCGC00261155-01	0.067521242	0
