Sample ID	Score	Activity
NCGC00261900-01	0.037929229	0
NCGC00260869-01	0.019873890	0
NCGC00261776-01	0.214449492	0
NCGC00261380-01	0.061838723	0
NCGC00261842-01	0.429372031	0
NCGC00261662-01	0.600455628	1
NCGC00261190-01	0.459656931	0
NCGC00260731-01	0.373370794	0
NCGC00261926-01	0.049362334	0
NCGC00261579-01	0.040562729	0
NCGC00260921-01	0.843438219	1
NCGC00261119-01	0.039930417	0
NCGC00260957-01	0.862338869	1
NCGC00261812-01	0.386293486	0
NCGC00260831-01	0.722569376	1
NCGC00261544-01	0.293283612	0
NCGC00261619-01	0.434077761	0
NCGC00261633-01	0.027652750	0
NCGC00261395-01	0.030299229	0
NCGC00261717-01	0.623164598	1
NCGC00261947-01	0.248753043	0
NCGC00261424-01	0.292166741	0
NCGC00261861-01	0.772607157	1
NCGC00261924-01	0.050099581	0
NCGC00261052-01	0.145353232	0
NCGC00261683-01	0.150443655	0
NCGC00261026-01	0.497879201	0
NCGC00261057-01	0.011147571	0
NCGC00261738-01	0.011358639	0
NCGC00261348-01	0.005493446	0
NCGC00261503-01	0.018434134	0
NCGC00260693-01	0.008203783	0
NCGC00260703-01	0.006461969	0
NCGC00260716-01	0.004497588	0
NCGC00260782-01	0.006706498	0
NCGC00260802-01	0.005503119	0
NCGC00260823-01	0.007097033	0
NCGC00261313-01	0.015640199	0
NCGC00260757-01	0.010397687	0
NCGC00260826-01	0.003729381	0
NCGC00261005-01	0.007825494	0
NCGC00260980-01	0.016843833	0
NCGC00261816-01	0.050320165	0
NCGC00260698-01	0.024134592	0
NCGC00260889-01	0.010872948	0
NCGC00260811-01	0.026967859	0
NCGC00261165-01	0.007660140	0
NCGC00261060-01	0.003079826	0
NCGC00261541-01	0.030781490	0
NCGC00261649-01	0.003355153	0
NCGC00261110-01	0.043216942	0
NCGC00261130-01	0.110989683	0
NCGC00260846-01	0.106942636	0
NCGC00261030-01	0.682259851	1
NCGC00261162-01	0.808821100	1
NCGC00261058-01	0.057387731	0
NCGC00261404-01	0.055575073	0
NCGC00261423-01	0.261916438	0
NCGC00261856-01	0.512503395	1
NCGC00261342-01	0.032464379	0
NCGC00261935-01	0.023882176	0
NCGC00261069-01	0.503991788	1
NCGC00261101-01	0.038741084	0
NCGC00261183-01	0.039778469	0
NCGC00261716-01	0.019211239	0
NCGC00260742-01	0.518825530	1
NCGC00261529-01	0.044392349	0
NCGC00261170-01	0.757038925	1
NCGC00261565-01	0.034709472	0
NCGC00260990-01	0.704794272	1
NCGC00261340-01	0.140529258	0
NCGC00261079-01	0.014949178	0
NCGC00261389-01	0.009179609	0
NCGC00261744-01	0.023321257	0
NCGC00261420-01	0.034837807	0
NCGC00261215-01	0.070855213	0
NCGC00261826-01	0.012325390	0
NCGC00260706-01	0.027580775	0
NCGC00261123-01	0.035336798	0
NCGC00261367-01	0.015487300	0
NCGC00261507-01	0.016557565	0
NCGC00261169-01	0.023615454	0
NCGC00261730-01	0.023670161	0
NCGC00261624-01	0.012058276	0
NCGC00261641-01	0.011401344	0
NCGC00261853-01	0.395131120	0
NCGC00260911-01	0.042882369	0
NCGC00260798-01	0.043700253	0
NCGC00261384-01	0.048224018	0
NCGC00260785-01	0.755498611	1
NCGC00261597-01	0.750458678	1
NCGC00261025-01	0.017728291	0
NCGC00260789-01	0.009908744	0
NCGC00260866-01	0.041744979	0
NCGC00261189-01	0.022595721	0
NCGC00261270-01	0.135518395	0
NCGC00261611-01	0.033704857	0
NCGC00261160-01	0.763999172	1
NCGC00261085-01	0.007234373	0
NCGC00261817-01	0.028896608	0
NCGC00261866-01	0.011323225	0
NCGC00260852-01	0.018406477	0
NCGC00261290-01	0.032648222	0
NCGC00261304-01	0.533865991	1
NCGC00261704-01	0.024153860	0
NCGC00260850-01	0.026134405	0
NCGC00260972-01	0.017942705	0
NCGC00261364-01	0.020765150	0
NCGC00261392-01	0.185588996	0
NCGC00261638-01	0.021369183	0
NCGC00261820-01	0.009619735	0
NCGC00261808-01	0.007775479	0
NCGC00260790-01	0.018547445	0
NCGC00260940-01	0.729513483	1
NCGC00261081-01	0.052589148	0
NCGC00261506-01	0.860807924	1
NCGC00261133-01	0.037046941	0
NCGC00261399-01	0.100787023	0
NCGC00260696-01	0.582452748	1
NCGC00261903-01	0.518539810	1
NCGC00261178-01	0.462146068	0
NCGC00261568-01	0.019578579	0
NCGC00260830-01	0.014331365	0
NCGC00261113-01	0.011361687	0
NCGC00261327-01	0.014476159	0
NCGC00261602-01	0.033057579	0
NCGC00260858-01	0.804033888	1
NCGC00261071-01	0.069144035	0
NCGC00261076-01	0.021484523	0
NCGC00261192-01	0.036132553	0
NCGC00261495-01	0.021845171	0
