Sample ID	Score	Activity
NCGC00261900-01	0.000942068	0
NCGC00260869-01	0.000035571	0
NCGC00261776-01	0.549209792	1
NCGC00261380-01	0.002440947	0
NCGC00261842-01	0.550155892	1
NCGC00261662-01	0.928691755	1
NCGC00261190-01	0.115252861	0
NCGC00260731-01	0.111188193	0
NCGC00261926-01	0.000225530	0
NCGC00261579-01	0.000279353	0
NCGC00260921-01	0.782628546	1
NCGC00261119-01	0.000177157	0
NCGC00260957-01	0.839980479	1
NCGC00261812-01	0.052856938	0
NCGC00260831-01	0.706364644	1
NCGC00261544-01	0.022692493	0
NCGC00261619-01	0.563956802	1
NCGC00261633-01	0.000049382	0
NCGC00261395-01	0.000163544	0
NCGC00261717-01	0.580364716	1
NCGC00261947-01	0.015041395	0
NCGC00261424-01	0.026927310	0
NCGC00261861-01	0.960862818	1
NCGC00261924-01	0.005711661	0
NCGC00261052-01	0.003964620	0
NCGC00261683-01	0.003431235	0
NCGC00261026-01	0.103899282	0
NCGC00261057-01	0.000010278	0
NCGC00261738-01	0.000036506	0
NCGC00261348-01	0.000002351	0
NCGC00261503-01	0.000014472	0
NCGC00260693-01	0.000003761	0
NCGC00260703-01	0.000002764	0
NCGC00260716-01	0.000002018	0
NCGC00260782-01	0.000004617	0
NCGC00260802-01	0.000002555	0
NCGC00260823-01	0.000005031	0
NCGC00261313-01	0.000016733	0
NCGC00260757-01	0.000006032	0
NCGC00260826-01	0.000001487	0
NCGC00261005-01	0.000005406	0
NCGC00260980-01	0.000020907	0
NCGC00261816-01	0.000210978	0
NCGC00260698-01	0.000042761	0
NCGC00260889-01	0.000011184	0
NCGC00260811-01	0.000118731	0
NCGC00261165-01	0.000002561	0
NCGC00261060-01	0.000001181	0
NCGC00261541-01	0.000036556	0
NCGC00261649-01	0.000001360	0
NCGC00261110-01	0.000336079	0
NCGC00261130-01	0.004569448	0
NCGC00260846-01	0.009109453	0
NCGC00261030-01	0.461370035	0
NCGC00261162-01	0.974850529	1
NCGC00261058-01	0.004668773	0
NCGC00261404-01	0.000484680	0
NCGC00261423-01	1.000000000	1
NCGC00261856-01	1.000000000	1
NCGC00261342-01	0.000119913	0
NCGC00261935-01	0.000050844	0
NCGC00261069-01	0.295659391	0
NCGC00261101-01	0.000452131	0
NCGC00261183-01	0.000110807	0
NCGC00261716-01	0.000037372	0
NCGC00260742-01	0.092656110	0
NCGC00261529-01	0.000403077	0
NCGC00261170-01	0.580213555	1
NCGC00261565-01	0.000056907	0
NCGC00260990-01	0.781348329	1
NCGC00261340-01	0.004536064	0
NCGC00261079-01	0.000013674	0
NCGC00261389-01	0.000011789	0
NCGC00261744-01	0.000037370	0
NCGC00261420-01	0.000127828	0
NCGC00261215-01	0.707106781	1
NCGC00261826-01	0.000015804	0
NCGC00260706-01	0.000144151	0
NCGC00261123-01	0.000520926	0
NCGC00261367-01	0.000025051	0
NCGC00261507-01	0.000026645	0
NCGC00261169-01	0.000039725	0
NCGC00261730-01	0.000044131	0
NCGC00261624-01	0.000012078	0
NCGC00261641-01	0.000008551	0
NCGC00261853-01	0.280657885	0
NCGC00260911-01	0.000296770	0
NCGC00260798-01	0.000763920	0
NCGC00261384-01	0.000375509	0
NCGC00260785-01	0.851278603	1
NCGC00261597-01	0.404701449	0
NCGC00261025-01	0.000013824	0
NCGC00260789-01	0.547722558	1
NCGC00260866-01	0.000168562	0
NCGC00261189-01	0.000028883	0
NCGC00261270-01	0.002275515	0
NCGC00261611-01	0.000293937	0
NCGC00261160-01	0.801966422	1
NCGC00261085-01	0.000005825	0
NCGC00261817-01	0.000146704	0
NCGC00261866-01	0.000019805	0
NCGC00260852-01	0.000096159	0
NCGC00261290-01	0.000233181	0
NCGC00261304-01	0.266623557	0
NCGC00261704-01	0.000234563	0
NCGC00260850-01	0.000169276	0
NCGC00260972-01	0.000031308	0
NCGC00261364-01	0.000032969	0
NCGC00261392-01	0.002348050	0
NCGC00261638-01	0.000059650	0
NCGC00261820-01	0.000006982	0
NCGC00261808-01	0.000012189	0
NCGC00260790-01	0.000054909	0
NCGC00260940-01	0.560934536	1
NCGC00261081-01	0.000587670	0
NCGC00261506-01	0.721242260	1
NCGC00261133-01	0.000144200	0
NCGC00261399-01	0.006480701	0
NCGC00260696-01	0.327220487	0
NCGC00261903-01	0.086727184	0
NCGC00261178-01	0.057370559	0
NCGC00261568-01	0.000019501	0
NCGC00260830-01	0.000015990	0
NCGC00261113-01	0.000009698	0
NCGC00261327-01	0.000009997	0
NCGC00261602-01	0.000130144	0
NCGC00260858-01	0.927094355	1
NCGC00261071-01	0.000326868	0
NCGC00261076-01	0.000034287	0
NCGC00261192-01	0.000221404	0
NCGC00261495-01	0.000201961	0
NCGC00261577-01	0.335376260	0
NCGC00261510-01	0.000174345	0
NCGC00261679-01	0.032920075	0
NCGC00261941-01	0.029789525	0
NCGC00261343-01	0.000128832	0
NCGC00261607-01	0.000133486	0
NCGC00261782-01	0.004480257	0
NCGC00261914-01	0.000039320	0
NCGC00261475-01	0.629309419	1
NCGC00261764-01	0.833691501	1
NCGC00261802-01	0.998524969	1
NCGC00261813-01	0.000118016	0
NCGC00260795-01	0.000071950	0
NCGC00261352-01	0.958481437	1
NCGC00261009-01	0.000817624	0
NCGC00261944-01	0.000516902	0
NCGC00261166-01	0.839834024	1
NCGC00261332-01	1.000000000	1
NCGC00261333-01	0.001681167	0
NCGC00261260-01	0.988853988	1
NCGC00261915-01	0.005843856	0
NCGC00261238-01	0.000059240	0
NCGC00261682-01	0.000495011	0
NCGC00261049-01	0.000350579	0
NCGC00260910-01	0.000088795	0
NCGC00261272-01	0.005415024	0
NCGC00260708-01	0.000011535	0
NCGC00261390-01	0.000001179	0
NCGC00260948-01	0.000010498	0
NCGC00261840-01	0.000044630	0
NCGC00260881-01	0.000020113	0
NCGC00261153-01	0.000006752	0
NCGC00261406-01	0.000035693	0
NCGC00261053-01	0.000001230	0
NCGC00261129-01	0.000002801	0
NCGC00261381-01	0.009670787	0
NCGC00261426-01	0.548102181	1
NCGC00260979-01	0.000027989	0
NCGC00260993-01	0.000046988	0
NCGC00261108-01	0.000018388	0
NCGC00261441-01	0.000022813	0
NCGC00261877-01	0.000015833	0
NCGC00260815-01	0.000022466	0
NCGC00261542-01	0.147010390	0
NCGC00261958-01	0.000035796	0
NCGC00261787-01	0.000087857	0
NCGC00261065-01	0.904489956	1
NCGC00261804-01	0.551257219	1
NCGC00260875-01	0.765578450	1
NCGC00261451-01	0.209527220	0
NCGC00261739-01	0.000590461	0
NCGC00261948-01	0.993010432	1
NCGC00261382-01	0.548323548	1
NCGC00261663-01	0.000018987	0
NCGC00260892-01	0.000029309	0
NCGC00261297-01	0.000041176	0
NCGC00261321-01	0.000047258	0
NCGC00261446-01	0.000744102	0
NCGC00261474-01	0.000011363	0
NCGC00260834-01	0.000045119	0
NCGC00260840-01	0.000025802	0
NCGC00260947-01	0.000147290	0
NCGC00261080-01	0.000046609	0
NCGC00261563-01	0.000047674	0
NCGC00261873-01	0.000047450	0
NCGC00260803-01	0.000118028	0
NCGC00260833-01	0.000069715	0
NCGC00261008-01	0.000016734	0
NCGC00261155-01	0.000011612	0
NCGC00261643-01	0.000056560	0
NCGC00261037-01	0.000016278	0
NCGC00261126-01	0.000000000	0
NCGC00260871-01	0.140101678	0
NCGC00260713-01	0.312686889	0
NCGC00261487-01	0.000412160	0
NCGC00261545-01	0.008911610	0
NCGC00261480-01	0.000010188	0
NCGC00261838-01	0.000008252	0
NCGC00261627-01	0.000178700	0
NCGC00261639-01	0.000013807	0
NCGC00261177-01	0.000012946	0
NCGC00260692-01	0.000001749	0
NCGC00260775-01	0.000011674	0
NCGC00260876-01	0.000020377	0
NCGC00261598-01	0.000002007	0
NCGC00260707-01	0.000046586	0
NCGC00261554-01	0.002530215	0
NCGC00261713-01	1.000000000	1
NCGC00261737-01	0.989326306	1
NCGC00261882-01	0.010626434	0
NCGC00261933-01	0.000298706	0
NCGC00261201-01	0.000028887	0
NCGC00261398-01	0.001014297	0
NCGC00261601-01	0.000039043	0
NCGC00261003-01	1.000000000	1
NCGC00261019-01	0.000018507	0
NCGC00261519-01	0.000006092	0
NCGC00261732-01	0.000006577	0
NCGC00261718-01	0.000011663	0
NCGC00260743-01	0.000011061	0
NCGC00260751-01	0.000002032	0
NCGC00260867-01	0.000009516	0
NCGC00260982-01	0.000010262	0
NCGC00261176-01	0.000010800	0
NCGC00261289-01	0.000084954	0
NCGC00261440-01	0.000016728	0
NCGC00261657-01	0.000010037	0
NCGC00260822-01	0.025170697	0
NCGC00261142-01	0.000355982	0
NCGC00261582-01	0.000064288	0
NCGC00261825-01	0.674893906	1
