Sample ID	Score	Activity
NCGC00261260-01	1.426161912	1
NCGC00357219-01	1.299781754	1
NCGC00357203-01	1.298686251	1
NCGC00356953-01	1.251128417	1
NCGC00261764-01	1.196199563	1
NCGC00357057-01	1.188745681	1
NCGC00357259-01	1.182858592	1
NCGC00357208-01	1.125721367	1
NCGC00357099-01	1.125721367	1
NCGC00356990-01	1.100738878	1
NCGC00357110-01	1.02691503	1
NCGC00356965-01	1.01259387	1
NCGC00260962-01	0.963566645	1
NCGC00261948-01	0.928716027	1
NCGC00357011-01	0.925989706	1
NCGC00357262-01	0.908498327	1
NCGC00357017-01	0.89549804	1
NCGC00356967-01	0.879992892	1
NCGC00356989-01	0.87731364	1
NCGC00261861-01	0.864898753	1
NCGC00357251-01	0.864898753	1
NCGC00356955-01	0.861097663	1
NCGC00357007-01	0.851890287	1
NCGC00357288-01	0.8489105	1
NCGC00357218-01	0.84825222	1
NCGC00261162-01	0.83742182	1
NCGC00357271-01	0.823941476	1
NCGC00260696-01	0.817082927	1
NCGC00261812-01	0.789922947	1
NCGC00357072-01	0.789922947	1
NCGC00357097-01	0.776690932	1
NCGC00357175-01	0.766878901	1
NCGC00261737-01	0.766811859	1
NCGC00261026-01	0.758206656	1
NCGC00357014-01	0.753696479	1
NCGC00357149-01	0.750812362	1
NCGC00261939-01	0.738472888	1
NCGC00261424-01	0.724098522	1
NCGC00261860-01	0.700342087	1
NCGC00357189-01	0.69506923	1
NCGC00261802-01	0.683351505	1
NCGC00260990-01	0.68024465	1
NCGC00261662-01	0.659972367	1
NCGC00261141-01	0.655931432	1
NCGC00357082-01	0.64745975	1
NCGC00357018-01	0.646150651	1
NCGC00261833-01	0.640937893	1
NCGC00260785-01	0.628221862	1
NCGC00261178-01	0.626754247	1
NCGC00261028-01	0.625884198	1
NCGC00261475-01	0.623654251	1
NCGC00261166-01	0.622054061	1
NCGC00356942-01	0.606999617	1
NCGC00261825-01	0.601263395	1
NCGC00261160-01	0.577241934	1
NCGC00260921-01	0.57722717	1
NCGC00357167-01	0.575457387	1
NCGC00357231-01	0.57153031	1
NCGC00260957-01	0.55960416	1
NCGC00261804-01	0.551923084	1
NCGC00357126-01	0.543148187	1
NCGC00357019-01	0.542108311	1
NCGC00260910-01	0.535684117	1
NCGC00357185-01	0.52499116	1
NCGC00261065-01	0.524928972	1
