Sample ID	Score	Activity
NCGC00261348-01	0.1921	0
NCGC00260693-01	0.1615	0
NCGC00261503-01	0.2325	0
NCGC00261119-01	0.6083	1
NCGC00260716-01	0.0284	0
NCGC00260703-01	0.1171	0
NCGC00260823-01	0.0671	0
NCGC00260731-01	0.5922	1
NCGC00261579-01	0.5367	1
NCGC00260782-01	0.2123	0
NCGC00261057-01	0.5127	1
NCGC00261683-01	0.3724	0
NCGC00261738-01	0.5371	1
NCGC00261313-01	0.1841	0
NCGC00260826-01	0.0582	0
NCGC00261633-01	0.2099	0
NCGC00260757-01	0.0457	0
NCGC00261052-01	0.5226	1
NCGC00261005-01	0.1346	0
NCGC00261190-01	0.5383	1
NCGC00260802-01	0.1385	0
NCGC00261842-01	0.5061	1
NCGC00261544-01	0.5219	1
NCGC00261541-01	0.2608	0
NCGC00261812-01	0.5421	1
NCGC00261662-01	0.7225	1
NCGC00261649-01	0.207	0
NCGC00260831-01	0.5956	1
NCGC00261380-01	0.4745	0
NCGC00260869-01	0.1303	0
NCGC00261060-01	0.3111	0
NCGC00260846-01	0.5579	1
NCGC00261162-01	0.7713	1
NCGC00261395-01	0.4844	0
NCGC00261030-01	0.5864	1
NCGC00261856-01	0.5643	1
NCGC00261935-01	0.508	1
NCGC00261926-01	0.5002	1
NCGC00261423-01	0.5718	1
NCGC00261183-01	0.4726	0
NCGC00261924-01	0.4538	0
NCGC00261069-01	0.5586	1
NCGC00260921-01	0.6052	1
NCGC00261110-01	0.4909	0
NCGC00261101-01	0.4659	0
NCGC00260889-01	0.305	0
NCGC00261619-01	0.5952	1
NCGC00261165-01	0.1632	0
NCGC00260698-01	0.4202	0
NCGC00261776-01	0.5613	1
NCGC00261861-01	0.7417	1
NCGC00261026-01	0.5821	1
NCGC00261079-01	0.2974	0
NCGC00260990-01	0.6098	1
NCGC00261340-01	0.5238	1
NCGC00260811-01	0.4154	0
NCGC00261130-01	0.482	0
NCGC00260980-01	0.4678	0
NCGC00261730-01	0.1428	0
NCGC00261716-01	0.15	0
NCGC00260706-01	0.5065	1
NCGC00261816-01	0.3988	0
NCGC00261404-01	0.4666	0
NCGC00261565-01	0.4796	0
NCGC00261424-01	0.5473	1
NCGC00261507-01	0.5	0
NCGC00261744-01	0.3774	0
NCGC00261367-01	0.5046	1
NCGC00261058-01	0.5856	1
NCGC00260789-01	0.2952	0
NCGC00261717-01	0.5158	1
NCGC00261420-01	0.531	1
NCGC00261123-01	0.5707	1
NCGC00260742-01	0.5023	1
NCGC00261529-01	0.5512	1
NCGC00261597-01	0.5202	1
NCGC00261389-01	0.3507	0
NCGC00261169-01	0.3346	0
NCGC00261270-01	0.4971	0
