Sample ID	Score	Activity
NCGC00261900-01	0.49766	0
NCGC00260869-01	0.49918	0
NCGC00261776-01	0.49847	0
NCGC00261380-01	0.49702	0
NCGC00261842-01	0.49863	0
NCGC00261662-01	0.50027	1
NCGC00261190-01	0.50024	1
NCGC00260731-01	0.49911	0
NCGC00261926-01	0.4988	0
NCGC00261579-01	0.49928	0
NCGC00260921-01	0.50047	1
NCGC00261119-01	0.49874	0
NCGC00260957-01	0.49962	0
NCGC00261812-01	0.4995	0
NCGC00260831-01	0.49873	0
NCGC00261544-01	0.50034	1
NCGC00261619-01	0.50126	1
NCGC00261633-01	0.49871	0
NCGC00261395-01	0.49884	0
NCGC00261717-01	0.50266	1
NCGC00261947-01	0.50034	1
NCGC00261424-01	0.50079	1
NCGC00261861-01	0.4982	0
NCGC00261924-01	0.49916	0
NCGC00261052-01	0.50144	1
NCGC00261683-01	0.50083	1
NCGC00261026-01	0.49882	0
NCGC00261057-01	0.49651	0
NCGC00261738-01	0.49774	0
NCGC00261348-01	0.49613	0
NCGC00261503-01	0.49692	0
NCGC00260693-01	0.49748	0
NCGC00260703-01	0.49768	0
NCGC00260716-01	0.49726	0
NCGC00260782-01	0.49853	0
NCGC00260802-01	0.49864	0
NCGC00260823-01	0.49798	0
NCGC00261313-01	0.49706	0
NCGC00260757-01	0.49841	0
NCGC00260826-01	0.49724	0
NCGC00261005-01	0.49629	0
NCGC00260980-01	0.49885	0
NCGC00261816-01	0.49721	0
NCGC00260698-01	0.4994	0
NCGC00260889-01	0.49767	0
NCGC00260811-01	0.49876	0
NCGC00261165-01	0.49765	0
NCGC00261060-01	0.49756	0
NCGC00261541-01	0.49821	0
NCGC00261649-01	0.49788	0
NCGC00261110-01	0.49896	0
NCGC00261130-01	0.50088	1
NCGC00260846-01	0.50024	1
NCGC00261030-01	0.49979	0
NCGC00261162-01	0.50101	1
NCGC00261058-01	0.49998	0
NCGC00261404-01	0.50044	1
NCGC00261423-01	0.49883	0
