Sample ID	Score	Activity
NCGC00261776-01	-0.4062	0
NCGC00261380-01	-0.8864	0
NCGC00261842-01	-0.579	0
NCGC00261662-01	0.509	1
NCGC00261190-01	-0.1984	0
NCGC00260731-01	-0.0243	0
NCGC00261926-01	-0.2902	0
NCGC00261579-01	-0.2814	0
NCGC00260921-01	0.3524	1
NCGC00261119-01	-0.3035	0
NCGC00261812-01	0.1108	1
NCGC00260831-01	0.2851	1
NCGC00261544-01	-0.1815	0
NCGC00261619-01	0.0708	1
NCGC00261395-01	-0.1609	0
NCGC00261717-01	-0.0492	0
NCGC00261947-01	-0.2199	0
NCGC00261424-01	0.3319	1
NCGC00261861-01	0.3432	1
NCGC00261924-01	-0.0937	0
NCGC00261026-01	0.425	1
NCGC00261057-01	-0.6508	0
NCGC00261738-01	-0.2813	0
NCGC00261348-01	-0.9105	0
NCGC00261503-01	-0.945	0
NCGC00260693-01	-0.9862	0
NCGC00260703-01	-0.9875	0
NCGC00260716-01	-0.82	0
NCGC00260782-01	-0.7419	0
NCGC00260802-01	-0.5308	0
NCGC00260823-01	-0.763	0
NCGC00260757-01	-0.5767	0
NCGC00260826-01	-0.8213	0
NCGC00260889-01	-0.4103	0
NCGC00260811-01	-0.6889	0
NCGC00261165-01	-0.8921	0
NCGC00261060-01	-0.8388	0
NCGC00261541-01	-0.7327	0
NCGC00261649-01	-0.8676	0
NCGC00261110-01	0.0749	1
NCGC00261130-01	0.2967	1
NCGC00260846-01	0.9125	1
NCGC00261030-01	0.3774	1
NCGC00261162-01	0.9465	1
NCGC00261058-01	-0.168	0
NCGC00261404-01	-0.267	0
NCGC00261423-01	-0.7	0
NCGC00261856-01	-0.295	0
NCGC00261342-01	-0.2782	0
NCGC00261069-01	0.5218	1
NCGC00261101-01	-0.2341	0
NCGC00261716-01	-0.726	0
NCGC00260742-01	-0.4052	0
NCGC00261529-01	-0.0074	0
NCGC00261170-01	-0.2176	0
NCGC00261565-01	-0.1862	0
NCGC00260990-01	-0.0738	0
NCGC00261340-01	0.486	1
NCGC00261079-01	-0.494	0
NCGC00261389-01	-0.3745	0
NCGC00261744-01	-0.4783	0
NCGC00261420-01	0.0152	1
NCGC00261215-01	-0.4192	0
NCGC00261826-01	-0.3797	0
NCGC00261123-01	0.4669	1
NCGC00261367-01	-0.8671	0
NCGC00261507-01	-0.8817	0
NCGC00261169-01	-0.2175	0
NCGC00261730-01	-0.1012	0
NCGC00261624-01	-0.3996	0
NCGC00261641-01	-0.6253	0
NCGC00261853-01	-0.2685	0
NCGC00260911-01	-0.6502	0
NCGC00261384-01	-0.4088	0
NCGC00260785-01	-0.2557	0
NCGC00261025-01	-0.7092	0
NCGC00260789-01	-0.7848	0
NCGC00260866-01	-0.3426	0
NCGC00261189-01	-0.6422	0
NCGC00261270-01	0.0303	1
NCGC00261611-01	-0.318	0
NCGC00261817-01	-0.2611	0
NCGC00261866-01	-0.441	0
NCGC00260852-01	0.0019	1
NCGC00261290-01	-0.0957	0
NCGC00261304-01	-0.2123	0
NCGC00261704-01	-0.5736	0
NCGC00260850-01	-0.4899	0
NCGC00260972-01	-0.3945	0
NCGC00261392-01	-0.2249	0
NCGC00261638-01	-0.3745	0
NCGC00261820-01	-0.7348	0
NCGC00261808-01	-0.5092	0
NCGC00260790-01	-0.6317	0
NCGC00260940-01	0.4185	1
NCGC00261081-01	0.1934	1
NCGC00261506-01	0.1596	1
NCGC00261133-01	-0.273	0
NCGC00261399-01	-0.2594	0
NCGC00260696-01	0.4227	1
NCGC00261903-01	0.0485	1
NCGC00261178-01	0.0794	1
NCGC00261568-01	-0.5304	0
NCGC00260830-01	-0.7957	0
NCGC00261113-01	-0.9367	0
NCGC00261327-01	-0.8491	0
NCGC00261602-01	-0.8966	0
NCGC00260858-01	-0.1798	0
NCGC00261071-01	-0.1227	0
NCGC00261076-01	-0.9145	0
NCGC00261192-01	-0.7427	0
NCGC00261577-01	0.0771	1
NCGC00261510-01	-0.4513	0
NCGC00261679-01	0.1607	1
NCGC00261941-01	0.123	1
NCGC00261343-01	-0.4661	0
NCGC00261607-01	-0.5518	0
NCGC00261782-01	-0.2644	0
NCGC00261475-01	-0.3248	0
NCGC00261764-01	0.2872	1
NCGC00261802-01	0.2547	1
NCGC00261813-01	-0.5919	0
NCGC00260795-01	-0.275	0
NCGC00261352-01	0.4493	1
NCGC00261009-01	-0.2574	0
NCGC00261944-01	-0.7181	0
NCGC00261166-01	0.6692	1
NCGC00261332-01	-0.1928	0
NCGC00261333-01	-0.2562	0
NCGC00261260-01	0.5205	1
NCGC00261915-01	-0.472	0
NCGC00261682-01	-0.4323	0
NCGC00260910-01	-0.434	0
NCGC00261272-01	0.2273	1
NCGC00260708-01	-0.9023	0
NCGC00261390-01	-0.8545	0
NCGC00260948-01	-0.8748	0
NCGC00261840-01	-0.8432	0
NCGC00261153-01	-0.2566	0
NCGC00261406-01	-0.6457	0
NCGC00261053-01	-0.8988	0
NCGC00261129-01	-0.7933	0
NCGC00261381-01	-0.4725	0
NCGC00261426-01	-0.1693	0
NCGC00260979-01	-0.8947	0
NCGC00260993-01	-0.5463	0
NCGC00261108-01	-0.7787	0
NCGC00261877-01	-0.9364	0
NCGC00261542-01	0.1119	1
NCGC00261787-01	-0.1551	0
NCGC00261065-01	0.1188	1
NCGC00261804-01	0.1125	1
NCGC00260875-01	0.0735	1
NCGC00261451-01	0.8379	1
NCGC00261948-01	0.051	1
NCGC00261382-01	-0.4818	0
NCGC00261297-01	-0.3492	0
NCGC00261321-01	0.0861	1
NCGC00261446-01	-0.2997	0
NCGC00261474-01	-0.3779	0
NCGC00260803-01	-0.5567	0
NCGC00260833-01	-0.5519	0
NCGC00261008-01	-0.8055	0
NCGC00261155-01	-0.8229	0
NCGC00261643-01	-0.5509	0
NCGC00261126-01	0.153	1
NCGC00260871-01	0.2207	1
NCGC00260713-01	-0.4645	0
NCGC00261487-01	-0.0361	0
NCGC00261545-01	-0.3414	0
NCGC00261480-01	-0.2448	0
NCGC00261838-01	-0.2741	0
NCGC00261627-01	-0.6785	0
NCGC00261177-01	-0.7456	0
NCGC00260775-01	-0.5508	0
NCGC00260707-01	-0.5324	0
NCGC00261554-01	0.617	1
NCGC00261713-01	0.3287	1
NCGC00261737-01	0.4486	1
NCGC00261882-01	0.5218	1
NCGC00261933-01	-0.0509	0
NCGC00261201-01	-0.4147	0
NCGC00261398-01	-0.2019	0
NCGC00261003-01	-0.2147	0
NCGC00261019-01	0.0634	1
NCGC00261519-01	-0.9263	0
NCGC00261732-01	-0.9695	0
NCGC00260982-01	-0.9654	0
NCGC00261176-01	-0.6422	0
NCGC00261657-01	-0.8865	0
NCGC00260822-01	-0.2949	0
NCGC00261142-01	-0.1208	0
NCGC00261582-01	-0.0439	0
NCGC00261825-01	0.2928	1
NCGC00261833-01	-0.2521	0
NCGC00261835-01	0.1436	1
NCGC00261860-01	0.5698	1
NCGC00261906-01	0.3962	1
NCGC00261916-01	0.328	1
NCGC00261939-01	0.716	1
NCGC00261869-01	-0.9888	0
NCGC00261163-01	-0.2717	0
NCGC00260770-01	-0.3527	0
NCGC00261013-01	-0.019	0
NCGC00261910-01	-0.1254	0
NCGC00261686-01	-0.7556	0
NCGC00261147-01	-0.4527	0
NCGC00261578-01	-0.5078	0
NCGC00261336-01	-0.5118	0
NCGC00261593-01	-0.531	0
NCGC00260821-01	-0.7222	0
NCGC00261007-01	-0.9831	0
NCGC00261246-01	-0.7065	0
NCGC00261949-01	-0.8737	0
NCGC00260890-01	-0.3013	0
NCGC00261294-01	-0.8076	0
NCGC00261330-01	-0.7221	0
NCGC00261470-01	-0.3011	0
NCGC00260691-01	-0.3837	0
NCGC00261693-01	-0.6728	0
NCGC00261293-01	-0.4498	0
NCGC00261018-01	-0.2338	0
NCGC00261075-01	-0.2019	0
NCGC00261150-01	-0.1169	0
NCGC00261767-01	-0.1302	0
NCGC00261824-01	-0.9018	0
NCGC00261146-01	-0.5664	0
NCGC00260817-01	-0.6337	0
NCGC00261161-01	0.0506	1
NCGC00260728-01	0.1125	1
NCGC00261254-01	0.1787	1
NCGC00261261-01	0.2459	1
NCGC00261691-01	0.0615	1
NCGC00261921-01	0.1521	1
NCGC00261028-01	-0.2836	0
NCGC00261349-01	-0.076	0
NCGC00261583-01	0.3871	1
NCGC00261672-01	-0.5972	0
NCGC00261620-01	-0.5747	0
NCGC00261141-01	0.1717	1
NCGC00261752-01	-0.021	0
NCGC00261828-01	-0.2418	0
NCGC00261913-01	-0.2868	0
NCGC00357057-01	0.2784	1
NCGC00357171-01	-0.946	0
NCGC00356995-01	-0.3776	0
NCGC00357205-01	-0.1739	0
NCGC00357185-01	0.6112	1
NCGC00357028-01	0.9182	1
NCGC00357064-01	0.9502	1
NCGC00357196-01	0.7481	1
NCGC00357271-01	0.5522	1
NCGC00357213-01	0.758	1
NCGC00357198-01	-0.3463	0
NCGC00357079-01	-0.6525	0
NCGC00357080-01	-0.8379	0
NCGC00357173-01	-0.645	0
NCGC00357277-01	-0.084	0
NCGC00357240-01	-0.55	0
NCGC00357145-01	-0.8064	0
NCGC00357157-01	-0.7612	0
NCGC00357160-01	-0.8103	0
NCGC00357107-01	-0.7566	0
NCGC00357106-01	-0.9937	0
NCGC00357047-01	-0.9798	0
NCGC00357174-01	-0.5594	0
NCGC00357090-01	-0.5594	0
NCGC00357204-01	-0.7573	0
NCGC00357214-01	-0.6843	0
NCGC00357124-01	-0.818	0
NCGC00356983-01	-0.6878	0
NCGC00357092-01	-0.661	0
NCGC00357042-01	-0.723	0
NCGC00357036-01	-0.8644	0
NCGC00357089-01	-0.1426	0
NCGC00357170-01	-0.4249	0
