Sample ID	Score	Activity
NCGC00261900	0.7388	1
NCGC00260869	0.4138	0
NCGC00261776	0.6004	1
NCGC00261380	0.6392	1
NCGC00261842	0.6732	1
NCGC00261662	0.875	1
NCGC00261190	0.4648	0
NCGC00260731	0.5754	0
NCGC00261926	0.432	0
NCGC00261579	0.3328	0
NCGC00260921	0.7148	1
NCGC00261119	0.4942	0
NCGC00260957	0.7944	1
NCGC00261812	0.5892	0
NCGC00260831	0.7282	1
NCGC00261544	0.617	1
NCGC00261619	0.7804	1
NCGC00261633	0.176	0
NCGC00261395	0.4774	0
NCGC00261717	0.7284	1
NCGC00261947	0.712	1
NCGC00261424	0.6992	1
NCGC00261861	0.9546	1
NCGC00261924	0.8014	1
NCGC00261052	0.3602	0
NCGC00261683	0.4496	0
NCGC00261026	0.6166	1
NCGC00261057	0.122	0
NCGC00261738	0.2284	0
NCGC00261348	0.0264	0
NCGC00261503	0.111	0
NCGC00260693	0.106	0
NCGC00260703	0.0592	0
NCGC00260716	0.0062	0
NCGC00260782	0.0528	0
NCGC00260802	0.0244	0
NCGC00260823	0.0498	0
NCGC00261313	0.0166	0
NCGC00260757	0.0516	0
NCGC00260826	0.0112	0
NCGC00261005	0.0382	0
NCGC00260980	0.4704	0
NCGC00261816	0.4746	0
NCGC00260698	0.5698	0
NCGC00260889	0.1052	0
NCGC00260811	0.4922	0
NCGC00261165	0.0936	0
NCGC00261060	0.065	0
NCGC00261541	0.1242	0
NCGC00261649	0.0154	0
NCGC00261110	0.4366	0
NCGC00261130	0.5736	0
NCGC00260846	0.6938	1
NCGC00261030	0.6342	1
NCGC00261162	0.9086	1
NCGC00261058	0.6076	1
NCGC00261404	0.4438	0
NCGC00261423	0.7392	1
NCGC00261856	0.7282	1
NCGC00261342	0.708	1
NCGC00261935	0.3958	0
NCGC00261069	0.5954	0
NCGC00261101	0.707	1
NCGC00261183	0.4374	0
NCGC00261716	0.3672	0
NCGC00260742	0.5644	0
NCGC00261529	0.6042	1
NCGC00261170	0.6702	1
NCGC00261565	0.552	0
NCGC00260990	0.882	1
NCGC00261340	0.5076	0
NCGC00261079	0.253	0
NCGC00261389	0.5168	0
NCGC00261744	0.3886	0
NCGC00261420	0.4734	0
NCGC00261215	0.6284	1
NCGC00261826	0.4676	0
NCGC00260706	0.521	0
NCGC00261123	0.707	1
NCGC00261367	0.356	0
NCGC00261507	0.2638	0
NCGC00261169	0.4282	0
NCGC00261730	0.1452	0
NCGC00261624	0.3892	0
NCGC00261641	0.3218	0
NCGC00261853	0.6592	1
NCGC00260911	0.5722	0
NCGC00260798	0.5088	0
NCGC00261384	0.3386	0
NCGC00260785	0.705	1
NCGC00261597	0.5564	0
NCGC00261025	0.1444	0
NCGC00260789	0.2062	0
NCGC00260866	0.561	0
NCGC00261189	0.3016	0
NCGC00261270	0.4298	0
NCGC00261611	0.552	0
NCGC00261160	0.6744	1
NCGC00261085	0.2952	0
NCGC00261817	0.5258	0
NCGC00261866	0.4454	0
NCGC00260852	0.5176	0
NCGC00261290	0.5852	0
NCGC00261304	0.7112	1
NCGC00261704	0.6184	1
NCGC00260850	0.4676	0
NCGC00260972	0.4062	0
NCGC00261364	0.2416	0
NCGC00261392	0.5178	0
NCGC00261638	0.4972	0
NCGC00261820	0.1138	0
NCGC00261808	0.098	0
NCGC00260790	0.5024	0
NCGC00260940	0.4492	0
NCGC00261081	0.5522	0
NCGC00261506	0.512	0
NCGC00261133	0.4054	0
NCGC00261399	0.6036	1
NCGC00260696	0.8882	1
NCGC00261903	0.58	0
NCGC00261178	0.713	1
NCGC00261568	0.3792	0
NCGC00260830	0.2476	0
NCGC00261113	0.1466	0
NCGC00261327	0.07	0
NCGC00261602	0.1492	0
NCGC00260858	0.6394	1
NCGC00261071	0.3752	0
NCGC00261076	0.0942	0
NCGC00261192	0.4206	0
NCGC00261577	0.7782	1
NCGC00261510	0.6486	1
NCGC00261679	0.8836	1
NCGC00261941	0.6498	1
NCGC00261343	0.743	1
NCGC00261607	0.532	0
NCGC00261782	0.4678	0
NCGC00261914	0.4988	0
NCGC00261475	0.8064	1
NCGC00261764	0.6328	1
NCGC00261802	0.7664	1
NCGC00261813	0.6576	1
NCGC00260795	0.4886	0
NCGC00261352	0.7792	1
NCGC00261009	0.5028	0
NCGC00261944	0.4906	0
NCGC00261166	0.7466	1
NCGC00261332	0.6654	1
NCGC00261333	0.672	1
NCGC00261260	0.775	1
NCGC00261915	0.5722	0
NCGC00261238	0.3964	0
NCGC00261682	0.5254	0
NCGC00261049	0.5508	0
NCGC00260910	0.3928	0
NCGC00261272	0.4832	0
NCGC00260708	0.0506	0
NCGC00261390	0.0354	0
NCGC00260948	0.1732	0
NCGC00261840	0.3656	0
NCGC00260881	0.1752	0
NCGC00261153	0.191	0
NCGC00261406	0.4052	0
NCGC00261053	0.0306	0
NCGC00261129	0.0338	0
NCGC00261381	0.6598	1
NCGC00261426	0.7544	1
NCGC00260979	0.3272	0
NCGC00260993	0.3394	0
NCGC00261108	0.2658	0
NCGC00261441	0.3048	0
NCGC00261877	0.4156	0
NCGC00260815	0.3056	0
NCGC00261542	0.7886	1
NCGC00261958	0.368	0
NCGC00261787	0.4266	0
NCGC00261065	0.732	1
NCGC00261804	0.5072	0
NCGC00260875	0.5832	0
NCGC00261451	0.7008	1
NCGC00261739	0.558	0
NCGC00261948	0.7928	1
NCGC00261382	0.6818	1
NCGC00261663	0.3488	0
NCGC00260892	0.4052	0
NCGC00261297	0.302	0
NCGC00261321	0.507	0
NCGC00261446	0.5606	0
NCGC00261474	0.332	0
NCGC00260834	0.3506	0
NCGC00260840	0.3304	0
NCGC00260947	0.4142	0
NCGC00261080	0.4956	0
NCGC00261563	0.467	0
NCGC00261873	0.452	0
NCGC00260803	0.4212	0
NCGC00260833	0.4198	0
NCGC00261008	0.3998	0
NCGC00261155	0.2934	0
NCGC00261643	0.412	0
NCGC00261037	0.4292	0
NCGC00261126	0.79	1
NCGC00260871	0.7104	1
NCGC00260713	0.8254	1
NCGC00261487	0.628	1
NCGC00261545	0.6552	1
NCGC00261480	0.199	0
NCGC00261838	0.1464	0
NCGC00261627	0.2624	0
NCGC00261639	0.12	0
NCGC00261177	0.0278	0
NCGC00260692	0.0154	0
NCGC00260775	0.011	0
NCGC00260876	0.0774	0
NCGC00261598	0.0614	0
NCGC00260707	0.4456	0
NCGC00261554	0.5692	0
NCGC00261713	0.7986	1
NCGC00261737	0.884	1
NCGC00261882	0.7734	1
NCGC00261933	0.4216	0
NCGC00261201	0.1078	0
NCGC00261398	0.8606	1
NCGC00261601	0.33	0
NCGC00261003	0.3924	0
NCGC00261019	0.1636	0
NCGC00261519	0.1012	0
NCGC00261732	0.016	0
NCGC00261718	0.0654	0
NCGC00260743	0.0298	0
NCGC00260751	0.0706	0
NCGC00260867	0.01	0
NCGC00260982	0.119	0
NCGC00261176	0.0354	0
NCGC00261440	0.0314	0
NCGC00261657	0.0476	0
NCGC00260822	0.5906	0
NCGC00261142	0.7874	1
NCGC00261582	0.3456	0
NCGC00261825	0.542	0
NCGC00261833	0.5406	0
NCGC00261835	0.3446	0
NCGC00261860	0.851	1
NCGC00261906	0.63	1
NCGC00261916	0.5476	0
NCGC00261939	0.8788	1
NCGC00261869	0.469	0
NCGC00261163	0.5796	0
NCGC00261653	0.3888	0
NCGC00261248	0.2446	0
NCGC00260770	0.0614	0
NCGC00261013	0.466	0
NCGC00261910	0.6794	1
NCGC00261686	0.1056	0
NCGC00261147	0.4104	0
NCGC00261578	0.3338	0
NCGC00261336	0.0432	0
NCGC00261593	0.227	0
NCGC00260821	0.0624	0
NCGC00261007	0.0846	0
NCGC00261246	0.0492	0
NCGC00261949	0.0588	0
NCGC00260890	0.4984	0
NCGC00261294	0.1282	0
NCGC00261330	0.1836	0
NCGC00261470	0.2692	0
NCGC00260691	0.0434	0
NCGC00261693	0.4006	0
NCGC00261293	0.6014	1
NCGC00261018	0.293	0
NCGC00261075	0.336	0
NCGC00261150	0.5566	0
NCGC00261767	0.6332	1
NCGC00261824	0.1854	0
NCGC00261146	0.3446	0
NCGC00260817	0.24	0
NCGC00261161	0.481	0
NCGC00260728	0.1406	0
NCGC00261286	0.513	0
NCGC00261254	0.6188	1
NCGC00261261	0.6144	1
NCGC00261691	0.6956	1
NCGC00261921	0.7014	1
NCGC00260962	0.2992	0
NCGC00261028	0.3112	0
NCGC00261349	0.6686	1
NCGC00261583	0.615	1
NCGC00261672	0.1874	0
NCGC00261620	0.527	0
NCGC00261141	0.659	1
NCGC00261752	0.6184	1
NCGC00261828	0.564	0
NCGC00261913	0.4544	0
NCGC00261473	0.351	0
NCGC00356953	0.7502	1
NCGC00357009	0.1528	0
NCGC00357188	0.7084	1
NCGC00357201	0.6684	1
NCGC00357189	0.5148	0
NCGC00357163	0.2488	0
NCGC00357001	0.6068	1
NCGC00357030	0.3262	0
NCGC00357123	0.5418	0
NCGC00357091	0.5878	0
NCGC00357004	0.2082	0
NCGC00357289	0.6888	1
NCGC00357082	0.9008	1
NCGC00356999	0.307	0
NCGC00357116	0.2594	0
NCGC00357010	0.4102	0
NCGC00357057	0.7684	1
NCGC00357171	0.004	0
NCGC00356964	0.3314	0
NCGC00356995	0.3404	0
NCGC00357205	0.5148	0
NCGC00357185	0.3028	0
NCGC00357028	0.6686	1
NCGC00357064	0.19	0
NCGC00357196	0.754	1
NCGC00357271	0.9154	1
NCGC00357213	0.2752	0
NCGC00357198	0.316	0
NCGC00357079	0.0134	0
NCGC00357080	0.2888	0
NCGC00357173	0.0078	0
NCGC00357277	0.0574	0
NCGC00357240	0.0718	0
NCGC00357145	0.1228	0
NCGC00357157	0.0028	0
NCGC00357160	0.3016	0
NCGC00357107	0.045	0
NCGC00357106	0.1214	0
NCGC00357204	0.0258	0
NCGC00357214	0.2238	0
NCGC00357124	0.197	0
NCGC00356983	0.3372	0
NCGC00357092	0.0112	0
NCGC00357042	0.0012	0
NCGC00357036	0.0444	0
NCGC00357089	0.692	1
NCGC00357170	0.3642	0
NCGC00357132	0.2214	0
NCGC00357265	0.007	0
NCGC00357260	0.0048	0
NCGC00357023	0.468	0
NCGC00357114	0.1604	0
NCGC00357033	0.0024	0
NCGC00357120	0.0188	0
NCGC00356963	0.0202	0
NCGC00357055	0.9502	1
NCGC00357139	0.1802	0
NCGC00357161	0.0554	0
NCGC00357279	0.0188	0
NCGC00357288	0.8702	1
NCGC00356973	0.0596	0
NCGC00357143	0.0042	0
NCGC00357182	0.004	0
NCGC00356971	0.0112	0
NCGC00357084	0.0164	0
NCGC00357112	0.261	0
NCGC00356962	0.229	0
NCGC00356993	0.6632	1
NCGC00357284	0.6896	1
NCGC00357046	0.8886	1
NCGC00357000	0.1818	0
NCGC00357012	0.8734	1
NCGC00356939	0.8846	1
NCGC00356955	0.744	1
NCGC00357262	0.7644	1
NCGC00356991	0.821	1
NCGC00357203	0.795	1
NCGC00357049	0.4224	0
NCGC00357164	0.053	0
NCGC00357073	0.3386	0
NCGC00357043	0.1428	0
NCGC00357269	0.008	0
NCGC00357266	0.0922	0
NCGC00357076	0.0066	0
NCGC00357153	0.3832	0
NCGC00357138	0.0154	0
NCGC00357071	0.0094	0
NCGC00357274	0.0028	0
NCGC00356981	0.247	0
NCGC00357278	0.1724	0
NCGC00357113	0.1654	0
NCGC00357218	0.9584	1
