Sample ID	Score	Activity
NCGC00260691	0.03122	0
NCGC00260692	0.01393	0
NCGC00260693	0.02781	0
NCGC00260696	0.59580	1
NCGC00260698	0.40089	0
NCGC00260703	0.02065	0
NCGC00260706	0.25360	0
NCGC00260707	0.23835	0
NCGC00260708	0.00512	0
NCGC00260713	0.54484	1
NCGC00260716	0.00292	0
NCGC00260728	0.13784	0
NCGC00260731	0.43566	0
NCGC00260742	0.49815	0
NCGC00260743	0.03460	0
NCGC00260751	0.02062	0
NCGC00260757	0.01142	0
NCGC00260770	0.03646	0
NCGC00260775	0.01848	0
NCGC00260782	0.04600	0
NCGC00260785	0.64160	1
NCGC00260789	0.37374	0
NCGC00260790	0.49884	0
NCGC00260795	0.43695	0
NCGC00260798	0.60677	1
NCGC00260802	0.02235	0
NCGC00260803	0.35324	0
NCGC00260811	0.42970	0
NCGC00260815	0.26428	0
NCGC00260817	0.16585	0
NCGC00260821	0.02651	0
NCGC00260822	0.54616	1
NCGC00260823	0.01417	0
NCGC00260826	0.01780	0
NCGC00260830	0.35793	0
NCGC00260831	0.73459	1
NCGC00260833	0.39593	0
NCGC00260834	0.33919	0
NCGC00260840	0.30822	0
NCGC00260846	0.49697	0
NCGC00260850	0.32019	0
NCGC00260852	0.34530	0
NCGC00260858	0.74458	1
NCGC00260866	0.39408	0
NCGC00260867	0.02147	0
NCGC00260869	0.17280	0
NCGC00260871	0.57937	1
NCGC00260875	0.65874	1
NCGC00260876	0.02177	0
NCGC00260881	0.03268	0
NCGC00260889	0.23032	0
NCGC00260890	0.39785	0
NCGC00260892	0.46395	0
NCGC00260910	0.37035	0
NCGC00260911	0.36559	0
NCGC00260921	0.64372	1
NCGC00260940	0.72900	1
NCGC00260947	0.47994	0
NCGC00260948	0.03296	0
NCGC00260957	0.72011	1
NCGC00260962	0.54112	1
NCGC00260972	0.38231	0
NCGC00260979	0.27265	0
NCGC00260980	0.35902	0
NCGC00260982	0.08234	0
NCGC00260990	0.75975	1
NCGC00260993	0.13778	0
NCGC00261003	0.10699	0
NCGC00261005	0.04541	0
NCGC00261007	0.02921	0
NCGC00261008	0.35967	0
NCGC00261009	0.64272	1
NCGC00261013	0.33103	0
