Sample ID	Score	Activity
NCGC00261900-01	0.28764	0
NCGC00260869-01	0.20573	0
NCGC00261776-01	0.24292	0
NCGC00261380-01	0.10222	0
NCGC00261842-01	0.16005	0
NCGC00261662-01	0.26873	0
NCGC00261190-01	0.39267	0
NCGC00260731-01	0.13254	0
NCGC00261926-01	0.26894	0
NCGC00261579-01	0.1992	0
NCGC00260921-01	0.37434	0
NCGC00261119-01	0.27883	0
NCGC00260957-01	0.36036	0
NCGC00261812-01	0.3319	0
NCGC00260831-01	0.3196	0
NCGC00261544-01	0.21529	0
NCGC00261619-01	0.29437	0
NCGC00261633-01	0.09605	0
NCGC00261395-01	0.32114	0
NCGC00261717-01	0.26819	0
NCGC00261947-01	0.23536	0
NCGC00261424-01	0.44394	0
NCGC00261861-01	0.40687	0
NCGC00261924-01	0.22065	0
NCGC00261052-01	0.22092	0
NCGC00261683-01	0.18871	0
NCGC00261026-01	0.38482	0
NCGC00261057-01	0.12875	0
NCGC00261738-01	0.18189	0
NCGC00261348-01	0.02578	0
NCGC00261503-01	0.06972	0
NCGC00260693-01	0.04017	0
NCGC00260703-01	0.0245	0
NCGC00260716-01	0.00716	0
NCGC00260782-01	0.0604	0
NCGC00260802-01	0.03778	0
NCGC00260823-01	0.0309	0
NCGC00261313-01	0.02291	0
NCGC00260757-01	0.01533	0
NCGC00260826-01	0.01495	0
NCGC00261005-01	0.026	0
NCGC00260980-01	0.25908	0
NCGC00261816-01	0.16867	0
NCGC00260698-01	0.1669	0
NCGC00260889-01	0.14817	0
NCGC00260811-01	0.17132	0
NCGC00261165-01	0.13127	0
NCGC00261060-01	0.06284	0
NCGC00261541-01	0.08343	0
NCGC00261649-01	0.11707	0
NCGC00261110-01	0.19728	0
NCGC00261130-01	0.5792	1
NCGC00260846-01	0.30678	0
NCGC00261030-01	0.2153	0
NCGC00261162-01	0.81564	1
NCGC00261058-01	0.4516	0
NCGC00261404-01	0.18822	0
NCGC00261423-01	0.14827	0
NCGC00261856-01	0.2044	0
NCGC00261342-01	0.25924	0
NCGC00261935-01	0.06289	0
NCGC00261069-01	0.30974	0
NCGC00261101-01	0.12999	0
NCGC00261183-01	0.19695	0
NCGC00261716-01	0.10749	0
NCGC00260742-01	0.19964	0
NCGC00261529-01	0.16569	0
NCGC00261170-01	0.18128	0
NCGC00261565-01	0.14579	0
NCGC00260990-01	0.50237	1
NCGC00261340-01	0.28488	0
NCGC00261079-01	0.09067	0
NCGC00261389-01	0.23128	0
NCGC00261744-01	0.27652	0
NCGC00261420-01	0.26178	0
NCGC00261215-01	0.19547	0
NCGC00261826-01	0.14309	0
NCGC00260706-01	0.17672	0
NCGC00261123-01	0.42867	0
NCGC00261367-01	0.19022	0
NCGC00261507-01	0.15991	0
NCGC00261169-01	0.28751	0
NCGC00261730-01	0.14628	0
NCGC00261624-01	0.10656	0
NCGC00261641-01	0.14918	0
NCGC00261853-01	0.57267	1
NCGC00260911-01	0.25793	0
NCGC00260798-01	0.09753	0
NCGC00261384-01	0.19877	0
NCGC00260785-01	0.23717	0
NCGC00261597-01	0.42572	0
NCGC00261025-01	0.09676	0
NCGC00260789-01	0.07563	0
NCGC00260866-01	0.18534	0
NCGC00261189-01	0.14978	0
NCGC00261270-01	0.45561	0
NCGC00261611-01	0.16876	0
NCGC00261160-01	0.46413	0
NCGC00261085-01	0.08257	0
NCGC00261817-01	0.11384	0
NCGC00261866-01	0.14261	0
NCGC00260852-01	0.1395	0
NCGC00261290-01	0.22422	0
NCGC00261304-01	0.3455	0
NCGC00261704-01	0.24505	0
NCGC00260850-01	0.12602	0
NCGC00260972-01	0.1881	0
NCGC00261364-01	0.118	0
NCGC00261392-01	0.19791	0
NCGC00261638-01	0.22438	0
NCGC00261820-01	0.09642	0
NCGC00261808-01	0.11724	0
NCGC00260790-01	0.11921	0
NCGC00260940-01	0.33724	0
NCGC00261081-01	0.20425	0
NCGC00261506-01	0.32438	0
NCGC00261133-01	0.25988	0
NCGC00261399-01	0.3394	0
NCGC00260696-01	0.33224	0
NCGC00261903-01	0.26546	0
NCGC00261178-01	0.33484	0
NCGC00261568-01	0.23734	0
NCGC00260830-01	0.16364	0
NCGC00261113-01	0.09254	0
NCGC00261327-01	0.07078	0
NCGC00261602-01	0.15943	0
NCGC00260858-01	0.49972	0
NCGC00261071-01	0.27991	0
NCGC00261076-01	0.075	0
NCGC00261192-01	0.24526	0
NCGC00261495-01	0.36378	0
NCGC00261577-01	0.49739	0
NCGC00261510-01	0.0973	0
NCGC00261679-01	0.13978	0
NCGC00261941-01	0.23784	0
NCGC00261343-01	0.10089	0
NCGC00261607-01	0.21404	0
NCGC00261782-01	0.26507	0
NCGC00261914-01	0.15175	0
NCGC00261475-01	0.39879	0
NCGC00261764-01	0.40787	0
NCGC00261802-01	0.44319	0
NCGC00261813-01	0.25233	0
NCGC00260795-01	0.1475	0
NCGC00261352-01	0.49506	0
NCGC00261009-01	0.267	0
NCGC00261944-01	0.28738	0
NCGC00261166-01	0.57085	1
NCGC00261332-01	0.39704	0
NCGC00261333-01	0.35258	0
NCGC00261260-01	0.46809	0
NCGC00261915-01	0.23848	0
NCGC00261238-01	0.19884	0
NCGC00261682-01	0.24139	0
NCGC00261049-01	0.30106	0
NCGC00260910-01	0.32271	0
NCGC00261272-01	0.25617	0
NCGC00260708-01	0.00609	0
NCGC00261390-01	0.05856	0
NCGC00260948-01	0.02133	0
NCGC00261840-01	0.02332	0
NCGC00260881-01	0.01756	0
NCGC00261153-01	0.17162	0
NCGC00261406-01	0.03817	0
NCGC00261053-01	0.04378	0
NCGC00261129-01	0.057	0
NCGC00261381-01	0.25884	0
NCGC00261426-01	0.51128	1
NCGC00260979-01	0.02444	0
NCGC00260993-01	0.10608	0
NCGC00261108-01	0.11089	0
NCGC00261441-01	0.10636	0
NCGC00261877-01	0.08412	0
NCGC00260815-01	0.23254	0
NCGC00261542-01	0.32678	0
NCGC00261958-01	0.10817	0
NCGC00261787-01	0.10627	0
NCGC00261065-01	0.47194	0
NCGC00261804-01	0.17284	0
NCGC00260875-01	0.33767	0
NCGC00261451-01	0.75674	1
NCGC00261739-01	0.48522	0
NCGC00261948-01	0.38852	0
NCGC00261382-01	0.29253	0
NCGC00261663-01	0.28786	0
NCGC00260892-01	0.36049	0
NCGC00261297-01	0.24456	0
NCGC00261321-01	0.32716	0
NCGC00261446-01	0.18911	0
NCGC00261474-01	0.08799	0
NCGC00260834-01	0.21367	0
NCGC00260840-01	0.16141	0
NCGC00260947-01	0.31644	0
NCGC00261080-01	0.12506	0
NCGC00261563-01	0.18765	0
NCGC00261873-01	0.29422	0
NCGC00260803-01	0.15936	0
NCGC00260833-01	0.22908	0
NCGC00261008-01	0.2086	0
NCGC00261155-01	0.14311	0
NCGC00261643-01	0.12134	0
NCGC00261037-01	0.09828	0
NCGC00261126-01	0.05378	0
NCGC00260871-01	0.30776	0
NCGC00260713-01	0.22693	0
NCGC00261487-01	0.21322	0
NCGC00261545-01	0.40807	0
NCGC00261480-01	0.12124	0
NCGC00261838-01	0.08106	0
NCGC00261627-01	0.086	0
NCGC00261639-01	0.15477	0
NCGC00261177-01	0.014	0
NCGC00260692-01	0.01933	0
NCGC00260775-01	0.002	0
NCGC00260876-01	0.00667	0
NCGC00261598-01	0.00107	0
NCGC00260707-01	0.12448	0
NCGC00261554-01	0.24935	0
NCGC00261713-01	0.33278	0
NCGC00261737-01	0.32914	0
NCGC00261882-01	0.46556	0
NCGC00261933-01	0.21557	0
NCGC00261201-01	0.12656	0
NCGC00261398-01	0.2387	0
NCGC00261601-01	0.04908	0
NCGC00261003-01	0.04712	0
NCGC00261019-01	0.1273	0
NCGC00261519-01	0.05317	0
NCGC00261732-01	0.01533	0
NCGC00261718-01	0.05138	0
NCGC00260743-01	0.027	0
NCGC00260751-01	0.15054	0
NCGC00260867-01	0.06467	0
NCGC00260982-01	0.01717	0
NCGC00261176-01	0.00667	0
NCGC00261289-01	0.02943	0
NCGC00261440-01	0.0523	0
NCGC00261657-01	0.00019	0
NCGC00260822-01	0.17326	0
NCGC00261142-01	0.21772	0
NCGC00261582-01	0.04567	0
NCGC00261825-01	0.35239	0
NCGC00261833-01	0.57823	1
NCGC00261835-01	0.12284	0
NCGC00261860-01	0.68244	1
NCGC00261906-01	0.68242	1
NCGC00261916-01	0.45111	0
NCGC00261939-01	0.73125	1
NCGC00261869-01	0.11533	0
NCGC00261163-01	0.1433	0
NCGC00261653-01	0.06384	0
NCGC00261248-01	0.07701	0
NCGC00260770-01	0.06306	0
NCGC00261013-01	0.18317	0
NCGC00261910-01	0.21549	0
NCGC00261686-01	0.03543	0
NCGC00261147-01	0.11864	0
NCGC00261578-01	0.00217	0
NCGC00261336-01	0.05583	0
NCGC00261593-01	0.19636	0
NCGC00260821-01	0.08123	0
NCGC00261007-01	0.04339	0
NCGC00261246-01	0.03394	0
NCGC00261949-01	0.06723	0
NCGC00260890-01	0.24735	0
NCGC00261294-01	0.04883	0
NCGC00261330-01	0.0718	0
NCGC00261470-01	0.25858	0
NCGC00260691-01	0.04027	0
NCGC00261693-01	0.23768	0
NCGC00261293-01	0.12998	0
NCGC00261018-01	0.15217	0
NCGC00261075-01	0.27032	0
NCGC00261150-01	0.30146	0
NCGC00261767-01	0.27021	0
NCGC00261824-01	0.04356	0
NCGC00261146-01	0.04986	0
NCGC00260817-01	0.11446	0
NCGC00261161-01	0.12159	0
NCGC00260728-01	0.10436	0
NCGC00261286-01	0.10816	0
NCGC00261254-01	0.43378	0
NCGC00261261-01	0.32876	0
NCGC00261691-01	0.3069	0
NCGC00261921-01	0.3927	0
NCGC00260962-01	0.50444	1
NCGC00261028-01	0.26194	0
NCGC00261349-01	0.13909	0
NCGC00261583-01	0.23214	0
NCGC00261672-01	0.13006	0
NCGC00261620-01	0.13581	0
NCGC00261141-01	0.43252	0
NCGC00261752-01	0.39434	0
NCGC00261828-01	0.33922	0
NCGC00261913-01	0.1595	0
NCGC00261473-01	0.11247	0
NCGC00356953-01	0.27973	0
NCGC00357009-01	0.05416	0
NCGC00357188-01	0.08933	0
NCGC00357201-01	0.9165	1
NCGC00357189-01	0.99933	1
NCGC00357163-01	0.11767	0
NCGC00357001-01	0.1695	0
NCGC00357030-01	0.0217	0
NCGC00357123-01	0.1865	0
NCGC00357091-01	0.50494	1
NCGC00357004-01	0.06787	0
NCGC00357103-01	0.00668	0
NCGC00357289-01	0.19408	0
NCGC00357082-01	0.89822	1
NCGC00356999-01	0.0406	0
NCGC00357116-01	0.00533	0
NCGC00357010-01	0.20487	0
NCGC00357057-01	0.42903	0
NCGC00357171-01	0.00138	0
NCGC00356964-01	0.02776	0
NCGC00356995-01	0.106	0
NCGC00357062-01	0	0
NCGC00357205-01	0.03426	0
NCGC00357185-01	0.08108	0
NCGC00357028-01	0.40361	0
NCGC00357064-01	0.03333	0
NCGC00357196-01	0.05767	0
NCGC00357271-01	0.61636	1
NCGC00357213-01	0.0826	0
NCGC00357198-01	0.00067	0
NCGC00357079-01	0.03596	0
NCGC00356984-01	0.9165	1
NCGC00357080-01	0.04503	0
NCGC00357173-01	0.01333	0
NCGC00357277-01	0.05372	0
NCGC00357240-01	0.034	0
NCGC00357145-01	0.00467	0
NCGC00357157-01	0.0	0
NCGC00357160-01	0.062	0
NCGC00357107-01	0.02987	0
NCGC00357106-01	0.01493	0
NCGC00357047-01	0.00067	0
NCGC00357174-01	0.00067	0
NCGC00357090-01	0.00067	0
NCGC00357204-01	0.02667	0
NCGC00357214-01	0.00914	0
NCGC00357124-01	0.0145	0
NCGC00356983-01	0.10312	0
NCGC00357092-01	0.0046	0
NCGC00357042-01	0.01156	0
NCGC00357036-01	0.01267	0
NCGC00357089-01	0.17247	0
NCGC00357170-01	0.0205	0
NCGC00357132-01	0.10291	0
NCGC00357265-01	0.01	0
NCGC00357260-01	0.00867	0
NCGC00357023-01	0.29832	0
NCGC00357114-01	0.13175	0
NCGC00357033-01	0.00642	0
NCGC00357120-01	0.03316	0
NCGC00356963-01	0.02314	0
NCGC00357055-01	0.13367	0
NCGC00357139-01	0.04967	0
NCGC00357026-01	0	0
NCGC00357242-01	0.19874	0
NCGC00357161-01	0.04646	0
NCGC00357279-01	0.00883	0
NCGC00357288-01	0.52271	1
NCGC00356973-01	0.02669	0
NCGC00357143-01	0.02823	0
NCGC00357182-01	0.01486	0
NCGC00356971-01	0.01741	0
NCGC00357084-01	0.00067	0
NCGC00357112-01	0.00333	0
NCGC00356962-01	0.00078	0
NCGC00356993-01	0.22405	0
NCGC00357284-01	0.18039	0
NCGC00357046-01	0.15416	0
NCGC00357000-01	0.08249	0
NCGC00357012-01	0.37347	0
NCGC00356939-01	0.61723	1
NCGC00356955-01	0.549	1
NCGC00357262-01	0.61331	1
NCGC00356991-01	0.20896	0
NCGC00357203-01	0.79582	1
NCGC00357049-01	0.05343	0
NCGC00357164-01	0.019	0
NCGC00357073-01	0.06184	0
NCGC00357043-01	0.01444	0
NCGC00357269-01	0.00733	0
NCGC00357266-01	0.01733	0
NCGC00357076-01	0.006	0
NCGC00357153-01	0.13562	0
NCGC00357138-01	0.00935	0
NCGC00357071-01	0.00933	0
NCGC00357274-01	0.03504	0
NCGC00356981-01	0.002	0
NCGC00357278-01	0.03315	0
NCGC00357113-01	0.07088	0
NCGC00357218-01	0.85333	1
NCGC00357018-01	0.79433	1
NCGC00357048-01	0.00173	0
NCGC00357162-01	0.00933	0
NCGC00356941-01	0.002	0
NCGC00357184-01	0.00267	0
NCGC00357238-01	0.12891	0
NCGC00357220-01	0.05104	0
NCGC00357252-01	0.11511	0
NCGC00357159-01	0.02267	0
NCGC00356947-01	0.04417	0
NCGC00357063-01	0.03209	0
NCGC00356982-01	0.048	0
NCGC00357219-01	0.76573	1
NCGC00357037-01	0.00667	0
NCGC00356975-01	0.07731	0
NCGC00357169-01	0.0175	0
NCGC00357022-01	0.07544	0
NCGC00357165-01	0.04492	0
NCGC00357122-01	0.04067	0
NCGC00357212-01	0.22142	0
NCGC00357263-01	0.29518	0
NCGC00357052-01	0.32794	0
NCGC00356952-01	0.09976	0
NCGC00357225-01	0.0194	0
NCGC00357105-01	0.01693	0
NCGC00356944-01	0.012	0
NCGC00356977-01	0.07896	0
NCGC00357053-01	0.08718	0
NCGC00357202-01	0.03277	0
NCGC00357013-01	0.14338	0
NCGC00357131-01	0.03167	0
NCGC00357127-01	0.068	0
NCGC00357147-01	0.018	0
NCGC00357267-01	0.01877	0
NCGC00356979-01	0.022	0
NCGC00357179-01	0.02146	0
NCGC00356945-01	0.01136	0
NCGC00357068-01	0.046	0
NCGC00357002-01	0.08038	0
NCGC00356974-01	0.00167	0
NCGC00357109-01	0.46961	0
NCGC00356988-01	0.17264	0
NCGC00357117-01	0.24881	0
NCGC00357239-01	0.0	0
NCGC00356961-01	0.01133	0
NCGC00356966-01	0.134	0
NCGC00356996-01	0.0	0
NCGC00356950-01	0.13123	0
NCGC00356969-01	0.03922	0
NCGC00357050-01	0.08148	0
NCGC00357258-01	0.09867	0
NCGC00357186-01	0.04912	0
NCGC00357115-01	0.00067	0
NCGC00356940-01	0.22388	0
NCGC00357130-01	0.01589	0
NCGC00356959-01	0.01589	0
NCGC00356985-01	0.0	0
NCGC00357125-01	0.002	0
NCGC00357270-01	0.00144	0
NCGC00357031-01	0.01465	0
NCGC00357137-01	0.03356	0
NCGC00357102-01	0.01067	0
NCGC00357228-01	0.0369	0
NCGC00356965-01	0.29091	0
NCGC00357151-01	0.25844	0
NCGC00357280-01	0.37997	0
NCGC00357097-01	0.2231	0
NCGC00357272-01	0.02472	0
NCGC00357229-01	0.05038	0
NCGC00357200-01	0.01178	0
NCGC00357273-01	0.226	0
NCGC00357088-01	0.02017	0
NCGC00357101-01	0.03966	0
NCGC00357287-01	0.01333	0
NCGC00357253-01	0.0227	0
NCGC00357177-01	0.02074	0
NCGC00357152-01	0.00956	0
NCGC00357140-01	0.86049	1
NCGC00357086-01	0.002	0
NCGC00357150-01	0.01878	0
NCGC00357040-01	0.01309	0
NCGC00357232-01	0.006	0
NCGC00357172-01	0.04053	0
NCGC00357135-01	0.32276	0
NCGC00357207-01	0.88467	1
NCGC00356990-01	0.93	1
NCGC00357276-01	0.00722	0
NCGC00357016-01	0.00307	0
NCGC00357247-01	0.00333	0
NCGC00357183-01	0.1141	0
NCGC00357286-01	0.01872	0
NCGC00357255-01	0.34871	0
NCGC00357025-01	0.02667	0
NCGC00357008-01	0.04256	0
NCGC00356987-01	0.00033	0
NCGC00357128-01	0.15961	0
NCGC00357129-01	0.07943	0
NCGC00356978-01	0.14093	0
NCGC00357072-01	0.3319	0
NCGC00357195-01	0.04887	0
NCGC00357215-01	0.113	0
NCGC00357038-01	0.19467	0
NCGC00357208-01	0.93067	1
NCGC00357099-01	0.93067	1
NCGC00357007-01	0.29733	0
NCGC00356989-01	0.28273	0
NCGC00357246-01	0.20937	0
NCGC00357081-01	0.26	0
NCGC00357281-01	0.55485	1
NCGC00357244-01	0.006	0
NCGC00357194-01	0.03256	0
NCGC00357193-01	0.002	0
NCGC00357006-01	0.006	0
NCGC00357041-01	0.01478	0
NCGC00357074-01	0.00822	0
NCGC00357166-01	0.02846	0
NCGC00357070-01	0.02251	0
NCGC00357222-01	0.02444	0
NCGC00357245-01	0.06414	0
NCGC00357217-01	0.04563	0
NCGC00357015-01	0.00667	0
NCGC00357261-01	0.10056	0
NCGC00357060-01	0.10467	0
NCGC00357104-01	0.05618	0
NCGC00357248-01	0.06511	0
NCGC00357176-01	0.06507	0
NCGC00357187-01	0.14224	0
NCGC00357066-01	0.13917	0
NCGC00357154-01	0.209	0
NCGC00357216-01	0.07246	0
NCGC00357148-01	0.45398	0
NCGC00357078-01	0.056	0
NCGC00357027-01	0.00535	0
NCGC00357134-01	0.75852	1
NCGC00357180-01	0.42713	0
NCGC00356986-01	0.09576	0
NCGC00356946-01	0.1156	0
NCGC00356970-01	0.3597	0
NCGC00357191-01	0.3656	0
NCGC00357077-01	0.07867	0
NCGC00357069-01	0.0036	0
NCGC00356958-01	0.41239	0
NCGC00357121-01	0.36094	0
NCGC00357067-01	0.08553	0
NCGC00357243-01	0.10983	0
NCGC00357100-01	0.00027	0
NCGC00356960-01	0.00918	0
NCGC00357136-01	0.01156	0
NCGC00357158-01	0.00133	0
NCGC00356942-01	0.74658	1
NCGC00357126-01	0.3387	0
NCGC00357110-01	0.1815	0
NCGC00357178-01	0.21216	0
NCGC00357167-01	0.38667	0
NCGC00357096-01	0.16317	0
NCGC00357230-01	0.22827	0
NCGC00357257-01	0.10022	0
NCGC00356951-01	0.00566	0
NCGC00357241-01	0.02943	0
NCGC00357024-01	0.02943	0
NCGC00357233-01	0.02943	0
NCGC00357197-01	0.00667	0
NCGC00357149-01	0.42161	0
NCGC00357142-01	0.01139	0
NCGC00357231-01	0.15411	0
NCGC00357044-01	0.14253	0
NCGC00357209-01	0.28078	0
NCGC00357045-01	0.43545	0
NCGC00357075-01	0.024	0
NCGC00356938-01	0.04871	0
NCGC00357065-01	0.05809	0
NCGC00357094-01	0.05917	0
NCGC00357083-01	0.02933	0
NCGC00357085-01	0.022	0
NCGC00357236-01	0.02133	0
NCGC00357035-01	0.01767	0
NCGC00357108-01	0.002	0
NCGC00357235-01	0.02829	0
NCGC00357224-01	0.16878	0
NCGC00357211-01	0.00667	0
NCGC00357039-01	0.0	0
NCGC00357264-01	0.27122	0
NCGC00357285-01	0.05214	0
NCGC00357032-01	0.06267	0
NCGC00357146-01	0.09366	0
