Name	Score	Activity
NCGC00357026	0.756852819	1
NCGC00357259	0.999401246	1
NCGC00357053	0.017164804	0
NCGC00261611	0.329573628	0
NCGC00261563	0.000573947	0
NCGC00261075	0.051279199	0
NCGC00357227	0.033630285	0
NCGC00261495	0.003594894	0
NCGC00357018	0.987615104	1
NCGC00261544	0.826810747	1
NCGC00261817	0.547714819	0
NCGC00357252	0.003768966	0
NCGC00357140	0.825174556	1
NCGC00357057	0.983195215	1
NCGC00356975	0.000790685	0
NCGC00357062	0.923074109	1
NCGC00357235	0.022189955	0
NCGC00260716	0.001775307	0
NCGC00261336	0.015306534	0
NCGC00357014	0.991688383	1
NCGC00261272	0.87048902	1
NCGC00261238	0.012038838	0
NCGC00261935	0.044552536	0
NCGC00357264	0.383275388	0
NCGC00357182	0.001278178	0
NCGC00357153	0.364105786	0
NCGC00261142	0.309087747	0
NCGC00261752	0.952839689	1
NCGC00356983	0.003805533	0
NCGC00357118	0.474469536	0
NCGC00261828	0.543302393	0
NCGC00357191	0.883323882	1
NCGC00357167	0.858265196	1
NCGC00260911	0.728094284	1
NCGC00357025	0.001555637	0
NCGC00357101	0.001152962	0
NCGC00261065	0.977030213	1
NCGC00357229	0.161954117	0
NCGC00261053	0.000370302	0
NCGC00261183	0.082540662	0
NCGC00357147	0.011128982	0
NCGC00357209	0.851934351	1
NCGC00260822	0.919830783	1
NCGC00356954	0.000937286	0
NCGC00261330	0.005391104	0
NCGC00261835	0.556443094	0
NCGC00357081	0.869028137	1
NCGC00261404	0.281460289	0
NCGC00260713	0.63255938	1
NCGC00357056	0.983020804	1
NCGC00357095	0.046177384	0
NCGC00357138	0.004485169	0
NCGC00261686	0.004264971	0
NCGC00357189	0.926962278	1
NCGC00261582	0.150341026	0
NCGC00260802	0.001913493	0
NCGC00261395	0.638136705	1
NCGC00356951	0.000987232	0
NCGC00261767	0.198796783	0
NCGC00357187	0.209155203	0
NCGC00261638	0.004048674	0
NCGC00261155	0.038287418	0
NCGC00356984	0.966676286	1
NCGC00261704	0.737742483	1
NCGC00357102	0.001299478	0
NCGC00357276	0.041944499	0
NCGC00357251	0.914555112	1
NCGC00260921	0.991268534	1
NCGC00356944	0.050310839	0
NCGC00357260	0.006018104	0
NCGC00261633	0.011820132	0
NCGC00357093	0.190925595	0
NCGC00356985	0.2618464	0
NCGC00357085	0.606304248	0
NCGC00260708	0.001312167	0
NCGC00356980	0.000856432	0
NCGC00357009	0.072975021	0
NCGC00357016	0.174625352	0
NCGC00356998	0.007002845	0
NCGC00260782	0.001367915	0
NCGC00357074	0.000979772	0
NCGC00357171	0.000985599	0
NCGC00357230	0.967191913	1
NCGC00357002	0.068777181	0
NCGC00261866	0.393991203	0
NCGC00261825	0.966771281	1
NCGC00356965	0.970586053	1
NCGC00356952	0.247660702	0
NCGC00261662	0.983968566	1
NCGC00260826	0.00089812	0
NCGC00357133	0.006396909	0
NCGC00357006	0.183414428	0
NCGC00261653	0.080681953	0
NCGC00261826	0.062641736	0
NCGC00357061	0.022515454	0
NCGC00357165	0.02992296	0
NCGC00357172	0.973471845	1
NCGC00260821	0.003679526	0
NCGC00261392	0.386457064	0
NCGC00261873	0.003863253	0
NCGC00357181	0.431657577	0
NCGC00357143	0.015189878	0
NCGC00357089	0.345615383	0
NCGC00357205	0.800837445	1
NCGC00357173	0.030099219	0
NCGC00357079	0.006985893	0
NCGC00260830	0.023826958	0
NCGC00261163	0.054837677	0
NCGC00357237	0.002215465	0
NCGC00357214	0.038725451	0
NCGC00357144	0.002816497	0
NCGC00357220	0.880075852	1
NCGC00261529	0.784055382	1
NCGC00261583	0.932604944	1
NCGC00260803	0.223036373	0
NCGC00261663	0.000367937	0
NCGC00260751	0.000171625	0
NCGC00356973	0.023432664	0
NCGC00260833	0.099511964	0
NCGC00357265	0.004916917	0
NCGC00357059	0.012607179	0
NCGC00356972	0.008728348	0
NCGC00261824	0.002042912	0
NCGC00357103	0.070080508	0
NCGC00357130	0.113043038	0
NCGC00260795	0.252775292	0
NCGC00261294	0.001472415	0
NCGC00261507	0.173812715	0
NCGC00260817	0.009426174	0
NCGC00357076	0.00533123	0
NCGC00357097	0.200101285	0
NCGC00357163	0.040724718	0
NCGC00357215	0.004323209	0
NCGC00357278	0.039809805	0
NCGC00260728	0.18093278	0
NCGC00356979	0.007759587	0
NCGC00357267	0.000115838	0
NCGC00357044	0.478363722	0
