Sample ID	Score	Activity
NCGC00261900-01	0.19627	0
NCGC00260869-01	0.18556	0
NCGC00261776-01	0.18227	0
NCGC00261380-01	0.16197	0
NCGC00261842-01	0.15505	0
NCGC00261662-01	0.23133	0
NCGC00261190-01	0.21037	0
NCGC00260731-01	0.14658	0
NCGC00261926-01	0.18848	0
NCGC00261579-01	0.16355	0
NCGC00260921-01	0.37139	0
NCGC00261119-01	0.17354	0
NCGC00260957-01	0.19188	0
NCGC00261812-01	0.19295	0
NCGC00260831-01	0.19239	0
NCGC00261544-01	0.18077	0
NCGC00261619-01	0.20081	0
NCGC00261633-01	0.13554	0
NCGC00261395-01	0.19894	0
NCGC00261717-01	0.19603	0
NCGC00261947-01	0.19613	0
NCGC00261424-01	0.25252	0
NCGC00261861-01	0.2236	0
NCGC00261924-01	0.2384	0
NCGC00261052-01	0.17671	0
NCGC00261683-01	0.18627	0
NCGC00261026-01	0.2157	0
NCGC00261057-01	0.15513	0
NCGC00261738-01	0.15804	0
NCGC00261348-01	0.06067	0
NCGC00261503-01	0.13373	0
NCGC00260693-01	0.09026	0
NCGC00260703-01	0.06079	0
NCGC00260716-01	0.01174	0
NCGC00260782-01	0.08411	0
NCGC00260802-01	0.04049	0
NCGC00260823-01	0.02936	0
NCGC00261313-01	0.04364	0
NCGC00260757-01	0.01751	0
NCGC00260826-01	0.01168	0
NCGC00261005-01	0.06281	0
NCGC00260980-01	0.18542	0
NCGC00261816-01	0.1754	0
NCGC00260698-01	0.17539	0
NCGC00260889-01	0.16185	0
NCGC00260811-01	0.1553	0
NCGC00261165-01	0.17602	0
NCGC00261060-01	0.09465	0
NCGC00261541-01	0.11284	0
NCGC00261649-01	0.09254	0
NCGC00261110-01	0.14621	0
NCGC00261130-01	0.31507	0
NCGC00260846-01	0.22347	0
NCGC00261030-01	0.31333	0
NCGC00261162-01	0.92269	1
NCGC00261058-01	0.19992	0
NCGC00261404-01	0.16054	0
NCGC00261423-01	0.13601	0
NCGC00261856-01	0.12203	0
NCGC00261342-01	0.19662	0
NCGC00261935-01	0.03693	0
NCGC00261069-01	0.21386	0
NCGC00261101-01	0.17598	0
NCGC00261183-01	0.17739	0
NCGC00261716-01	0.17243	0
NCGC00260742-01	0.18999	0
NCGC00261529-01	0.17381	0
NCGC00261170-01	0.16595	0
NCGC00261565-01	0.17124	0
NCGC00260990-01	0.26224	0
NCGC00261340-01	0.25258	0
NCGC00261079-01	0.13978	0
NCGC00261389-01	0.19055	0
NCGC00261744-01	0.1883	0
NCGC00261420-01	0.16839	0
NCGC00261215-01	0.19097	0
NCGC00261826-01	0.17707	0
NCGC00260706-01	0.16806	0
NCGC00261123-01	0.24522	0
NCGC00261367-01	0.18449	0
NCGC00261507-01	0.17614	0
NCGC00261169-01	0.18809	0
NCGC00261730-01	0.12623	0
NCGC00261624-01	0.14184	0
NCGC00261641-01	0.13397	0
NCGC00261853-01	0.29736	0
NCGC00260911-01	0.18123	0
NCGC00260798-01	0.13731	0
NCGC00261384-01	0.17249	0
NCGC00260785-01	0.19078	0
NCGC00261597-01	0.21905	0
NCGC00261025-01	0.0907	0
NCGC00260789-01	0.12954	0
NCGC00260866-01	0.16841	0
NCGC00261189-01	0.17957	0
NCGC00261270-01	0.25498	0
NCGC00261611-01	0.19238	0
NCGC00261160-01	0.20272	0
NCGC00261085-01	0.07681	0
NCGC00261817-01	0.16516	0
NCGC00261866-01	0.14662	0
NCGC00260852-01	0.15321	0
NCGC00261290-01	0.16	0
NCGC00261304-01	0.20025	0
NCGC00261704-01	0.19627	0
NCGC00260850-01	0.17105	0
NCGC00260972-01	0.17628	0
NCGC00261364-01	0.09723	0
