Sample ID	Score	Activity
NCGC00261900-01	-0.66479	0
NCGC00260869-01	0.00638	1
NCGC00261776-01	0.01316	1
NCGC00261380-01	-0.43955	0
NCGC00261842-01	-1.12121	0
NCGC00261662-01	1.60798	1
NCGC00261190-01	0.20377	1
NCGC00260731-01	-0.12685	0
NCGC00261926-01	-0.66125	0
NCGC00261579-01	-0.45527	0
NCGC00260921-01	0.95017	1
NCGC00261119-01	0.15436	1
NCGC00260957-01	0.31733	1
NCGC00261812-01	0.31774	1
NCGC00260831-01	0.40132	1
NCGC00261544-01	-0.03576	0
NCGC00261619-01	-0.14364	0
NCGC00261633-01	-0.76515	0
NCGC00261395-01	-0.90529	0
NCGC00261717-01	0.02307	1
NCGC00261947-01	-0.17789	0
NCGC00261424-01	0.48176	1
NCGC00261861-01	-0.06583	0
NCGC00261924-01	-0.32608	0
NCGC00261052-01	0.86774	1
NCGC00261683-01	0.17657	1
NCGC00261026-01	0.73936	1
NCGC00261057-01	-0.8715	0
NCGC00261738-01	0.26325	1
NCGC00261348-01	-1.46558	0
NCGC00261503-01	-1.06809	0
NCGC00260693-01	-1.73531	0
NCGC00260703-01	-1.71106	0
NCGC00260716-01	-1.89281	0
NCGC00260782-01	-0.08681	0
NCGC00260802-01	-0.29666	0
NCGC00260823-01	-1.61853	0
NCGC00261313-01	-1.91918	0
NCGC00260757-01	-0.37689	0
NCGC00260826-01	-2.34235	0
NCGC00261005-01	-1.37728	0
NCGC00260980-01	-0.96109	0
NCGC00261816-01	-1.26734	0
NCGC00260698-01	-0.55773	0
NCGC00260889-01	-0.9837	0
NCGC00260811-01	0.4914	1
NCGC00261165-01	-2.20657	0
NCGC00261060-01	-1.50583	0
NCGC00261541-01	-1.54475	0
NCGC00261649-01	-1.10798	0
NCGC00261110-01	0.03308	1
NCGC00261130-01	0.82189	1
NCGC00260846-01	1.65146	1
NCGC00261030-01	1.01224	1
NCGC00261162-01	2.01944	1
NCGC00261058-01	-0.68743	0
NCGC00261404-01	-1.0629	0
NCGC00261423-01	0.51443	1
NCGC00261856-01	0.1708	1
NCGC00261342-01	-0.77559	0
NCGC00261935-01	-0.56039	0
NCGC00261069-01	1.13245	1
NCGC00261101-01	-1.28827	0
NCGC00261183-01	-1.01842	0
NCGC00261716-01	-1.22113	0
NCGC00260742-01	-0.36622	0
NCGC00261529-01	-0.83268	0
NCGC00261170-01	0.04122	1
NCGC00261565-01	-1.31318	0
NCGC00260990-01	1.53765	1
NCGC00261340-01	0.67188	1
NCGC00261079-01	-0.91371	0
NCGC00261389-01	-1.23468	0
NCGC00261744-01	-0.84544	0
NCGC00261420-01	0.46429	1
NCGC00261215-01	-0.91443	0
NCGC00261826-01	-1.5465	0
NCGC00260706-01	0.00698	1
NCGC00261123-01	0.11882	1
NCGC00261367-01	0.1757	1
NCGC00261507-01	-0.13678	0
NCGC00261169-01	-0.91048	0
NCGC00261730-01	-0.40357	0
NCGC00261624-01	-0.58676	0
NCGC00261641-01	-0.80345	0
NCGC00261853-01	0.49406	1
NCGC00260911-01	-0.19372	0
NCGC00260798-01	-1.10586	0
NCGC00261384-01	-0.12961	0
NCGC00260785-01	0.66143	1
NCGC00261597-01	0.11886	1
NCGC00261025-01	-0.64837	0
NCGC00260789-01	-1.18857	0
NCGC00260866-01	1.01568	1
NCGC00261189-01	-0.16165	0
NCGC00261270-01	0.93626	1
NCGC00261611-01	-1.4127	0
NCGC00261160-01	0.28053	1
NCGC00261085-01	-1.52192	0
NCGC00261817-01	-1.63876	0
NCGC00261866-01	-0.14477	0
NCGC00260852-01	1.07329	1
NCGC00261290-01	0.51114	1
NCGC00261304-01	-0.49737	0
NCGC00261704-01	0.73681	1
NCGC00260850-01	-2.13915	0
NCGC00260972-01	-1.26276	0
NCGC00261364-01	-0.17142	0
NCGC00261392-01	-0.05529	0
NCGC00261638-01	0.08207	1
NCGC00261820-01	-0.57829	0
NCGC00261808-01	-0.38189	0
NCGC00260790-01	-0.03539	0
NCGC00260940-01	0.46792	1
NCGC00261081-01	-0.87562	0
NCGC00261506-01	0.20632	1
NCGC00261133-01	-0.14219	0
NCGC00261399-01	1.03731	1
NCGC00260696-01	0.69813	1
NCGC00261903-01	0.31115	1
NCGC00261178-01	-0.02762	0
NCGC00261568-01	-0.50068	0
NCGC00260830-01	-0.41512	0
NCGC00261113-01	-1.34242	0
NCGC00261327-01	-0.86786	0
NCGC00261602-01	-0.65592	0
NCGC00260858-01	1.64034	1
NCGC00261071-01	0.4709	1
NCGC00261076-01	-1.1042	0
NCGC00261192-01	-0.81462	0
NCGC00261495-01	0.53614	1
NCGC00261577-01	1.20248	1
NCGC00261510-01	-1.88633	0
NCGC00261679-01	1.11086	1
NCGC00261941-01	1.11945	1
NCGC00261343-01	-2.40848	0
NCGC00261607-01	0.87077	1
NCGC00261782-01	-0.34497	0
NCGC00261914-01	-1.64527	0
NCGC00261475-01	-0.74147	0
NCGC00261764-01	0.22663	1
NCGC00261802-01	0.24255	1
NCGC00261813-01	-0.62797	0
NCGC00260795-01	-0.55758	0
NCGC00261352-01	0.73775	1
NCGC00261009-01	0.2587	1
NCGC00261944-01	-0.78543	0
NCGC00261166-01	1.734	1
NCGC00261332-01	1.19591	1
NCGC00261333-01	-0.94578	0
NCGC00261260-01	1.21417	1
NCGC00261915-01	-0.14264	0
NCGC00261238-01	-0.42727	0
NCGC00261682-01	-0.23871	0
NCGC00261049-01	-0.43889	0
NCGC00260910-01	-0.83691	0
NCGC00261272-01	0.45516	1
NCGC00260708-01	-1.52209	0
NCGC00261390-01	-0.21937	0
NCGC00260948-01	-0.87499	0
NCGC00261840-01	-1.43657	0
NCGC00260881-01	-0.63506	0
NCGC00261153-01	-0.20796	0
NCGC00261406-01	-1.08018	0
NCGC00261053-01	-1.42289	0
NCGC00261129-01	-0.76569	0
NCGC00261381-01	-1.14334	0
NCGC00261426-01	0.7659	1
NCGC00260979-01	0.09534	1
NCGC00260993-01	0.52431	1
NCGC00261108-01	0.18299	1
NCGC00261441-01	-0.63661	0
NCGC00261877-01	-0.41538	0
NCGC00260815-01	-0.07559	0
NCGC00261542-01	-0.10368	0
NCGC00261958-01	-0.06199	0
NCGC00261787-01	-0.17407	0
NCGC00261065-01	1.00272	1
NCGC00261804-01	0.27758	1
NCGC00260875-01	0.76602	1
NCGC00261451-01	0.22088	1
NCGC00261739-01	-0.19576	0
NCGC00261948-01	0.46638	1
NCGC00261382-01	-0.29976	0
NCGC00261663-01	-0.2676	0
NCGC00260892-01	0.12928	1
NCGC00261297-01	0.06374	1
NCGC00261321-01	0.36929	1
NCGC00261446-01	-0.00731	0
NCGC00261474-01	-0.14864	0
NCGC00260834-01	-0.63193	0
NCGC00260840-01	-0.31418	0
NCGC00260947-01	-0.2409	0
NCGC00261080-01	-0.30735	0
NCGC00261563-01	-0.48865	0
NCGC00261873-01	-0.28146	0
NCGC00260803-01	0.00166	1
NCGC00260833-01	0.14165	1
NCGC00261008-01	-0.80955	0
NCGC00261155-01	0.0823	1
NCGC00261643-01	0.02793	1
NCGC00261037-01	-0.77495	0
NCGC00261126-01	-0.30691	0
NCGC00260871-01	0.74803	1
NCGC00260713-01	-0.56717	0
NCGC00261487-01	-1.18538	0
NCGC00261545-01	-0.36603	0
NCGC00261480-01	-1.88894	0
NCGC00261838-01	-0.90578	0
NCGC00261627-01	-0.80188	0
NCGC00261639-01	-1.19832	0
NCGC00261177-01	-1.01588	0
NCGC00260692-01	-0.9085	0
NCGC00260775-01	-0.60682	0
NCGC00260876-01	-0.4916	0
NCGC00261598-01	-2.31648	0
NCGC00260707-01	-1.72656	0
NCGC00261554-01	-0.07892	0
NCGC00261713-01	0.64309	1
