Sample ID	Score	Activity
NCGC00261900-01	0.049766	1
NCGC00261866-01	0.037535	1
NCGC00261643-01	0.036289	1
NCGC00357189-01	0.032706	0
NCGC00357184-01	0.022579	0
NCGC00357007-01	0.129087	1
NCGC00357119-01	0.025377	0
NCGC00260869-01	0.021700	0
NCGC00260852-01	0.030492	0
NCGC00261037-01	0.042468	1
NCGC00357163-01	0.028747	0
NCGC00357238-01	0.031691	0
NCGC00356989-01	0.059795	1
NCGC00357003-01	0.027977	0
NCGC00261776-01	0.057025	1
NCGC00261290-01	0.044621	1
NCGC00261126-01	0.059602	1
NCGC00357001-01	0.059373	1
NCGC00357220-01	0.034870	1
NCGC00357246-01	0.052997	1
NCGC00357058-01	0.036986	1
NCGC00261380-01	0.050049	1
NCGC00261304-01	0.044597	1
NCGC00260871-01	0.050636	1
NCGC00357030-01	0.076397	1
NCGC00357252-01	0.032090	0
NCGC00357081-01	0.055541	1
NCGC00357275-01	0.045228	1
NCGC00261842-01	0.057806	1
NCGC00261704-01	0.043932	1
NCGC00260713-01	0.070390	1
NCGC00357123-01	0.053417	1
NCGC00357159-01	0.026222	0
NCGC00357281-01	0.062652	1
NCGC00357014-01	0.067864	1
NCGC00261662-01	0.040853	1
NCGC00260850-01	0.060983	1
NCGC00261487-01	0.032099	0
NCGC00357091-01	0.028616	0
NCGC00356947-01	0.030917	0
NCGC00357244-01	0.021732	0
NCGC00357011-01	0.085817	1
NCGC00261190-01	0.043276	1
NCGC00260972-01	0.046166	1
NCGC00261545-01	0.058436	1
NCGC00357004-01	0.032313	0
NCGC00357063-01	0.025465	0
NCGC00357194-01	0.036160	1
NCGC00356976-01	0.044068	1
NCGC00260731-01	0.041613	1
NCGC00261364-01	0.026386	0
NCGC00261480-01	0.037818	1
NCGC00357103-01	0.017939	0
NCGC00356982-01	0.027237	0
NCGC00357193-01	0.026260	0
NCGC00357175-01	0.058077	1
NCGC00261926-01	0.050996	1
NCGC00261392-01	0.028698	0
NCGC00261838-01	0.030181	0
NCGC00357289-01	0.048243	1
NCGC00357219-01	0.040403	1
NCGC00357006-01	0.028692	0
NCGC00357021-01	0.033958	0
