Sample ID	Score	Activity
NCGC00261662-01	0.658322904	1
NCGC00260731-01	0.233521068	0
NCGC00261190-01	0.260951189	0
NCGC00261842-01	0.271589487	0
NCGC00261380-01	0.206508135	0
NCGC00261776-01	0.340112641	0
NCGC00260869-01	0.075093867	0
NCGC00261579-01	0.126825198	0
NCGC00261119-01	0.279307468	0
NCGC00260831-01	0.439299124	0
NCGC00261812-01	0.433041302	0
NCGC00261544-01	0.274301210	0
NCGC00261926-01	0.180225282	0
NCGC00260921-01	0.587609512	1
NCGC00261619-01	0.362536504	0
NCGC00261633-01	0.006257822	0
NCGC00261924-01	0.278055903	0
NCGC00261052-01	0.256362119	0
NCGC00261861-01	0.836045056	1
NCGC00261424-01	0.502711723	1
NCGC00261395-01	0.206716729	0
NCGC00261947-01	0.359198999	0
NCGC00261717-01	0.430538173	0
NCGC00261683-01	0.221526909	0
NCGC00261057-01	0.081351690	0
NCGC00261348-01	0.001251564	0
NCGC00261738-01	0.296829370	0
NCGC00261503-01	0.010012516	0
NCGC00260693-01	0.008135169	0
NCGC00261026-01	0.404255319	0
NCGC00260716-01	0.000000000	0
NCGC00260802-01	0.001251564	0
NCGC00260703-01	0.006257822	0
NCGC00260823-01	0.006257822	0
NCGC00260782-01	0.010012516	0
NCGC00261313-01	0.008135169	0
NCGC00260757-01	0.015644556	0
NCGC00260826-01	0.001251564	0
NCGC00261005-01	0.000000000	0
NCGC00260698-01	0.127033792	0
NCGC00260980-01	0.163954944	0
NCGC00261816-01	0.155819775	0
NCGC00260889-01	0.028785982	0
NCGC00260811-01	0.113892365	0
NCGC00261060-01	0.001251564	0
NCGC00261541-01	0.017521902	0
NCGC00261649-01	0.003754693	0
NCGC00261165-01	0.005006258	0
NCGC00261162-01	0.942428035	1
NCGC00261030-01	0.506883605	1
NCGC00260846-01	0.441802253	0
NCGC00261130-01	0.406445557	0
NCGC00261110-01	0.265331665	0
NCGC00261423-01	0.409261577	0
NCGC00261856-01	0.395494368	0
NCGC00261058-01	0.220588235	0
NCGC00261404-01	0.224655820	0
NCGC00261935-01	0.157697121	0
NCGC00261069-01	0.439924906	0
NCGC00261183-01	0.068836045	0
NCGC00261101-01	0.231748018	0
NCGC00261716-01	0.052565707	0
NCGC00260742-01	0.274092616	0
NCGC00261529-01	0.211722987	0
NCGC00261340-01	0.180538173	0
NCGC00261079-01	0.035669587	0
NCGC00260990-01	0.641426783	1
NCGC00261565-01	0.081351690	0
NCGC00261342-01	0.041301627	0
NCGC00261744-01	0.141426783	0
NCGC00261389-01	0.120150188	0
NCGC00261420-01	0.150604923	0
NCGC00261123-01	0.369524406	0
NCGC00261507-01	0.044952023	0
NCGC00261826-01	0.050062578	0
NCGC00260706-01	0.186274510	0
NCGC00261367-01	0.041614518	0
NCGC00261730-01	0.034418023	0
NCGC00261624-01	0.056946183	0
NCGC00261169-01	0.098247810	0
NCGC00261215-01	0.147684606	0
NCGC00261853-01	0.672403004	1
NCGC00260911-01	0.177722153	0
NCGC00261641-01	0.041927409	0
NCGC00261384-01	0.168961202	0
NCGC00261170-01	0.506466416	1
NCGC00260798-01	0.330413016	0
NCGC00261025-01	0.021902378	0
NCGC00260785-01	0.640383813	1
NCGC00261597-01	0.392365457	0
NCGC00261189-01	0.072590738	0
NCGC00260789-01	0.058197747	0
NCGC00261160-01	0.564455569	1
NCGC00260866-01	0.205256571	0
NCGC00261085-01	0.096370463	0
NCGC00261611-01	0.117021277	0
NCGC00261817-01	0.172090113	0
NCGC00261866-01	0.082603254	0
NCGC00261270-01	0.251147267	0
NCGC00261304-01	0.381101377	0
NCGC00260972-01	0.091572799	0
NCGC00260850-01	0.177304965	0
NCGC00261704-01	0.160304547	0
NCGC00261290-01	0.158322904	0
NCGC00261364-01	0.066541510	0
NCGC00261392-01	0.142052566	0
NCGC00260852-01	0.110554860	0
NCGC00261820-01	0.047768043	0
NCGC00260790-01	0.135377555	0
NCGC00261638-01	0.201710471	0
NCGC00260940-01	0.313516896	0
NCGC00261808-01	0.031289111	0
NCGC00261133-01	0.165832290	0
NCGC00261903-01	0.347830622	0
NCGC00261081-01	0.177722153	0
NCGC00261399-01	0.365665415	0
NCGC00260696-01	0.457446809	0
NCGC00261506-01	0.331664581	0
NCGC00260957-01	0.410095953	0
NCGC00261178-01	0.304130163	0
NCGC00261113-01	0.010012516	0
NCGC00260830-01	0.047559449	0
NCGC00261602-01	0.086357947	0
NCGC00261327-01	0.001251564	0
NCGC00261900-01	0.290362954	0
NCGC00261568-01	0.057571965	0
NCGC00261071-01	0.261889862	0
NCGC00261076-01	0.024405507	0
NCGC00261192-01	0.121401752	0
NCGC00261679-01	0.489987484	0
NCGC00260858-01	0.483938256	0
NCGC00261343-01	0.160200250	0
NCGC00261607-01	0.212244472	0
NCGC00261782-01	0.240508970	0
NCGC00261577-01	0.473091364	0
NCGC00261941-01	0.203587818	0
NCGC00261510-01	0.226741761	0
NCGC00261914-01	0.086357947	0
NCGC00261764-01	0.504380476	1
NCGC00260795-01	0.122861911	0
NCGC00261802-01	0.574259491	1
NCGC00261352-01	0.682102628	1
NCGC00261009-01	0.308510638	0
NCGC00261166-01	0.566332916	1
NCGC00261944-01	0.252190238	0
NCGC00261238-01	0.138297872	0
NCGC00261915-01	0.284105131	0
NCGC00261332-01	0.433041302	0
NCGC00261813-01	0.237380058	0
NCGC00261260-01	0.515853150	1
NCGC00261475-01	0.480600751	0
NCGC00261682-01	0.188986233	0
NCGC00261333-01	0.274092616	0
NCGC00261272-01	0.230705048	0
NCGC00260708-01	0.003754693	0
NCGC00261049-01	0.233416771	0
NCGC00260948-01	0.043178974	0
NCGC00260881-01	0.056320401	0
NCGC00260910-01	0.112223613	0
NCGC00261153-01	0.050688360	0
NCGC00261840-01	0.090112641	0
NCGC00261053-01	0.000000000	0
NCGC00261129-01	0.000000000	0
NCGC00261390-01	0.000000000	0
NCGC00261406-01	0.088861076	0
NCGC00261108-01	0.027534418	0
NCGC00260979-01	0.005006258	0
NCGC00261877-01	0.043178974	0
NCGC00260993-01	0.003754693	0
NCGC00261381-01	0.331873175	0
NCGC00261426-01	0.466207760	0
NCGC00260815-01	0.065081352	0
NCGC00261495-01	0.275552774	0
NCGC00261065-01	0.561639549	1
NCGC00261441-01	0.017521902	0
NCGC00261542-01	0.403629537	0
NCGC00260875-01	0.493742178	0
NCGC00261787-01	0.175844806	0
NCGC00261451-01	0.414059241	0
NCGC00260892-01	0.113266583	0
NCGC00261958-01	0.063829787	0
NCGC00261804-01	0.291510221	0
NCGC00261321-01	0.139549437	0
NCGC00261297-01	0.046307885	0
NCGC00261663-01	0.112327910	0
NCGC00261382-01	0.356695870	0
NCGC00261474-01	0.028160200	0
NCGC00261948-01	0.501981644	1
NCGC00260840-01	0.015018773	0
NCGC00260834-01	0.115143930	0
NCGC00260947-01	0.235607009	0
NCGC00260833-01	0.096370463	0
NCGC00261739-01	0.303712975	0
NCGC00260803-01	0.083854819	0
NCGC00261873-01	0.161451815	0
NCGC00261446-01	0.207759700	0
NCGC00261563-01	0.066332916	0
NCGC00260871-01	0.360137672	0
NCGC00261155-01	0.008760951	0
NCGC00261008-01	0.084480601	0
NCGC00261080-01	0.075719650	0
NCGC00261037-01	0.089486859	0
NCGC00261643-01	0.056007509	0
NCGC00261487-01	0.157071339	0
NCGC00261126-01	0.426783479	0
NCGC00261480-01	0.043178974	0
NCGC00260713-01	0.375469337	0
NCGC00260775-01	0.001251564	0
NCGC00261177-01	0.003128911	0
NCGC00261838-01	0.025031289	0
NCGC00260707-01	0.086983730	0
NCGC00261554-01	0.266374635	0
NCGC00261627-01	0.219649562	0
NCGC00260692-01	0.009386733	0
NCGC00261639-01	0.028785982	0
NCGC00261713-01	0.577179808	1
NCGC00261882-01	0.533792240	1
NCGC00261545-01	0.550062578	1
NCGC00261598-01	0.001877347	0
NCGC00260876-01	0.011264080	0
NCGC00261737-01	0.592615770	1
NCGC00261519-01	0.010012516	0
NCGC00261933-01	0.227367543	0
NCGC00261019-01	0.041301627	0
NCGC00261003-01	0.309136421	0
NCGC00260867-01	0.003754693	0
NCGC00261201-01	0.052565707	0
NCGC00261718-01	0.041301627	0
NCGC00261601-01	0.035669587	0
NCGC00261289-01	0.035043805	0
NCGC00260743-01	0.011264080	0
NCGC00261732-01	0.001251564	0
NCGC00260751-01	0.046307885	0
NCGC00261440-01	0.026282854	0
NCGC00261176-01	0.007509387	0
NCGC00261142-01	0.138297872	0
NCGC00260982-01	0.020025031	0
NCGC00261825-01	0.578222778	1
NCGC00261582-01	0.155819775	0
NCGC00261860-01	0.779828953	1
NCGC00260822-01	0.291614518	0
NCGC00261939-01	0.850438048	1
NCGC00261906-01	0.539424280	1
NCGC00261916-01	0.579370046	1
NCGC00261833-01	0.434292866	0
NCGC00261835-01	0.130788486	0
NCGC00261163-01	0.141426783	0
NCGC00261657-01	0.001251564	0
NCGC00261013-01	0.080100125	0
NCGC00261653-01	0.055068836	0
NCGC00260770-01	0.023153942	0
NCGC00261147-01	0.128285357	0
NCGC00261869-01	0.103879850	0
NCGC00261248-01	0.112640801	0
NCGC00261336-01	0.064455569	0
NCGC00261910-01	0.326241135	0
NCGC00261686-01	0.016270338	0
NCGC00260821-01	0.013141427	0
NCGC00261593-01	0.107425949	0
NCGC00261578-01	0.013141427	0
NCGC00261246-01	0.001668753	0
NCGC00261294-01	0.010012516	0
NCGC00260890-01	0.076971214	0
NCGC00261949-01	0.019607843	0
NCGC00261330-01	0.044430538	0
NCGC00261007-01	0.006257822	0
NCGC00260691-01	0.021276596	0
NCGC00261693-01	0.115143930	0
NCGC00261018-01	0.108260325	0
NCGC00261470-01	0.132665832	0
NCGC00261075-01	0.022528160	0
NCGC00261293-01	0.178347935	0
NCGC00261150-01	0.104505632	0
NCGC00261824-01	0.018773467	0
NCGC00261767-01	0.195452649	0
NCGC00261146-01	0.016896120	0
NCGC00261286-01	0.125365040	0
NCGC00261161-01	0.049645390	0
NCGC00261254-01	0.001251564	0
NCGC00260728-01	0.034835211	0
NCGC00261261-01	0.000000000	0
NCGC00261921-01	0.093867334	0
NCGC00260817-01	0.027534418	0
NCGC00261691-01	0.242177722	0
NCGC00260962-01	0.236545682	0
NCGC00261349-01	0.149666249	0
NCGC00261583-01	0.474760117	0
NCGC00261028-01	0.260742595	0
NCGC00261141-01	0.152273675	0
NCGC00261672-01	0.091989987	0
NCGC00261620-01	0.298706717	0
NCGC00261752-01	0.172090113	0
NCGC00261473-01	0.065707134	0
NCGC00261828-01	0.170212766	0
NCGC00357009-01	0.000000000	0
NCGC00357189-01	1.000000000	1
NCGC00261913-01	0.069461827	0
NCGC00357201-01	0.945348352	1
NCGC00357163-01	0.092824364	0
NCGC00357001-01	0.158427201	0
NCGC00356953-01	0.478097622	0
NCGC00357091-01	0.174593242	0
NCGC00357004-01	0.070713392	0
NCGC00357082-01	0.639132249	1
NCGC00357123-01	0.161660409	0
NCGC00357030-01	0.063204005	0
NCGC00357103-01	0.005632040	0
NCGC00357010-01	0.110763454	0
NCGC00357057-01	0.506257822	1
NCGC00357188-01	0.521902378	1
NCGC00356999-01	0.061952441	0
NCGC00357171-01	0.002503129	0
