Sample ID	Score	Activity
NCGC00261900-01	0.332035987	0
NCGC00260869-01	0.038111418	0
NCGC00261776-01	0.463942333	0
NCGC00261380-01	0.321657384	0
NCGC00261842-01	0.276275673	0
NCGC00261662-01	0.686203190	1
NCGC00260731-01	0.537174086	1
NCGC00261926-01	0.123906759	0
NCGC00261579-01	0.187526388	0
NCGC00261119-01	0.161213023	0
NCGC00260957-01	0.490611958	0
NCGC00261812-01	0.431476535	0
NCGC00260831-01	0.800636120	1
NCGC00261544-01	0.520467459	1
NCGC00261619-01	0.482984526	0
NCGC00261633-01	0.131427004	0
NCGC00261395-01	0.295622021	0
NCGC00261717-01	0.702621941	1
NCGC00261947-01	0.468707124	0
NCGC00261424-01	0.286363016	0
NCGC00261861-01	0.698066713	1
NCGC00261924-01	0.303927316	0
NCGC00261683-01	0.182071985	0
NCGC00261026-01	0.315240735	0
NCGC00261057-01	0.015648860	0
NCGC00261738-01	0.046106582	0
NCGC00261348-01	0.020465246	0
NCGC00261503-01	0.012531419	0
NCGC00260693-01	0.010309762	0
NCGC00260703-01	0.010020383	0
NCGC00260716-01	0.001742607	0
NCGC00260782-01	0.001671912	0
NCGC00260802-01	0.010689854	0
NCGC00260823-01	0.002399815	0
NCGC00261313-01	0.005652737	0
NCGC00260757-01	0.002607362	0
NCGC00260826-01	0.015140461	0
NCGC00261005-01	0.014315197	0
NCGC00260980-01	0.025871656	0
NCGC00261816-01	0.093534314	0
NCGC00260698-01	0.095166482	0
NCGC00260889-01	0.018459922	0
NCGC00260811-01	0.114610683	0
NCGC00261165-01	0.021216214	0
NCGC00261060-01	0.001468321	0
NCGC00261541-01	0.025533208	0
NCGC00261649-01	0.001511592	0
NCGC00261110-01	0.324924118	0
NCGC00261130-01	0.482180833	0
NCGC00261162-01	0.803921334	1
NCGC00261058-01	0.465922300	0
NCGC00261404-01	0.176498068	0
NCGC00261423-01	0.346082547	0
NCGC00261856-01	0.290597992	0
NCGC00261342-01	0.135629837	0
NCGC00261935-01	0.058059990	0
NCGC00261101-01	0.105847063	0
NCGC00261183-01	0.144702799	0
NCGC00261716-01	0.054193774	0
NCGC00260742-01	0.279801007	0
NCGC00261529-01	0.223705308	0
NCGC00261170-01	0.695442000	1
NCGC00261565-01	0.263327085	0
NCGC00260990-01	0.595877575	1
NCGC00261340-01	0.165491909	0
NCGC00261079-01	0.004998371	0
NCGC00261389-01	0.047847902	0
NCGC00261744-01	0.095597566	0
NCGC00261420-01	0.092146064	0
NCGC00261215-01	0.240319706	0
NCGC00261826-01	0.032565084	0
NCGC00260706-01	0.157214977	0
NCGC00261123-01	0.190802693	0
NCGC00261367-01	0.036850935	0
NCGC00261507-01	0.055079212	0
NCGC00261169-01	0.104824123	0
NCGC00261730-01	0.149786777	0
NCGC00261624-01	0.036826196	0
NCGC00261641-01	0.056651166	0
NCGC00261853-01	0.445450062	0
NCGC00260911-01	0.145865537	0
NCGC00260798-01	0.364759060	0
NCGC00261384-01	0.179829486	0
NCGC00260785-01	0.648798429	1
NCGC00261597-01	0.282998324	0
NCGC00261025-01	0.012116974	0
NCGC00260789-01	0.036565100	0
NCGC00260866-01	0.114199357	0
NCGC00261189-01	0.093942444	0
NCGC00261270-01	0.185570660	0
NCGC00261611-01	0.098418726	0
NCGC00261160-01	0.805402444	1
NCGC00261085-01	0.029645547	0
NCGC00261817-01	0.181630719	0
NCGC00261866-01	0.056872862	0
NCGC00260852-01	0.034659013	0
NCGC00261290-01	0.344170109	0
NCGC00261304-01	0.449209915	0
NCGC00261704-01	0.124987289	0
NCGC00260850-01	0.119873672	0
NCGC00260972-01	0.085678599	0
NCGC00261364-01	0.058879499	0
NCGC00261392-01	0.236144142	0
NCGC00261820-01	0.028830206	0
NCGC00261808-01	0.046634693	0
NCGC00260790-01	0.141465739	0
NCGC00260940-01	0.431604764	0
NCGC00261081-01	0.108280550	0
NCGC00261506-01	0.592137057	1
NCGC00261133-01	0.164942452	0
NCGC00261399-01	0.274207704	0
NCGC00260696-01	0.605764418	1
NCGC00261903-01	0.282514637	0
NCGC00261178-01	0.698494906	1
NCGC00261568-01	0.088344996	0
NCGC00260830-01	0.091680077	0
NCGC00261113-01	0.020874444	0
NCGC00261327-01	0.029213039	0
NCGC00261602-01	0.045394973	0
NCGC00260858-01	0.761079217	1
NCGC00261071-01	0.102989254	0
NCGC00261076-01	0.022585752	0
NCGC00261192-01	0.150336029	0
NCGC00261577-01	0.408235265	0
NCGC00261510-01	0.202146009	0
NCGC00261941-01	0.462018880	0
NCGC00261343-01	0.161001276	0
NCGC00261607-01	0.083534212	0
NCGC00261782-01	0.295068685	0
NCGC00261914-01	0.074675864	0
NCGC00261475-01	0.562497070	1
NCGC00261764-01	0.925314839	1
NCGC00261813-01	0.119693567	0
NCGC00260795-01	0.128716639	0
NCGC00261352-01	0.915273701	1
NCGC00261009-01	0.224892795	0
NCGC00261944-01	0.185349532	0
NCGC00261166-01	0.911282858	1
NCGC00261332-01	0.813668958	1
NCGC00261333-01	0.493875528	0
NCGC00261260-01	0.879495410	1
NCGC00261915-01	0.376185085	0
NCGC00261238-01	0.062349107	0
NCGC00261682-01	0.196369298	0
NCGC00261049-01	0.217655112	0
NCGC00260910-01	0.208168661	0
NCGC00261272-01	0.258546413	0
NCGC00260708-01	0.001413219	0
NCGC00261390-01	0.010627135	0
NCGC00260948-01	0.004571390	0
NCGC00261840-01	0.088760009	0
NCGC00260881-01	0.001980368	0
NCGC00261153-01	0.017686687	0
NCGC00261406-01	0.117190509	0
NCGC00261053-01	0.001854490	0
NCGC00261129-01	0.010414016	0
NCGC00261381-01	0.471134656	0
NCGC00261426-01	0.552149699	1
NCGC00260979-01	0.025658580	0
NCGC00260993-01	0.043117044	0
NCGC00261108-01	0.014171212	0
NCGC00261441-01	0.015897277	0
NCGC00261877-01	0.030550204	0
NCGC00260815-01	0.052594199	0
NCGC00261542-01	0.733535226	1
NCGC00261958-01	0.102316946	0
NCGC00261787-01	0.184802369	0
NCGC00261065-01	0.874571709	1
NCGC00261804-01	0.246082915	0
NCGC00260875-01	0.530371958	1
NCGC00261739-01	0.172611885	0
NCGC00261948-01	0.764169920	1
NCGC00261382-01	0.406573661	0
NCGC00261663-01	0.010443208	0
NCGC00260892-01	0.043116605	0
NCGC00261297-01	0.027703179	0
NCGC00261321-01	0.123535313	0
NCGC00261446-01	0.324843385	0
NCGC00261474-01	0.023143460	0
NCGC00260834-01	0.089464404	0
NCGC00260840-01	0.054697975	0
NCGC00260947-01	0.086392244	0
NCGC00261080-01	0.093472013	0
NCGC00261563-01	0.039674234	0
NCGC00261873-01	0.039530314	0
NCGC00260803-01	0.104511257	0
NCGC00260833-01	0.085659692	0
NCGC00261008-01	0.076810747	0
NCGC00261155-01	0.021780265	0
NCGC00261643-01	0.091811665	0
NCGC00261037-01	0.027578272	0
NCGC00260871-01	0.624996255	1
NCGC00260713-01	0.616497832	1
NCGC00261487-01	0.165758914	0
NCGC00261545-01	0.466103168	0
NCGC00261480-01	0.060759987	0
NCGC00261838-01	0.063548965	0
NCGC00261627-01	0.144855101	0
NCGC00261639-01	0.015036477	0
NCGC00261177-01	0.013428468	0
NCGC00260692-01	0.017959428	0
NCGC00260775-01	0.016811066	0
NCGC00260876-01	0.041672074	0
NCGC00261598-01	0.009552310	0
NCGC00260707-01	0.042287214	0
NCGC00261713-01	0.515603100	1
NCGC00261737-01	0.857565138	1
NCGC00261882-01	0.531734980	1
NCGC00261933-01	0.129918699	0
NCGC00261201-01	0.019575887	0
NCGC00261398-01	0.181377368	0
NCGC00261601-01	0.178077834	0
NCGC00261003-01	0.073609424	0
NCGC00261019-01	0.027992668	0
NCGC00261519-01	0.005033179	0
NCGC00261732-01	0.003995133	0
NCGC00261718-01	0.007433035	0
NCGC00260743-01	0.003562230	0
NCGC00260751-01	0.032993945	0
NCGC00260867-01	0.010535958	0
NCGC00260982-01	0.070014072	0
NCGC00261176-01	0.005040344	0
NCGC00261440-01	0.033081539	0
NCGC00261657-01	0.010866302	0
NCGC00260822-01	0.687056358	1
NCGC00261142-01	0.320860346	0
NCGC00261582-01	0.145913658	0
NCGC00261825-01	0.754007655	1
NCGC00261833-01	0.334486503	0
NCGC00261835-01	0.286617589	0
NCGC00261860-01	0.853711015	1
NCGC00261906-01	0.561281397	1
NCGC00261916-01	0.787765177	1
NCGC00261939-01	0.845266553	1
NCGC00261869-01	0.045994263	0
NCGC00261163-01	0.171112891	0
NCGC00261653-01	0.133827794	0
NCGC00261248-01	0.052275192	0
NCGC00260770-01	0.010602432	0
NCGC00261013-01	0.025385731	0
NCGC00261910-01	0.760994952	1
NCGC00261686-01	0.004659537	0
NCGC00261147-01	0.107899522	0
NCGC00261578-01	0.078789480	0
NCGC00261336-01	0.017985728	0
NCGC00261593-01	0.261204839	0
NCGC00260821-01	0.016245374	0
NCGC00261007-01	0.001190549	0
NCGC00261246-01	0.011297944	0
NCGC00261949-01	0.020791352	0
NCGC00260890-01	0.049680839	0
NCGC00261294-01	0.042208940	0
NCGC00261330-01	0.062167168	0
NCGC00261470-01	0.061262280	0
NCGC00260691-01	0.022847375	0
NCGC00261693-01	0.011941044	0
NCGC00261293-01	0.213884062	0
NCGC00261018-01	0.039364192	0
NCGC00261075-01	0.030773418	0
