Sample ID	Score	Activity
NCGC00261900	0.6052	1
NCGC00260869	0.288	0
NCGC00261776	0.5498	0
NCGC00261380	0.5878	0
NCGC00261842	0.5698	0
NCGC00261662	0.9152	1
NCGC00261190	0.6372	1
NCGC00260731	0.7892	1
NCGC00261926	0.2574	0
NCGC00261579	0.4058	0
NCGC00260921	0.6648	1
NCGC00261119	0.4614	0
NCGC00260957	0.6726	1
NCGC00261812	0.5858	0
NCGC00260831	0.712	1
NCGC00261544	0.5698	0
NCGC00261619	0.765	1
NCGC00261633	0.2896	0
NCGC00261395	0.3902	0
NCGC00261717	0.7544	1
NCGC00261947	0.736	1
NCGC00261424	0.627	1
NCGC00261861	0.9452	1
NCGC00261924	0.7498	1
NCGC00261052	0.312	0
NCGC00261683	0.4116	0
NCGC00261026	0.6156	1
NCGC00261057	0.0922	0
NCGC00261738	0.1504	0
NCGC00261348	0.0474	0
NCGC00261503	0.1336	0
NCGC00260693	0.1078	0
NCGC00260703	0.0476	0
NCGC00260716	0.0038	0
NCGC00260782	0.0734	0
NCGC00260802	0.0522	0
NCGC00260823	0.035	0
NCGC00261313	0.0426	0
NCGC00260757	0.091	0
NCGC00260826	0.0096	0
NCGC00261005	0.0494	0
NCGC00260980	0.4404	0
NCGC00261816	0.3098	0
NCGC00260698	0.4672	0
NCGC00260889	0.1146	0
NCGC00260811	0.2376	0
NCGC00261165	0.1114	0
NCGC00261060	0.0578	0
NCGC00261541	0.2476	0
NCGC00261649	0.0504	0
NCGC00261110	0.3994	0
NCGC00261130	0.5278	0
NCGC00260846	0.6	0
NCGC00261030	0.663	1
NCGC00261162	0.8728	1
NCGC00261058	0.4822	0
NCGC00261404	0.4342	0
NCGC00261423	0.7792	1
NCGC00261856	0.7874	1
NCGC00261342	0.7362	1
NCGC00261935	0.1656	0
NCGC00261069	0.658	1
NCGC00261101	0.625	1
NCGC00261183	0.2628	0
NCGC00261716	0.1968	0
NCGC00260742	0.528	0
NCGC00261529	0.4902	0
NCGC00261170	0.6092	1
NCGC00261565	0.3888	0
NCGC00260990	0.8572	1
NCGC00261340	0.2802	0
NCGC00261079	0.1946	0
NCGC00261389	0.4266	0
NCGC00261744	0.307	0
NCGC00261420	0.5814	0
NCGC00261215	0.6418	1
NCGC00261826	0.3442	0
NCGC00260706	0.5684	0
NCGC00261123	0.591	0
NCGC00261367	0.2334	0
NCGC00261507	0.2096	0
NCGC00261169	0.1706	0
NCGC00261730	0.1582	0
NCGC00261624	0.3822	0
NCGC00261641	0.3566	0
NCGC00261853	0.8222	1
NCGC00260911	0.5398	0
NCGC00260798	0.4048	0
NCGC00261384	0.2514	0
NCGC00260785	0.7378	1
NCGC00261597	0.6162	1
NCGC00261025	0.2674	0
NCGC00260789	0.1328	0
NCGC00260866	0.4018	0
NCGC00261189	0.1622	0
NCGC00261270	0.4426	0
NCGC00261611	0.419	0
NCGC00261160	0.6204	1
NCGC00261085	0.2214	0
NCGC00261817	0.3876	0
NCGC00261866	0.3242	0
NCGC00260852	0.4002	0
NCGC00261290	0.3724	0
NCGC00261304	0.5662	0
NCGC00261704	0.5312	0
NCGC00260850	0.2542	0
NCGC00260972	0.1208	0
NCGC00261364	0.1846	0
NCGC00261392	0.476	0
NCGC00261638	0.4534	0
NCGC00261820	0.086	0
NCGC00261808	0.1344	0
NCGC00260790	0.4298	0
NCGC00260940	0.4124	0
NCGC00261081	0.343	0
NCGC00261506	0.495	0
NCGC00261133	0.2652	0
NCGC00261399	0.5218	0
NCGC00260696	0.878	1
NCGC00261903	0.4246	0
NCGC00261178	0.6422	1
NCGC00261568	0.2412	0
NCGC00260830	0.2922	0
NCGC00261113	0.1536	0
NCGC00261327	0.1004	0
NCGC00261602	0.1596	0
NCGC00260858	0.6736	1
NCGC00261071	0.3078	0
NCGC00261076	0.1366	0
NCGC00261192	0.36	0
NCGC00261577	0.814	1
NCGC00261510	0.365	0
NCGC00261679	0.8742	1
NCGC00261941	0.562	0
NCGC00261343	0.6034	1
NCGC00261607	0.5378	0
NCGC00261782	0.404	0
NCGC00261914	0.235	0
NCGC00261475	0.7394	1
NCGC00261764	0.5914	0
NCGC00261802	0.6684	1
NCGC00261813	0.5028	0
NCGC00260795	0.3816	0
NCGC00261352	0.7668	1
NCGC00261009	0.4588	0
NCGC00261944	0.5056	0
NCGC00261166	0.763	1
NCGC00261332	0.6146	1
NCGC00261333	0.6076	1
NCGC00261260	0.7012	1
NCGC00261915	0.57	0
NCGC00261238	0.239	0
NCGC00261682	0.4112	0
NCGC00261049	0.4056	0
NCGC00260910	0.2418	0
NCGC00261272	0.5014	0
NCGC00260708	0.019	0
NCGC00261390	0.0242	0
NCGC00260948	0.1546	0
NCGC00261840	0.3788	0
NCGC00260881	0.116	0
NCGC00261153	0.1508	0
NCGC00261406	0.4084	0
NCGC00261053	0.03	0
NCGC00261129	0.0314	0
NCGC00261381	0.6154	1
NCGC00261426	0.7506	1
NCGC00260979	0.0466	0
NCGC00260993	0.0586	0
NCGC00261108	0.0612	0
NCGC00261441	0.2156	0
NCGC00261877	0.233	0
NCGC00260815	0.2868	0
NCGC00261542	0.7664	1
NCGC00261958	0.2704	0
NCGC00261787	0.357	0
NCGC00261065	0.7208	1
NCGC00261804	0.48	0
NCGC00260875	0.672	1
NCGC00261451	0.8434	1
NCGC00261739	0.4696	0
NCGC00261948	0.7742	1
NCGC00261382	0.6898	1
NCGC00261663	0.4192	0
NCGC00260892	0.2418	0
NCGC00261297	0.2216	0
NCGC00261321	0.2688	0
NCGC00261446	0.5056	0
NCGC00261474	0.1476	0
NCGC00260834	0.365	0
NCGC00260840	0.3354	0
NCGC00260947	0.3868	0
NCGC00261080	0.3952	0
NCGC00261563	0.3746	0
NCGC00261873	0.3882	0
NCGC00260803	0.1008	0
