Sample ID	Score	Activity
NCGC00357061-01	-0.1309	0
NCGC00357267-01	-0.1229	0
NCGC00261663-01	-0.1183	0
NCGC00357127-01	-0.0957	0
NCGC00260948-01	-0.094	0
NCGC00357131-01	-0.0845	0
NCGC00357240-01	-0.0841	0
NCGC00260782-01	-0.0833	0
NCGC00357005-01	-0.0816	0
NCGC00261246-01	-0.0798	0
NCGC00356998-01	-0.0779	0
NCGC00261913-01	-0.077	0
NCGC00357258-01	-0.0764	0
NCGC00357195-01	-0.0745	0
NCGC00356997-01	-0.0728	0
NCGC00260757-01	-0.0726	0
NCGC00260821-01	-0.0726	0
NCGC00261364-01	-0.0691	0
NCGC00261873-01	-0.0678	0
NCGC00261716-01	-0.0657	0
NCGC00357050-01	-0.065	0
NCGC00357129-01	-0.0646	0
NCGC00357120-01	-0.0639	0
NCGC00261838-01	-0.0638	0
NCGC00357165-01	-0.0619	0
NCGC00261007-01	-0.0596	0
NCGC00357210-01	-0.0589	0
NCGC00357256-01	-0.0578	0
NCGC00357244-01	-0.0567	0
NCGC00357222-01	-0.0563	0
NCGC00261165-01	-0.0559	0
NCGC00357177-01	-0.0559	0
NCGC00261390-01	-0.0556	0
NCGC00357124-01	-0.055	0
NCGC00261598-01	-0.0531	0
NCGC00357138-01	-0.0524	0
NCGC00261565-01	-0.0522	0
NCGC00261693-01	-0.0514	0
NCGC00356971-01	-0.0506	0
NCGC00356975-01	-0.0506	0
NCGC00357136-01	-0.0457	0
NCGC00357101-01	-0.0451	0
NCGC00357115-01	-0.0447	0
NCGC00357250-01	-0.0446	0
NCGC00357004-01	-0.0433	0
NCGC00357010-01	-0.0432	0
NCGC00260693-01	-0.0425	0
NCGC00261480-01	-0.041	0
NCGC00357143-01	-0.041	0
NCGC00260703-01	-0.0409	0
NCGC00357059-01	-0.0409	0
NCGC00357084-01	-0.0398	0
NCGC00357248-01	-0.039	0
NCGC00260826-01	-0.0367	0
NCGC00357105-01	-0.0365	0
NCGC00260691-01	-0.0352	0
NCGC00357216-01	-0.0352	0
NCGC00261076-01	-0.0346	0
NCGC00357068-01	-0.0343	0
NCGC00357158-01	-0.0336	0
NCGC00260802-01	-0.0335	0
NCGC00261389-01	-0.0323	0
NCGC00357159-01	-0.0313	0
NCGC00357270-01	-0.0309	0
NCGC00356980-01	-0.0309	0
NCGC00357125-01	-0.0307	0
NCGC00357071-01	-0.03	0
NCGC00261348-01	-0.0298	0
NCGC00260850-01	-0.0293	0
NCGC00357078-01	-0.029	0
NCGC00261126-01	-0.0286	0
NCGC00357040-01	-0.0276	0
NCGC00356963-01	-0.0272	0
NCGC00261201-01	-0.0267	0
NCGC00357225-01	-0.0267	0
NCGC00357003-01	-0.0266	0
NCGC00261949-01	-0.0264	0
NCGC00357179-01	-0.0252	0
NCGC00357245-01	-0.0252	0
NCGC00357279-01	-0.0251	0
NCGC00356959-01	-0.0251	0
NCGC00261008-01	-0.0243	0
NCGC00357235-01	-0.0243	0
NCGC00356999-01	-0.0242	0
