Sample ID	Score	Activity
NCGC00261900-01	0.007627384	0
NCGC00260869-01	0.021167659	0
NCGC00261776-01	0.008086463	0
NCGC00261380-01	0.009680372	0
NCGC00261842-01	0.285798427	1
NCGC00261662-01	0.022785475	0
NCGC00261190-01	0.071288064	0
NCGC00260731-01	0.253470093	1
NCGC00261926-01	0.007526869	0
NCGC00261579-01	0.008066529	0
NCGC00260921-01	0.021487638	0
NCGC00261119-01	0.007524797	0
NCGC00260957-01	0.015954452	0
NCGC00261812-01	0.012835579	0
NCGC00260831-01	0.035582336	0
NCGC00261544-01	0.009023287	0
NCGC00261619-01	0.135551411	1
NCGC00261633-01	0.008693759	0
NCGC00261395-01	0.007782735	0
NCGC00261717-01	0.010264419	0
NCGC00261947-01	0.008684668	0
NCGC00261424-01	0.010846604	0
NCGC00261861-01	0.263573936	1
NCGC00261924-01	0.293811854	1
NCGC00261052-01	0.007954848	0
NCGC00261683-01	0.009229202	0
NCGC00261026-01	0.123459819	0
NCGC00261057-01	0.007509568	0
NCGC00261738-01	0.009364122	0
NCGC00261348-01	0.007555565	0
NCGC00261503-01	0.007545636	0
NCGC00260693-01	0.007513132	0
NCGC00260703-01	0.007509079	0
NCGC00260716-01	0.007511345	0
NCGC00260782-01	0.007512051	0
NCGC00260802-01	0.007511030	0
NCGC00260823-01	0.007514267	0
NCGC00261313-01	0.008982363	0
NCGC00260757-01	0.007509350	0
NCGC00260826-01	0.007509059	0
NCGC00261005-01	0.007513086	0
NCGC00260980-01	0.008376991	0
NCGC00261816-01	0.007591135	0
NCGC00260698-01	0.012855489	0
NCGC00260889-01	0.007548906	0
NCGC00260811-01	0.007563241	0
NCGC00261165-01	0.010897611	0
NCGC00261060-01	0.010204649	0
NCGC00261541-01	0.007534766	0
NCGC00261649-01	0.007514809	0
NCGC00261110-01	0.007667443	0
NCGC00261130-01	0.007605222	0
NCGC00260846-01	0.009327130	0
NCGC00261030-01	0.007740277	0
NCGC00261162-01	0.008314251	0
NCGC00261058-01	0.009225242	0
NCGC00261404-01	0.007546122	0
NCGC00261423-01	0.020351653	0
NCGC00261856-01	0.013535840	0
NCGC00261342-01	0.007548952	0
NCGC00261935-01	0.007526819	0
NCGC00261069-01	0.021551510	0
NCGC00261101-01	0.014333162	0
NCGC00261183-01	0.008051518	0
NCGC00261716-01	0.007778650	0
NCGC00260742-01	0.009853909	0
NCGC00261529-01	0.008963095	0
NCGC00261170-01	0.008465148	0
NCGC00261565-01	0.007754349	0
NCGC00260990-01	0.046261676	0
NCGC00261340-01	0.008325789	0
NCGC00261079-01	0.007511603	0
NCGC00261389-01	0.014079182	0
NCGC00261744-01	0.007510443	0
NCGC00261420-01	0.008512488	0
NCGC00261215-01	0.011965607	0
NCGC00261826-01	0.007514489	0
NCGC00260706-01	0.007519130	0
NCGC00261123-01	0.023636355	0
NCGC00261367-01	0.007648292	0
NCGC00261507-01	0.007864266	0
NCGC00261169-01	0.007539899	0
NCGC00261730-01	0.007534080	0
NCGC00261624-01	0.007509999	0
NCGC00261641-01	0.007951691	0
NCGC00261853-01	0.007885268	0
NCGC00260911-01	0.007539269	0
NCGC00260798-01	0.007673380	0
NCGC00261384-01	0.007568427	0
NCGC00260785-01	0.232830015	1
NCGC00261597-01	0.010872981	0
NCGC00261025-01	0.007528548	0
NCGC00260789-01	0.007605625	0
NCGC00260866-01	0.007820435	0
NCGC00261189-01	0.009465360	0
NCGC00261270-01	0.007867635	0
NCGC00261611-01	0.007608013	0
NCGC00261160-01	0.099482170	0
NCGC00261085-01	0.007508708	0
NCGC00261817-01	0.007523935	0
NCGC00261866-01	0.007513096	0
NCGC00260852-01	0.007830993	0
NCGC00261290-01	0.007751550	0
NCGC00261304-01	0.010019948	0
NCGC00261704-01	0.008948239	0
NCGC00260850-01	0.007582823	0
NCGC00260972-01	0.007551343	0
NCGC00261364-01	0.007508836	0
NCGC00261392-01	0.008910088	0
NCGC00261638-01	0.007572347	0
NCGC00261820-01	0.007508840	0
NCGC00261808-01	0.007536092	0
NCGC00260790-01	0.007955183	0
NCGC00260940-01	0.013015761	0
NCGC00261081-01	0.007575288	0
NCGC00261506-01	0.013947111	0
NCGC00261133-01	0.007608165	0
NCGC00261399-01	0.011252971	0
NCGC00260696-01	0.094335025	0
NCGC00261903-01	0.010099171	0
NCGC00261178-01	0.038545803	0
NCGC00261568-01	0.014099056	0
NCGC00260830-01	0.007569394	0
NCGC00261113-01	0.007508700	0
NCGC00261327-01	0.007509042	0
NCGC00261602-01	0.007522352	0
NCGC00260858-01	0.013440994	0
NCGC00261071-01	0.062421861	0
NCGC00261076-01	0.007511953	0
NCGC00261192-01	0.008098902	0
NCGC00261495-01	0.007522130	0
NCGC00261577-01	0.008878128	0
NCGC00261510-01	0.007560513	0
NCGC00261679-01	0.008478708	0
NCGC00261941-01	0.011137131	0
NCGC00261343-01	0.007847697	0
NCGC00261607-01	0.008035133	0
NCGC00261782-01	0.008022652	0
NCGC00261914-01	0.007628801	0
NCGC00261475-01	0.015852969	0
NCGC00261764-01	0.124625150	0
NCGC00261802-01	0.155914311	1
NCGC00261813-01	0.008194933	0
NCGC00260795-01	0.173612583	1
NCGC00261352-01	0.113342405	0
NCGC00261009-01	0.009548476	0
NCGC00261944-01	0.007857229	0
NCGC00261166-01	0.033391014	0
NCGC00261332-01	0.042300725	0
NCGC00261333-01	0.007699507	0
NCGC00261260-01	0.096796975	0
NCGC00261915-01	0.021584592	0
NCGC00261238-01	0.008022768	0
NCGC00261682-01	0.008111564	0
NCGC00261049-01	0.025360142	0
NCGC00260910-01	0.007681315	0
NCGC00261272-01	0.079294769	0
