Sample ID	Score	Activity
NCGC00261776-01	-1.574	0
NCGC00261380-01	-2.28	0
NCGC00261842-01	0.369	1
NCGC00261662-01	-0.018	0
NCGC00261190-01	2.01	1
NCGC00260731-01	1.526	1
NCGC00261926-01	-0.55	0
NCGC00261579-01	-0.723	0
NCGC00260921-01	-0.546	0
NCGC00261119-01	-1.335	0
NCGC00261812-01	-0.32	0
NCGC00260831-01	-1.208	0
NCGC00261544-01	-0.787	0
NCGC00261619-01	-0.922	0
NCGC00261395-01	-0.489	0
NCGC00261717-01	-1.156	0
NCGC00261947-01	-1.491	0
NCGC00261424-01	-1.176	0
NCGC00261861-01	-0.33	0
NCGC00261924-01	0.827	1
NCGC00261026-01	-0.838	0
NCGC00261057-01	-1.726	0
NCGC00261738-01	-1.595	0
NCGC00261348-01	-1.095	0
NCGC00261503-01	-1.64	0
NCGC00260693-01	-2.047	0
NCGC00260703-01	-2.067	0
NCGC00260716-01	0.158	1
NCGC00260782-01	-0.151	0
NCGC00260802-01	-0.326	0
NCGC00260823-01	-0.702	0
NCGC00260757-01	-0.369	0
NCGC00260826-01	0.354	1
NCGC00260889-01	-0.856	0
NCGC00260811-01	-2.103	0
NCGC00261165-01	-2.357	0
NCGC00261060-01	-0.608	0
NCGC00261541-01	-0.958	0
NCGC00261649-01	-1.035	0
NCGC00261110-01	-1.008	0
NCGC00261130-01	-0.946	0
NCGC00260846-01	-0.677	0
NCGC00261030-01	-1.102	0
NCGC00261162-01	-0.838	0
NCGC00261058-01	-0.434	0
NCGC00261404-01	-0.29	0
NCGC00261423-01	-0.78	0
NCGC00261856-01	-0.517	0
NCGC00261342-01	-2.836	0
NCGC00261069-01	-0.805	0
NCGC00261101-01	0.116	1
NCGC00261716-01	-1.698	0
NCGC00260742-01	-1.975	0
NCGC00261529-01	-1.737	0
NCGC00261170-01	-0.895	0
NCGC00261565-01	-1.847	0
NCGC00260990-01	-0.094	0
NCGC00261340-01	-0.539	0
NCGC00261079-01	-1.068	0
NCGC00261389-01	-0.236	0
NCGC00261744-01	-2.839	0
NCGC00261420-01	-0.866	0
NCGC00261215-01	-1.759	0
NCGC00261826-01	-0.605	0
NCGC00261123-01	1.155	1
NCGC00261367-01	-2.514	0
NCGC00261507-01	-1.369	0
NCGC00261169-01	-1.897	0
NCGC00261730-01	-2.362	0
NCGC00261624-01	-1.381	0
NCGC00261641-01	-0.374	0
NCGC00261853-01	-0.797	0
NCGC00260911-01	0.304	1
NCGC00261384-01	-1.395	0
NCGC00260785-01	-0.735	0
NCGC00261025-01	-0.733	0
NCGC00260789-01	-1.351	0
NCGC00260866-01	-2.378	0
NCGC00261189-01	-1.574	0
NCGC00261270-01	0.39	1
NCGC00261611-01	-1.815	0
NCGC00261817-01	-0.85	0
NCGC00261866-01	-0.838	0
NCGC00260852-01	-1.076	0
NCGC00261290-01	-0.404	0
NCGC00261304-01	-1.069	0
NCGC00261704-01	-0.62	0
NCGC00260850-01	-1.371	0
NCGC00260972-01	-1.006	0
NCGC00261392-01	-0.52	0
NCGC00261638-01	-1.018	0
NCGC00261820-01	-1.817	0
NCGC00261808-01	-1.788	0
NCGC00260790-01	-1.919	0
NCGC00260940-01	-0.33	0
NCGC00261081-01	-0.584	0
NCGC00261506-01	-1.516	0
NCGC00261133-01	-1.438	0
NCGC00261399-01	-0.062	0
NCGC00260696-01	0.815	1
NCGC00261903-01	-1.675	0
NCGC00261178-01	0.605	1
