Sample ID	Score	Activity
NCGC00260691	0.34145	0
NCGC00260692	0.22822	0
NCGC00260693	0.26858	0
NCGC00260696	0.58016	1
NCGC00260698	0.60707	1
NCGC00260703	0.23202	0
NCGC00260706	0.33308	0
NCGC00260707	0.37845	0
NCGC00260708	0.15891	0
NCGC00260713	0.69608	1
NCGC00260716	0.20929	0
NCGC00260728	0.22304	0
NCGC00260731	0.57935	1
NCGC00260742	0.58022	1
NCGC00260743	0.24984	0
NCGC00260751	0.15419	0
NCGC00260757	0.20461	0
NCGC00260770	0.15494	0
NCGC00260775	0.22585	0
NCGC00260782	0.27779	0
NCGC00260785	0.73831	1
NCGC00260789	0.47005	0
NCGC00260790	0.44729	0
NCGC00260795	0.85497	1
NCGC00260798	0.60974	1
NCGC00260802	0.24477	0
NCGC00260803	0.65216	1
NCGC00260811	0.30401	0
NCGC00260815	0.45836	0
NCGC00260817	0.25335	0
NCGC00260821	0.36168	0
NCGC00260822	0.76176	1
NCGC00260823	0.28966	0
NCGC00260826	0.27559	0
NCGC00260830	0.51859	1
NCGC00260831	0.65412	1
NCGC00260833	0.71973	1
NCGC00260834	0.64743	1
NCGC00260840	0.67834	1
NCGC00260846	0.39747	0
NCGC00260850	0.44214	0
NCGC00260852	0.35845	0
NCGC00260858	0.63457	1
NCGC00260866	0.48525	0
NCGC00260867	0.21535	0
NCGC00260869	0.56496	1
NCGC00260871	0.59260	1
NCGC00260875	0.50212	1
NCGC00260876	0.19812	0
NCGC00260881	0.24763	0
NCGC00260889	0.28897	0
NCGC00260890	0.31048	0
NCGC00260892	0.31991	0
NCGC00260910	0.43826	0
NCGC00260911	0.35830	0
NCGC00260921	0.56557	1
NCGC00260940	0.60378	1
NCGC00260947	0.77027	1
NCGC00260948	0.22399	0
NCGC00260957	0.71589	1
NCGC00260962	0.52217	1
NCGC00260972	0.52080	1
NCGC00260979	0.66282	1
NCGC00260980	0.65154	1
NCGC00260982	0.25406	0
NCGC00260990	0.64808	1
NCGC00260993	0.59748	1
NCGC00261003	0.51021	1
NCGC00261005	0.25367	0
NCGC00261007	0.21968	0
NCGC00261008	0.60904	1
NCGC00261009	0.64994	1
NCGC00261013	0.42234	0
NCGC00261018	0.30079	0
NCGC00261019	0.35510	0
NCGC00261025	0.33401	0
NCGC00261026	0.71770	1
NCGC00261028	0.38395	0
NCGC00261030	0.37774	0
NCGC00261037	0.40140	0
NCGC00261049	0.58639	1
NCGC00261052	0.42176	0
NCGC00261053	0.12470	0
NCGC00261057	0.37029	0
NCGC00261058	0.59798	1
NCGC00261060	0.29209	0
NCGC00261065	0.76619	1
NCGC00261071	0.70320	1
NCGC00261075	0.25197	0
NCGC00261076	0.34531	0
NCGC00261079	0.25857	0
NCGC00261080	0.64967	1
NCGC00261081	0.55684	1
NCGC00261085	0.15055	0
NCGC00261101	0.58158	1
NCGC00261108	0.48404	0
NCGC00261110	0.35594	0
NCGC00261113	0.39562	0
NCGC00261119	0.50108	1
NCGC00261123	0.76170	1
NCGC00261129	0.13071	0
NCGC00261130	0.38596	0
NCGC00261133	0.44600	0
NCGC00261141	0.42181	0
NCGC00261142	0.80066	1
NCGC00261146	0.16734	0
NCGC00261147	0.75449	1
NCGC00261150	0.24895	0
NCGC00261153	0.37403	0
NCGC00261155	0.56756	1
NCGC00261160	0.61558	1
NCGC00261161	0.32760	0
NCGC00261162	0.37894	0
NCGC00261163	0.66661	1
NCGC00261165	0.34848	0
NCGC00261166	0.62688	1
NCGC00261169	0.45963	0
NCGC00261170	0.50819	1
NCGC00261176	0.14491	0
NCGC00261177	0.28621	0
NCGC00261178	0.57662	1
NCGC00261183	0.52984	1
NCGC00261189	0.45983	0
NCGC00261190	0.61187	1
NCGC00261192	0.49464	0
NCGC00261201	0.46319	0
NCGC00261215	0.51907	1
NCGC00261238	0.21194	0
NCGC00261246	0.28107	0
NCGC00261248	0.31164	0
NCGC00261254	0.23764	0
NCGC00261260	0.69887	1
NCGC00261261	0.23579	0
NCGC00261270	0.42226	0
NCGC00261272	0.47467	0
NCGC00261286	0.51575	1
NCGC00261290	0.50311	1
NCGC00261293	0.29121	0
NCGC00261294	0.36281	0
NCGC00261297	0.49661	0
NCGC00261304	0.61564	1
NCGC00261313	0.39361	0
NCGC00261321	0.59465	1
NCGC00261327	0.29394	0
NCGC00261330	0.26023	0
NCGC00261332	0.74112	1
NCGC00261333	0.55612	1
NCGC00261336	0.35525	0
NCGC00261340	0.37448	0
NCGC00261342	0.38159	0
NCGC00261343	0.47244	0
NCGC00261348	0.22644	0
NCGC00261349	0.44143	0
NCGC00261352	0.76325	1
NCGC00261364	0.34757	0
NCGC00261367	0.33873	0
NCGC00261380	0.59040	1
NCGC00261381	0.66728	1
NCGC00261382	0.69380	1
NCGC00261384	0.48545	0
NCGC00261389	0.63415	1
NCGC00261390	0.17804	0
NCGC00261392	0.46228	0
NCGC00261395	0.63084	1
NCGC00261398	0.65480	1
NCGC00261399	0.64060	1
NCGC00261404	0.33726	0
NCGC00261406	0.36348	0
NCGC00261420	0.58362	1
NCGC00261423	0.43919	0
NCGC00261424	0.39641	0
NCGC00261426	0.62402	1
NCGC00261440	0.15903	0
NCGC00261441	0.57688	1
NCGC00261446	0.51486	1
NCGC00261470	0.34118	0
NCGC00261473	0.30448	0
NCGC00261474	0.30591	0
NCGC00261475	0.55671	1
NCGC00261480	0.45957	0
NCGC00261487	0.50378	1
NCGC00261503	0.34267	0
NCGC00261506	0.70915	1
NCGC00261507	0.33995	0
NCGC00261510	0.50229	1
NCGC00261519	0.08444	0
NCGC00261529	0.58213	1
NCGC00261541	0.31954	0
NCGC00261542	0.55572	1
NCGC00261544	0.48822	0
NCGC00261545	0.48510	0
NCGC00261554	0.45811	0
NCGC00261563	0.60514	1
NCGC00261565	0.60569	1
NCGC00261568	0.51510	1
NCGC00261577	0.53081	1
NCGC00261578	0.37273	0
NCGC00261579	0.47011	0
NCGC00261582	0.42920	0
NCGC00261583	0.53494	1
NCGC00261593	0.49448	0
NCGC00261597	0.47548	0
NCGC00261598	0.21268	0
NCGC00261601	0.54850	1
NCGC00261602	0.48040	0
NCGC00261607	0.44521	0
NCGC00261611	0.50554	1
NCGC00261619	0.77930	1
NCGC00261620	0.45249	0
NCGC00261624	0.33051	0
NCGC00261627	0.44178	0
NCGC00261633	0.44933	0
NCGC00261638	0.43069	0
NCGC00261639	0.26712	0
NCGC00261641	0.51139	1
NCGC00261643	0.65751	1
NCGC00261649	0.23080	0
NCGC00261653	0.52617	1
NCGC00261657	0.06971	0
NCGC00261662	0.58145	1
NCGC00261663	0.56850	1
NCGC00261672	0.27439	0
NCGC00261679	0.53900	1
NCGC00261682	0.56323	1
NCGC00261683	0.58938	1
NCGC00261686	0.43503	0
NCGC00261691	0.35045	0
NCGC00261693	0.71401	1
NCGC00261704	0.45995	0
NCGC00261713	0.64959	1
NCGC00261716	0.34232	0
NCGC00261717	0.59976	1
NCGC00261718	0.18017	0
NCGC00261730	0.43823	0
NCGC00261732	0.07843	0
NCGC00261737	0.72988	1
NCGC00261738	0.27368	0
NCGC00261739	0.62589	1
NCGC00261744	0.33274	0
NCGC00261752	0.48106	0
NCGC00261764	0.78203	1
NCGC00261767	0.33678	0
NCGC00261776	0.65203	1
NCGC00261782	0.69583	1
NCGC00261787	0.60681	1
NCGC00261802	0.81890	1
NCGC00261804	0.63865	1
NCGC00261808	0.35932	0
NCGC00261812	0.66387	1
NCGC00261813	0.47354	0
NCGC00261816	0.35412	0
NCGC00261817	0.35649	0
NCGC00261820	0.30429	0
NCGC00261824	0.42180	0
NCGC00261825	0.48555	0
NCGC00261826	0.53667	1
NCGC00261828	0.48265	0
NCGC00261833	0.62794	1
NCGC00261835	0.41124	0
NCGC00261838	0.46237	0
NCGC00261840	0.51267	1
NCGC00261842	0.69088	1
NCGC00261853	0.69794	1
NCGC00261856	0.50310	1
NCGC00261860	0.62317	1
NCGC00261861	0.77263	1
NCGC00261866	0.24077	0
NCGC00261869	0.21083	0
NCGC00261873	0.61799	1
NCGC00261877	0.40002	0
NCGC00261882	0.66441	1
NCGC00261900	0.49079	0
NCGC00261903	0.66038	1
NCGC00261906	0.54015	1
NCGC00261910	0.65866	1
NCGC00261913	0.20242	0
NCGC00261914	0.45217	0
NCGC00261915	0.67857	1
NCGC00261916	0.60694	1
NCGC00261921	0.26705	0
NCGC00261924	0.81743	1
NCGC00261926	0.53030	1
NCGC00261933	0.58690	1
NCGC00261935	0.43072	0
NCGC00261939	0.56628	1
NCGC00261941	0.50504	1
NCGC00261944	0.65528	1
NCGC00261947	0.61690	1
NCGC00261948	0.67815	1
NCGC00261949	0.22238	0
NCGC00261958	0.50261	1
NCGC00356938	0.31176	0
NCGC00356939	0.27470	0
NCGC00356940	0.44206	0
NCGC00356941	0.33687	0
NCGC00356942	0.45051	0
NCGC00356943	0.62874	1
NCGC00356944	0.12524	0
NCGC00356945	0.09975	0
NCGC00356946	0.50072	1
NCGC00356947	0.30320	0
NCGC00356948	0.48402	0
NCGC00356949	0.46874	0
NCGC00356950	0.26770	0
NCGC00356951	0.13162	0
NCGC00356952	0.33130	0
NCGC00356953	0.40091	0
NCGC00356954	0.16388	0
NCGC00356955	0.53670	1
NCGC00356956	0.58122	1
NCGC00356957	0.72798	1
