Sample ID	Score	Activity
NCGC00261900	0.5702	1
NCGC00260869	0.3472	0
NCGC00261776	0.8298	1
NCGC00261380	0.7974	1
NCGC00261842	0.7632	1
NCGC00261662	0.7116	1
NCGC00261190	0.668	1
NCGC00260731	0.7512	1
NCGC00261926	0.7836	1
NCGC00261579	0.6196	1
NCGC00260921	0.8222	1
NCGC00261119	0.4708	0
NCGC00260957	0.606	1
NCGC00261812	0.8358	1
NCGC00260831	0.7874	1
NCGC00261544	0.5942	1
NCGC00261619	0.863	1
NCGC00261633	0.5534	1
NCGC00261395	0.8252	1
NCGC00261717	0.559	1
NCGC00261947	0.6476	1
NCGC00261424	0.5828	1
NCGC00261861	0.5202	1
NCGC00261924	0.7176	1
NCGC00261052	0.3656	0
NCGC00261683	0.6334	1
NCGC00261026	0.5856	1
NCGC00261057	0.638	1
NCGC00261738	0.4264	0
NCGC00261348	0.2018	0
NCGC00261503	0.4392	0
NCGC00260693	0.1748	0
NCGC00260703	0.251	0
NCGC00260716	0.244	0
NCGC00260782	0.2644	0
NCGC00260802	0.3472	0
NCGC00260823	0.4606	0
NCGC00261313	0.1542	0
NCGC00260757	0.2758	0
NCGC00260826	0.3838	0
NCGC00261005	0.4024	0
NCGC00260980	0.7856	1
NCGC00261816	0.7054	1
NCGC00260698	0.8906	1
NCGC00260889	0.7936	1
NCGC00260811	0.5554	1
NCGC00261165	0.6836	1
NCGC00261060	0.274	0
NCGC00261541	0.3132	0
NCGC00261649	0.3014	0
NCGC00261110	0.4854	0
NCGC00261130	0.3042	0
NCGC00260846	0.4626	0
NCGC00261030	0.4678	0
NCGC00261162	0.1386	0
NCGC00261058	0.8996	1
NCGC00261404	0.5764	1
NCGC00261423	0.2988	0
NCGC00261856	0.252	0
NCGC00261342	0.5506	1
NCGC00261935	0.0916	0
NCGC00261069	0.5226	1
NCGC00261101	0.5874	1
NCGC00261183	0.8252	1
NCGC00261716	0.6266	1
NCGC00260742	0.337	0
NCGC00261529	0.7026	1
NCGC00261170	0.4356	0
NCGC00261565	0.8196	1
NCGC00260990	0.7542	1
NCGC00261340	0.314	0
NCGC00261079	0.7336	1
NCGC00261389	0.8438	1
NCGC00261744	0.5984	1
NCGC00261420	0.7186	1
NCGC00261215	0.6104	1
NCGC00261826	0.665	1
NCGC00260706	0.5956	1
NCGC00261123	0.5684	1
NCGC00261367	0.2326	0
NCGC00261507	0.4018	0
NCGC00261169	0.5542	1
NCGC00261730	0.347	0
NCGC00261624	0.582	1
NCGC00261641	0.6628	1
NCGC00261853	0.944	1
NCGC00260911	0.4674	0
NCGC00260798	0.5094	1
NCGC00261384	0.6388	1
NCGC00260785	0.7378	1
NCGC00261597	0.5476	1
NCGC00261025	0.7654	1
NCGC00260789	0.642	1
NCGC00260866	0.5764	1
NCGC00261189	0.607	1
NCGC00261270	0.2936	0
NCGC00261611	0.5906	1
NCGC00261160	0.5102	1
NCGC00261085	0.0834	0
NCGC00261817	0.759	1
NCGC00261866	0.3776	0
NCGC00260852	0.4314	0
NCGC00261290	0.2418	0
NCGC00261304	0.9212	1
NCGC00261704	0.3934	0
NCGC00260850	0.611	1
NCGC00260972	0.7708	1
NCGC00261364	0.3754	0
NCGC00261392	0.6104	1
NCGC00261638	0.4396	0
NCGC00261820	0.179	0
NCGC00261808	0.4414	0
NCGC00260790	0.6556	1
NCGC00260940	0.6584	1
NCGC00261081	0.624	1
NCGC00261506	0.7544	1
NCGC00261133	0.534	1
NCGC00261399	0.737	1
NCGC00260696	0.4508	0
NCGC00261903	0.9344	1
NCGC00261178	0.6068	1
NCGC00261568	0.7502	1
NCGC00260830	0.7938	1
NCGC00261113	0.349	0
NCGC00261327	0.2526	0
NCGC00261602	0.5132	1
NCGC00260858	0.8318	1
NCGC00261071	0.5422	1
NCGC00261076	0.311	0
NCGC00261192	0.7692	1
NCGC00261577	0.7168	1
NCGC00261510	0.762	1
NCGC00261679	0.483	0
NCGC00261941	0.6338	1
NCGC00261343	0.6618	1
NCGC00261607	0.5594	1
NCGC00261782	0.867	1
NCGC00261914	0.6628	1
NCGC00261475	0.767	1
NCGC00261764	0.9118	1
NCGC00261802	0.9302	1
NCGC00261813	0.662	1
NCGC00260795	0.9416	1
NCGC00261352	0.919	1
NCGC00261009	0.6362	1
NCGC00261944	0.8256	1
NCGC00261166	0.9	1
NCGC00261332	0.7514	1
NCGC00261333	0.616	1
NCGC00261260	0.8404	1
NCGC00261915	0.8162	1
NCGC00261238	0.3118	0
NCGC00261682	0.8792	1
NCGC00261049	0.752	1
NCGC00260910	0.8182	1
NCGC00261272	0.6968	1
NCGC00260708	0.2136	0
NCGC00261390	0.2674	0
NCGC00260948	0.4506	0
NCGC00261840	0.7462	1
