Sample ID	Score	Activity
NCGC00261900-01	0.020590711	0
NCGC00260869-01	0.001944502	0
NCGC00261776-01	0.004348753	0
NCGC00261380-01	0.023254008	0
NCGC00261842-01	0.039387943	0
NCGC00261662-01	0.117835830	0
NCGC00261190-01	0.608223013	1
NCGC00260731-01	0.348799712	0
NCGC00261926-01	0.003069599	0
NCGC00261579-01	0.018547044	0
NCGC00260921-01	0.002163508	0
NCGC00261119-01	0.005446410	0
NCGC00260957-01	0.005161835	0
NCGC00261812-01	0.019934227	0
NCGC00260831-01	0.147955210	0
NCGC00261544-01	0.019193929	0
NCGC00261619-01	0.009991718	0
NCGC00261633-01	0.072300000	0
NCGC00261395-01	0.022065858	0
NCGC00261717-01	0.084026846	0
NCGC00261947-01	0.014014671	0
NCGC00261424-01	0.015908558	0
NCGC00261861-01	0.587166667	1
NCGC00261924-01	0.557392346	1
NCGC00261052-01	0.026453518	0
NCGC00261683-01	0.315962515	0
NCGC00261026-01	0.155389667	0
NCGC00261057-01	0.008100658	0
NCGC00261738-01	0.000843944	0
NCGC00261348-01	0.010430685	0
NCGC00261503-01	0.000212341	0
NCGC00260693-01	0.002234984	0
NCGC00260703-01	0.001033686	0
NCGC00260716-01	0.011503685	0
NCGC00260782-01	0.028426516	0
NCGC00260802-01	0.000509550	0
NCGC00260823-01	0.000105801	0
NCGC00261313-01	0.020933971	0
NCGC00260757-01	0.000969013	0
NCGC00260826-01	0.001304502	0
NCGC00261005-01	0.003406478	0
NCGC00260980-01	0.200100000	0
NCGC00261816-01	0.037771488	0
NCGC00260698-01	0.104333333	0
NCGC00260889-01	0.008043171	0
NCGC00260811-01	0.003409184	0
NCGC00261165-01	0.053000000	0
NCGC00261060-01	0.000099740	0
NCGC00261541-01	0.000713770	0
NCGC00261649-01	0.000181107	0
NCGC00261110-01	0.012532418	0
NCGC00261130-01	0.015817959	0
NCGC00260846-01	0.002147579	0
NCGC00261030-01	0.001319869	0
NCGC00261162-01	0.004341534	0
NCGC00261058-01	0.029239252	0
NCGC00261404-01	0.000401117	0
NCGC00261423-01	0.013060472	0
NCGC00261856-01	0.013060472	0
NCGC00261342-01	0.022012440	0
NCGC00261935-01	0.000871439	0
NCGC00261069-01	0.000900506	0
NCGC00261101-01	0.155752970	0
NCGC00261183-01	0.010387446	0
NCGC00261716-01	0.015011149	0
NCGC00260742-01	0.031616311	0
NCGC00261529-01	0.003054545	0
NCGC00261170-01	0.007379267	0
NCGC00261565-01	0.118024390	0
NCGC00260990-01	0.015167864	0
NCGC00261340-01	0.000062802	0
NCGC00261079-01	0.002132351	0
NCGC00261389-01	0.247333333	0
NCGC00261744-01	0.014212450	0
NCGC00261420-01	0.040002519	0
NCGC00261215-01	0.104000000	0
NCGC00261826-01	0.001188099	0
NCGC00260706-01	0.003272312	0
NCGC00261123-01	0.101589515	0
NCGC00261367-01	0.004423576	0
NCGC00261507-01	0.006519565	0
NCGC00261169-01	0.053346491	0
NCGC00261730-01	0.027666756	0
NCGC00261624-01	0.002062156	0
NCGC00261641-01	0.023355839	0
NCGC00261853-01	0.000038094	0
NCGC00260911-01	0.001151765	0
NCGC00260798-01	0.008145221	0
NCGC00261384-01	0.017044099	0
NCGC00260785-01	0.006426524	0
NCGC00261597-01	0.001203210	0
NCGC00261025-01	0.002027772	0
NCGC00260789-01	0.117404651	0
NCGC00260866-01	0.000869037	0
NCGC00261189-01	0.008060056	0
NCGC00261270-01	0.036897260	0
NCGC00261611-01	0.000162293	0
NCGC00261160-01	0.015464463	0
NCGC00261085-01	0.000791594	0
NCGC00261817-01	0.020956197	0
NCGC00261866-01	0.000441167	0
NCGC00260852-01	0.000617956	0
NCGC00261290-01	0.000425666	0
NCGC00261304-01	0.004204606	0
NCGC00261704-01	0.010131685	0
NCGC00260850-01	0.002282599	0
NCGC00260972-01	0.003085578	0
NCGC00261364-01	0.000303357	0
NCGC00261392-01	0.009651354	0
NCGC00261638-01	0.002864442	0
NCGC00261820-01	0.003196248	0
NCGC00261808-01	0.005583019	0
NCGC00260790-01	0.000285822	0
NCGC00260940-01	0.033271910	0
NCGC00261081-01	0.000370849	0
NCGC00261506-01	0.006159362	0
NCGC00261133-01	0.004177532	0
NCGC00261399-01	0.011479729	0
NCGC00260696-01	0.030842298	0
NCGC00261903-01	0.004487965	0
NCGC00261178-01	0.004106455	0
