Sample ID	Score	Activity
NCGC00261900-01	0.001026059	0
NCGC00260869-01	0.002560154	0
NCGC00261776-01	0.001102882	0
NCGC00261380-01	0.001013207	0
NCGC00261842-01	0.468801707	1
NCGC00261662-01	0.002832771	0
NCGC00261190-01	0.009417363	0
NCGC00260731-01	0.042545982	1
NCGC00261926-01	0.000761170	0
NCGC00261579-01	0.000832750	0
NCGC00260921-01	0.002485274	0
NCGC00261119-01	0.000790290	0
NCGC00260957-01	0.375092792	1
NCGC00261812-01	0.001390491	0
NCGC00260831-01	0.003937153	0
NCGC00261544-01	0.000994409	0
NCGC00261619-01	0.016315413	0
NCGC00261633-01	0.002382776	0
NCGC00261395-01	0.000925075	0
NCGC00261717-01	0.001115752	0
NCGC00261947-01	0.000967012	0
NCGC00261424-01	0.001027554	0
NCGC00261861-01	0.707106781	1
NCGC00261924-01	0.137836617	1
NCGC00261052-01	0.000948790	0
NCGC00261683-01	0.000996338	0
NCGC00261026-01	0.013521715	0
NCGC00261057-01	0.000728727	0
NCGC00261738-01	0.000884053	0
NCGC00261348-01	0.000735715	0
NCGC00261503-01	0.000727209	0
NCGC00260693-01	0.000754574	0
NCGC00260703-01	0.000701636	0
NCGC00260716-01	0.000706690	0
NCGC00260782-01	0.000741607	0
NCGC00260802-01	0.000733897	0
NCGC00260823-01	0.000770418	0
NCGC00261313-01	0.000979742	0
NCGC00260757-01	0.000749026	0
NCGC00260826-01	0.000736232	0
NCGC00261005-01	0.000699601	0
NCGC00260980-01	0.001103897	0
NCGC00261816-01	0.000786368	0
NCGC00260698-01	0.001858932	0
NCGC00260889-01	0.000722539	0
NCGC00260811-01	0.000741544	0
NCGC00261165-01	0.001308784	0
NCGC00261060-01	0.000980119	0
NCGC00261541-01	0.000706461	0
NCGC00261649-01	0.000716807	0
NCGC00261110-01	0.000762171	0
NCGC00261130-01	0.000774400	0
NCGC00260846-01	0.000940002	0
NCGC00261030-01	0.000885884	0
NCGC00261162-01	0.000812385	0
NCGC00261058-01	0.001070473	0
NCGC00261404-01	0.000744971	0
NCGC00261423-01	0.002478403	0
NCGC00261856-01	0.001345594	0
NCGC00261342-01	0.000771318	0
NCGC00261935-01	0.000713032	0
NCGC00261069-01	0.004276432	0
NCGC00261101-01	0.002353806	0
NCGC00261183-01	0.000845612	0
NCGC00261716-01	0.000775889	0
NCGC00260742-01	0.001175315	0
NCGC00261529-01	0.000912676	0
NCGC00261170-01	0.001006194	0
NCGC00261565-01	0.001094576	0
NCGC00260990-01	0.005561487	0
NCGC00261340-01	0.000844867	0
NCGC00261079-01	0.000701872	0
NCGC00261389-01	0.002035913	0
NCGC00261744-01	0.000711481	0
NCGC00261420-01	0.000922124	0
NCGC00261215-01	0.707106781	1
NCGC00261826-01	0.000716776	0
NCGC00260706-01	0.000742306	0
NCGC00261123-01	0.002733927	0
NCGC00261367-01	0.000732052	0
NCGC00261507-01	0.000757919	0
NCGC00261169-01	0.000739256	0
NCGC00261730-01	0.000733623	0
NCGC00261624-01	0.000736324	0
NCGC00261641-01	0.000829404	0
NCGC00261853-01	0.001109237	0
NCGC00260911-01	0.000848171	0
NCGC00260798-01	0.000869215	0
NCGC00261384-01	0.000822675	0
NCGC00260785-01	0.033085130	0
NCGC00261597-01	0.001194164	0
NCGC00261025-01	0.000723072	0
NCGC00260789-01	0.000743141	0
NCGC00260866-01	0.000756290	0
NCGC00261189-01	0.000924869	0
NCGC00261270-01	0.000852265	0
NCGC00261611-01	0.000764104	0
NCGC00261160-01	0.011324138	0
NCGC00261085-01	0.000704018	0
NCGC00261817-01	0.000735158	0
NCGC00261866-01	0.000736628	0
NCGC00260852-01	0.000786500	0
NCGC00261290-01	0.000757400	0
NCGC00261304-01	0.001027341	0
NCGC00261704-01	0.000901813	0
NCGC00260850-01	0.000764197	0
NCGC00260972-01	0.000725261	0
NCGC00261364-01	0.000704030	0
NCGC00261392-01	0.000923009	0
NCGC00261638-01	0.000795284	0
NCGC00261820-01	0.000701614	0
NCGC00261808-01	0.000723797	0
NCGC00260790-01	0.000782661	0
NCGC00260940-01	0.001334546	0
NCGC00261081-01	0.000814972	0
NCGC00261506-01	0.001459863	0
NCGC00261133-01	0.000785427	0
NCGC00261399-01	0.001323874	0
NCGC00260696-01	0.013282423	0
NCGC00261903-01	0.001147965	0
NCGC00261178-01	0.004648357	0
NCGC00261568-01	0.001401594	0
NCGC00260830-01	0.000737062	0
NCGC00261113-01	0.000716224	0
NCGC00261327-01	0.000777864	0
NCGC00261602-01	0.000763333	0
NCGC00260858-01	0.001795841	0
NCGC00261071-01	0.006774729	0
NCGC00261076-01	0.000749286	0
NCGC00261192-01	0.000975988	0
NCGC00261495-01	0.001040116	0
NCGC00261577-01	0.001202565	0
NCGC00261510-01	0.000754130	0
NCGC00261679-01	0.000937608	0
NCGC00261941-01	0.001181840	0
NCGC00261343-01	0.000740880	0
NCGC00261607-01	0.000852640	0
NCGC00261782-01	0.000839688	0
NCGC00261914-01	0.000768831	0
NCGC00261475-01	0.375087559	1
NCGC00261764-01	0.031573344	0
NCGC00261802-01	0.030345807	0
NCGC00261813-01	0.000837325	0
NCGC00260795-01	0.046472240	1
NCGC00261352-01	0.017068986	0
NCGC00261009-01	0.001463781	0
NCGC00261944-01	0.001410876	0
NCGC00261166-01	0.003669094	0
