Sample ID	Score	Activity
NCGC00261900-01	0.116239346	0
NCGC00260869-01	0.026552294	0
NCGC00261776-01	0.008156868	0
NCGC00261380-01	0.017858815	0
NCGC00261842-01	0.034555063	0
NCGC00261662-01	0.019683995	0
NCGC00261190-01	0.18131676	0
NCGC00260731-01	0.44128212	0
NCGC00261926-01	0.009129164	0
NCGC00261579-01	0.032883366	0
NCGC00260921-01	0.023867294	0
NCGC00261119-01	0.009437289	0
NCGC00260957-01	0.072052078	0
NCGC00261812-01	0.008374346	0
NCGC00260831-01	0.027731927	0
NCGC00261544-01	0.000356014	0
NCGC00261619-01	0.071906131	0
NCGC00261633-01	0.118510115	0
NCGC00261395-01	0.018839968	0
NCGC00261717-01	0.12694836	0
NCGC00261947-01	0.063483947	0
NCGC00261424-01	0.000087377	0
NCGC00261861-01	0.571717183	1
NCGC00261924-01	0.578588385	1
NCGC00261052-01	0.115535814	0
NCGC00261683-01	0.023561466	0
NCGC00261026-01	0.017138052	0
NCGC00261057-01	0.007077078	0
NCGC00261738-01	6.79766E-05	0
NCGC00261348-01	0.01024163	0
NCGC00261503-01	0.006902734	0
NCGC00260693-01	0.007423147	0
NCGC00260703-01	0.007739527	0
NCGC00260716-01	0.007690158	0
NCGC00260782-01	6.24776E-05	0
NCGC00260802-01	0.012882551	0
NCGC00260823-01	0.006981925	0
NCGC00261313-01	0.000460674	0
NCGC00260757-01	8.42881E-05	0
NCGC00260826-01	0.000145737	0
NCGC00261005-01	0.008223865	0
NCGC00260980-01	0.008500237	0
NCGC00261816-01	9.53288E-05	0
NCGC00260698-01	0.054369996	0
NCGC00260889-01	6.36058E-05	0
NCGC00260811-01	0.014689097	0
NCGC00261165-01	0.007060076	0
NCGC00261060-01	0.003658636	0
NCGC00261541-01	0.002876633	0
NCGC00261649-01	0.010346754	0
NCGC00261110-01	9.10273E-05	0
NCGC00261130-01	0.000150511	0
NCGC00260846-01	0.009189429	0
NCGC00261030-01	0.023138552	0
NCGC00261162-01	0.002644216	0
NCGC00261058-01	0.051924099	0
NCGC00261404-01	0.000391108	0
NCGC00261423-01	0.000146646	0
NCGC00261856-01	0.012999972	0
NCGC00261342-01	0.003573732	0
NCGC00261935-01	0.013013333	0
NCGC00261069-01	0.051104489	0
NCGC00261101-01	0.017289446	0
NCGC00261183-01	0.0039365	0
NCGC00261716-01	8.63131E-05	0
NCGC00260742-01	0.082029227	0
NCGC00261529-01	0.000244103	0
NCGC00261170-01	0.026697161	0
NCGC00261565-01	0.110872317	0
