Sample ID	Score	Activity
NCGC00260979-01	1	1
NCGC00261126-01	0.6738451693	1
NCGC00260795-01	0.6658522026	1
NCGC00357149-01	0.6356483504	1
NCGC00260993-01	0.5168067945	1
NCGC00260833-01	0.5141699296	1
NCGC00260834-01	0.4892354693	1
NCGC00261643-01	0.4007542419	1
NCGC00357109-01	0.3885161162	1
NCGC00357156-01	0.3885014316	1
NCGC00260803-01	0.3802835734	1
NCGC00356970-01	0.3719885583	1
NCGC00357067-01	0.3673413173	1
NCGC00261426-01	0.3624626381	1
NCGC00357271-01	0.359718778	1
NCGC00356953-01	0.356222251	1
NCGC00261190-01	0.3558494332	1
NCGC00260858-01	0.3554413453	1
NCGC00357066-01	0.3550854334	1
NCGC00357111-01	0.3473889319	1
NCGC00261802-01	0.3454826777	1
NCGC00357262-01	0.3443994048	1
NCGC00357194-01	0.3427977347	1
NCGC00261071-01	0.3409066301	1
NCGC00357038-01	0.3391051473	1
NCGC00357207-01	0.338790407	1
NCGC00260990-01	0.3382020392	1
NCGC00357061-01	0.3373286091	1
NCGC00261142-01	0.3365207941	1
NCGC00261877-01	0.3335050744	1
NCGC00356979-01	0.3333375775	1
NCGC00261352-01	0.3309358141	1
NCGC00356968-01	0.3302797689	1
NCGC00357019-01	0.3291431387	1
NCGC00260822-01	0.3290177304	1
NCGC00261619-01	0.3213151027	0
NCGC00261123-01	0.3208510783	0
NCGC00357013-01	0.3203895734	0
NCGC00357246-01	0.3202975136	0
NCGC00357029-01	0.3195621176	0
NCGC00357118-01	0.3186903028	0
NCGC00356978-01	0.3180173165	0
NCGC00357281-01	0.3163863263	0
NCGC00357025-01	0.3160658813	0
NCGC00357196-01	0.3149237716	0
NCGC00357175-01	0.3148658997	0
NCGC00357224-01	0.3114657054	0
NCGC00261948-01	0.3111875772	0
NCGC00357191-01	0.3111729399	0
NCGC00357221-01	0.3108612931	0
NCGC00356994-01	0.3108150753	0
NCGC00261163-01	0.3107400604	0
NCGC00261052-01	0.3105624888	0
NCGC00357001-01	0.3105294691	0
NCGC00356990-01	0.3100525924	0
NCGC00261882-01	0.3083838926	0
NCGC00261910-01	0.3079875959	0
NCGC00260910-01	0.3076108066	0
NCGC00357008-01	0.3075109651	0
NCGC00356989-01	0.3068891793	0
NCGC00261380-01	0.3068155348	0
NCGC00260731-01	0.3054187792	0
NCGC00357236-01	0.3053237871	0
NCGC00357289-01	0.3053063057	0
NCGC00357243-01	0.3050794253	0
NCGC00356948-01	0.3050654642	0
NCGC00357064-01	0.3040030404	0
NCGC00357055-01	0.3037722267	0
NCGC00357117-01	0.3020905449	0
NCGC00357128-01	0.3020750927	0
NCGC00357059-01	0.3020298602	0
NCGC00261321-01	0.3016081584	0
NCGC00357172-01	0.3015529333	0
NCGC00357242-01	0.3012803077	0
NCGC00357185-01	0.300475568	0
NCGC00261160-01	0.2996766412	0
NCGC00357251-01	0.2995915076	0
NCGC00261593-01	0.299291304	0
NCGC00261065-01	0.2985719419	0
NCGC00357012-01	0.2981014319	0
NCGC00357085-01	0.2975449587	0
NCGC00357153-01	0.2969934992	0
NCGC00357007-01	0.2966035238	0
NCGC00357018-01	0.295870884	0
NCGC00261812-01	0.2957323308	0
NCGC00261804-01	0.2935624546	0
NCGC00356949-01	0.2934624274	0
NCGC00357183-01	0.2931968015	0
NCGC00261861-01	0.2931165695	0
NCGC00261601-01	0.2926527316	0
NCGC00261441-01	0.2922731181	0
NCGC00261270-01	0.2922415844	0
NCGC00357218-01	0.2917793629	0
NCGC00357072-01	0.2910559866	0
NCGC00357032-01	0.291027129	0
NCGC00260957-01	0.2902291056	0
NCGC00260706-01	0.2897859638	0
NCGC00357082-01	0.2895320475	0
NCGC00357058-01	0.2895183209	0
NCGC00357017-01	0.2887281045	0
NCGC00357051-01	0.2882255618	0
NCGC00261579-01	0.2877120105	0
NCGC00357259-01	0.2873345748	0
NCGC00260785-01	0.2871819599	0
NCGC00357011-01	0.2870659533	0
NCGC00357208-01	0.2869224501	0
NCGC00357099-01	0.2869224501	0
NCGC00261340-01	0.2868271683	0
NCGC00357275-01	0.2850524025	0
NCGC00260980-01	0.2848260925	0
NCGC00357255-01	0.2844653208	0
NCGC00357094-01	0.2839290553	0
NCGC00260871-01	0.2835903061	0
NCGC00357129-01	0.2831226593	0
NCGC00357052-01	0.2829645399	0
NCGC00357213-01	0.2828552652	0
NCGC00260947-01	0.2827116939	0
NCGC00261924-01	0.2826990228	0
NCGC00357230-01	0.2824676416	0
NCGC00261856-01	0.2819916879	0
NCGC00357121-01	0.2813375188	0
NCGC00261737-01	0.2812414187	0
NCGC00357105-01	0.2810774677	0
NCGC00357205-01	0.28091917	0
NCGC00357288-01	0.2801356566	0
NCGC00261260-01	0.2799535472	0
NCGC00357146-01	0.2798989918	0
NCGC00261679-01	0.2794384743	0
NCGC00356995-01	0.2792861312	0
NCGC00260840-01	0.2786613141	0
NCGC00357235-01	0.2784292697	0
NCGC00357234-01	0.2778562248	0
NCGC00261108-01	0.277814898	0
NCGC00357132-01	0.276768031	0
NCGC00261713-01	0.2764849794	0
NCGC00261399-01	0.2754246993	0
NCGC00261423-01	0.275077262	0
NCGC00261446-01	0.2744172017	0
NCGC00261019-01	0.2743312656	0
NCGC00356955-01	0.2742183022	0
NCGC00261662-01	0.2740688143	0
NCGC00357188-01	0.2737139157	0
NCGC00356961-01	0.2736670848	0
NCGC00356975-01	0.2730873177	0
NCGC00261577-01	0.2726174779	0
NCGC00357248-01	0.2721789383	0
NCGC00357223-01	0.2721458391	0
NCGC00260921-01	0.2721381798	0
NCGC00261828-01	0.2718884148	0
NCGC00357056-01	0.2717059625	0
NCGC00357215-01	0.271667737	0
NCGC00261290-01	0.271595055	0
NCGC00357195-01	0.2705502994	0
NCGC00356988-01	0.2700875513	0
NCGC00357155-01	0.2700110715	0
NCGC00261704-01	0.2698337185	0
NCGC00261916-01	0.2696329622	0
NCGC00261563-01	0.2695850836	0
NCGC00357077-01	0.2694442835	0
NCGC00261026-01	0.2693059024	0
NCGC00261008-01	0.2689711181	0
NCGC00261607-01	0.2689362765	0
NCGC00261835-01	0.2683489165	0
NCGC00357202-01	0.2683150201	0
NCGC00261332-01	0.2679244844	0
NCGC00357203-01	0.2678628926	0
NCGC00357083-01	0.266976909	0
NCGC00357135-01	0.2669338321	0
NCGC00357273-01	0.2667698193	0
NCGC00261003-01	0.2666106002	0
NCGC00356987-01	0.266279353	0
NCGC00356946-01	0.2658150155	0
NCGC00261620-01	0.265444897	0
NCGC00261764-01	0.2650201294	0
NCGC00357113-01	0.2647253727	0
NCGC00357225-01	0.2647253727	0
NCGC00357187-01	0.2638695634	0
NCGC00261201-01	0.2637862287	0
NCGC00357206-01	0.2635993469	0
NCGC00261906-01	0.2635151754	0
NCGC00357176-01	0.2634742443	0
NCGC00261289-01	0.263436995	0
NCGC00261903-01	0.2628486042	0
NCGC00357122-01	0.2624237454	0
NCGC00261933-01	0.26227063	0
NCGC00261873-01	0.2618117504	0
NCGC00261914-01	0.261586664	0
NCGC00357247-01	0.2613698108	0
NCGC00357114-01	0.259697878	0
NCGC00261141-01	0.2593802624	0
NCGC00357104-01	0.2592864084	0
NCGC00356967-01	0.2584083621	0
NCGC00357178-01	0.2582725382	0
NCGC00357239-01	0.2582691219	0
NCGC00261272-01	0.2581285404	0
NCGC00357266-01	0.2580539672	0
NCGC00261825-01	0.2579936586	0
NCGC00357095-01	0.2579859102	0
NCGC00261343-01	0.2577293936	0
NCGC00357226-01	0.2575010096	0
NCGC00260696-01	0.2567402751	0
NCGC00260713-01	0.2562949908	0
NCGC00261424-01	0.2561780501	0
NCGC00261155-01	0.2559604176	0
NCGC00260911-01	0.2558193912	0
NCGC00261602-01	0.2557838664	0
NCGC00357054-01	0.2557489665	0
NCGC00357231-01	0.2556531446	0
NCGC00261583-01	0.2551402104	0
NCGC00357098-01	0.2550205409	0
NCGC00356966-01	0.254692971	0
NCGC00261395-01	0.2543844222	0
NCGC00357139-01	0.2543828809	0
NCGC00261939-01	0.2543727665	0
NCGC00261641-01	0.2535723314	0
NCGC00261545-01	0.2530466785	0
NCGC00357120-01	0.2529803389	0
NCGC00261752-01	0.2529589682	0
NCGC00357240-01	0.2526977564	0
NCGC00357021-01	0.251501782	0
NCGC00261009-01	0.2514188216	0
NCGC00357147-01	0.2512929783	0
NCGC00357199-01	0.2512667023	0
NCGC00261398-01	0.2510153624	0
NCGC00356964-01	0.2509566077	0
NCGC00357241-01	0.2505720623	0
NCGC00357024-01	0.2505720623	0
NCGC00261510-01	0.2504509054	0
NCGC00260892-01	0.2502980737	0
NCGC00356999-01	0.2500785802	0
NCGC00356939-01	0.2496357313	0
NCGC00357233-01	0.2493450291	0
NCGC00357280-01	0.2490639522	0
NCGC00357097-01	0.2488319028	0
NCGC00261860-01	0.2484805109	0
NCGC00261389-01	0.2484408075	0
NCGC00261686-01	0.2482924515	0
NCGC00357170-01	0.2482735512	0
NCGC00357141-01	0.2479136809	0
NCGC00357279-01	0.2478652939	0
NCGC00357276-01	0.2477159099	0
NCGC00357284-01	0.2476175519	0
NCGC00261638-01	0.2474011526	0
NCGC00357260-01	0.2471628338	0
NCGC00357046-01	0.2471303498	0
NCGC00357161-01	0.2469940971	0
NCGC00357022-01	0.2464735739	0
NCGC00357053-01	0.246170349	0
NCGC00356991-01	0.2458598886	0
NCGC00357035-01	0.2454456945	0
NCGC00357249-01	0.2452850186	0
NCGC00261058-01	0.2451719302	0
NCGC00357144-01	0.2450726197	0
NCGC00357148-01	0.2447978051	0
NCGC00261119-01	0.2445724624	0
NCGC00357076-01	0.2442916026	0
NCGC00261294-01	0.2441736851	0
NCGC00261941-01	0.2440123951	0
NCGC00357133-01	0.2438396905	0
NCGC00261915-01	0.2438312639	0
NCGC00260890-01	0.2434705976	0
NCGC00356973-01	0.2434018122	0
NCGC00261816-01	0.243377356	0
NCGC00356984-01	0.243196996	0
NCGC00261611-01	0.2431800006	0
NCGC00357110-01	0.2431738115	0
NCGC00357036-01	0.2429646141	0
NCGC00356976-01	0.2428716201	0
NCGC00261076-01	0.2425504721	0
NCGC00357258-01	0.2423796877	0
NCGC00261554-01	0.2422036368	0
NCGC00357179-01	0.2420501772	0
NCGC00261192-01	0.2420440085	0
NCGC00357131-01	0.2418940858	0
NCGC00357184-01	0.2416806706	0
NCGC00357143-01	0.2416149341	0
NCGC00357157-01	0.2415456413	0
NCGC00261161-01	0.2409380609	0
NCGC00357127-01	0.2409327396	0
NCGC00356972-01	0.2409261684	0
NCGC00261853-01	0.2408990649	0
NCGC00357093-01	0.2408801066	0
NCGC00357142-01	0.2405196588	0
NCGC00357265-01	0.2403827571	0
NCGC00261101-01	0.2403485148	0
NCGC00260707-01	0.2398634536	0
NCGC00356983-01	0.2398088182	0
NCGC00261420-01	0.2393448509	0
NCGC00357069-01	0.2385712803	0
NCGC00357033-01	0.2382818683	0
NCGC00357130-01	0.2373685997	0
NCGC00356959-01	0.2373685997	0
NCGC00356963-01	0.2372466041	0
NCGC00261958-01	0.2370989798	0
NCGC00357261-01	0.2370069531	0
NCGC00357081-01	0.2370004468	0
NCGC00357068-01	0.2367394117	0
NCGC00357000-01	0.2367044884	0
NCGC00261080-01	0.2365823886	0
NCGC00356943-01	0.236211425	0
NCGC00357112-01	0.2355433308	0
NCGC00261578-01	0.2353356332	0
NCGC00357274-01	0.2352543952	0
NCGC00261947-01	0.2351132014	0
NCGC00260698-01	0.234829701	0
NCGC00261130-01	0.2347792604	0
NCGC00261404-01	0.2345638459	0
NCGC00357016-01	0.2340471563	0
NCGC00357138-01	0.2336994918	0
NCGC00261313-01	0.2336504925	0
NCGC00356969-01	0.2331519784	0
NCGC00261767-01	0.2330966937	0
NCGC00260869-01	0.2327946866	0
NCGC00357211-01	0.232633695	0
NCGC00261470-01	0.232303085	0
NCGC00357200-01	0.2321742808	0
NCGC00357264-01	0.231667213	0
NCGC00261926-01	0.2316017953	0
NCGC00356940-01	0.2312548346	0
NCGC00260876-01	0.2311892117	0
NCGC00261682-01	0.2310367135	0
NCGC00261110-01	0.2308523105	0
NCGC00260691-01	0.230747742	0
NCGC00357079-01	0.2307245358	0
NCGC00356977-01	0.2305060384	0
NCGC00261776-01	0.2304104778	0
NCGC00357020-01	0.2303411257	0
NCGC00261691-01	0.2301379488	0
NCGC00357092-01	0.2299658436	0
NCGC00356986-01	0.229644854	0
NCGC00357220-01	0.2295092462	0
NCGC00356956-01	0.2294050402	0
NCGC00357048-01	0.2289653733	0
NCGC00261178-01	0.2289510933	0
NCGC00261582-01	0.228734444	0
NCGC00357119-01	0.2285159853	0
NCGC00357042-01	0.2282635395	0
NCGC00261826-01	0.2282091561	0
NCGC00261913-01	0.2276580246	0
NCGC00357201-01	0.2274627101	0
NCGC00261840-01	0.2274098532	0
NCGC00261170-01	0.2271360347	0
NCGC00357140-01	0.2267631715	0
NCGC00260852-01	0.2260185329	0
NCGC00357023-01	0.2258353542	0
NCGC00261480-01	0.225683287	0
NCGC00357269-01	0.2253815598	0
NCGC00261079-01	0.2253774375	0
NCGC00261248-01	0.2241241144	0
NCGC00356941-01	0.2239080298	0
NCGC00261037-01	0.223495099	0
NCGC00260790-01	0.2234437941	0
NCGC00357173-01	0.2233317617	0
NCGC00357193-01	0.2233091215	0
NCGC00357214-01	0.2230885529	0
NCGC00261153-01	0.2230102375	0
NCGC00260831-01	0.2229974578	0
NCGC00357043-01	0.2229857443	0
NCGC00261177-01	0.2229366253	0
NCGC00356952-01	0.2229337561	0
NCGC00357124-01	0.2228667971	0
NCGC00356974-01	0.2227237648	0
NCGC00260866-01	0.2223678979	0
NCGC00357134-01	0.2223253678	0
NCGC00357166-01	0.2222976315	0
NCGC00357198-01	0.222261548	0
NCGC00357039-01	0.2222562667	0
NCGC00261013-01	0.2221283031	0
NCGC00260826-01	0.2220527122	0
NCGC00357087-01	0.2219823357	0
NCGC00357089-01	0.221816386	0
NCGC00357254-01	0.2218012743	0
NCGC00357165-01	0.2210334767	0
NCGC00261506-01	0.2206802607	0
NCGC00261738-01	0.2205519767	0
NCGC00357163-01	0.2202377283	0
NCGC00357101-01	0.2201064595	0
NCGC00357158-01	0.2199251673	0
NCGC00357073-01	0.2198885284	0
NCGC00357252-01	0.2197045016	0
NCGC00357159-01	0.2195938036	0
NCGC00357002-01	0.2195146703	0
NCGC00261921-01	0.2194447274	0
NCGC00357005-01	0.2194116857	0
NCGC00356962-01	0.2193144335	0
NCGC00261473-01	0.2188820064	0
NCGC00356993-01	0.2188010637	0
NCGC00357204-01	0.2185317124	0
NCGC00261147-01	0.2184557789	0
NCGC00357145-01	0.218421756	0
NCGC00357162-01	0.2183854199	0
NCGC00261820-01	0.218230503	0
NCGC00261474-01	0.2176551741	0
NCGC00261169-01	0.2174690631	0
NCGC00261598-01	0.2167664407	0
NCGC00357050-01	0.2163871393	0
NCGC00261529-01	0.2163384553	0
NCGC00357216-01	0.2159732516	0
NCGC00356957-01	0.2157242775	0
NCGC00260811-01	0.2156403454	0
NCGC00357084-01	0.2156291683	0
NCGC00357115-01	0.2156291683	0
NCGC00260815-01	0.2153381274	0
NCGC00357229-01	0.2151070832	0
NCGC00261833-01	0.2149091662	0
NCGC00357060-01	0.2146699477	0
NCGC00261238-01	0.2146571106	0
