Sample ID	Score	Activity
NCGC00261900-01	0.000116537	0
NCGC00260869-01	0.000318522	0
NCGC00261776-01	0.000119813	0
NCGC00261380-01	0.000116037	0
NCGC00261842-01	0.467667591	1
NCGC00261662-01	0.000417207	0
NCGC00261190-01	0.001255216	0
NCGC00260731-01	0.005457647	0
NCGC00261926-01	0.000087454	0
NCGC00261579-01	0.000097021	0
NCGC00260921-01	0.000329679	0
NCGC00261119-01	0.000083703	0
NCGC00260957-01	0.375084276	1
NCGC00261812-01	0.000166243	0
NCGC00260831-01	0.000466828	0
NCGC00261544-01	0.000102091	0
NCGC00261619-01	0.002061745	0
NCGC00261633-01	0.000296454	0
NCGC00261395-01	0.000109867	0
NCGC00261717-01	0.000126173	0
NCGC00261947-01	0.000123578	0
NCGC00261424-01	0.000116806	0
NCGC00261861-01	0.707106781	1
NCGC00261924-01	0.030479748	1
NCGC00261052-01	0.000112969	0
NCGC00261683-01	0.000114625	0
NCGC00261026-01	0.001753001	0
NCGC00261057-01	0.000073602	0
NCGC00261738-01	0.000091610	0
NCGC00261348-01	0.000075553	0
NCGC00261503-01	0.000080692	0
NCGC00260693-01	0.000080317	0
NCGC00260703-01	0.000072863	0
NCGC00260716-01	0.000062089	0
NCGC00260782-01	0.000076161	0
NCGC00260802-01	0.000072040	0
NCGC00260823-01	0.000085304	0
NCGC00261313-01	0.000092911	0
NCGC00260757-01	0.000089125	0
NCGC00260826-01	0.000066572	0
NCGC00261005-01	0.000070364	0
NCGC00260980-01	0.000134117	0
NCGC00261816-01	0.000089150	0
NCGC00260698-01	0.000232856	0
NCGC00260889-01	0.000076843	0
NCGC00260811-01	0.000072213	0
NCGC00261165-01	0.000144339	0
NCGC00261060-01	0.000105697	0
NCGC00261541-01	0.000075845	0
NCGC00261649-01	0.000068979	0
NCGC00261110-01	0.000087230	0
NCGC00261130-01	0.000082553	0
NCGC00260846-01	0.000107951	0
NCGC00261030-01	0.000093891	0
NCGC00261162-01	0.000079169	0
NCGC00261058-01	0.000122855	0
NCGC00261404-01	0.000078580	0
