Sample ID	Score	Activity
NCGC00357201-01	0.927525427	1
NCGC00356984-01	0.919828687	1
NCGC00261126-01	0.557337252	1
NCGC00261382-01	0.439987176	1
NCGC00357149-01	0.433842844	1
NCGC00357132-01	0.418257151	1
NCGC00357264-01	0.386230145	1
NCGC00357055-01	0.379577318	1
NCGC00357288-01	0.309290501	1
NCGC00356983-01	0.294925598	1
NCGC00357108-01	0.294797386	1
NCGC00260785-01	0.282325921	1
NCGC00356995-01	0.274001843	1
NCGC00356970-01	0.268782882	1
NCGC00356992-01	0.259642421	0
NCGC00260795-01	0.255759388	0
NCGC00261840-01	0.255256564	0
NCGC00357038-01	0.248126785	0
NCGC00261392-01	0.24102791	0
NCGC00261813-01	0.236464193	0
NCGC00356978-01	0.233456352	0
NCGC00260990-01	0.229594308	0
NCGC00261948-01	0.216535989	0
NCGC00357234-01	0.216175626	0
NCGC00261601-01	0.203334608	0
NCGC00357007-01	0.203016872	0
NCGC00261321-01	0.1924162	0
NCGC00261578-01	0.182129464	0
NCGC00260871-01	0.165717017	0
NCGC00261713-01	0.16281391	0
NCGC00356956-01	0.154805922	0
NCGC00357221-01	0.154660472	0
NCGC00357207-01	0.154251085	0
NCGC00357170-01	0.148653089	0
NCGC00357117-01	0.144910564	0
NCGC00261008-01	0.13657226	0
NCGC00261260-01	0.133233692	0
NCGC00357081-01	0.131155094	0
NCGC00357223-01	0.129740501	0
NCGC00357085-01	0.128970555	0
NCGC00260698-01	0.126025951	0
NCGC00261506-01	0.12528525	0
NCGC00261802-01	0.124700968	0
NCGC00356988-01	0.123835095	0
NCGC00261142-01	0.123653323	0
NCGC00261313-01	0.123080827	0
NCGC00261389-01	0.121700019	0
NCGC00357013-01	0.121323479	0
NCGC00261593-01	0.120844979	0
NCGC00261058-01	0.120089646	0
NCGC00357017-01	0.120029115	0
NCGC00260803-01	0.118533261	0
NCGC00357008-01	0.118171999	0
NCGC00356953-01	0.116303086	0
NCGC00357131-01	0.115141753	0
NCGC00261065-01	0.113552575	0
NCGC00260858-01	0.113068858	0
NCGC00260911-01	0.10987958	0
NCGC00261662-01	0.109069808	0
NCGC00261947-01	0.108739035	0
NCGC00357089-01	0.107859325	0
NCGC00261190-01	0.107616142	0
NCGC00261248-01	0.107345847	0
NCGC00261147-01	0.107195609	0
NCGC00261052-01	0.10636375	0
NCGC00357025-01	0.106309988	0
NCGC00357284-01	0.106078751	0
NCGC00261163-01	0.105740324	0
NCGC00261332-01	0.105442276	0
NCGC00261399-01	0.104626887	0
NCGC00261776-01	0.102746803	0
NCGC00261704-01	0.102476838	0
NCGC00261123-01	0.101350713	0
NCGC00261619-01	0.097369894	0
NCGC00357180-01	0.096968265	0
NCGC00261910-01	0.093650112	0
NCGC00261294-01	0.091944992	0
NCGC00261381-01	0.0901057	0
NCGC00356987-01	0.089761687	0
NCGC00261395-01	0.088888905	0
NCGC00261737-01	0.088532752	0
NCGC00357021-01	0.088356859	0
NCGC00356989-01	0.087762404	0
NCGC00261804-01	0.086784042	0
NCGC00261424-01	0.085733104	0
NCGC00357002-01	0.080608263	0
NCGC00261828-01	0.080478246	0
NCGC00357111-01	0.078494706	0
NCGC00357199-01	0.077770174	0
NCGC00261842-01	0.077722505	0
NCGC00261693-01	0.075843571	0
NCGC00260790-01	0.075736382	0
NCGC00356994-01	0.07398902	0
NCGC00261582-01	0.073483591	0
NCGC00357277-01	0.073226876	0
NCGC00261718-01	0.07302125	0
NCGC00261627-01	0.071293169	0
NCGC00260834-01	0.070177381	0
NCGC00356957-01	0.069857287	0
NCGC00357244-01	0.069132764	0
NCGC00261915-01	0.067511054	0
NCGC00357080-01	0.067454824	0
NCGC00357236-01	0.066964067	0
NCGC00261272-01	0.066904443	0
NCGC00260692-01	0.065360521	0
NCGC00357181-01	0.064042898	0
NCGC00260731-01	0.063833322	0
NCGC00357178-01	0.063089367	0
NCGC00261160-01	0.062888461	0
NCGC00357196-01	0.062415903	0
NCGC00261924-01	0.062243817	0
NCGC00261941-01	0.062026784	0
NCGC00357194-01	0.061870528	0
NCGC00357082-01	0.060293991	0
NCGC00260706-01	0.059953212	0
NCGC00261554-01	0.059951402	0
NCGC00357034-01	0.059084472	0
NCGC00260875-01	0.058821093	0
NCGC00261679-01	0.058718723	0
NCGC00261141-01	0.0583559	0
NCGC00356941-01	0.058171507	0
NCGC00261611-01	0.05779176	0
NCGC00260993-01	0.057162898	0
NCGC00261944-01	0.056384338	0
NCGC00261049-01	0.056276037	0
NCGC00260831-01	0.055663134	0
NCGC00357228-01	0.054906807	0
NCGC00356959-01	0.054654596	0
NCGC00261812-01	0.054128978	0
NCGC00357072-01	0.054128978	0
