Sample ID	Score	Activity
NCGC00261348-01	0.5675	1
NCGC00260693-01	0.5425	1
NCGC00261503-01	0.5513	1
NCGC00261119-01	0.5274	1
NCGC00260716-01	0.16	0
NCGC00260703-01	0.6328	1
NCGC00260823-01	0.4512	0
NCGC00260731-01	0.5886	1
NCGC00261579-01	0.5798	1
NCGC00260782-01	0.557	1
NCGC00261057-01	0.5132	1
NCGC00261683-01	0.5501	1
NCGC00261738-01	0.5371	1
NCGC00261313-01	0.5525	1
NCGC00260826-01	0.3062	0
NCGC00261633-01	0.5319	1
NCGC00260757-01	0.0513	0
NCGC00261052-01	0.6149	1
NCGC00261005-01	0.5854	1
NCGC00261190-01	0.5474	1
NCGC00260802-01	0.5184	1
NCGC00261842-01	0.538	1
NCGC00261544-01	0.5501	1
NCGC00261541-01	0.5272	1
NCGC00261812-01	0.5	0
NCGC00261662-01	0.4975	0
NCGC00261649-01	0.5352	1
NCGC00260831-01	0.5292	1
NCGC00261380-01	0.5335	1
NCGC00260869-01	0.5063	1
NCGC00261060-01	0.5339	1
NCGC00260846-01	0.566	1
NCGC00261162-01	0.6474	1
NCGC00261395-01	0.5084	1
NCGC00261030-01	0.985	1
NCGC00261856-01	0.5038	1
NCGC00261935-01	0.5678	1
NCGC00261926-01	0.562	1
NCGC00261423-01	0.5037	1
NCGC00261183-01	0.5557	1
NCGC00261924-01	0.5466	1
NCGC00261069-01	0.606	1
NCGC00260921-01	0.5218	1
NCGC00261110-01	0.5066	1
NCGC00261101-01	0.536	1
NCGC00260889-01	0.5102	1
NCGC00261619-01	0.5083	1
NCGC00261165-01	0.5243	1
NCGC00260698-01	0.5506	1
NCGC00261776-01	0.5211	1
NCGC00261861-01	0.5756	1
NCGC00261026-01	0.5288	1
NCGC00261079-01	0.3837	0
NCGC00260990-01	0.5511	1
NCGC00261340-01	0.2013	0
NCGC00260811-01	0.5034	1
NCGC00261130-01	0.5033	1
NCGC00260980-01	0.5388	1
NCGC00261730-01	0.5061	1
NCGC00261716-01	0.507	1
NCGC00260706-01	0.5115	1
NCGC00261816-01	0.527	1
NCGC00261404-01	0.5036	1
NCGC00261565-01	0.6017	1
NCGC00261424-01	0.5	0
NCGC00261507-01	0.3512	0
NCGC00261744-01	0.5006	1
NCGC00261367-01	0.5139	1
NCGC00261058-01	0.5204	1
NCGC00260789-01	0.5571	1
NCGC00261717-01	0.5011	1
NCGC00261420-01	0.5645	1
NCGC00261123-01	0.6057	1
NCGC00260742-01	0.5096	1
NCGC00261529-01	0.5683	1
NCGC00261597-01	0.5537	1
NCGC00261389-01	0.5272	1
NCGC00261169-01	0.5327	1
NCGC00261270-01	0.5014	1
NCGC00261826-01	0.5163	1
NCGC00261641-01	0.6739	1
NCGC00260866-01	0.5033	1
NCGC00261624-01	0.5189	1
NCGC00261947-01	0.5008	1
NCGC00261025-01	0.5081	1
NCGC00261853-01	0.5653	1
NCGC00261364-01	0.4687	0
NCGC00261820-01	0.5025	1
NCGC00260852-01	0.5161	1
NCGC00260911-01	0.5247	1
NCGC00261817-01	0.5336	1
NCGC00261085-01	0.5097	1
NCGC00261189-01	0.5318	1
NCGC00261704-01	0.3875	0
NCGC00261808-01	0.5657	1
NCGC00261290-01	0.24	0
NCGC00261342-01	0.4412	0
NCGC00261215-01	0.5358	1
NCGC00261866-01	0.2213	0
NCGC00260972-01	0.503	1
NCGC00261304-01	0.526	1
NCGC00261392-01	0.5168	1
NCGC00261638-01	0.5727	1
NCGC00261170-01	0.5039	1
NCGC00261384-01	0.5202	1
NCGC00260696-01	0.5419	1
NCGC00261113-01	0.415	0
NCGC00261133-01	0.5322	1
NCGC00260940-01	0.521	1
NCGC00261327-01	0.4412	0
NCGC00261568-01	0.5003	1
NCGC00261178-01	0.5024	1
NCGC00261076-01	0.4825	0
NCGC00261399-01	0.5103	1
NCGC00261611-01	0.5105	1
NCGC00261602-01	0.4462	0
NCGC00260798-01	0.5007	1
NCGC00261506-01	0.5164	1
NCGC00261071-01	0.5105	1
NCGC00261160-01	0.5356	1
NCGC00261679-01	0.5031	1
NCGC00261941-01	0.5252	1
NCGC00260790-01	0.1175	0
NCGC00260830-01	0.5024	1
NCGC00261903-01	0.5245	1
NCGC00261081-01	0.5149	1
NCGC00261577-01	0.5923	1
NCGC00260850-01	0.5127	1
NCGC00261607-01	0.6042	1
NCGC00260708-01	0.1888	0
NCGC00260785-01	0.5129	1
NCGC00261192-01	0.501	1
NCGC00261390-01	0.5264	1
NCGC00261782-01	0.5116	1
NCGC00260948-01	0.3112	0
NCGC00260881-01	0.5249	1
NCGC00261009-01	0.5309	1
NCGC00261166-01	0.5228	1
NCGC00261352-01	0.5428	1
NCGC00261272-01	0.5264	1
NCGC00261053-01	0.5191	1
NCGC00261915-01	0.5954	1
NCGC00260795-01	0.5702	1
NCGC00261129-01	0.4562	0
NCGC00260858-01	0.5077	1
NCGC00261108-01	0.5056	1
NCGC00260910-01	0.47	0
NCGC00261510-01	0.5089	1
NCGC00261840-01	0.6721	1
NCGC00260979-01	0.5011	1
NCGC00261238-01	0.5149	1
NCGC00261877-01	0.4575	0
NCGC00261802-01	0.5588	1
NCGC00260957-01	0.48	0
NCGC00260815-01	0.5006	1
NCGC00261343-01	0.4825	0
NCGC00261153-01	0.5357	1
NCGC00261813-01	0.4662	0
NCGC00260875-01	0.5737	1
NCGC00261441-01	0.5054	1
NCGC00260993-01	0.4875	0
NCGC00261406-01	0.537	1
NCGC00261914-01	0.5118	1
NCGC00261944-01	0.5216	1
NCGC00261764-01	0.545	1
NCGC00261332-01	0.5732	1
NCGC00261474-01	0.1263	0
NCGC00261260-01	0.5404	1
NCGC00261381-01	0.521	1
NCGC00261321-01	0.5308	1
NCGC00261787-01	0.5589	1
NCGC00260892-01	0.2	0
NCGC00261451-01	0.6358	1
NCGC00261297-01	0.5043	1
NCGC00261049-01	0.512	1
NCGC00261958-01	0.5168	1
NCGC00261682-01	0.5111	1
NCGC00261663-01	0.5524	1
NCGC00261333-01	0.5061	1
NCGC00261426-01	0.5272	1
NCGC00260840-01	0.5024	1
NCGC00261804-01	0.5907	1
NCGC00261065-01	0.5733	1
NCGC00261542-01	0.5578	1
NCGC00261446-01	0.5731	1
NCGC00260692-01	0.1888	0
NCGC00261155-01	0.5198	1
NCGC00260947-01	0.5093	1
NCGC00260775-01	0.2288	0
NCGC00261598-01	0.0663	0
NCGC00260876-01	0.0775	0
NCGC00261475-01	0.5223	1
NCGC00261177-01	0.5092	1
NCGC00261037-01	0.2812	0
NCGC00260834-01	0.5085	1
NCGC00260833-01	0.49	0
NCGC00261639-01	0.507	1
NCGC00260871-01	0.5645	1
NCGC00261554-01	1	1
NCGC00261126-01	0.6541	1
NCGC00261713-01	0.5168	1
NCGC00260743-01	0.305	0
NCGC00261732-01	0.0338	0
NCGC00261019-01	0.5182	1
