Sample ID	Score	Activity
NCGC00261776-01	-0.6244	0
NCGC00261380-01	-0.7979	0
NCGC00261842-01	0.3017	1
NCGC00261662-01	0.2182	1
NCGC00261190-01	0.7202	1
NCGC00260731-01	0.6322	1
NCGC00261926-01	-0.0497	0
NCGC00261579-01	-0.1325	0
NCGC00260921-01	-0.283	0
NCGC00261119-01	-0.6916	0
NCGC00261812-01	-0.0133	0
NCGC00260831-01	-0.5268	0
NCGC00261544-01	-0.2496	0
NCGC00261619-01	-0.3128	0
NCGC00261395-01	-0.0488	0
NCGC00261717-01	-0.2288	0
NCGC00261947-01	-0.271	0
NCGC00261424-01	-0.2916	0
NCGC00261861-01	-0.003	0
NCGC00261924-01	0.4872	1
NCGC00261026-01	-0.0387	0
NCGC00261057-01	-0.4779	0
NCGC00261738-01	-0.8354	0
NCGC00261348-01	-0.3845	0
NCGC00261503-01	-0.5983	0
NCGC00260693-01	-0.8417	0
NCGC00260703-01	-0.8703	0
NCGC00260716-01	0.2133	1
NCGC00260782-01	-0.0125	0
NCGC00260802-01	-0.0815	0
NCGC00260823-01	-0.2045	0
NCGC00260757-01	-0.1303	0
NCGC00260826-01	0.2919	1
NCGC00260889-01	-0.1698	0
NCGC00260811-01	-0.8524	0
NCGC00261165-01	-0.6368	0
NCGC00261060-01	-0.0956	0
NCGC00261541-01	-0.4756	0
NCGC00261649-01	-0.5398	0
NCGC00261110-01	-0.0469	0
NCGC00261130-01	-0.0298	0
NCGC00260846-01	-0.4013	0
NCGC00261030-01	-0.799	0
NCGC00261162-01	-0.5089	0
NCGC00261058-01	-0.0454	0
NCGC00261404-01	-0.0263	0
NCGC00261423-01	-0.4442	0
NCGC00261856-01	-0.333	0
NCGC00261342-01	-0.7013	0
NCGC00261069-01	-0.3963	0
NCGC00261101-01	0.0822	1
NCGC00261716-01	-0.4671	0
NCGC00260742-01	-0.7059	0
NCGC00261529-01	-0.7171	0
NCGC00261170-01	-0.5888	0
NCGC00261565-01	-0.6156	0
NCGC00260990-01	0.0947	1
NCGC00261340-01	-0.1591	0
NCGC00261079-01	-0.4973	0
NCGC00261389-01	0.0019	1
NCGC00261744-01	-0.8293	0
NCGC00261420-01	-0.2149	0
NCGC00261215-01	-0.456	0
NCGC00261826-01	-0.2668	0
NCGC00261123-01	0.6746	1
NCGC00261367-01	-0.8788	0
