Sample ID	Score	Activity
NCGC00261900	0.5226	0
NCGC00260869	0.2772	0
NCGC00261776	0.7036	1
NCGC00261380	0.5264	0
NCGC00261842	0.655	1
NCGC00261662	0.7406	1
NCGC00261190	0.519	0
NCGC00260731	0.585	0
NCGC00261926	0.6914	1
NCGC00261579	0.3896	0
NCGC00260921	0.5894	0
NCGC00261119	0.527	0
NCGC00260957	0.7112	1
NCGC00261812	0.6024	1
NCGC00260831	0.6172	1
NCGC00261544	0.6364	1
NCGC00261619	0.7068	1
NCGC00261633	0.6382	1
NCGC00261395	0.571	0
NCGC00261717	0.523	0
NCGC00261947	0.5016	0
NCGC00261424	0.5014	0
NCGC00261861	0.7316	1
NCGC00261924	0.83	1
NCGC00261052	0.735	1
NCGC00261683	0.3216	0
NCGC00261026	0.4562	0
NCGC00261057	0.2704	0
NCGC00261738	0.3736	0
NCGC00261348	0.1098	0
NCGC00261503	0.2572	0
NCGC00260693	0.221	0
NCGC00260703	0.1914	0
NCGC00260716	0.3126	0
NCGC00260782	0.1502	0
NCGC00260802	0.2804	0
NCGC00260823	0.4152	0
NCGC00261313	0.1914	0
NCGC00260757	0.2336	0
NCGC00260826	0.3198	0
NCGC00261005	0.25	0
NCGC00260980	0.6296	1
NCGC00261816	0.6866	1
NCGC00260698	0.6856	1
NCGC00260889	0.2702	0
NCGC00260811	0.6144	1
NCGC00261165	0.5092	0
NCGC00261060	0.194	0
NCGC00261541	0.1778	0
NCGC00261649	0.1242	0
NCGC00261110	0.4654	0
NCGC00261130	0.4888	0
NCGC00260846	0.6224	1
NCGC00261030	0.4216	0
NCGC00261162	0.1898	0
NCGC00261058	0.7912	1
NCGC00261404	0.723	1
NCGC00261423	0.4704	0
NCGC00261856	0.407	0
NCGC00261342	0.5788	0
NCGC00261935	0.3688	0
NCGC00261069	0.4298	0
NCGC00261101	0.694	1
NCGC00261183	0.667	1
NCGC00261716	0.6442	1
NCGC00260742	0.5936	0
NCGC00261529	0.7842	1
NCGC00261170	0.6442	1
NCGC00261565	0.7628	1
NCGC00260990	0.7256	1
NCGC00261340	0.2288	0
NCGC00261079	0.295	0
NCGC00261389	0.713	1
NCGC00261744	0.4778	0
NCGC00261420	0.4458	0
NCGC00261215	0.6982	1
NCGC00261826	0.5992	0
NCGC00260706	0.6316	1
NCGC00261123	0.7034	1
NCGC00261367	0.3428	0
NCGC00261507	0.3154	0
NCGC00261169	0.4816	0
NCGC00261730	0.2536	0
NCGC00261624	0.3984	0
NCGC00261641	0.3494	0
NCGC00261853	0.5608	0
NCGC00260911	0.7616	1
